location,culture,historical_name,source,confidence,note
arras,antq_atrebatian,Nemetacum,PLE:109194;PLN:109194/nemetacum;R2,tier2,Reviewed modern-field identity for Pleiades place 109194; AD 1 name resource 109194/nemetacum.
arta,antq_greek_koine,Ambracia,PLE:530794;PLN:530794/ambracia;R2,tier2,Reviewed modern-field identity for Pleiades place 530794; AD 1 name resource 530794/ambracia.
assisi,antq_oscan_umbrian,Asisium,PLE:413037;PLN:413037/asisium;R2,tier2,Reviewed modern-field identity for Pleiades place 413037; AD 1 name resource 413037/asisium.
asti,antq_cisalpine_gallic,Hasta,PLE:383669;PLN:383669/hasta;R2,tier2,Reviewed modern-field identity for Pleiades place 383669; AD 1 name resource 383669/hasta.
asyut,antq_egyptian,Lykopolis,PLE:756593;PLN:756593/lykopolis;R2,tier2,Reviewed modern-field identity for Pleiades place 756593; AD 1 name resource 756593/lykopolis.
auch,antq_auscian,Elimberrum,PLE:246379;PLN:246379/elimberrum;R2,tier2,Reviewed modern-field identity for Pleiades place 246379; AD 1 name resource 246379/elimberrum.
auxerre,antq_senonian,Autessiodurum,PLE:138206;PLN:138206/autessiodurum;R2,tier2,Reviewed modern-field identity for Pleiades place 138206; AD 1 name resource 138206/autessiodurum.
avallon,antq_senonian,Aballo,PLE:177427;PLN:177427/aballo;R2,tier2,Reviewed modern-field identity for Pleiades place 177427; AD 1 name resource 177427/aballo.
avignon,antq_cavaric,Avennio,PLE:148004;PLN:148004/avennio;R2,tier2,Reviewed modern-field identity for Pleiades place 148004; AD 1 name resource 148004/avennio.
avranches,antq_unellian,Ingena,PLE:69518;PLN:69518/ingena;R2,tier2,Pleiades explicitly associates place 69518 with this modern field; AD 1 name resource 69518/ingena.
baeza,antq_oretan,Vivatia,PLE:266099;PLN:266099/vivatia;R2,tier2,Pleiades explicitly associates place 266099 with this modern field; AD 1 name resource 266099/vivatia.
balat,antq_ionian,Miletus,PLE:599799;PLN:599799/miletus;R2,tier2,Reviewed modern-field identity for Pleiades place 599799; AD 1 name resource 599799/miletus.
bar_sur_aube,antq_belgic,Segessera,PLE:109335;PLN:109335/segessera;R2,tier2,Reviewed modern-field identity for Pleiades place 109335; AD 1 name resource 109335/segessera.
barcelona,antq_lacetanian,Barcino,PLE:246343;PLN:246343/col-barcino;R2,tier2,Reviewed modern-field identity for Pleiades place 246343; AD 1 name resource 246343/col-barcino.
barletta,antq_oscan_umbrian,Barduli,PLE:442498;PLN:442498/barduli;R2,tier2,Reviewed modern-field identity for Pleiades place 442498; AD 1 name resource 442498/barduli.
bayeux,antq_baiocassian,Augustodurum,PLE:69471;PLN:69471/augustodurum;R2,tier2,Reviewed modern-field identity for Pleiades place 69471; AD 1 name resource 69471/augustodurum.
beauvais,antq_bellovacian,Caesaromagus,PLE:108844;PLN:108844/caesaromagus;R2,tier2,Reviewed modern-field identity for Pleiades place 108844; AD 1 name resource 108844/caesaromagus.
belgrad,antq_pannonian,Singidunum,PLE:207443;PLN:207443/singidunum;R2,tier2,Reviewed modern-field identity for Pleiades place 207443; AD 1 name resource 207443/singidunum.
bellinzona,antq_cisalpine_gallic,Bilitio,PLE:187317;PLN:187317/bilitio;R2,tier2,Pleiades explicitly associates place 187317 with this modern field; AD 1 name resource 187317/bilitio.
beziers,antq_elisycean,Baeterrae,PLE:148056;PLN:148056/col-baeterrae;R2,tier2,Reviewed modern-field identity for Pleiades place 148056; AD 1 name resource 148056/col-baeterrae.
birgi,antq_ionian,Dios Hieron,PLE:550515;PLN:550515/dios-hieron;R2,tier2,Reviewed modern-field identity for Pleiades place 550515; AD 1 name resource 550515/dios-hieron.
bolu,antq_bithynian,Bithynion,PLE:844879;PLN:844879/bithynion-1;R2,tier2,Reviewed modern-field identity for Pleiades place 844879; AD 1 name resource 844879/bithynion-1.
bormio,antq_cisalpine_gallic,Aquae Bormiae,PLE:187289;PLN:187289/aquae-bormiae;R2,tier2,Reviewed modern-field identity for Pleiades place 187289; AD 1 name resource 187289/aquae-bormiae.
bosa,antq_nuragic,Bosa,PLE:471895;PLN:471895/bosa;R2,tier2,Reviewed modern-field identity for Pleiades place 471895; AD 1 name resource 471895/bosa.
boulogne_sur_mer,antq_morinian,Gesoriacum,PLE:109008;PLN:109008/gesoriacum;R2,tier2,Reviewed modern-field identity for Pleiades place 109008; AD 1 name resource 109008/gesoriacum.
bozok,antq_trocmian,Tavium,PLE:619267;PLN:619267/tavium;R2,tier2,Qualified modern-field proxy for the securely identified Trocmi centre Tavium; the engine field is broader than the archaeological site.
bregenz,antq_rhaetic,Brigantium,PLE:187325;PLN:187325/brigantium;R2,tier2,Pleiades explicitly associates place 187325 with this modern field; AD 1 name resource 187325/brigantium.
brest,antq_armorican,Gesocribate,PLE:69511;PLN:69511/gesocribate;R2,tier2,Pleiades explicitly associates place 69511 with this modern field; AD 1 name resource 69511/gesocribate.
butrint,antq_enchelean,Bouthrōtón,PLE:530824;PLN:530824/bouthroton;R2,tier2,Reviewed modern-field identity for Pleiades place 530824; AD 1 name resource 530824/bouthroton.
calahorra,antq_arevacian,Calagurris,PLE:246279;PLN:246279/calagurris-nassica-iulia;R2,tier2,Pleiades explicitly associates place 246279 with this modern field; AD 1 name resource 246279/calagurris-nassica-iulia.
cambrai,antq_atrebatian,Camaracum,PLE:108850;PLN:108850/camaracum;R2,tier2,Reviewed modern-field identity for Pleiades place 108850; AD 1 name resource 108850/camaracum.
candia,antq_greek_koine,Herakleion,PLE:589802;PLN:589802/herakleion;R2,tier2,Reviewed modern-field identity for Pleiades place 589802; AD 1 name resource 589802/herakleion.
cankiri,antq_trocmian,Gangra,PLE:844926;PLN:844926/gangra;R2,tier2,Reviewed modern-field identity for Pleiades place 844926; AD 1 name resource 844926/gangra.
carcassonne,antq_volcan_tectosagian,Carcaso,PLE:246294;PLN:246294/carcaso;R2,tier2,Reviewed modern-field identity for Pleiades place 246294; AD 1 name resource 246294/carcaso.
carmona,antq_turdetanian,Carmo,PLE:256058;PLN:256058/carmo;R2,tier2,Reviewed modern-field identity for Pleiades place 256058; AD 1 name resource 256058/carmo.
cassel,antq_belgic,Castellum Menapiorum,PLE:108865;PLN:108865/castellum-menapiorum;R2,tier2,Reviewed modern-field identity for Pleiades place 108865; AD 1 name resource 108865/castellum-menapiorum.
catania,antq_greek_koine,Katánē,PLE:462270;PLN:462270/katane;R2,tier2,Reviewed modern-field identity for Pleiades place 462270; AD 1 name resource 462270/katane.
cefalu,antq_greek_koine,Cephaloedium,PLE:462154;PLN:462154/cephaloedium;R2,tier2,Reviewed modern-field identity for Pleiades place 462154; AD 1 name resource 462154/cephaloedium.
celje,antq_noric,Celeia,PLE:197206;PLN:197206/celeia;R2,tier2,Reviewed modern-field identity for Pleiades place 197206; AD 1 name resource 197206/celeia.
chalon_sur_saone,antq_lingonian,Cabilonnum,PLE:177485;PLN:177485/cabilonnum;R2,tier2,Reviewed modern-field identity for Pleiades place 177485; AD 1 name resource 177485/cabilonnum.
chalons_champagne,antq_remian,Durocatalaunum,PLE:108944;PLN:108944/durocatalaunum;R2,tier2,Reviewed modern-field identity for Pleiades place 108944; AD 1 name resource 108944/durocatalaunum.
cherbourg,antq_unellian,Coriallum,PLE:69493;PLN:69493/coriallum;R2,tier2,Reviewed modern-field identity for Pleiades place 69493; AD 1 name resource 69493/coriallum.
chieri,antq_cisalpine_gallic,Carreum Potentia,PLE:383611;PLN:383611/carreum-potentia;R2,tier2,Reviewed modern-field identity for Pleiades place 383611; AD 1 name resource 383611/carreum-potentia.
chieti,antq_oscan_umbrian,Teate,PLE:413333;PLN:413333/teate;R2,tier2,Reviewed modern-field identity for Pleiades place 413333; AD 1 name resource 413333/teate.
chiusi,antq_etruscan,Clusium,PLE:413096;PLN:413096/clusium;R2,tier2,Reviewed modern-field identity for Pleiades place 413096; AD 1 name resource 413096/clusium.
chur,antq_helvetian,Curia,PLE:187357;PLN:187357/curia;R2,tier2,Reviewed modern-field identity for Pleiades place 187357; AD 1 name resource 187357/curia.
cittacastello,antq_oscan_umbrian,Tifernum Tiberinum,PLE:413339;PLN:413339/tifernum-tiberinum;R2,tier2,Reviewed modern-field identity for Pleiades place 413339; AD 1 name resource 413339/tifernum-tiberinum.
ciudad_rodrigo,antq_celtiberian,Mirobriga,PLE:236546;PLN:236546/mirobriga;R2,tier2,Pleiades explicitly associates place 236546 with this modern field; AD 1 name resource 236546/mirobriga.
cortona,antq_etruscan,Cortona,PLE:413106;PLN:413106/cortona;R2,tier2,Reviewed modern-field identity for Pleiades place 413106; AD 1 name resource 413106/cortona.
coutances,antq_unellian,Cosedia,PLE:69494;PLN:69494/cosedia;R2,tier2,Reviewed modern-field identity for Pleiades place 69494; AD 1 name resource 69494/cosedia.
damanhur,antq_egyptian,Hermopolis Mikra,PLE:727123;PLN:727123/hermopolis-mikra;R2,tier2,Reviewed modern-field identity for Pleiades place 727123; AD 1 name resource 727123/hermopolis-mikra.
dax,antq_elusatian,Aquae Terebellicae,PLE:246173;PLN:246173/aquae-terebellicae;R2,tier2,Reviewed modern-field identity for Pleiades place 246173; AD 1 name resource 246173/aquae-terebellicae.
demetrias,antq_greek_koine,Demetrias,PLE:540730;PLN:540730/demetrias;R2,tier2,Reviewed modern-field identity for Pleiades place 540730; AD 1 name resource 540730/demetrias.
denia,antq_contestanian,Dianium,PLE:265880;PLN:265880/dianium;R2,tier2,Reviewed modern-field identity for Pleiades place 265880; AD 1 name resource 265880/dianium.
die,antq_vocontian,Dea Vocontiorum,PLE:167716;PLN:167716/col-dea-vocontiorum;R2,tier2,Reviewed modern-field identity for Pleiades place 167716; AD 1 name resource 167716/col-dea-vocontiorum.
dinar,antq_cabalian,Apamea,PLE:638751;PLN:638751/apamea;R2,tier2,Pleiades explicitly associates place 638751 with this modern field; AD 1 name resource 638751/apamea.
dreux,antq_carnutian,Durocasses,PLE:108943;PLN:108943/durocasses;R2,tier2,Reviewed modern-field identity for Pleiades place 108943; AD 1 name resource 108943/durocasses.
ecija,antq_turdetanian,Astigi,PLE:255996;PLN:255996/astigi;R2,tier2,Reviewed modern-field identity for Pleiades place 255996; AD 1 name resource 255996/astigi.
edessa,antq_macedonian,Edessa,PLE:491585;PLN:491585/edessa;R2,tier2,Reviewed modern-field identity for Pleiades place 491585; AD 1 name resource 491585/edessa.
el_kseur,antq_phoenician_punic,Tubusuctu,PLE:305171;PLN:305171/tubusuctu;R2,tier2,Reviewed modern-field identity for Pleiades place 305171; AD 1 name resource 305171/tubusuctu.
elche,antq_iberian,Ilici,PLE:265922;PLN:265922/ilici;R2,tier2,Reviewed modern-field identity for Pleiades place 265922; AD 1 name resource 265922/ilici.
evora,antq_lusitanian,Ebora,PLE:256151;PLN:256151/ebora;R2,tier2,Reviewed modern-field identity for Pleiades place 256151; AD 1 name resource 256151/ebora.
evreux,antq_aulerci_eburovician,Mediolanum Aulercorum,PLE:109153;PLN:109153/mediolanum-aulercorum;R2,tier2,Reviewed modern-field identity for Pleiades place 109153; AD 1 name resource 109153/mediolanum-aulercorum.
faqus,antq_egyptian,Phakoussa,PLE:727194;PLN:727194/phakoussa;R2,tier2,Reviewed modern-field identity for Pleiades place 727194; AD 1 name resource 727194/phakoussa.
faro,antq_cynetan,Ossonoba,PLE:256345;PLN:256345/ossonoba;R2,tier2,Reviewed modern-field identity for Pleiades place 256345; AD 1 name resource 256345/ossonoba.
feltre,antq_venetic,Feltria,PLE:187377;PLN:187377/feltria;R2,tier2,Reviewed modern-field identity for Pleiades place 187377; AD 1 name resource 187377/feltria.
fermo,antq_oscan_umbrian,Firmum Picenum,PLE:413135;PLN:413135/firmum-picenum;R2,tier2,Reviewed modern-field identity for Pleiades place 413135; AD 1 name resource 413135/firmum-picenum.
feurs,antq_segusiavian,Forum Segusiavorum,PLE:167771;PLN:167771/forum-segusiavorum;R2,tier2,Reviewed modern-field identity for Pleiades place 167771; AD 1 name resource 167771/forum-segusiavorum.
foca,antq_lydian,Phocaea,PLE:550823;PLN:550823/phocaea;R2,tier2,Pleiades explicitly associates place 550823 with this modern field; AD 1 name resource 550823/phocaea.
frejus,antq_saluvian,Forum Iulii,PLE:157836;PLN:157836/col-forum-iulii;R2,tier2,Reviewed modern-field identity for Pleiades place 157836; AD 1 name resource 157836/col-forum-iulii.
gaeta,antq_latin,Caieta,PLE:432734;PLN:432734/caieta;R2,tier2,Reviewed modern-field identity for Pleiades place 432734; AD 1 name resource 432734/caieta.
gallipoliita,antq_oscan_umbrian,Anxa,PLE:442625;PLN:442625/anxa;R2,tier2,Reviewed modern-field identity for Pleiades place 442625; AD 1 name resource 442625/anxa.
geneve,antq_helvetian,Genava,PLE:177528;PLN:177528/genava;R2,tier2,Pleiades explicitly associates place 177528 with this modern field; AD 1 name resource 177528/genava.
gerede,antq_mariandynian,Krateia,PLE:844991;PLN:844991/krateia;R2,tier2,Reviewed modern-field identity for Pleiades place 844991; AD 1 name resource 844991/krateia.
giresun,antq_tibarenian,Kerasous,PLE:857185;PLN:857185/kerasous-1;R2,tier2,Reviewed modern-field identity for Pleiades place 857185; AD 1 name resource 857185/kerasous-1.
girgenti,antq_greek_koine,Akragas,PLE:462086;PLN:462086/name.2015-09-29.4564435521;R2,tier2,Reviewed modern-field identity for Pleiades place 462086; AD 1 name resource 462086/name.2015-09-29.4564435521.
golhisar,antq_carian,Cibyra,PLE:638804;PLN:638804/cibyra;R2,tier2,Reviewed modern-field identity for Pleiades place 638804; AD 1 name resource 638804/cibyra.
granada,antq_bastetan,Iliberri,PLE:265921;PLN:265921/iliberri;R2,tier2,Reviewed modern-field identity for Pleiades place 265921; AD 1 name resource 265921/iliberri.
grenoble,antq_allobrogian,Cularo,PLE:167734;PLN:167734/cularo;R2,tier2,Reviewed modern-field identity for Pleiades place 167734; AD 1 name resource 167734/cularo.
guzelhisar,antq_ionian,Tralles,PLE:599987;PLN:599987/tralles;R2,tier2,Reviewed modern-field identity for Pleiades place 599987; AD 1 name resource 599987/tralles.
imola,antq_cisalpine_gallic,Forum Cornelii,PLE:393424;PLN:393424/forum-cornelii;R2,tier2,Reviewed modern-field identity for Pleiades place 393424; AD 1 name resource 393424/forum-cornelii.
isernia,antq_oscan_umbrian,Aesernia,PLE:432652;PLN:432652/aesernia;R2,tier2,Reviewed modern-field identity for Pleiades place 432652; AD 1 name resource 432652/aesernia.
isparta,antq_cabalian,Baris,PLE:638790;PLN:638790/baris-1;R2,tier2,Reviewed modern-field identity for Pleiades place 638790; AD 1 name resource 638790/baris-1.
istanoz,antq_lycian,Isinda,PLE:638872;PLN:638872/isinda;R2,tier2,Reviewed modern-field identity for Pleiades place 638872; AD 1 name resource 638872/isinda.
ivrea,antq_cisalpine_gallic,Eporedia,PLE:383642;PLN:383642/eporedia;R2,tier2,Reviewed modern-field identity for Pleiades place 383642; AD 1 name resource 383642/eporedia.
iznik,antq_greek_koine,Nicaea,PLE:511268;PLN:511268/nicaea;R2,tier2,Pleiades explicitly associates place 511268 with this modern field; AD 1 name resource 511268/nicaea.
kalavryta,antq_greek_koine,Kynaithai,PLE:570392;PLN:570392/kynaithai;R2,tier2,Reviewed modern-field identity for Pleiades place 570392; AD 1 name resource 570392/kynaithai.
karystos,antq_greek_koine,Karystos,PLE:570336;PLN:570336/karystos2;R2,tier2,Reviewed modern-field identity for Pleiades place 570336; AD 1 name resource 570336/karystos2.
kassandreia,antq_macedonian,Kassandreia,PLE:491701;PLN:491701/kassandreia;R2,tier2,Reviewed modern-field identity for Pleiades place 491701; AD 1 name resource 491701/kassandreia.
kasserine,antq_phoenician_punic,Cillium,PLE:324694;PLN:324694/cillium;R2,tier2,Pleiades explicitly associates place 324694 with this modern field; AD 1 name resource 324694/cillium.
kastamonu,antq_paphlagonian,Kastamōn,PLE:844974;PLN:844974/kastamon;R2,tier2,Reviewed modern-field identity for Pleiades place 844974; AD 1 name resource 844974/kastamon.
kom_ombo,antq_egyptian,Omboi,PLE:786079;PLN:786079/omboi;R2,tier2,Reviewed modern-field identity for Pleiades place 786079; AD 1 name resource 786079/omboi.
kortriik,antq_belgic,Cortoriacum,PLE:108911;PLN:108911/cortoriacum;R2,tier2,Reviewed modern-field identity for Pleiades place 108911; AD 1 name resource 108911/cortoriacum.
kutahya,antq_greek_koine,Kotiaeion,PLE:609444;PLN:609444/kotiaeion-1;R2,tier2,Reviewed modern-field identity for Pleiades place 609444; AD 1 name resource 609444/kotiaeion-1.
kyparissia,antq_greek_koine,Kyparissia,PLE:570397;PLN:570397/kyparissia;R2,tier2,Reviewed modern-field identity for Pleiades place 570397; AD 1 name resource 570397/kyparissia.
kythnos,antq_greek_koine,Kythnos,PLE:570402;PLN:570402/kythnos;R2,tier2,Reviewed modern-field identity for Pleiades place 570402; AD 1 name resource 570402/kythnos.
lanciano,antq_oscan_umbrian,Anxanum,PLE:413017;PLN:413017/anxanum;R2,tier2,Reviewed modern-field identity for Pleiades place 413017; AD 1 name resource 413017/anxanum.
langres,antq_lingonian,Andematunnum,PLE:177441;PLN:177441/andematunnum;R2,tier2,Reviewed modern-field identity for Pleiades place 177441; AD 1 name resource 177441/andematunnum.
lapseki,antq_greek_koine,Lampsakos,PLE:501570;PLN:501570/lampsakos;R2,tier2,Reviewed modern-field identity for Pleiades place 501570; AD 1 name resource 501570/lampsakos.
larende,antq_phrygian,Laranda,PLE:648693;PLN:648693/laranda;R2,tier2,Reviewed modern-field identity for Pleiades place 648693; AD 1 name resource 648693/laranda.
larino,antq_oscan_umbrian,Larinum,PLE:442629;PLN:442629/larinum;R2,tier2,Reviewed modern-field identity for Pleiades place 442629; AD 1 name resource 442629/larinum.
le_mans,antq_aulerci_cenomanian,Ouindinon,PLE:109236;PLN:109236/ouindinon;R2,tier2,Reviewed modern-field identity for Pleiades place 109236; AD 1 name resource 109236/ouindinon.
lectoure,antq_auscian,Lactora,PLE:246459;PLN:246459/lactora;R2,tier2,Reviewed modern-field identity for Pleiades place 246459; AD 1 name resource 246459/lactora.
leuktron,antq_greek_koine,Leuktron,PLE:570431;PLN:570431/leuktron;R2,tier2,Reviewed modern-field identity for Pleiades place 570431; AD 1 name resource 570431/leuktron.
lisieux,antq_veliocassian,Noviomagus Lexoviorum,PLE:69540;PLN:69540/noviomagus-lexoviorum;R2,tier2,Reviewed modern-field identity for Pleiades place 69540; AD 1 name resource 69540/noviomagus-lexoviorum.
lodeve,antq_elisycean,Luteva,PLE:148121;PLN:148121/luteva;R2,tier2,Reviewed modern-field identity for Pleiades place 148121; AD 1 name resource 148121/luteva.
lucera,antq_oscan_umbrian,Luceria,PLE:442640;PLN:442640/luceria;R2,tier2,Reviewed modern-field identity for Pleiades place 442640; AD 1 name resource 442640/luceria.
macomer,antq_nuragic,Makopsisa,PLE:471967;PLN:471967/makopsisa;R2,tier2,Reviewed modern-field identity for Pleiades place 471967; AD 1 name resource 471967/makopsisa.
macon,antq_aeduan,Matisco,PLE:177577;PLN:177577/matisco;R2,tier2,Reviewed modern-field identity for Pleiades place 177577; AD 1 name resource 177577/matisco.
malaga,antq_bastulian,Malaca,PLE:265963;PLN:265963/malaca;R2,tier2,Reviewed modern-field identity for Pleiades place 265963; AD 1 name resource 265963/malaca.
mantova,antq_cisalpine_gallic,Mantua,PLE:383704;PLN:383704/mantua;R2,tier2,Reviewed modern-field identity for Pleiades place 383704; AD 1 name resource 383704/mantua.
martigny,antq_helvetian,Octodurus,PLE:167859;PLN:167859/octodurus;R2,tier2,Reviewed modern-field identity for Pleiades place 167859; AD 1 name resource 167859/octodurus.
martos,antq_oretan,Tucci,PLE:266070;PLN:266070/tucci;R2,tier2,Reviewed modern-field identity for Pleiades place 266070; AD 1 name resource 266070/tucci.
mazara,antq_greek_koine,Mazara,PLE:462305;PLN:462305/name.2015-12-08.9399720331;R2,tier2,Reviewed modern-field identity for Pleiades place 462305; AD 1 name resource 462305/name.2015-12-08.9399720331.
meaux,antq_belgic,Iatinon,PLE:109059;PLN:109059/iatinon;R2,tier2,Reviewed modern-field identity for Pleiades place 109059; AD 1 name resource 109059/iatinon.
megara,antq_greek_koine,Megara,PLE:570468;PLN:570468/megara;R2,tier2,Reviewed modern-field identity for Pleiades place 570468; AD 1 name resource 570468/megara.
mertola,antq_celtician,Myrtilis,PLE:256234;PLN:256234/myrtilis;R2,tier2,Pleiades explicitly associates place 256234 with this modern field; AD 1 name resource 256234/myrtilis.
mistretta,antq_greek_koine,Amestratus,PLE:462093;PLN:462093/amestratus;R2,tier2,Reviewed modern-field identity for Pleiades place 462093; AD 1 name resource 462093/amestratus.
modica,antq_greek_koine,Mutyce,PLE:462378;PLN:462378/mutyce;R2,tier2,Reviewed modern-field identity for Pleiades place 462378; AD 1 name resource 462378/mutyce.
modon,antq_greek_koine,Mothone,PLE:570483;PLN:570483/mothone;R2,tier2,Reviewed modern-field identity for Pleiades place 570483; AD 1 name resource 570483/mothone.
moron,antq_turdetanian,Lucurgentum,PLE:256275;PLN:256275/lucurgentum;R2,tier2,Reviewed modern-field identity for Pleiades place 256275; AD 1 name resource 256275/lucurgentum.
mouzon,antq_belgic,Mosomagus,PLE:109183;PLN:109183/mosomagus;R2,tier2,Reviewed modern-field identity for Pleiades place 109183; AD 1 name resource 109183/mosomagus.
mudurnu,antq_bithynian,Modra,PLE:845022;PLN:845022/modra;R2,tier2,Reviewed modern-field identity for Pleiades place 845022; AD 1 name resource 845022/modra.
mykonos,antq_greek_koine,Mykonos,PLE:599807;PLN:599807/mykonos;R2,tier2,Reviewed modern-field identity for Pleiades place 599807; AD 1 name resource 599807/mykonos.
nabeul,antq_phoenician_punic,Neapolis,PLE:315093;PLN:315093/neapolis;R2,tier2,Pleiades explicitly associates place 315093 with this modern field; AD 1 name resource 315093/neapolis.
narni,antq_oscan_umbrian,Narnia,PLE:413225;PLN:413225/narnia;R2,tier2,Reviewed modern-field identity for Pleiades place 413225; AD 1 name resource 413225/narnia.
naxos,antq_greek_koine,Naxos,PLE:599821;PLN:599821/naxos;R2,tier2,Reviewed modern-field identity for Pleiades place 599821; AD 1 name resource 599821/naxos.
niebla,antq_turdulian,Ilipoula,PLE:256221;PLN:256221/ilipoula;R2,tier2,Reviewed modern-field identity for Pleiades place 256221; AD 1 name resource 256221/ilipoula.
nola,antq_latin,Nola,PLE:432981;PLN:432981/nola;R2,tier2,Reviewed modern-field identity for Pleiades place 432981; AD 1 name resource 432981/nola.
noto,antq_greek_koine,Neaition,PLE:462388;PLN:462388/neaition;R2,tier2,Reviewed modern-field identity for Pleiades place 462388; AD 1 name resource 462388/neaition.
novara,antq_cisalpine_gallic,Novaria,PLE:383717;PLN:383717/novaria;R2,tier2,Reviewed modern-field identity for Pleiades place 383717; AD 1 name resource 383717/novaria.
nyon,antq_helvetian,Iulia Equestris,PLE:177496;PLN:177496/col-iulia-equestris;R2,tier2,Reviewed modern-field identity for Pleiades place 177496; AD 1 name resource 177496/col-iulia-equestris.
ohrid,antq_pelagonian,Lychnidós,PLE:481900;PLN:481900/name.2013-01-09.4256986645;R2,tier2,Reviewed modern-field identity for Pleiades place 481900; AD 1 name resource 481900/name.2013-01-09.4256986645.
orange,antq_cavaric,Arausio,PLE:148054;PLN:148054/col-arausio;R2,tier2,Reviewed modern-field identity for Pleiades place 148054; AD 1 name resource 148054/col-arausio.
oreos,antq_greek_koine,Oreos,PLE:540988;PLN:540988/oreos;R2,tier2,Reviewed modern-field identity for Pleiades place 540988; AD 1 name resource 540988/oreos.
orvietano,antq_latin,Volsinii Veteres,PLE:413373;PLN:413373/volsinii-veteres;R2,tier2,Reviewed modern-field identity for Pleiades place 413373; AD 1 name resource 413373/volsinii-veteres.
osuna,antq_turdetanian,Urso,PLE:256503;PLN:256503/urso;R2,tier2,Reviewed modern-field identity for Pleiades place 256503; AD 1 name resource 256503/urso.
padova,antq_venetic,Patavium,PLE:393473;PLN:393473/patavium;R2,tier2,Reviewed modern-field identity for Pleiades place 393473; AD 1 name resource 393473/patavium.
palencia,antq_vaccaean,Palantia,PLE:236591;PLN:236591/palantia;R2,tier2,Reviewed modern-field identity for Pleiades place 236591; AD 1 name resource 236591/palantia.
palermo,antq_greek_koine,Panhormus,PLE:462410;PLN:462410/panhormus;R2,tier2,Reviewed modern-field identity for Pleiades place 462410; AD 1 name resource 462410/panhormus.
palestrina,antq_latin,Praeneste,PLE:423013;PLN:423013/praeneste;R2,tier2,Reviewed modern-field identity for Pleiades place 423013; AD 1 name resource 423013/praeneste.
palmi,antq_oscan_umbrian,Taurianum,PLE:452466;PLN:452466/taurianum;R2,tier2,Reviewed modern-field identity for Pleiades place 452466; AD 1 name resource 452466/taurianum.
pola,antq_illyrian,Pola,PLE:197448;PLN:197448/name.2013-01-11.5638691909;R2,tier2,Reviewed modern-field identity for Pleiades place 197448; AD 1 name resource 197448/name.2013-01-11.5638691909.
qus,antq_egyptian,Apollonopolis Parva,PLE:785975;PLN:785975/apollonopolis-parva;R2,tier2,Reviewed modern-field identity for Pleiades place 785975; AD 1 name resource 785975/apollonopolis-parva.
rashid,antq_egyptian,Bolbitine,PLE:727085;PLN:727085/bolbitine;R2,tier2,Reviewed modern-field identity for Pleiades place 727085; AD 1 name resource 727085/bolbitine.
