# Review queue only: no row is a game-visible name until it is source-reviewed and added to dynamic_location_name_overrides.csv.
location,vanilla_name,pleiades_title,pleiades_id,feature_types,min_date,max_date,latitude,longitude,offset_px,source
gulf_tunis,Gulf of Tunis,Carpi(s),314920,settlement,-330,640,36.76524,10.55312,2.70,PLE:314920
guntur,Guntur,Kantakossyla,50038,settlement,-30,300,16.15099,80.26033,1.44,PLE:50038
guzelhisar,Güzelhisar,Amyzon/*Mydon,599489,settlement,-550,640,37.60879,27.71099,3.15,PLE:599489
haguenau,Haguenau,Brocomagus,108828,settlement,-30,2099,48.73002,7.71118,1.77,PLE:108828
hama,Hama,Amathe/Epiphaneia,668182,"settlement, settlement-modern",-2000,2100,35.13297,36.74880,2.71,PLE:668182
haskovo,Haskovo,Kărdžali,501459,settlement,-30,640,41.63057,25.37572,2.83,PLE:501459
hatunsaray,Hatunsaray,*Takourtha,648787,settlement,-30,300,37.26252,32.41976,1.76,PLE:648787
hazro,Hazro,Nabaris/Navarra,874616,settlement,-30,640,37.96140,40.44264,1.11,PLE:874616
hertogenbosch,Den Bosch,Halder,109028,settlement,-30,2100,51.64968,5.32328,1.84,PLE:109028
huntingdon,Huntingdon,Sawtry,427880377,settlement,-30,640,52.44816,-0.27619,0.03,PLE:427880377
huwwarin,Huwwarin,Otthara,668327,settlement,-30,640,34.42293,37.17307,1.33,PLE:668327
idlib,Idlib,Seleukobelos?,668364,settlement,-30,640,35.83691,36.32801,0.60,PLE:668364
ikjan,Ikjan,Untitled,208943613,"settlement, unlabeled",-30,640,36.04933,5.73169,1.65,PLE:208943613
ikjan,Ikjan,Untitled,208943605,"settlement, unlabeled",-30,640,36.06450,5.64471,3.06,PLE:208943605
ikjan,Ikjan,Untitled,208943608,"settlement, unlabeled",-30,640,36.08700,5.69823,3.09,PLE:208943608
irbid,Irbid,Bethezoba,678064,settlement,-30,300,32.43518,35.77377,1.46,PLE:678064
isernia,Isernia,Monte Cavallerizzo,432948,"mountain, settlement",-550,2099,41.80205,14.27425,1.68,PLE:432948
iskenderun,İskenderun,Issus/Nikopolis,658490,"settlement, archaeological-site",-550,2099,36.85367,36.15704,2.54,PLE:658490
isparta,Isparta,*Keraia,638913,settlement,-330,300,37.51237,30.60162,2.98,PLE:638913
jableh,Jableh,Paltos,668332,settlement,-330,640,35.27267,35.92741,3.20,PLE:668332
jaen,Jaén,Ebura,265882,settlement,-30,300,37.46384,-3.92496,2.60,PLE:265882
jaffa,Jaffa,Kapharsaba,678223,"settlement, settlement-modern",-30,2100,32.18119,34.93542,0.29,PLE:678223
jama_TUN,Al Jamah,Chusira,324693,settlement,-330,640,35.81447,9.36482,0.75,PLE:324693
jama_TUN,Al Jamah,Henchir-Djemal,324719,settlement,-30,300,35.84786,9.35359,2.39,PLE:324719
jama_TUN,Al Jamah,Henchir-el-Hammam,324728,settlement,-30,300,35.82643,9.30002,2.59,PLE:324728
jerez_de_los_caballeros,Jerez de los Caballeros,Encinasola,256157,settlement,-750,640,38.13519,-6.87218,0.72,PLE:256157
jijel,Jijel,Cuicul,305068,"settlement, archaeological-site",-30,2100,36.32101,5.73539,0.19,PLE:305068
jijel,Jijel,Untitled,208943602,"settlement, unlabeled",-30,640,36.28851,5.69160,2.92,PLE:208943602
jijel,Jijel,Untitled,208943591,"settlement, unlabeled",-30,640,36.28273,5.77975,2.96,PLE:208943591
jijel,Jijel,Untitled,208943601,"settlement, unlabeled",-30,640,36.31965,5.81080,3.23,PLE:208943601
judenburg,Judenburg,Noreia,197411,settlement,-30,640,47.01381,14.52673,0.71,PLE:197411
jumilla,Jumilla,Segisa?,266035,settlement,-330,300,38.23910,-1.41873,2.93,PLE:266035
kafr_saqr,Kafr Saqr,Diokleous Kome,727110,settlement,-30,300,30.68756,31.13739,3.02,PLE:727110
kalavryta,Kalávryta,Thelpousa,570722,settlement,-750,300,37.71049,21.87884,2.43,PLE:570722
karahisar_i_teke,Karahisar-ı Teke,Perge,639048,"settlement, archaeological-site",-750,640,36.96447,30.85326,2.52,PLE:639048
karytaina,Karytaina,Andania,570079,settlement,-750,300,37.26217,21.93810,2.15,PLE:570079
kas,Kaş,Megiste (settlement),638988,settlement,-330,300,36.14803,29.57710,0.86,PLE:638988
kasserine,Kasserine,Henchir-el-Gousset,324722,settlement,-30,640,34.97877,8.59972,3.25,PLE:324722
kelibia,Kelibia,Curubis,314943,settlement,-330,640,36.57565,10.86246,1.89,PLE:314943
kelibia,Kelibia,Untitled,208943338,"settlement, unlabeled",-30,300,36.58633,10.87229,2.43,PLE:208943338
kerma,Kerma,Acina,805589,settlement,-330,300,19.93213,30.28707,1.61,PLE:805589
kesra,Kesra,Djilma,324700,settlement,-30,640,35.27000,9.42044,2.81,PLE:324700
kettering,Kettering,Great Casterton,79487,settlement,-30,640,52.67042,-0.52268,2.74,PLE:79487
kezlev,Kezlev,Kerkinitis?,226658,settlement,-750,640,45.20367,33.36139,3.20,PLE:226658
khanaqin,Khanaqin,Tell Abqa,894104,settlement,-30,640,34.38162,44.93397,3.21,PLE:894104
kljuc,Ključ,Leusaba,197350,"settlement, station",-30,640,44.41699,17.08395,2.82,PLE:197350
konjikala,Konjikala,Anau tepe/Gathar?,952061,settlement,-30,640,38.18662,58.47731,1.94,PLE:952061
koroglu_mountains_2,Köroğlu Mountains,Yukarıkaraören,845095,settlement,-30,640,40.42804,32.70651,2.84,PLE:845095
kozluk,Hazo,Tigranocerta/Cholimma/Chlomaron,874774,"settlement, archaeological-site",-330,640,37.97704,41.38205,1.28,PLE:874774
kranj,Kranj,Emona,197258,settlement,-330,2100,46.05143,14.50596,2.76,PLE:197258
kratovo,Kratovo,Mečkuevi,491659,settlement,-30,640,41.93432,22.04985,2.25,PLE:491659
krk,Krk,Curicum,197235,settlement,-330,640,45.02616,14.57337,2.79,PLE:197235
krupanj,Krupanj,Domavium,207088,"settlement, mine",-30,640,44.14398,19.36267,2.82,PLE:207088
ksar_ibn_senane,Ksar Ibn Senane,Ain el Bridj,285401,settlement,-30,640,35.16668,-1.14998,2.73,PLE:285401
kutaisi,Kutaisi,Partskhanakanevi,863865,settlement,-330,300,42.20859,42.54969,0.73,PLE:863865
kymi,Kymi,Oinoe (Marathon),580039,"fort-2, settlement, deme-attic",-550,300,38.16699,23.94437,1.21,PLE:580039
kymi,Kymi,Eitea (Antiochis),579916,"settlement, deme-attic",-550,2100,38.20311,23.96745,1.23,PLE:579916
kymi,Kymi,Kolonai,579983,"settlement, deme-attic",-550,300,38.19781,23.91818,2.02,PLE:579983
kymi,Kymi,Trikorynthos,580125,"settlement, deme-attic",-550,300,38.16471,23.99993,2.29,PLE:580125
kymi,Kymi,Marathon,580021,"settlement, deme-attic",-550,300,38.14655,23.97015,2.39,PLE:580021
kymi,Kymi,Semachidai?,580104,settlement,-550,300,38.15862,23.91033,2.66,PLE:580104
kyparissia,Kyparissía,Pylos/Koryphasion,570640,settlement,-750,640,36.95203,21.65989,2.69,PLE:570640
kyrenia,Kyrenia,Makaria,707570,settlement,-750,640,35.36220,33.65723,2.63,PLE:707570
kythnos,Kýthnos,Seriphos (settlement),590043,"settlement, settlement-modern",-750,2099,37.15570,24.50621,1.06,PLE:590043
la_mamora,La Mamora,Thamusida,275734,"fort-2, fortified-settlement, fort, settlement",-30,300,34.33496,-6.49035,1.38,PLE:275734
la_rochelle,La Rochelle,Le Chatelet,138291,settlement,-30,640,45.86370,-0.93823,3.10,PLE:138291
lagoon_of_comacchio,Lagoon of Comacchio,Spina,393498,"settlement, port, archaeological-site",-750,300,44.69344,12.09308,2.95,PLE:393498
lagoon_of_salses,Lagoon of Salses,Ill(ib)erris/Helena,246433,settlement,-550,2100,42.59922,2.97219,2.33,PLE:246433
lake_amik,Lake Amik,Antiochia/Theoupolis,658381,"urban, settlement, amphitheatre",-1750,2100,36.22255,36.18321,0.63,PLE:658381
lake_bracciano,Lake Bracciano,Sutrium,413328,settlement,-550,640,42.24279,12.22046,2.39,PLE:413328
lake_bracciano,Lake Bracciano,Vicus Matrini,413381,settlement,-30,640,42.26861,12.15144,3.03,PLE:413381
lake_burdur,Lake Burdur,Tymbrianassos,639158,settlement,-30,300,37.59898,30.04855,2.17,PLE:639158
lake_como,Lake Como,Licini Forum?,383696,settlement,-30,640,45.81223,9.22396,0.64,PLE:383696
lake_egirdir,Lake Eğirdir,Bindaios,638791,settlement,-30,640,37.86589,30.72130,1.63,PLE:638791
lake_fetzara,Lake Fetzara,Calama,305039,settlement,-330,640,36.46433,7.42768,2.04,PLE:305039
lake_garda,Lake Garda,Sirmio,383781,settlement,-30,2100,45.49249,10.60805,1.68,PLE:383781
lake_garda,Lake Garda,Ad Flexum/Sermione Mansio,383546,"station, settlement-modern",-30,2100,45.46885,10.60782,3.05,PLE:383546
lake_ichkeul,Lake Ichkeul,Henchir-Sidi-Abd-el-Basset,315023,settlement,-330,640,36.87500,9.64629,0.62,PLE:315023
lake_ichkeul,Lake Ichkeul,Ain-Guerchba,314860,settlement,-30,640,36.85281,9.68536,2.65,PLE:314860
lake_ichkeul,Lake Ichkeul,Cresima?,314941,settlement,-30,640,36.83722,9.63546,2.86,PLE:314941
lake_ichkeul,Lake Ichkeul,*Chiniava,314928,settlement,-330,640,36.89989,9.58330,2.99,PLE:314928
lake_ichkeul,Lake Ichkeul,*Vazari,315256,settlement,-330,640,36.87205,9.57919,3.12,PLE:315256
lake_ichkeul,Lake Ichkeul,Felicitan(i),314953,settlement,-30,300,36.83099,9.64862,3.20,PLE:314953
lake_idku,Lake Idku,Alexandria,727070,"settlement, port",-2010,2000,31.20144,29.90977,2.74,PLE:727070
lake_kopais,Lake Kopais,Thisbe,541146,"settlement, church",-750,640,38.26089,22.96779,1.52,PLE:541146
lake_kopais,Lake Kopais,Mali,540928,"settlement, acropolis, wall-2",-1000,2099,38.24822,22.89172,2.38,PLE:540928
lake_kopais,Lake Kopais,Kástron Khóstion,995667313,"sanctuary, settlement, temple-2",-3000,2099,38.25415,22.88301,2.84,PLE:995667313
lake_maggiore,Lake Maggiore,Sebuinus Vicus,383773,settlement,-30,640,45.77441,8.57130,2.51,PLE:383773
lake_prespa,Lake Prespa,Diabolis,481803,settlement,-30,640,40.71989,20.88809,2.91,PLE:481803
lake_qarun,Lake Qarun,Medinet Quta,736962,settlement,-330,300,29.45396,30.36088,3.18,PLE:736962
lake_trichonida,Lake Trichonida,Halikyrna,540802,settlement,-750,1999,38.38748,21.50250,2.63,PLE:540802
lake_trichonida,Lake Trichonida,Calydon,540699,settlement,-750,640,38.37293,21.53318,3.03,PLE:540699
lake_yalpuh,Lake Yalpuh,Nicoliţel,216894,settlement,-30,640,45.18348,28.48344,2.73,PLE:216894
lake_yalpuh,Lake Yalpuh,Noviodunum,216900,settlement,-30,640,45.27077,28.49196,3.12,PLE:216900
landsberg,Landsberg,Abodiacum,187242,settlement,-30,2100,47.90989,10.90975,1.35,PLE:187242
laon,Laon,Laon,109101,settlement,-30,640,49.56409,3.62450,1.08,PLE:109101
larino,Larino,Uscosium?,433177,settlement,-330,300,41.96435,14.94722,2.65,PLE:433177
larnaca,Larnaca,Kalavasos Ayios Dhimitrios,754796063,settlement,-2000,2100,34.75069,33.30307,2.18,PLE:754796063
larnaca,Larnaca,Kopetra,707544,settlement,-30,1999,34.74879,33.31215,2.43,PLE:707544
leiria,Leiria,Collippo,256120,settlement,-330,300,39.67367,-8.79862,1.79,PLE:256120
leon,León,B(a)edunia,236364,settlement,-330,300,42.30337,-5.73747,3.00,PLE:236364
leukas,Leukás,Panormos (Cephallania),531041,"settlement, settlement-modern",-330,2099,38.46093,20.57524,2.14,PLE:531041
leukas,Leukás,Ithaca (settlement),530905,settlement,-750,2099,38.44193,20.63840,2.66,PLE:530905
lichtenfels,Lichtenfels,Menosgada,123101,"unlocated, fortified-settlement",-1000,640,50.09276,11.02357,3.02,PLE:123101
lichtenfels,Lichtenfels,Staffelberg,118971,settlement,-330,1999,50.09286,11.02629,3.11,PLE:118971
liege,Liège,Momalle,109171,settlement,-30,300,50.68407,5.37260,1.93,PLE:109171
ligny,Ligny-en-Barrois,Boviolles,58239709,"fortified-settlement, earthwork",-330,640,48.63918,5.40229,3.16,PLE:58239709
livorno,Livorno,S. Gaetano di Vada,403270,settlement,-30,1999,43.35291,10.45843,2.89,PLE:403270
livorno,Livorno,Vada Volaterrana,403288,"settlement, port",-330,1999,43.35944,10.44801,3.16,PLE:403288
loches,Loches,Unnamed villa in Martizay,140474,"villa, settlement-modern",-330,2100,46.80704,1.04304,3.13,PLE:140474
loidoriki,Loidoríki,Oineon,540972,settlement,-550,640,38.40029,21.99357,1.15,PLE:540972
loidoriki,Loidoríki,Erythrai?,540772,settlement,-550,300,38.40645,21.94206,1.56,PLE:540772
loidoriki,Loidoríki,Eupalion,540782,"settlement, acropolis",-550,2099,38.41558,21.91881,2.76,PLE:540782
lucena,Lucena,Ventipo,256511,settlement,-330,300,37.29389,-4.75955,2.74,PLE:256511
lusta,Lusta,Lagyra,226674,settlement,-330,300,44.50073,34.18432,2.16,PLE:226674
maan,Ma'an,Khirbet el-Mureighah,746762,settlement,-750,300,30.11044,35.55390,2.31,PLE:746762
maan,Ma'an,Khirbet Qurein,746769,settlement,-750,300,30.09305,35.48500,2.51,PLE:746769
maan,Ma'an,Abu el-Lisan,746697,settlement,-330,640,30.04173,35.49944,2.66,PLE:746697
maan,Ma'an,Khirbet Umm Ras,746772,settlement,-330,300,30.10183,35.47698,3.07,PLE:746772
macerata,Macerata,Aesis,413002,settlement,-330,2100,43.52242,13.24338,3.14,PLE:413002
madaba,Madaba,Umm el-Walid,697760,settlement,-30,640,31.64148,35.89246,1.46,PLE:697760
mahdia,Mahdia,Untitled,208943008,"settlement, unlabeled",-30,300,35.21055,10.86251,2.82,PLE:208943008
mahdia,Mahdia,Untitled,327689,"settlement, unlabeled",-30,300,35.20743,10.82082,3.02,PLE:327689
majdal,Al Majdal,Tel Erani,83213250,settlement,-10000,2100,31.61123,34.78534,1.63,PLE:83213250
makna,Makna,Makna,746777,settlement,-330,640,28.39886,34.74518,2.69,PLE:746777
malatya,Malatya,Leugaisa/‘Lagalasso’,629027,settlement,-30,640,38.18330,38.05188,1.67,PLE:629027
manacor,Manacor,Guium?,265906,settlement,-30,300,39.33908,3.05094,1.50,PLE:265906
manavgat,Manavgat,Seleukeia,639099,settlement,-330,640,36.85207,31.35470,2.55,PLE:639099
manfredonia,Manfredonia,Sipous/Sipontum,442797,"settlement, archaeological-site",-330,2100,41.60939,15.89063,2.54,PLE:442797
manfredonia,Manfredonia,Mascherone,442647,settlement,-30,300,41.59690,15.87595,2.86,PLE:442647
mansouria,Mansouria,Untitled,208943648,"settlement, unlabeled",-30,640,36.18249,5.24994,1.27,PLE:208943648
mansouria,Mansouria,Untitled,208943659,"settlement, unlabeled",-30,640,36.16032,5.23460,2.71,PLE:208943659
mansouria,Mansouria,Untitled,208943647,"settlement, unlabeled",-30,640,36.16706,5.32956,3.11,PLE:208943647
mapa,Mapa,Su-Psekh,825392,settlement,-330,300,44.88216,37.34762,0.36,PLE:825392
mapa,Mapa,Alekseyevskoye,825222,settlement,-550,300,44.90394,37.34075,1.18,PLE:825222
mapa,Mapa,Gorgippia/Sindikos Limen,825265,"settlement, port",-750,640,44.89409,37.31003,1.95,PLE:825265
mapa,Mapa,Rassvet,825364,settlement,-550,300,44.89328,37.40409,2.40,PLE:825364
maragheh,Marāgheh,Bonab Qal'eh,884128,settlement,-30,300,37.33780,46.05274,1.38,PLE:884128
mardan,Mardan,Bandobene,59731,settlement,-330,300,34.01587,72.34927,3.02,PLE:59731
marmaris,Marmaris,Syme,599950,settlement,-750,300,36.61839,27.84342,2.35,PLE:599950
mateur,Mateur,Sidi-Saïd,314951,settlement,-30,640,36.65793,9.52439,0.93,PLE:314951
mateur,Mateur,Tuccabor,315231,settlement,-330,640,36.70526,9.52250,1.90,PLE:315231
mateur,Mateur,*Sua,315176,settlement,-330,640,36.70807,9.54342,2.11,PLE:315176
mateur,Mateur,Abitina(e),314842,settlement,-330,640,36.62787,9.54908,2.83,PLE:314842
mecca,Mecca,Macoraba,29652,settlement,-1200,2000,21.42680,39.81542,2.08,PLE:29652
medea,Médéa,Untitled,208943399,"settlement, feature",-30,640,35.79246,2.65766,1.57,PLE:208943399
medea,Médéa,Untitled,208943387,"settlement, feature",-30,640,35.77613,2.69026,1.84,PLE:208943387
medina_sidonia,Medina Sidonia,Baesippo,256007,settlement,-30,640,36.19255,-5.91903,2.78,PLE:256007
medjez_el_bab,Medjez El Bab,Tapphugabe(n)sis,315185,settlement,-30,300,36.28724,9.52514,2.34,PLE:315185
medjez_el_bab,Medjez El Bab,Henchir-Messaouer,315010,settlement,-30,300,36.30062,9.50751,2.67,PLE:315010
megri,Meğri,Pinara,639058,"settlement, theatre",-550,640,36.49381,29.25204,2.66,PLE:639058
melfi,Melfi,Ripacandida,442744,"settlement, settlement-modern",-750,2100,40.91237,15.72521,1.95,PLE:442744
mengen,Mengen,Gökçesu,844933,settlement,-30,300,40.90652,31.90586,2.65,PLE:844933
merv,Merv,"Gyaur-Kala, Merv",332324145,"city-wall, settlement",-330,640,37.66178,62.17977,0.15,PLE:332324145
merv,Merv,Kyrk tepe,961931,settlement,-330,640,37.65667,62.18537,0.34,PLE:961931
merv,Merv,Alexandria/Antiochia/Merv,961873,"fort-2, urban, settlement",-550,640,37.66639,62.19212,0.49,PLE:961873
meskiana,Meskiana,Untitled,208942562,"settlement, feature",-30,640,35.36071,7.71571,0.23,PLE:208942562
milas,Milas,Karyanda,599693,settlement,-550,300,37.16185,27.52959,3.00,PLE:599693
minbya,Minbya,Sada,50243,settlement,-30,300,20.01393,93.33042,2.33,PLE:50243
mistretta,Mistretta,Imachara?,462259,settlement,-330,1999,37.74862,14.39811,3.03,PLE:462259
mistretta,Mistretta,Nicosia,462392,settlement,-330,300,37.74861,14.39813,3.03,PLE:462392
mondonedo,Mondoñedo,Viladonga (Castro de),236719,settlement,-330,640,43.16036,-7.38878,2.84,PLE:236719
monesterio,Monesterio,Los Castillejos de la Sierra,256081,settlement,-750,640,37.94562,-6.35920,1.76,PLE:256081
monforte_de_lemos,Monforte de Lemos,Aurium/Aurenses/Auriensis,236357,settlement,-30,640,42.34001,-7.86460,2.23,PLE:236357
montalcino,Montalcino,Poggio Civitate (Murlo),413216,"settlement, architecturalcomplex",-750,2100,43.16227,11.39533,1.40,PLE:413216
montefeltro,Montefeltro,Monteferetra,413210,settlement,-30,640,43.89679,12.34612,2.78,PLE:413210
montepeloso,Montepeloso,S. Mauro Forte,442778,settlement,-750,300,40.48655,16.25254,0.54,PLE:442778
montmorency,Montmorency,Le Thillay,109376,settlement,-30,300,49.00498,2.47216,2.23,PLE:109376
monza,Monza,Modicia,383711,settlement,-30,640,45.58391,9.27393,2.93,PLE:383711
morhange,Morhange,Marsal,109144,settlement,-30,640,48.78804,6.60924,0.71,PLE:109144
mount_etna,mount_etna,Hybla Gereatis,462251,settlement,-550,2100,37.56734,14.90091,1.70,PLE:462251
mount_olympos,mount_olympos,Olooson,540981,settlement,-750,1999,39.89278,22.21571,2.19,PLE:540981
mubarakabad,Mubarakabad,Qal'eh Kharabeh,942304,settlement,-330,640,37.08726,54.41742,2.62,PLE:942304
mullheim,Müllheim,Castrum Rauracense,81716458,"fort-2, defensive-wall, settlement-modern",-30,2100,47.53998,7.72302,1.65,PLE:81716458
mullheim,Müllheim,Col. Augusta Raurica,177494,settlement,-330,2100,47.53324,7.72212,1.70,PLE:177494
mystras,Mystrás,La(s),570417,settlement,-750,300,36.72554,22.49825,1.40,PLE:570417
mystras,Mystrás,Gyth(e)ion,570268,"settlement, port, theatre, bath",-750,300,36.76366,22.56234,2.32,PLE:570268
mystras,Mystrás,Arainon,570099,"harbor, ruin, settlement, settlement-modern",-750,2099,36.69619,22.52294,2.48,PLE:570099
mystras,Mystrás,Aigiai,570044,"settlement, archaeological-site, settlement-modern",-750,2099,36.78751,22.51595,3.07,PLE:570044
nabeul,Nabeul,Pupput,315121,settlement,-330,640,36.39300,10.56222,2.51,PLE:315121
nablus,Nablus,Khirbet et Tira,678244,settlement,-330,300,32.15852,35.25505,2.70,PLE:678244
nablus,Nablus,Akraba,687820,settlement,-330,640,32.12722,35.34285,2.74,PLE:687820
nablus,Nablus,Tananir,247635336,settlement,-10000,850,32.20992,35.28101,2.94,PLE:247635336
nablus,Nablus,Sychem,678403,"settlement, archaeological-site, findspot",-750,2100,32.21353,35.28211,3.11,PLE:678403
nafpaktos,Náfpaktos,Patra(e),570567,settlement,-750,300,38.24327,21.73852,2.16,PLE:570567
namur,Namur,Namur,109188,settlement,-330,2100,50.46150,4.86041,2.59,PLE:109188
nantwich,Nantwich,Salinae,79667,"fort-2, settlement",-30,640,53.19889,-2.44733,0.86,PLE:79667
narni,Narni,Carsulae,413065,settlement,-330,640,42.63980,12.55681,2.83,PLE:413065
nazilli,Nazilli,Bargasa,599548,settlement,-330,300,37.61720,28.41154,3.15,PLE:599548
nice,Nice,Cemenelum,157834,settlement,-330,2100,43.71947,7.27583,0.94,PLE:157834
nice,Nice,Navelis,157891,settlement,-30,300,43.72503,7.28351,1.03,PLE:157891
nice,Nice,Nicaea,157894,settlement,-750,1599,43.70344,7.26623,1.18,PLE:157894
nicosia_cyp,Nicosia,Tamassos,707628,settlement,-750,1453,35.02963,33.24443,2.61,PLE:707628
niksar,Niksar,Syderos,857339,settlement,-30,640,40.41449,36.97566,2.85,PLE:857339
nilgiri,nilgiri,Bishopsdown,49921,settlement,-30,300,11.30991,76.69863,2.23,PLE:49921
nola,Nola,Vicus *Novaniensis/Ad Novas,433195,settlement,-30,640,41.02849,14.46597,0.61,PLE:433195
nontron,Nontron,Vesunna,138650,settlement,-30,2100,45.18404,0.72170,2.87,PLE:138650
nur_mountains_2,Nur Mountains,Eirenopolis/Neronias,658458,settlement,-30,640,37.25137,36.46697,1.07,PLE:658458
offenburg,Offenburg,Dinglingen,108926,settlement,-30,300,48.34000,7.83463,2.04,PLE:108926
olite,Olite,Ilurcis/Grac(ch)urris,246435,settlement,-550,640,42.17859,-1.74933,1.47,PLE:246435
olvera,Olvera,Cilpe/*Lacilbula?,256107,settlement,-330,300,36.74937,-5.34250,2.17,PLE:256107
oreos,Oreós,Kynos,540896,settlement,-750,640,38.71837,23.07017,0.37,PLE:540896
ornans,Ornans,Ariorica,177453,settlement,-30,640,46.90207,6.35911,2.38,PLE:177453
orosei,Orosei,Serra Orrios,574404728,"settlement, monument",-2000,2100,40.33379,9.53781,1.73,PLE:574404728
orte,Orte,Horta,413172,"settlement, archaeological-site",-750,2100,42.46033,12.38642,2.76,PLE:413172
osnavieh,Oshnavīyeh,Hasanabad tepe,874501,settlement,-550,1999,36.98880,45.10372,0.33,PLE:874501
osuna,Osuna,Irni,256230,settlement,-30,300,37.05002,-5.10891,2.35,PLE:256230
otztal_alps1,otztal_alps1,Tirol,187590,settlement,-30,640,46.69035,11.15472,2.98,PLE:187590
oudenaarde,Oudenaarde,Kruishoutem,109093,settlement,-30,2100,50.90453,3.52802,1.34,PLE:109093
ourense,Ourense,Rubiás,236631,settlement,-330,300,42.02036,-7.98749,1.61,PLE:236631
palma_del_rio,Palma del Río,Celti?/Leptis?,256089,settlement,-330,640,37.70729,-5.34643,2.32,PLE:256089
palma_del_rio,Palma del Río,Segida,256440,settlement,-30,300,37.70167,-5.28380,2.49,PLE:256440
paphos,Paphos,Alyki,707461,settlement,-30,640,34.79109,32.39685,2.13,PLE:707461
paris,Paris,Lutetia,109126,settlement,-330,2100,48.85441,2.34617,0.30,PLE:109126
peloponnesian_mountains1,peloponnesian_mountains1,Methydrion,570484,"ruin, settlement, archaeological-site",-750,2099,37.63590,22.17510,0.94,PLE:570484
peloponnesian_mountains1,peloponnesian_mountains1,Helisson,570282,settlement,-750,1999,37.61288,22.21775,2.58,PLE:570282
peloponnesian_mountains2,peloponnesian_mountains2,Leuktron,570431,"settlement, archaeological-site",-750,300,36.84275,22.26523,3.11,PLE:570431
perreux,Perreux,Forum Segusiavorum,167771,settlement,-330,2100,45.74377,4.22201,2.06,PLE:167771
pertek,Pertek,Anzita,874327,settlement,-30,640,38.84051,39.33851,2.94,PLE:874327
pescia,Pescia,Pescia,403251,settlement,-30,1999,43.89817,10.69144,2.15,PLE:403251
petalion_gulf,Petalion Gulf,Hagnous,579938,"settlement, deme-attic",-550,300,37.87826,23.93785,0.95,PLE:579938
petalion_gulf,Petalion Gulf,Prospalta,580092,settlement,-550,300,37.84845,23.91235,1.64,PLE:580092
petalion_gulf,Petalion Gulf,Myrrinous,580030,"settlement, deme-attic",-550,2100,37.87281,23.96789,2.32,PLE:580030
petalion_gulf,Petalion Gulf,Angele,579867,"settlement, deme-attic",-550,300,37.89866,23.96306,2.52,PLE:579867
petalion_gulf,Petalion Gulf,Lamptrai Kathyperthen,580008,"settlement, deme-attic",-550,300,37.87792,23.85632,2.82,PLE:580008
petrovaradin,Petrovaradin,Skela,207449,settlement,-30,640,44.71334,20.05670,1.58,PLE:207449
peyre,Peyre,Ron-de-Gleiso,138542,settlement,-330,2100,44.42748,3.21543,2.77,PLE:138542
piazza,Piazza,Monte Lavanca Nera,462351,"settlement, mountain",-750,2100,37.23643,14.26348,2.21,PLE:462351
pieve,Pieve,Pagus Laebactium?,187503,settlement,-30,640,46.28596,12.30816,2.75,PLE:187503
pina_de_ebro,Pina de Ebro,Caraza de Valldevallerías,246293,settlement,-330,300,41.13773,-0.29531,2.97,PLE:246293
pinar,Píñar,Iliberri,265921,settlement,-330,2100,37.17648,-3.59793,2.76,PLE:265921
pinar,Píñar,Roman villa at Híjar en Las Gabias,167120129,"villa, settlement-modern",-30,2099,37.15033,-3.67700,2.88,PLE:167120129
pindus_mountains10,pindus_mountains10,Sarantaporo ancient settlement,99004197,"settlement, archaeological-site",-550,2099,40.06541,22.07099,0.84,PLE:99004197
pindus_mountains4,pindus_mountains4,Lyke,481902,settlement,-330,640,40.76517,21.09987,1.68,PLE:481902
pirloganda,Pirlerkondu,*Thouththourbia,648795,settlement,-30,300,36.93999,32.57972,0.24,PLE:648795
pirloganda,Pirlerkondu,*Olosada,648726,settlement,-30,300,36.89159,32.58942,3.23,PLE:648726
podgorica,Podgorica,Meteon,481914,settlement,-330,300,42.47253,19.36160,1.94,PLE:481914
podgorica,Podgorica,Doclea,481808,"settlement, archaeological-site",-30,640,42.46769,19.26583,2.81,PLE:481808
poggibonsi,Poggibonsi,Molino San Vincenzo,516051730,"settlement, villa",-550,640,43.69415,11.09495,2.90,PLE:516051730
polygyros,Polýgyros,Aphytis,491525,settlement,-750,300,40.09937,23.43661,3.19,PLE:491525
pontikokastro,Pontikokastro,Samikon/Samia,570653,"city-wall, settlement",-550,300,37.52589,21.59622,2.06,PLE:570653
prague,Prague,Praha,118913,"settlement, settlement-modern",-30,2099,50.08747,14.42125,1.04,PLE:118913
preveza,Préveza,Nicopolis,531013,settlement,-30,1999,39.01570,20.73600,1.24,PLE:531013
preveza,Préveza,Ormos Vathy 1,531022,settlement,-30,640,38.98076,20.76887,2.34,PLE:531022
prilep,Prilep,Bryanion,481773,settlement,-550,300,41.23702,21.21932,2.15,PLE:481773
privas,Privas,Alba Helviorum,167629,settlement,-330,2100,44.56096,4.60019,3.10,PLE:167629
prosek,Prosek,Majdan,491658,settlement,-30,640,41.15947,21.96398,1.10,PLE:491658
provins,Provins,Augers-en-Brie,108769,settlement,-30,2100,48.68031,3.35649,3.14,PLE:108769
puddokothai,Puddokothai,Bata,49907,settlement,-30,300,10.37826,78.82763,1.69,PLE:49907
qarasuvbazar,Qarasuvbazar,Razvilka,226737,settlement,-330,300,44.91755,34.14863,1.07,PLE:226737
