religion,semantic_group,native_group,profile,slots,influence,modifiers,enable_date,source,confidence,note
antq_punic,antq_classical_pagan_group,folk_european_group,mediterranean_civic,2,yes,tolerance_own=0.75;tolerance_heathen=1.00;monthly_religious_influence=0.08;maximum_religious_influence=300;monthly_legitimacy=0.03,1.1.1,P11;CAH-XI,contested,Punic residual communities
antq_celtic_religion,antq_european_folk_group,folk_european_group,european_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.50;global_pop_conversion_speed_modifier=-0.08;land_morale_modifier=0.01,1.1.1,P11;CAH-XI,secure,Druidic and Celtic cults
antq_germanic_religion,antq_european_folk_group,folk_european_group,european_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.50;global_pop_conversion_speed_modifier=-0.08;land_morale_modifier=0.01,1.1.1,P11;CAH-XI,secure,Germanic cults
antq_baltic_slavic,antq_european_folk_group,folk_european_group,european_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.50;global_pop_conversion_speed_modifier=-0.08;land_morale_modifier=0.01,1.1.1,P11;CAH-XI,contested,Baltic and Venedi cults
antq_finnic,antq_european_folk_group,folk_european_group,european_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.50;global_pop_conversion_speed_modifier=-0.08;land_morale_modifier=0.01,1.1.1,P11;CAH-XI,contested,Finnic and Uralic cults
antq_berber_religion,antq_african_folk_group,folk_african_group,african_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_life_expectancy=0.01,1.1.1,P11;CAH-XI,contested,Berber ritual traditions
antq_nile_cushitic,antq_african_folk_group,folk_african_group,african_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_life_expectancy=0.01,1.1.1,P11;CAH-XI,contested,Nilotic and Cushitic traditions
antq_west_african,antq_african_folk_group,folk_african_group,african_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_life_expectancy=0.01,1.1.1,P11;CAH-XI,contested,West African religious traditions
antq_bantu_religion,antq_african_folk_group,folk_african_group,african_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_life_expectancy=0.01,1.1.1,P11;CAH-XI,contested,Bantu religious traditions
antq_southern_african_hunter_herder_traditions,antq_african_folk_group,folk_african_group,african_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_life_expectancy=0.01,1.1.1,OUP-SOUTH-AFRICA;CAM-SA-2024;P11,contested,Plural material-context traditions adapter for southern hunter-herder frames; it does not assert one language theology people priesthood or boundary
antq_mesoamerican,antq_american_religion_group,tonal_group,american_state_ritual,2,yes,tolerance_own=0.75;tolerance_heathen=0.50;monthly_religious_influence=0.06;maximum_religious_influence=250;monthly_legitimacy=0.02;global_monthly_food_modifier=0.02,1.1.1,P11;CAH-XI,secure,Mesoamerican ritual traditions
antq_andean,antq_american_religion_group,folk_peruvian_group,american_state_ritual,2,yes,tolerance_own=0.75;tolerance_heathen=0.50;monthly_religious_influence=0.06;maximum_religious_influence=250;monthly_legitimacy=0.02;global_monthly_food_modifier=0.02,1.1.1,P11;CAH-XI,secure,Andean ritual traditions
antq_north_american,antq_american_religion_group,folk_north_american_group,american_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_hostile_attrition=0.03,1.1.1,P11;CAH-XI,contested,North American ritual traditions
antq_siberian,antq_steppe_religion_group,folk_asian_group,highland_forest_local,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_hostile_attrition=0.02,1.1.1,P11;CAH-XI,contested,Siberian ritual traditions
antq_austronesian_religion,antq_oceanic_religion_group,folk_polynesian_group,oceanic_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_monthly_prosperity=0.02,1.1.1,P11;CAH-XI,contested,Austronesian and Polynesian traditions
antq_australian_dreaming,antq_oceanic_religion_group,folk_australian_group,oceanic_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_monthly_prosperity=0.02,1.1.1,P11;CAH-XI,contested,Australian traditions
antq_caribbean,antq_american_religion_group,folk_caribbean_group,american_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_hostile_attrition=0.03,1.1.1,P11;CAH-XI,contested,Caribbean ritual traditions
antq_eastern_hill_traditions,antq_northeast_indian_religion_group,folk_asian_group,asian_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_monthly_prosperity=0.01,1.1.1,OUP-NEINDIA;P11,contested,Plural northeast Indian plateau valley and highland traditions represented without backdating later organized religions or one uniform cult
antq_eastern_iranian_traditions,antq_iranian_religion_group,zoroastrian_group,iranian_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.08;global_monthly_prosperity=0.01;cultural_tradition_modifier=0.02,1.1.1,HAN-WR;IRAN-SOG-KANGJU;UNESCO-CA-NOMADS;P11,contested,Plural Bactrian Sogdian Ferghana Kangju and Aria cult contexts represented without imposing one Arsacid orthodoxy or recovered common liturgy
antq_tarim_oasis_traditions,antq_iranian_religion_group,zoroastrian_group,iranian_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.08;global_monthly_prosperity=0.01;cultural_tradition_modifier=0.02,1.1.1,HAN-WR;HHS-WR;IRAN-CT;P11,contested,Plural Tarim and north-Tianshan local cults represented without backdating widespread Mahayana institutions later documented languages or one common creed
antq_western_plateau_traditions,antq_steppe_religion_group,folk_asian_group,highland_forest_local,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_hostile_attrition=0.02,1.1.1,CAM-TIB-ARCH;OXF-SINO-TIB;P11,contested,Plural western and northern plateau ritual traditions represented without equating archaeology with organized later Bon or one common creed
antq_central_plateau_traditions,antq_steppe_religion_group,folk_asian_group,highland_forest_local,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_hostile_attrition=0.02,1.1.1,ANT-BANGGA;CAM-TIB-ARCH;P11,contested,Plural central-valley household landscape ancestor and mortuary traditions without backdating imperial Buddhism or organized later Bon
antq_eastern_plateau_traditions,antq_steppe_religion_group,folk_asian_group,highland_forest_local,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_hostile_attrition=0.02,1.1.1,CAM-EAST-TIB;RAD-YUSHU;OXF-EAST-RIM;P11,contested,Plural eastern highland and corridor traditions without deriving one cult from stone-cist burials or later ethnography
antq_central_indian_traditions,antq_northeast_indian_religion_group,folk_asian_group,asian_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_monthly_prosperity=0.01,1.1.1,CAM-CENTRAL-INDIA-MEGALITHS;INFLIB-EARLY-HISTORIC;P11,contested,Plural Narmada Vindhya Son and Bastar local traditions represented through archaeological landscapes without inventing one theology priesthood ethnicity or cult
antq_mainland_southeast_asian_traditions,antq_buddhist_group,folk_se_asian_group,asian_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_monthly_prosperity=0.01,1.1.1,CAM-SAH;UNESCO-JARS;CAM-SEA-IRON;CAM-MYANMAR-CHRON;P11,contested,Plural river basin upland mortuary household and landscape traditions without backdating Buddhist Hindu Tai or centralized state institutions
antq_amur_ussuri_traditions,antq_steppe_religion_group,folk_asian_group,highland_forest_local,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_hostile_attrition=0.02,1.1.1,NMJH-YIL;RAD-RFE-IRON;RAD-SAKHALIN;P11,contested,Plural river forest maritime household and mortuary traditions without deriving theology from archaeological cultures or later ethnography
antq_borneo_late_prehistoric_traditions,antq_oceanic_religion_group,folk_polynesian_group,oceanic_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_monthly_prosperity=0.02,1.1.1,ANU-NIAH-METAL;ANTH-KAL-IRON;MYH-BUKIT-TENGKORAK;P11,contested,Plural cave river forest mortuary maritime and metalworking traditions without backdating organized religion or later ethnic theology
antq_papuan_local_traditions,antq_oceanic_religion_group,folk_papuan_group,oceanic_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_monthly_prosperity=0.02,1.1.1,ANU-BOMBERAI;JPA-PAPUA;P11,contested,Plural New Guinea local ritual traditions represented without reconstructing one theology or priesthood
antq_mariana_island_traditions,antq_oceanic_religion_group,folk_micronesian_group,oceanic_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_monthly_prosperity=0.02,1.1.1,WA-MARIANA;ANU-MIC;P11,contested,Early Mariana community traditions represented without backdating contact-era named deities or chiefly institutions
antq_western_caroline_traditions,antq_oceanic_religion_group,folk_micronesian_group,oceanic_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_monthly_prosperity=0.02,1.1.1,ICA-YAP;ANU-MIC;P11,contested,Yap-Ulithi local traditions represented without projecting the later sawei order into AD 1
antq_central_amazon_traditions,antq_american_religion_group,folk_brazilian_group,american_local_cult,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_hostile_attrition=0.03,1.1.1,SA-EXPANSIONS;ACUTUBA-CHRON;P11,contested,Central-Amazon local ritual traditions represented without equating ceramic horizons with one theology ethnicity or priesthood
