vanilla_culture,controlled_locations,m4_profile_candidates,regions,sample_locations
turkish_culture,132,antq_aramaic:2|antq_greek_koine:34|antq_latin:96,Anatolia:36|Rome:96,akdagmadeni;aksehir;akyazi;altinekin;altintas;amasya;ankara;arac
saigoku_culture,129,antq_wa:129,Japan:129,abu;agawa;aimi;aita;aka;akashi;aki;aki_shikoku
english,120,antq_brittonic:120,Britain:120,abingdon;amesbury;aylesbury;bampton;banbury;barking;barnstaple;basingstoke
norwegian,120,antq_brittonic:4|antq_germanic:116,Britain:4|Scandinavia:116,alstahaug;alta;alvdal;amli;amot;aurland;bardodalen;berg
armenian_culture,118,antq_aramaic:22|antq_armenian:67|antq_caucasian_albanian:4|antq_greek_koine:13|antq_median:5|antq_parthian:7,Anatolia:34|Caucasus:71|Iran:12|Mesopotamia:1,adakli;adana;afsin;ahlat;akhalkalaki;amberd;anavarza;ani
najdi_culture,117,antq_arab:117,Arabia:117,aba_al_qur;abu_qasr;ad_dawasir;ad_dilam;afif;al_aflaj;al_ajfar;al_aythamah
jilu_culture,111,antq_han:111,China:111,ande;anping;ansu;anxi_dingzhou;beihai;bohai;boxing;boye
ruthenian,110,antq_sarmatian:44|antq_venedi:66,Eastern Europe:66|Pontic:44,adalaga;ananiv;aqmecit_prybuzhzhya;argamakli_sarai;bakota;balikley;balta;barvinkove
qin_culture,108,antq_han:108,China:108,anhua;baimachen;baimaguan;baishui;baoji;chengcheng;chengzhou;chongxin
uzbek_culture,108,antq_sogdian:85|antq_xiongnu:23,Central Asia:85|Steppe:23,aitbulat;akkesene;akkol;aksumbe;alashakhan;arkat;arykbalyk;asanas
swedish,107,antq_germanic:95|antq_uralic:12,Finland:12|Scandinavia:95,abo;albo;alfta;allingsas;alvastra;amal;anundsjo;arboga
hungarian,95,antq_dacian:80|antq_germanic:15,Danube:80|Germania:15,abrahamtelke;adony;alba_iulia;arad;bacs;baja_hungary;balassagyarmat;bekes
yemeni_culture,95,antq_arab:91|antq_south_arabian:4,Arabia:95,abha;abil;abu_rakah;ad_dughmiyah;adan;adham;ahwar;al_abala
tougoku_culture,91,antq_wa:91,Japan:91,abe;adachi_kanto;agatsuma;aichi;aikou;ashigara;ashikaga_loc;awa
irish,90,antq_gaelic:90,Ireland:90,adare;ardagh;armagh;athenry;athlone;athy;ballaghaderreen;ballycastle
kazani,88,antq_sarmatian:9|antq_uralic:24|antq_venedi:54|antq_xiongnu:1,Eastern Europe:54|Finland:24|Pontic:9|Steppe:1,alatyr;almetyevsk;ardatov;arkadak;arzamas;atishchevo;atkarsk;atrat
mishar,87,antq_sarmatian:54|antq_venedi:33,Eastern Europe:33|Pontic:54,alexeyevka;alexeyevskaya;anna_russia;azeevo;bannoye;belaya_kalitva;bielska_sloboda;bilovodsk
bulgarian,86,antq_greek_koine:23|antq_latin:63,Balkans:23|Rome:63,archar;aytos;bansko;beden;bitola;boruy;bozhenitsa;burgas
gan_culture,86,antq_han:86,China:86,anfu_jian;anren;anren_raozhou;anyi;baling;chaling;changshou_pingjiang;chongren
telugu,85,antq_indo_aryan:85,India:85,adanki;adlur;adoni;ahobalam;amrabad;anantapur;anumagallu;balkonda
punjabi,81,antq_indo_aryan:2|antq_saka:79,India:81,attock;bajwara;batala;bathinda;bhakkar;bhera;bijnot;busal
jurchen_culture,80,antq_han:6|antq_korean:33|antq_xiongnu:41,China:6|Korea:33|Steppe:41,bukcheong;buryeong;changchun;chosan;chuanzhou;dalinghe;dancheon;dandong
lower_saxon,78,antq_germanic:78,Germania:78,achim;ahaus;alfeld;altena;arnsberg;aschendorf;bersenbruck;bielefeld
malay_culture,74,antq_mon:74,Southeast Asia:74,air_hitam;asahan;bagansiapipi;baru;batang_tabir;batang_tebo;batang_tembesi;bengkalis
nahua_culture,74,antq_teotihuacano:74,Mesoamerica:74,ahuilizapan;amaticoztitlan;amaxacotlan;ameca;amollan;apan;autlan;axochiapan
nogai,74,antq_sarmatian:24|antq_sogdian:50,Central Asia:50|Pontic:24,aksay_pointic;alexandrov_gay;atzhaksy;baytak;beket_ata;beki;beleuli;bokey
baloch_culture,72,antq_parthian:59|antq_saka:13,India:8|Iran:64,al_tiz;awaran;bahramchah;bampur;banader;bandar_e_jask;bannajbur;bashagard
bengali,71,antq_indo_aryan:71,India:71,atiya;baniachang;bankura;barabhum;barbakaabad;bardhaman;barguna;baripada
crimean,70,antq_sarmatian:70,Pontic:70,akhtar;aqmecit;aslan_horod;azok;bagayevskaya;bakhmut;balzimachi;belaya_glina
severian,70,antq_sarmatian:18|antq_venedi:52,Eastern Europe:52|Pontic:18,arkhangelskoye;bakhmach;belgorod;bogoroditsk;bogorodskoye;boldyzh;buryn;chernihiv
yi_culture,70,antq_han:68|antq_sogdian:2,Central Asia:2|China:68,anning;baodian;baotong;beishe;binchuan;chenggong;dayao;dingbian_shunning
adhari_culture,69,antq_armenian:2|antq_caucasian_albanian:26|antq_median:24|antq_parthian:17,Caucasus:28|Iran:41,abhar;aghkand;agsu;ahar;ardabil;aresh;aslanduz;avaj
hmong_culture,69,antq_han:69,China:69,anlong;annan;bafan;baini;bazhai_duyun;bozhou;caoni;ceheng
utsang_culture,69,antq_indo_aryan:1|antq_sogdian:68,Central Asia:68|India:1,baryang;buchu;chikchar;chorten_nyima;daklha_gampo;damzhung;dargyeling;densatil
kannadiga,68,antq_indo_aryan:68,India:68,aimangala;anegandi;badami;bagalkot;ballalapura;bangalore;bankapura;basavana_bagewadi
khampa_culture,68,antq_han:3|antq_sogdian:65,Central Asia:65|China:3,adeqiu;barom;batang;baurang;biru;chamdo;chodrak_kham;chumdo
polesian_culture,67,antq_venedi:67,Eastern Europe:67,babruysk;belaya_soroka;bilokorovychi;bolshie_krugovichi;brahin;brest_litowsk;buinovichi;chachersk
somali_culture,67,antq_nubian:67,Africa:67,afmadow;ali_sabieh;alula;amud;aware;awrtable;baidoa;bandarbeyla
zhuang_culture,67,antq_han:67,China:67,anding_mashan;bac_thai_nguyen;bada;baise;baishan;bama;bangban;bao_lac
portuguese,66,antq_latin:66,Rome:66,aguiar;alcacer_do_sal;alcobaca;alvalade;alvito;avis;barcelos;beja
kurdish_culture,65,antq_aramaic:4|antq_armenian:5|antq_median:6|antq_parthian:50,Anatolia:3|Caucasus:5|Iran:56|Mesopotamia:1,akre;altun_kupri;amadiya;asadabad;barza;baskale;bijar;bisotun
jianghuai_culture,64,antq_han:64,China:64,andong_huaian;anlu;banpu;baoying;chaoxian;dantu;danyang;dehua_jiujiang
touhoku_culture,64,antq_wa:64,Japan:64,adachi;akita;asaka;date_loc;esashi;hanawa;hienuki;higashikanbara
astrakhani,63,antq_sarmatian:63,Pontic:63,aksay;astrakhan;beljamen;berezhnovka;bol_shaya_martynovka;bolkhuny;bolshoy_gashun;botkul
polatskian_culture,63,antq_venedi:63,Eastern Europe:63,andreapol;asvieja;barysaw;begoml;bibirevo;bobr;bocheikovo;byerazino
westphalian,63,antq_germanic:63,Germania:63,aachen;ahrweiler;altenkirchen;bensheim;bergheim;birkenfeld;bitburg;bonn
tamil,61,antq_indo_aryan:59|antq_tamil:2,India:54|Lanka:7,arcot;aruppukkottai;batlagundu;bhavani;coimbatore;denkanikottai;devakottai;dharapuram
algerian,59,antq_latin:16|antq_nubian:43,Africa:43|Rome:16,ain_madhi;al_khadra_ALG;algiers;amdoukal;annaba;arzew;asir_ALG;bades
chhattisgarhi,59,antq_indo_aryan:59,India:59,ambagarh;angul;athmallik;balangir;barasuru;bargarh;basna;bastar
smolenskian_culture,59,antq_venedi:59,Eastern Europe:59,belik;bely;belyov;berezhnyany;bolkhov;bolshevo;bryansk;demensk
khmer_culture,57,antq_mon:57,Southeast Asia:57,angkor;angkor_borei;angkor_knong;banon;banteay_chhmar;battambang;beng_mealea;buriram
iraqi_culture,56,antq_arab:1|antq_parthian:55,Arabia:1|Iran:55,abadan;abdas;abu_kemal;al_anbar;al_madar;al_qatr;al_sinn;al_tib
low_franconian,56,antq_germanic:44|antq_latin:12,Germania:44|Rome:12,aalst;alkmaar;amersfoort;amsterdam;antwerp;apeldoorn;arnhem;assen
serbian,56,antq_dacian:9|antq_latin:47,Danube:9|Rome:47,arilje;bar_cg;belgrad;branicevo;brskovo;brvenik;budimlja;carasova
afghan_culture,55,antq_parthian:4|antq_saka:51,India:16|Iran:39,adraskan;akora;anardara;arghestan;azab;bajaur;bannu;bost
gond,55,antq_indo_aryan:55,India:55,adilabad;aheri;amarkantak;ambikapur;amravati;asifabad;balaghat;ballarpur
kyushu_culture,55,antq_wa:55,Japan:55,akita_kumamoto;amabe;amakusa;asakura;ashikita;aso;gomu;hakata
saxon,54,antq_germanic:54,Germania:54,altenburg;annaburg;apolda;arnstadt;aschach;ballenstedt;beichlingen;bernburg
chu_culture,53,antq_han:53,China:53,baihekou;banqiao;baokang;bomoping;changlin;dangyang;fancheng;fangling
neapolitan,53,antq_latin:53,Rome:53,acerenza;altamura;andria;ariano;ascolipiceno;atri;avellino;bari
lesser_polish,52,antq_baltic:1|antq_venedi:51,Baltic:1|Eastern Europe:51,biecz;brzeznica;busko_zdroj;chrzanow;czchow;czestochowa;debica;ilza
tai_nua_culture,52,antq_han:19|antq_indo_aryan:9|antq_mon:24,China:19|India:9|Southeast Asia:24,bordowa;charagua;charaideo;daboka;dergaon;gengma;guwahati;hsenwi
amdowa_culture,51,antq_han:18|antq_sogdian:33,Central Asia:33|China:18,amchok;amnye_machen;bayan_har;buha;caka;chabcha;chodrak;darlag
mandinka,51,antq_greek_koine:1|antq_mande:50,India:1|West Africa:50,albreda;arlal;bamako;bambara_maounde;banamba;bla;dakadjalan;dieribakoro
moldovan,51,antq_dacian:50|antq_venedi:1,Danube:50|Eastern Europe:1,adjud;bacau;balti;barlad;cahul;campulung_moldovenesc;cernauti;cetatea_alba
silesian,51,antq_baltic:49|antq_venedi:2,Baltic:49|Eastern Europe:2,bielsko;boleslawiec;brzeg;bytom;fryvaldov;glogow;glubczyce;gora
wallachian,51,antq_dacian:44|antq_latin:7,Danube:44|Rome:7,arges;babadag;braila;bucharest;bukov;buzau;calafat;campulung_muscel
zenati,51,antq_berber:31|antq_latin:8|antq_nubian:12,Africa:43|Rome:8,adrar;afso;ain_salah;ain_sefra;al_mazamma;asuf;badis;baghai
udmurt,50,antq_uralic:50,Finland:50,afanasyevo;aspa;beryozovka;chastye;chyormoz;debyosy;dobryanka;dondykar
catalan,49,antq_latin:49,Rome:49,agramunt;alcoy;alicante;andorra_la_vella;ares_del_maestre;ayora;balaguer;barcelona
hijazi_culture,48,antq_arab:48,Arabia:48,al_abwa;al_ahmar;al_ais;al_ayn_khaybar;al_furaish;al_hadhah;al_hawra;al_hegrieah
oirat_culture,48,antq_sogdian:37|antq_xiongnu:11,Central Asia:37|Steppe:11,achit_nuur;airag_nuur;almaliq;atanuul;ayagoz;bodonch;bortala;bulgan
leonese,47,antq_latin:47,Rome:47,alba_de_aliste;albuquerque;alcanices;alcantara;arroyo;astorga;aviles;badajoz
liang_culture,47,antq_han:44|antq_sogdian:3,Central Asia:3|China:44,anding_suzhou;anyuan;baiting;chengji;chijin;dangcheng;dingxi;dingyuan_lingzhou
danish,46,antq_germanic:46,Germania:1|Scandinavia:45,aabenraa;aalborg;aarhus;ars;asbo;assens;bolling;bregne
levantine_culture,46,antq_aramaic:1|antq_judean:2|antq_nabataean_arab:1|antq_parthian:42,Arabia:1|Iran:42|Levant:3,acre;afrin;al_bab;al_quwayrah;amman;arak;azraq;baalbek
tajik_culture,46,antq_bactrian:9|antq_saka:1|antq_sogdian:36,Central Asia:45|Iran:1,andarab;andkhoy;aqca;araska;arkhan;ashkamesh;baghlan;bagram
arpitan,44,antq_latin:44,Rome:44,annecy;aosta;bage;beaujeu;belley;bourg_en_bresse;chambery;chatillonaos
evenk_culture,44,antq_xiongnu:44,Steppe:44,akishma;amazar;argi;bryante;burunda;buse;chit;dep
hausa,44,antq_mande:43|antq_nubian:1,Africa:1|West Africa:43,alkalawa;anchau;anka;auyo;bauchi;biram;birni_lalle;birni_nkonni
kejia_culture,44,antq_han:44,China:44,anyuan_dingnan;baochang_nanxiong;boluo;changle_xunzhou;changning_anyuan;changting;chengxiang;chongyi
marathi_culture,44,antq_indo_aryan:44,India:44,ahmednagar;ajara;akola;athani;aundh;ausa;basim;belgaum
markish,43,antq_germanic:39|antq_vandalic:1|antq_venedi:3,Eastern Europe:3|Germania:40,angermunde;belzig;berlin;brandenburg;burg;calbe;chojna;choszczno
tunisian,43,antq_latin:42|antq_nubian:1,Africa:1|Rome:42,beja_TUN;bir_el_alter;bizerte;bou_hajla;chebba;douz;el_fahs;el_jem
yan_culture,43,antq_han:42|antq_xiongnu:1,China:42|Steppe:1,baitan;banbishan;baodi;changli;changping;dadu;dagu;daxing
greater_polish,41,antq_baltic:3|antq_venedi:38,Baltic:3|Eastern Europe:38,babimost;buk;bydgoszcz;chelmno;chodziez;czarnkow;dobrzyn;gniezno
lur_culture,41,antq_parthian:32|antq_persian:9,Iran:41,abdanan;ahvaz;aleshtar;andimeshk;arkvaz;badreh;bagh_malek;basht
swabian,41,antq_germanic:41,Germania:41,augsburg;backnang;balingen;biberach;bruchsal;calw;dillingen;dinkelsbuhl
czech,40,antq_germanic:40,Germania:40,bechyne;benesov;beroun;budejovice;caslav;cheb;chrudim;decin
bhojpuri_culture,39,antq_indo_aryan:39,India:39,akbarpur;andar;arrah;azamgarh;ballia;bansi;basti;bettiah
french,39,antq_latin:39,Rome:39,alluyes;amboise;auneau;beaugency;belleme;blois;brie_comte_robert;chartres
mixtec_culture,39,antq_teotihuacano:39,Mesoamerica:39,amoltepec;chinantlan;coatlan;coixtlahuacan;comitlan;cuicatlan;guiigu_yudxi;huajuapan
languedocien,38,antq_latin:38,Rome:38,agde;agen;albi;bergerac;beziers;cahors;carcassonne;castelnaudary
masmuda,38,antq_berber:38,Africa:38,agadir;agdez;aghmat;ait_benhaddou;ait_daoud;aouint_yghomane;assa;beni_sabih
moroccan,38,antq_berber:38,Africa:38,aguz;amergo;anfa;asfi;asilah;azemmour;basra_al_hamra;bejaad
sindhi,38,antq_saka:38,India:38,agham_kot;ahmad_khan;aror;bab_kot;chor;dubbi;ghotki;hala
volhynian_culture,38,antq_venedi:38,Eastern Europe:38,belz;brody;busk;chelm;chortoryisk;dubno;grabowiec;iziaslav
aukstaitian,37,antq_venedi:37,Eastern Europe:37,anyksciai;ashmyany;astrina;bershty;birzai;braslaw;drysvyaty;dzyatlava
burmese_culture,36,antq_mon:36,Southeast Asia:36,amyint;butalin;dhipaesyin;kanna;kyaukse;lewe;magway;mindon
georgian_culture,36,antq_armenian:32|antq_kartvelian:2|antq_sarmatian:2,Caucasus:34|Pontic:2,akhaltsikhe;alaverdi;ardahan;artanuji;balakan;batumi;bodbe;dusheti
bedouin_culture,35,antq_arab:21|antq_latin:12|antq_parthian:2,Arabia:21|Iran:2|Rome:12,ad_disah;al_azlam;al_bad;al_bleiteh;al_farah_ula;al_khanbarah;al_muazzam;al_muwaylih
gujarati,35,antq_indo_aryan:35,India:35,amreli;ashaval;baroda;bhanvad;broach;champaner;chhaya;daman
halychian_culture,35,antq_germanic:6|antq_venedi:29,Eastern Europe:29|Germania:6,beregovo;bereschany;bohorodchany;bolekhiv;buchach;dolyna;drohobych;halych
lombard,35,antq_latin:35,Rome:35,arona;asola;bellinzona;bergamo;bormio;breno;brescia;casalmaggiore
vietnamese_culture,35,antq_han:35,China:35,anbang;bo_hai_khau;chi_la;co_dang;da_giang;dien_chau;hoan_chau;hong_chau
croatian,34,antq_dacian:1|antq_latin:33,Danube:1|Rome:33,bihac;bjelovar;buzet;cakovec;crikvenica;dubica;gradiski_brod;ilok
east_franconian,34,antq_germanic:34,Germania:34,ansbach;aschaffenburg;bamberg;bayreuth;bruckenau;buchen;coburg;crailsheim
mazovian,34,antq_baltic:29|antq_venedi:5,Baltic:29|Eastern Europe:5,biala_podlaska;biala_rawska;bielsk_podlaski;ciechanow;czersk;drohiczyn;gabin;garwolin
lower_egyptian_culture,33,antq_latin:33,Rome:33,al_mima;alexandria;atfih;beni_suef;bilbeis;cairo;dakahla;damanhur
mon_culture,33,antq_mon:33,Southeast Asia:33,dagon;dala;danubyu;donwun;haungtharaw;hinthada;hmawbi;hpa_an
sicilian,33,antq_latin:33,Rome:33,bivona;brindisi;caltagirone;caltanisetta;catania;catanzaro;cefalu;corleone
daur_culture,32,antq_xiongnu:32,Steppe:32,abagaita;aga;bir_amur;birma;boorj;dobkuri;emuer;enhe_hada
high_alemannic,32,antq_germanic:9|antq_latin:23,Germania:9|Rome:23,aarau;altdorf;baden_im_aargau;basel;bern;bienne;bonndorf;brig
kyrgyz_culture,32,antq_sogdian:29|antq_xiongnu:3,Central Asia:29|Steppe:3,almaty;balasagun;balykchy;barskoon;boyauli;charyn;chundzha;dungene
nubian,32,antq_nubian:32,Africa:32,al_matamma;alays;arbaji;branko;daw_sud;dongola;ed_damer;ed_debba
picard,32,antq_latin:32,Rome:32,abbeville;amiens;arras;bapaume;beauvais;bethune;boulogne_sur_mer;braine
bundeli,31,antq_indo_aryan:31,India:31,banda;bhatta;bhind;chanderi;chhatarpur;chitrakuta;damoh;datia
jiaodong_culture,31,antq_han:31,China:31,anqiu;changyi;chengshan;dasong;fushan_jiaozhou;fushan_muping;gaomi;huangxian
median,31,antq_latin:31,Rome:31,anagni;ancona;aquila;assisi;bracciano;camerino;celano;cittacastello
thai_culture,31,antq_mon:31,Southeast Asia:31,ayodhya;chai_nat;chaisri;chakangrao;dong_lakhon;dong_si_maha_phot;lopburi;muang_na_rang
aragonese,30,antq_latin:30,Rome:30,ainsa;albarracin;alcaniz;alfambra;almudevar;anso;ariza;barbastro
gascon,30,antq_latin:30,Rome:30,aire;aspet;auch;bazas;belin;benauges;bordeaux;castelnau_de_medoc
kanembu_culture,30,antq_mande:30,West Africa:30,agadem;bilma;biriri;bodou_sailay;boutti;cherfe;daima;dikwa
khanty_culture,30,antq_xiongnu:30,Steppe:30,bolshoy_balyk;bolshoy_yugan;cherlak;gorkovskoye;irtysh;kainsky_pas;kamyshnoye;kargasok
khorasani_culture,30,antq_parthian:30,Iran:30,aliabad_katul;azadvar;azghand;bakharz;bam_esfarayen;bojnord;esfarayen;fadisheh
rhine_franconian,30,antq_germanic:30,Germania:30,alsfeld;attendorn;berleburg;brilon;budingen;buren;dillenburg;eschwege
wu_culture,30,antq_han:30,China:30,anji;changshu;changxing;chongde;chongming;deqing;haining;haiyan
bashkir,29,antq_sogdian:12|antq_uralic:11|antq_xiongnu:6,Central Asia:12|Finland:11|Steppe:6,atach;belekes;beloretsk;bolshoy_ik;chebarkul;gebergeyel;ishimbay;ishkul
scottish,29,antq_brittonic:29,Britain:29,aberdeen;arbroath;banff;berwick;buchan;clackmannan;cupar;dumbarton
uyghur_culture,29,antq_bactrian:3|antq_sogdian:24|antq_xiongnu:2,Central Asia:24|Steppe:2|Tarim:3,bailongdui;barkul;beshbalik;bosten;bugur;charklik;dashahai;dunla
javanese_culture,28,antq_mon:28,Southeast Asia:28,bagaluhan;bajrajinaparamitapura;balambangan;borobudur;daha;demak;dieng;gresik
komi,28,antq_uralic:28,Finland:28,belozerye;cherdyn;chernaya;kholunitsky;kirs;kobra;kortkeros;koygorodok
norman,28,antq_latin:28,Rome:28,alencon;argentan;arques;aumale;avranches;bayeux;bernay;caen
kaliji_culture,27,antq_arab:27,Arabia:27,abu_dhabi;al_ahsa;al_ayn;al_bidda;al_huwaila;al_jubayl;al_mashqar;al_qatif
libyan_arabic_culture,27,antq_latin:27,Rome:27,ajdabiya;al_bayda;al_kadwa;al_khuimat;al_khums;bani_walid;barca;benghazi
purepecha_culture,27,antq_teotihuacano:27,Mesoamerica:27,aguacana;angamacutiro;apatzingan;caracuaro;churumekua;cuitzeo;erongaricuaro;guayangareo
syriac_culture,27,antq_aramaic:1|antq_parthian:26,Iran:26|Mesopotamia:1,aleppo;ayntab;balad;baniyas;bara_iraq;barqaid;beirut;birecik
yoruba,27,antq_mande:27,West Africa:27,ado_ekiti;agbonle;akure;ede;eko;epe;ife;igboho
awadhi,26,antq_indo_aryan:26,India:26,asni;awadh;bahraich;balrampur;bhadohi;bhurwara;bilgram;biswan
circassian_culture,26,antq_sarmatian:26,Pontic:26,adyukh;alexandrovskoye;armavir;arzgir;belorechensk;blagodarnoye;chatyun;grigoropolisskaya
emilian,26,antq_latin:26,Rome:26,argenta;bardi;berceto;bobbio;bologna;canossa;comacchio;ferrara
hurga_culture,26,antq_korean:5|antq_xiongnu:21,Korea:5|Steppe:21,achan;arkhara;bidzhan;bira;boli;chalin;futi;hulin
lorrain,26,antq_latin:26,Rome:26,arches;bar_le_duc;bar_sur_aube;chaumont;clermont_en_argonne;darney;epinal;etain
mossi,26,antq_mande:26,West Africa:26,bankuy;barsalogho;bawku;boala;boromo;boussouma;djibo;doubare
northumbrian,26,antq_brittonic:26,Britain:26,alnwick;appleby;bedale;billingham;bridlington;carlisle;cockermouth;darlington
turkmen_culture,26,antq_parthian:23|antq_sogdian:3,Central Asia:3|Iran:23,abiward;anew;dargaz;dehistan;durun;etrek;faraveh;ganlygala
dehlavi,25,antq_indo_aryan:25,India:25,baran;bareilly;budaun;chandpur_uttar_pradesh;delhi;gangadvara;gunnaur;gurgaon
eastern_amazigh,25,antq_berber:11|antq_latin:14,Africa:11|Rome:14,ajim;awjila;brak;chenini;ghadames;ghariyan;jadu;maradah
mari_culture,25,antq_uralic:24|antq_venedi:1,Eastern Europe:1|Finland:24,askino;aznakayevo;baltas;bavly;bugulma;burayevo;chalninsky_pochinok;chekmagush
walloon,25,antq_germanic:1|antq_latin:24,Germania:1|Rome:24,arlon;ath;bastogne;bouillon;chimay;dinant;enghien;la_roche
welsh,25,antq_brittonic:25,Britain:25,aberystwyth;anglesey;brecknock;builth;caerphilly;cardiff;cardigan;carmarthen
yucatec_culture,25,antq_teotihuacano:25,Mesoamerica:25,calkini;chacchoben;chakan_yucatan;chichen_itza;coba;dzibilnocac;dzilam;ekab
yuehai_culture,25,antq_han:25,China:25,baoan_dongguan;conghua;dongguan;duanxi;ducheng;gaoming;gaoyao;guanfu
aimara_culture,24,antq_moche:21|antq_nazca:3,Andes:24,achacachi;axawiri;ayaviri;ayopaya;calamarca;chucuito;chuqiyapu;contornasa
bosnian,24,antq_latin:24,Rome:24,borac;doboj;drijeva;gacko;glamoc;glaz;jajce;kljuc
karelian,24,antq_uralic:19|antq_venedi:5,Eastern Europe:5|Finland:19,beryozovskoye;karhumagi;kizhi;kondpoga;konevets;korela;kurkijoki;kyyrola
soninke,24,antq_mande:24,West Africa:24,bafoulabe;bakel;balle;ballou;diakha;diamou;diangounte_camara;diara
tujia_culture,24,antq_han:24,China:24,badong;baojing;changyang;cili;datian_shizhou;dayong;dejiang;lichuan
tumed_culture,24,antq_han:15|antq_xiongnu:9,China:15|Steppe:9,aerzhai;alxa;bagh;bayankhot;bayannur;bayannurhong;dongsheng;fengzhou
western_pomeranian,24,antq_germanic:24,Germania:24,anklam;butzow;demmin;doberan;grevesmuhlen;grimmen;gustrow;malchin
burgundian,23,antq_latin:23,Rome:23,aignay;arnay;autun;auxerre;avallon;beaune;cercy;chalon_sur_saone
estonian,23,antq_baltic:23,Baltic:23,hapsal;kaina;kuressaare;lihula;narva;padise;paide;parnu
fulbe,23,antq_mande:23,West Africa:23,agnam_civol;golere;iwol;kaabu;kabakama;kaedi;kanel;kerbatch
galician,23,antq_latin:23,Rome:23,barco_de_valdeorras;betanzos;coruna;ferrol;finisterre;ginzo_de_limia;lalin;lugo
sibe_culture,23,antq_xiongnu:23,Steppe:23,arun;bayan_ula;bila;buteha;chaghankhot;chol;gorlos;hailar
yao_china_culture,23,antq_han:23,China:23,dayaoshan;fengcheng;fuchuan;gongcheng;guanyang;guiling;huaiji;jianghua
amhara,22,antq_nubian:22,Africa:22,aheyya_fagg;ambat;amora_gadal;badabedi;bahir_dar;chercher;dangila;debra_berhan
andalusi,22,antq_latin:22,Rome:22,adra;algeciras;almanzora;almeria;almunecar;antequera;baza;gergal
marwari,22,antq_indo_aryan:22,India:22,ajmer;bahadamer;chandravati;gudamalani;jaisalmer;jalor;khed;kiradu
minangkabau_culture,22,antq_mon:22,Southeast Asia:22,dharmasraya;gunung_sahilan;inderapura;kampar;kuantan_riau;kunto;mukomuko;natal
shona_culture,22,antq_nubian:22,Africa:22,charumani;chibvumani;chipagwe;chipukuswi;chomuruvuti;chumnungwa;great_zimbabwe;inyanga
tuscan,22,antq_latin:22,Rome:22,arezzo;chiusi;cortona;florence;grosseto;livorno;lucca;mangona
basque,21,antq_latin:21,Rome:21,anana;bayonne;bilbao;durango;elizondo;estella;laguardia;mauleon
auvergnat,20,antq_latin:20,Rome:20,allegre;aurillac;brioude;chateauneuf_de_randon;clermont;entraigues;florac;mauriac
kashmiri_culture,20,antq_saka:20,India:20,banihal;baramulla;bhimber;ganderbal;jammu;kathua;kishtwar;kohtali
latvian,20,antq_baltic:20,Baltic:20,aizkraukle;aluksne;bauska;cesis;daugavpils;dobele;gulbene;jekabpils
malayali,20,antq_tamil:20,India:20,angadippuram;edappaly;kannur;kanyakumari;karikkode;kochi;kodungallur;kollam
omani_culture,20,antq_arab:20,Arabia:20,al_kamil_wal_wafi;al_khaburah;as_sib;bahla;ibra;ibri;izki;jalan_buani_buali
piedmontese,20,antq_latin:20,Rome:20,acqui;alba;alessandria;asti;biella;cairo_montenotte;carmagnola;casale
provencal,20,antq_latin:20,Rome:20,aix_en_provence;apt;arles;avignon;barjols;brignoles;castellane;digne
slovak,20,antq_germanic:20,Germania:20,banska_bystrica;bardejov;hlohovec;holic;humenne;kremnica;levoca;liptovsky_mikulas
