location,historical_name,layer,anchor_kind,culture,source,confidence,decision,audit_flags,note
aix_en_provence,Aquae Sextiae,reviewed_identity,roman_identity,antq_saluvian,PLE:148053;PLN:148053/col-aquae-sextiae;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 148053; AD 1 name resource 148053/col-aquae-sextiae.
aixe,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ajaccio,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ajdabiya,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ajim,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
akcasehir,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
akhisar,Thyateira,reviewed_identity,roman_identity,antq_lydian,PLE:550924;PLN:550924/thyateira;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 550924; AD 1 name resource 550924/thyateira.
akhmim,Panopolis,reviewed_direct,curated,antq_egyptian,PLE:756613,secure,reviewed_override,,Direct Panopolis Schmin settlement point at the installed Akhmim city proxy.
akkus,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aksaray,Archelais,reviewed_identity,roman_identity,antq_cataonian,PLE:619164;PLN:619164/col-claudia-archelais;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 619164; AD 1 name resource 619164/col-claudia-archelais.
aksehir,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
akyazi,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
al_bayda,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
al_kadwa,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
al_khuimat,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
al_khums,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
al_mima,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alaiye,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alarcon,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alasehir,Philadelpheia,reviewed_identity,roman_identity,antq_ionian,PLE:550822;PLN:550822/philadelpheia;R2,tier2,reviewed_override,,Pleiades explicitly associates place 550822 with this modern field; AD 1 name resource 550822/philadelpheia.
alba,Alba Pompeia,reviewed_identity,roman_identity,antq_cisalpine_gallic,PLE:383564;PLN:383564/alba-pompeia;R2,tier2,reviewed_override,,Pleiades explicitly associates place 383564 with this modern field; AD 1 name resource 383564/alba-pompeia.
alba_de_aliste,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alba_de_tormes,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
albacete,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
albarracin,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
albenga,Albingaunum,reviewed_identity,roman_identity,antq_ligurian,PLE:157803;PLN:157803/albingaunum;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 157803; AD 1 name resource 157803/albingaunum.
albi,Albiga,reviewed_identity,roman_identity,antq_rutenian,PLE:246155;PLN:246155/albiga;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 246155; AD 1 name resource 246155/albiga.
albuquerque,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alcacer_do_sal,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alcala_de_henares,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alcanices,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alcaniz,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alcantara,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alcaraz,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alcazar_de_san_juan,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alcobaca,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alcoy,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alencon,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aleria,Aleria,reviewed_identity,roman_identity,antq_ligurian,PLE:472048;PLN:472048/aleria;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 472048; AD 1 name resource 472048/aleria.
ales,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alessandria,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alexandria,Alexandria,reviewed_direct,curated,antq_latin,PLE;P12.2;P8.1,secure,reviewed_override,,Direct ancient port-city name for the Roman owner-culture dynamic layer
alfambra,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
algeciras,Iulia Traducta,reviewed_identity,roman_identity,antq_turdetanian,PLE:256235;PLN:256235/iulia-traducta;R2,tier2,reviewed_override,,Pleiades explicitly associates place 256235 with this modern field; AD 1 name resource 256235/iulia-traducta.
alghero,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alhambra_location,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alicante,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
allegre,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alluyes,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
almaden,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
almanzora,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
almazan,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
almeria,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
almodovar_del_campo,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
almonaster_la_real,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
almudevar,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
almunecar,Sexi,reviewed_identity,roman_identity,antq_bastetan,PLE:266038;PLN:266038/sexi;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 266038; AD 1 name resource 266038/sexi.
altamura,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
altdorf,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
altinekin,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
altintas,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alvalade,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
alvito,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
amasra,Amastris,reviewed_direct,curated,antq_mariandynian,PLE:844856,secure,reviewed_override,,Direct Amastris settlement point at the installed Amasra coastal city proxy.
amboise,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
amiens,Samarobriva Ambianorum,reviewed_direct,curated,antq_latin,PLE:109321,secure,reviewed_override,,Pleiades exact Samarobriva Ambianorum settlement point at 49.89361 2.29795; reviewed against the installed Amiens location
amorgos,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
amstetten,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
anagni,Anagnia,reviewed_direct,curated,antq_latin,TAB-ANAGNIA;BAT-LATIUM,secure,reviewed_override,,Direct ancient Anagnia label at the installed Anagni city field; replaces the distinct Treba adapter.
anana,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ancona,Ancona,reviewed_direct,curated,antq_latin,PLE:413014,secure,reviewed_override,,Pleiades exact Ancon(a) settlement point at 43.61899 13.51607; reviewed against the installed Ancona location
andorra_la_vella,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
andravida,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
andria,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
andritsaina,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
andros,Andros,reviewed_identity,roman_identity,antq_greek_koine,PLE:589692;PLN:589692/andros;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 589692; AD 1 name resource 589692/andros.
andujar,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
angelokastron,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
angers,Iuliomagus,reviewed_identity,roman_identity,antq_andecavian,PLE:138400;PLN:138400/iuliomagus;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 138400; AD 1 name resource 138400/iuliomagus.
angouleme,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ankara,Ancyra,reviewed_direct,curated,antq_greek_koine,PLE:619103,secure,reviewed_override,,Pleiades direct Ancyra Galatia settlement point at 39.94379 32.85933
annaba,Hippo Regius,reviewed_direct,curated,antq_latin,PLE;P8.1,secure,reviewed_override,,Secure Roman-period city form at the direct Annaba match.
annecy,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
anso,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
antalya,Attalea,reviewed_direct,curated,antq_lycian,PLE:638778,secure,reviewed_override,,Direct Attalea settlement point at the installed Antalya coastal city proxy.
antequera,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
antioch,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aosta,Augusta Praetoria,reviewed_direct,curated,antq_latin,PLE:383579,secure,reviewed_override,,Pleiades exact ancient city point at 45.73744 7.31617; reviewed against the installed Aosta location
apt,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aquila,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aquileia,Aquileia,reviewed_direct,curated,antq_latin,PLE;P12.2;P8.1,secure,reviewed_override,,Direct ancient Adriatic city name
arac,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aracena,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aranda_de_duero,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
archar,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arches,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arcos_de_la_frontera,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ares_del_maestre,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arevalo,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arezzo,Arretium,reviewed_direct,curated,antq_latin,PLE:413032,secure,reviewed_override,,Pleiades exact Arretium city point at 43.47127 11.86305; reviewed against the installed Arezzo location
argenta,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
argentan,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
argos,Argos,reviewed_direct,curated,antq_greek_koine,PLE:570106,secure,reviewed_override,,Pleiades direct Argos settlement point at 37.63105 22.72038
argyrokastro,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ariano,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arilje,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ariza,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arles,Arelate,reviewed_direct,curated,antq_latin,PLE:148217,secure,reviewed_override,,Pleiades exact Colonia Arelate city point at 43.67762 4.63080; reviewed against the installed Arles location
arlon,Orolaunum,reviewed_identity,roman_identity,antq_belgic,PLE:109232;PLN:109232/orolaunum;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 109232; AD 1 name resource 109232/orolaunum.
arnay,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arnedo,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aroche,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arona,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arques,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arras,Nemetacum,reviewed_identity,roman_identity,antq_atrebatian,PLE:109194;PLN:109194/nemetacum;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 109194; AD 1 name resource 109194/nemetacum.
arroyo,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
arta,Ambracia,reviewed_identity,roman_identity,antq_greek_koine,PLE:530794;PLN:530794/ambracia;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 530794; AD 1 name resource 530794/ambracia.
ascolipiceno,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ashmunayn,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aslanapa,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
asola,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aspet,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
assisi,Asisium,reviewed_identity,roman_identity,antq_oscan_umbrian,PLE:413037;PLN:413037/asisium;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 413037; AD 1 name resource 413037/asisium.
asti,Hasta,reviewed_identity,roman_identity,antq_cisalpine_gallic,PLE:383669;PLN:383669/hasta;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 383669; AD 1 name resource 383669/hasta.
astorga,Asturica Augusta,reviewed_direct,curated,antq_latin,PLE,secure,reviewed_override,,Direct Roman-period city form for the installed Astorga location
astros,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aswan,Syene,reviewed_direct,curated,antq_egyptian,PLE;P8.1,secure,reviewed_override,,Secure ancient Nile-cataract city form at the direct Aswan match.
asyut,Lykopolis,reviewed_identity,roman_identity,antq_egyptian,PLE:756593;PLN:756593/lykopolis;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 756593; AD 1 name resource 756593/lykopolis.
atalanti,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
atfih,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ath,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
athens,Athenae,reviewed_direct,curated,antq_greek_koine,PLE;P8.1,secure,reviewed_override,,Secure Roman-period city form.
atpazari,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
atri,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aubusson,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
auch,Elimberrum,reviewed_identity,roman_identity,antq_auscian,PLE:246379;PLN:246379/elimberrum;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 246379; AD 1 name resource 246379/elimberrum.
aulnay,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aumale,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
auneau,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aurillac,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
austria_baden,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
autun,Augustodunum,reviewed_direct,curated,antq_latin,PLE:177460,secure,reviewed_override,,Pleiades exact Augustodunum city point at 46.94724 4.29918; reviewed against the installed Autun location
auxerre,Autessiodurum,reviewed_identity,roman_identity,antq_senonian,PLE:138206;PLN:138206/autessiodurum;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 138206; AD 1 name resource 138206/autessiodurum.
auxonne,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
avallon,Aballo,reviewed_identity,roman_identity,antq_senonian,PLE:177427;PLN:177427/aballo;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 177427; AD 1 name resource 177427/aballo.
avellino,Abellinum,reviewed_direct,curated,antq_latin,TAB-ABELLINUM;BAT-ITALY,secure,reviewed_override,,Bounded Avellino city-field label for the nearby ancient Abellinum Atripalda context; replaces the distant Caudium adapter.
avignon,Avennio,reviewed_identity,roman_identity,antq_cavaric,PLE:148004;PLN:148004/avennio;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 148004; AD 1 name resource 148004/avennio.
avila,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aviles,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
avis,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
avlonya,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
avranches,Ingena,reviewed_identity,roman_identity,antq_unellian,PLE:69518;PLN:69518/ingena;R2,tier2,reviewed_override,,Pleiades explicitly associates place 69518 with this modern field; AD 1 name resource 69518/ingena.
ayamonte,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ayasuluk,Ephesus,reviewed_direct,curated,antq_greek_koine,PLE:599612,secure,reviewed_override,,Pleiades direct Ephesus settlement point at 37.94016 27.34240
ayora,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ayvacik,Methymna,reviewed_direct,curated,antq_greek_koine,PLE:550738;P8.1,secure,reviewed_override,,Secure AD 1 Pleiades settlement point on the installed Ayvacik/Lesbos city field.
azeffoun,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
azuaga,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
babadag,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
bad_ischl,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
badajoz,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
baden_im_aargau,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
