group,key,name,family,fallback,male_names,female_names,dynasty_names,source,confidence,note
antq_subsaharan_group,antq_subsaharan_language,Sub-Saharan,bantu_language_family,mande_language,Anokye|Kofi|Mansa|Sundiata,Abena|Ama|Kandake|Yaa,Akan|Bantu|Mande,P10;CAH-XI,contested,Regional naming foundation
antq_subsaharan_group,antq_western_hausaland_language,Western Hausaland Savanna,chadic_language_family,sao_language,Daima|Gajiganna|Kebbi|Zamfara,Kagara|Katsina|Maradi|Tarka,Kebbi River|Zamfara Plateau|Katsina Plain|Tarka Plain,JAH-HAUSALAND;JAR-WA-NETWORKS;GLOT-CHADIC;P10,contested,Chadic-family technical adapter using archaeological and geographic roots because no AD 1 personal-name corpus is recovered; it does not assert Hausa speech or identity
antq_subsaharan_group,antq_nsukka_lejja_language,Nsukka-Lejja,south_volta_language_family,nigerian_language,Lejja|Nsukka|Opi|Orba,Awka|Nike|Ugwu|Eha,Nsukka Uplands|Lejja|Anambra|Udi,HER-LEJJA;GLOT-IGBOID;P10,contested,Broad engine-family adapter using site and landscape roots because no AD 1 personal-name corpus is recovered; it does not assert a uniform Igbo identity
antq_subsaharan_group,antq_lower_oueme_language,Lower Oueme,south_volta_language_family,kwa_language,Oueme|Mono|Couffo|Lama,Weme|Adjara|Savalou|Ketu,Lower Oueme|Mono Corridor|Lower Benin|Forest Belt,OUP-BENIN;GLOT-GBE;P10,contested,Broad southern-Volta engine adapter using river and landscape roots because no AD 1 personal-name corpus is recovered; it does not backdate Gbe identity or Ketu statehood
antq_subsaharan_group,antq_volta_interfluve_language,Volta-Comoe Interfluve,north_volta_language_family,gur_language,Mouhoun|Nakambe|Oti|Comoe,Volta|Bandama|Black Volta|White Volta,Volta-Comoe|Mouhoun Basin|Nakambe Basin|Oti Corridor,JAR-WA-NETWORKS;MET-IRON;GLOT-GUR;P10,contested,Broad northern-Volta engine adapter using hydronymic roots because no AD 1 personal-name corpus or uniform language boundary is recovered
antq_subsaharan_group,antq_bosumtwi_forest_language,Bosumtwi Forest,south_volta_language_family,kwa_language,Bosumtwi|Pra|Ofin|Birim,Tano|Ankobra|Afram|Densu,Bosumtwi Forest|Pra Basin|Tano Basin|Afram Corridor,JAH-GHANA;JAR-WA-NETWORKS;GLOT-AKANIC;P10,contested,Broad southern-Volta engine adapter using lake and river roots because no AD 1 personal-name corpus is recovered; it does not backdate Akan state identity
antq_subsaharan_group,antq_ngovo_horizon_language,Ngovo Horizon,bantu_language_family,kongo_language,Ngovo|Inkisi|Lukeni|Congo,Matadi|Luozi|Mbanza|Cataract,Ngovo Horizon|Lower Congo|Inkisi Basin|Cataract Reach,SCI-CONGO-RAINFOREST;NGOVO-GROUP;JAH-BANTU-MOBILITY;P10,contested,Broad Bantu-family engine adapter using archaeological and geographic roots because pottery does not recover an AD 1 personal-name corpus ethnicity or state
antq_subsaharan_group,antq_urewe_horizon_language,Urewe Horizon,bantu_language_family,rwanda_language,Urewe|Kagera|Victoria|Kivu,Rubaga|Rusizi|Mara|Akagera,Urewe Horizon|Kagera Basin|Victoria Shore|Kivu Corridor,JAH-BANTU-MOBILITY;AZA-UREWE;P10,contested,Broad Bantu-family engine adapter using archaeological and geographic roots because Urewe pottery does not recover an AD 1 personal-name corpus or political identity
antq_subsaharan_group,antq_kwale_horizon_language,Kwale Coast,bantu_language_family,swahili_language,Kwale|Tana|Sabaki|Mombasa,Kilifi|Lamu|Tsavo|Pangani,Kwale Horizon|Tana Basin|Sabaki Reach|Coastal Corridor,QI-EAFRICA;UC-MOMBASA;JAH-BANTU-MOBILITY;P10,contested,Broad Bantu-family engine adapter using archaeological and geographic roots because no AD 1 personal-name corpus is recovered; it does not backdate Swahili identity
antq_subsaharan_group,antq_ruvuma_lurio_language,Ruvuma-Lurio,bantu_language_family,rufiji_ruvuma_language,Ruvuma|Lurio|Lindi|Rovuma,Mikindani|Mtwara|Mueda|Niassa,Ruvuma Corridor|Lurio Basin|Lindi Coast|Niassa Interior,QI-EAFRICA;JAH-BANTU-MOBILITY;P10,contested,Broad Bantu-family engine adapter using river and landscape roots because no AD 1 personal-name corpus or later ethnic boundary is recovered
antq_subsaharan_group,antq_limpopo_hunter_herder_language,Limpopo Hunter-Herder,,khoe_language,Limpopo|Makapan|Mapungubwe|Soutpansberg,Blouberg|Mogalakwena|Shashe|Waterberg,Limpopo Valley|Makapan Valley|Soutpansberg|Waterberg,OUP-SOUTH-AFRICA;CAM-SA-2024;P10,contested,Familyless engine adapter preserving the installed Khoe fallback and geographic roots because no AD 1 personal-name corpus or uniform language boundary is recovered
antq_subsaharan_group,antq_zambezi_forager_language,Zambezi-Save Forager,,tuu_language,Zambezi|Save|Mazowe|Manyame,Chirundu|Mana|Nyanga|Runde,Zambezi Valley|Save Basin|Mazowe Reach|Runde Corridor,OUP-SOUTH-AFRICA;CAM-SA-2024;P10,contested,Familyless engine adapter preserving the installed Tuu fallback and geographic roots because no AD 1 personal-name corpus or uniform language boundary is recovered
antq_tibetan_group,antq_tibetan_language,Tibetan,tibetic_language_family,mongolian_language,Nyatri|Songtsen|Trisong|Zhangzhung,Drolma|Lhamo|Tsering|Yarlung,Yarlung|Zhangzhung,P10;CAH-XI,contested,Highland naming foundation
antq_uralic_group,antq_uralic_language,Uralic,uralic_language_family,sami_language,Ahti|Ilmarinen|Kaleva|Vainamoinen,Aino|Ilmatar|Kyllikki|Louhi,Finnic|Sami|Ugric,P10;CAH-XI,contested,Regional naming foundation
antq_north_maluku_group,antq_north_maluku_language,North Maluku,oceanic_language_family,malay_language,Afa|Besi|Lamo|Tala,Boki|Dara|Mina|Sana,Gebe|Kayoa|Moro,ANU-MALUKU;P10,contested,Mixed North Maluku naming adapter; fallback and engine family are technical and do not erase North Halmahera non-Austronesian languages
