building,category,package,productive,produced,upkeep_additions,source,confidence
antq_maritime_harbor,naval_category,antq_s2_port_construction,no,,antq_cordage=0.040;tar=0.020,P12.2;P8.1;PER,secure
antq_mausoleum_augusti,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-MAUSOLEUM,contested
antq_miliarium_aureum,infrastructure_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-MILIARIUM-AUREUM,contested
antq_monetarium_roma,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,P12.3;P8.1,secure
antq_naumachia_augusti,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-NAUMACHIA,secure
antq_navalia_romae,naval_category,antq_s2_port_construction,no,,antq_cordage=0.040;tar=0.020,DAR-NAVALIA,contested
antq_officinae_urbanae,basic_industry_category,antq_s2_workshop_construction,no,,antq_cordage=0.010;tools=0.010,P12.1;P12.3,contested
antq_pantheum_agrippae,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-PANTHEUM,secure
antq_pharos_alexandria,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,P12.3;P8.1,secure
antq_pistrina_urbana,basic_industry_category,antq_s2_workshop_construction,no,,antq_cordage=0.010;tools=0.010,MET-ROMAN;P12.3,contested
antq_pons_aemilius,infrastructure_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-PONS-AEMILIUS,contested
antq_pons_fabricius,infrastructure_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-PONS-FABRICIUS,secure
antq_porticus_ad_nationes,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-PORTICUS-NATIONES,contested
antq_porticus_aemiliae,trade_category,antq_s2_market_construction,no,,pottery=0.020;cloth=0.015,DAR-PORTICUS-AEMILIA,contested
antq_porticus_forum_holitorium,trade_category,antq_s2_market_construction,no,,pottery=0.020;cloth=0.015,DAR-PORTICUS-HOLITORIUM,contested
antq_porticus_gai_et_luci,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-PORTICUS-GAI-LUCI,contested
antq_porticus_liviae,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-PORTICUS-LIVIAE,contested
antq_porticus_octavia,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-PORTICUS-OCTAVIA,contested
antq_porticus_octaviae,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-PORTICUS-OCTAVIAE,contested
antq_porticus_pompeiana,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-PORTICUS-POMPEIANA,contested
antq_porticus_post_navalia,naval_category,antq_s2_port_construction,no,,antq_cordage=0.040;tar=0.020,DAR-PORTICUS-NAVALIA,contested
antq_puteal_libonis,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-PUTEAL-LIBONIS,contested
antq_reg_aestian_amber_sorting_ground,trade_category,antq_s2_market_construction,no,,pottery=0.020;cloth=0.015,P8.7;TAC-GER;PAN-WBB;VU-BRUSH;LIT-WLSC,contested
antq_reg_alum_dyehouse,basic_industry_category,antq_s2_workshop_construction,yes,fine_cloth,,CAM-MELOS-ALUM;UNESCO-TYRE;P12.1,contested
antq_reg_amber_carver,consumer_goods_category,antq_s2_workshop_construction,yes,antq_amber_ornaments,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_amphora_depot,trade_category,antq_s2_market_construction,no,,pottery=0.020;cloth=0.015,MET-ROMAN-TRADE,contested
antq_reg_amphora_warehouse,trade_category,antq_s2_storehouse_construction,no,,pottery=0.020;antq_cordage=0.010,MET-ROMAN-TRADE;P12.1,contested
antq_reg_annona_bakery,consumer_goods_category,antq_s2_storehouse_construction,yes,antq_grain_products,,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_apothecary,consumer_goods_category,antq_s2_workshop_construction,no,,antq_cordage=0.010;tools=0.010,P12.1;P12.3,contested
antq_reg_aqueduct_distribution,infrastructure_category,antq_s2_waterworks_construction,no,,tools=0.020;masonry=0.010,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_arabian_caravan_station,trade_category,antq_s2_market_construction,no,,pottery=0.020;cloth=0.015,STR-ARAB;THAJ-ARCH;P12.1;P12.3,contested
antq_reg_aromatic_resin_sorting_house,consumer_goods_category,antq_s2_workshop_construction,no,,antq_cordage=0.010;tools=0.010,UNESCO-INCENSE;UNESCO-QATABAN;STR-ARAB;P12.1,secure
antq_reg_arrow_fletchery,basic_industry_category,antq_s2_enabling_industry_construction,yes,weaponry,,P12.1;P14,contested
antq_reg_barge_chandlery,basic_industry_category,antq_s2_workshop_construction,yes,naval_supplies,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_bargeyard,naval_category,antq_s2_port_construction,yes,naval_supplies,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_basketry,consumer_goods_category,antq_s2_workshop_construction,yes,furniture,,P12.1;P12.3,contested
antq_reg_batavian_auxiliary_muster,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,P8.7;TAC-BAT;CAH-XI,contested
antq_reg_bath_fuel_depot,basic_industry_category,antq_s2_waterworks_construction,no,,tools=0.020;masonry=0.010,P12.1;P12.3,contested
antq_reg_beadworks,consumer_goods_category,antq_s2_workshop_construction,yes,antq_glass_beads,,P12.1;P12.3,contested
antq_reg_bell_foundry,basic_industry_category,antq_s2_workshop_construction,yes,antq_bronze_wares,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_bone_carver,consumer_goods_category,antq_s2_workshop_construction,yes,jewelry,,P12.1;P12.3,contested
antq_reg_bread_oven,basic_industry_category,antq_s2_workshop_construction,yes,antq_grain_products,,P12.1;P12.3,contested
antq_reg_brewhouse,consumer_goods_category,antq_s2_workshop_construction,yes,beer,,P12.1;P12.3,contested
antq_reg_brickworks,basic_industry_category,antq_s2_enabling_industry_construction,yes,masonry,,P12.1,contested
antq_reg_bronze_foundry,basic_industry_category,antq_s2_workshop_construction,yes,antq_bronze_wares,,P12.1,contested
antq_reg_bronze_vessel_shop,basic_industry_category,antq_s2_workshop_construction,yes,antq_bronze_wares,,P12.1;P12.3,contested
antq_reg_bronze_workers_collegium,basic_industry_category,antq_s2_workshop_construction,yes,antq_bronze_wares,,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_brushmaker,consumer_goods_category,antq_s2_workshop_construction,yes,furniture,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_caravanserai,trade_category,antq_s2_roadworks_construction,no,,tools=0.020;antq_cordage=0.015,P12.1;MET-ROMAN-TRADE,contested
antq_reg_carpet_loom,consumer_goods_category,antq_s2_workshop_construction,yes,antq_carpets,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_castra_fabrica,weapons_industry_category,antq_s2_workshop_construction,yes,weaponry,,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_cauldron_smithy,basic_industry_category,antq_s2_workshop_construction,yes,antq_bronze_wares,,P12.1;P12.3,contested
antq_reg_ceramic_quarter,basic_industry_category,antq_s2_workshop_construction,yes,antq_fine_ceramics,,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_chainmaker,basic_industry_category,antq_s2_workshop_construction,yes,antq_iron_hardware,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_charcoal_hearth,basic_industry_category,antq_s2_enabling_industry_construction,yes,tar,,P12.1;P12.3;P14,contested
antq_reg_chariotwright,consumer_goods_category,antq_s2_workshop_construction,yes,furniture,,P12.1;P12.3,contested
antq_reg_cheese_dairy,consumer_goods_category,antq_s2_enabling_industry_construction,yes,antq_cheese_curds,,P12.1;P12.3;P14,secure
antq_reg_clay_brickworks,basic_industry_category,antq_s2_workshop_construction,yes,masonry,,P12.1;P12.3;P14,contested
antq_reg_coconut_workshop,consumer_goods_category,antq_s2_workshop_construction,yes,antq_coconut_products,,P12.1;P12.3;P14;PER,contested
antq_reg_codex_bindery,cultural_category,antq_s2_civic_construction,yes,antq_bound_codices,,MET-LATE-ROMAN-WORLD,secure
antq_reg_collegia_hall,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_colonia_forum,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_combmaker,consumer_goods_category,antq_s2_workshop_construction,yes,jewelry,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_cooperage,consumer_goods_category,antq_s2_workshop_construction,yes,furniture,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_copper_smithy,basic_industry_category,antq_s2_workshop_construction,yes,antq_bronze_wares,,P12.1,contested
antq_reg_coral_workshop,consumer_goods_category,antq_s2_workshop_construction,yes,jewelry,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_cordwainer,consumer_goods_category,antq_s2_workshop_construction,yes,antq_leather_goods,,P12.1;P12.3,contested
antq_reg_cork_workshop,consumer_goods_category,antq_s2_workshop_construction,yes,furniture,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_cotton_weavery,consumer_goods_category,antq_s2_workshop_construction,yes,cloth,,P12.1;P8.4;PER,contested
antq_reg_crucible_steel_workshop,basic_industry_category,antq_s2_workshop_construction,yes,steel,,P12.1;P12.3;P14,contested
antq_reg_cursus_mansio,government_category,antq_s2_roadworks_construction,no,,tools=0.020;antq_cordage=0.015,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_customs_gate,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,P12.1;MET-ROMAN-TRADE,contested
antq_reg_date_drying_yard,consumer_goods_category,antq_s2_workshop_construction,yes,antq_dried_fruit,,P12.1;P12.3;P14;PER,secure
antq_reg_diatretum_glasshouse,consumer_goods_category,antq_s2_workshop_construction,yes,antq_cage_glass,,BM-LYCURGUS,secure
antq_reg_dye_finishing_house,consumer_goods_category,antq_s2_workshop_construction,yes,fine_cloth,,P12.1;P12.3;P14,contested
antq_reg_dye_workshop,basic_industry_category,antq_s2_workshop_construction,yes,fine_cloth,,UNESCO-TYRE;POM-FULLONICA,contested
antq_reg_eastern_arabian_aflaj,infrastructure_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,STR-ARAB;P8.6;P12.1;CAH-XI,contested
antq_reg_feltworks,consumer_goods_category,antq_s2_workshop_construction,yes,antq_felt_goods,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_ferry_quay,trade_category,antq_s2_roadworks_construction,yes,naval_supplies,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_figurine_kiln,consumer_goods_category,antq_s2_workshop_construction,yes,pottery,,P12.1;P12.3,contested
antq_reg_fineware_kiln,basic_industry_category,antq_s2_workshop_construction,yes,antq_fine_ceramics,,BM-ARRETINE;BM-MEMPHIS,contested
antq_reg_fish_saltery,basic_industry_category,antq_s2_enabling_industry_construction,yes,antq_preserved_fish,,BAELO-SALTERY,secure
antq_reg_fishing_tackle,naval_category,antq_s2_port_construction,yes,antq_cordage,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_flax_retting_yard,basic_industry_category,antq_s2_workshop_construction,yes,cloth,,P12.1;P12.3,contested
antq_reg_forum_basilica,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_fountain_house,infrastructure_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,P12.1;P12.3,contested
antq_reg_frontier_magazine,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_fruit_brewery,consumer_goods_category,antq_s2_workshop_construction,yes,beer,,P12.1;P12.3;P14,contested
antq_reg_fullonica,basic_industry_category,antq_s2_workshop_construction,yes,cloth,,POM-FULLONICA,secure
antq_reg_garum_workshop,consumer_goods_category,antq_s2_workshop_construction,yes,antq_preserved_fish,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_germanic_assembly_field,cultural_category,antq_s2_rural_construction,no,,antq_cordage=0.020;leather=0.015;tools=0.010,P8.7;TAC-GER;STR-GER,contested
antq_reg_glass_bead_furnace,consumer_goods_category,antq_s2_workshop_construction,yes,antq_glass_beads,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_glassworks,basic_industry_category,antq_s2_workshop_construction,yes,antq_glasswares,,MET-ROMAN-GLASS,secure
antq_reg_grain_mill,basic_industry_category,antq_s2_enabling_industry_construction,yes,antq_grain_products,,P12.1;P12.3,contested
antq_reg_grain_weighhouse,trade_category,antq_s2_market_construction,no,,pottery=0.020;cloth=0.015,P12.1;P12.3,contested
antq_reg_granary,trade_category,antq_s2_storehouse_construction,no,,pottery=0.020;antq_cordage=0.010,P12.1;P12.3,contested
antq_reg_harness_maker,consumer_goods_category,antq_s2_workshop_construction,yes,antq_leather_goods,,P12.1;P12.3,contested
antq_reg_herbal_apothecary,consumer_goods_category,antq_s2_workshop_construction,yes,medicaments,,P12.1;P12.3;P14,contested
antq_reg_hide_curing_yard,basic_industry_category,antq_s2_enabling_industry_construction,yes,leather,,P12.1;P12.3,contested
antq_reg_honey_house,consumer_goods_category,antq_s2_workshop_construction,yes,beer,,P12.1;P12.3,contested
antq_reg_hornworker,consumer_goods_category,antq_s2_workshop_construction,yes,jewelry,,P12.1;P12.3,contested
antq_reg_horrea_complex,infrastructure_category,antq_s2_storehouse_construction,no,,pottery=0.020;antq_cordage=0.010,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_hypocaust_yard,basic_industry_category,antq_s2_workshop_construction,no,,antq_cordage=0.010;tools=0.010,P12.1;P12.3,contested
antq_reg_incense_workshop,consumer_goods_category,antq_s2_workshop_construction,yes,antq_perfumes,,P12.1;P12.3,contested
antq_reg_instrument_maker,consumer_goods_category,antq_s2_workshop_construction,yes,furniture,,P12.1;P12.3,contested
antq_reg_insulae_quarter,infrastructure_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_iron_bloomery,basic_industry_category,antq_s2_enabling_industry_construction,yes,tools,,P12.1;P12.3,contested
antq_reg_ironmongery,basic_industry_category,antq_s2_enabling_industry_construction,yes,antq_iron_hardware,,P12.1;P12.3,contested
antq_reg_ivory_carver,consumer_goods_category,antq_s2_workshop_construction,yes,jewelry,,P12.1;PER,contested
antq_reg_jeweler,consumer_goods_category,antq_s2_workshop_construction,yes,jewelry,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_joinery,consumer_goods_category,antq_s2_workshop_construction,yes,furniture,,P12.1;P12.3,contested
antq_reg_kiln_furniture,basic_industry_category,antq_s2_workshop_construction,yes,pottery,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_lacquer_workshop,consumer_goods_category,antq_s2_workshop_construction,yes,antq_lacquerware,,P12.1;BHR,contested
antq_reg_lamp_oil_depot,trade_category,antq_s2_market_construction,no,,pottery=0.020;cloth=0.015,P12.1;P12.3,contested
antq_reg_lampworks,consumer_goods_category,antq_s2_workshop_construction,yes,pottery,,P12.1;P12.3,contested
antq_reg_lapidary,consumer_goods_category,antq_s2_workshop_construction,yes,jewelry,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_lead_foundry,basic_industry_category,antq_s2_workshop_construction,yes,antq_lead_wares,,P12.1,contested
antq_reg_lead_pipeworks,basic_industry_category,antq_s2_workshop_construction,yes,antq_lead_wares,,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_leatherworks,basic_industry_category,antq_s2_enabling_industry_construction,yes,antq_leather_goods,,P12.1;P12.3,contested
antq_reg_lime_kiln,basic_industry_category,antq_s2_workshop_construction,yes,masonry,,P12.1,contested
antq_reg_linen_bleachery,consumer_goods_category,antq_s2_workshop_construction,yes,cloth,,P12.1;P12.3,contested
antq_reg_linen_weavery,consumer_goods_category,antq_s2_enabling_industry_construction,yes,cloth,,P12.1;P12.3,contested
antq_reg_locksmith,basic_industry_category,antq_s2_workshop_construction,yes,antq_iron_hardware,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_loom_house,consumer_goods_category,antq_s2_workshop_construction,yes,cloth,,P12.1;P12.3,contested
antq_reg_loomweight_weavery,consumer_goods_category,antq_s2_workshop_construction,yes,cloth,,P12.1;P12.3,contested
antq_reg_macellum_stalls,trade_category,antq_s2_market_construction,no,,pottery=0.020;cloth=0.015,P12.1;P12.3,contested
antq_reg_marble_yard,basic_industry_category,antq_s2_workshop_construction,yes,masonry,,P12.1,contested
antq_reg_marcomannic_royal_compound,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,P8.7;STR-GER;TAC-ANN-II,contested
antq_reg_materia_medica,consumer_goods_category,antq_s2_workshop_construction,yes,medicaments,,P12.1;P12.3;P14,contested
antq_reg_meat_curing_yard,consumer_goods_category,antq_s2_enabling_industry_construction,yes,antq_cured_meat,,P12.1;P12.3;P14,secure
antq_reg_mensores_office,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,P12.1;P12.3,contested
antq_reg_metalwork,basic_industry_category,antq_s2_workshop_construction,yes,tools,,P12.1,secure
antq_reg_millet_brewery,consumer_goods_category,antq_s2_workshop_construction,yes,beer,,P12.1;P12.3;P14,contested
antq_reg_monetal_workshop,consumer_goods_category,antq_s2_workshop_construction,yes,jewelry,,P12.1;P12.3,contested
antq_reg_mordant_dyehouse,consumer_goods_category,antq_s2_workshop_construction,yes,fine_cloth,,P12.1;P12.3,contested
antq_reg_mortar_grinder,basic_industry_category,antq_s2_workshop_construction,yes,masonry,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_mosaic_workshop,consumer_goods_category,antq_s2_workshop_construction,yes,masonry,,P12.1;P12.3,contested
antq_reg_nailery,basic_industry_category,antq_s2_workshop_construction,yes,antq_iron_hardware,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_netmaker,consumer_goods_category,antq_s2_workshop_construction,yes,antq_cordage,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_north_sea_boat_landing,naval_category,antq_s2_port_construction,no,,antq_cordage=0.040;tar=0.020,P8.7;TAC-GER;STR-GER;UT-TARAND,contested
antq_reg_nut_grinding_house,consumer_goods_category,antq_s2_workshop_construction,yes,antq_nut_pastes,,P12.1;P12.3;P14,contested
antq_reg_oarwright,basic_industry_category,antq_s2_workshop_construction,yes,naval_supplies,,P12.1;P12.3;MET-ROMAN-TRADE,contested
antq_reg_oil_bottler,trade_category,antq_s2_market_construction,yes,antq_olive_oil,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_oil_lamp_kiln,basic_industry_category,antq_s2_workshop_construction,yes,antq_fine_ceramics,,P12.1;P12.3,contested
antq_reg_olive_estate,basic_industry_category,antq_s2_rural_construction,yes,antq_olive_oil,,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_olive_press,basic_industry_category,antq_s2_enabling_industry_construction,yes,antq_olive_oil,,MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure
antq_reg_pack_animal_yard,trade_category,antq_s2_market_construction,no,,pottery=0.020;cloth=0.015,P12.1;P12.3,contested
antq_reg_packsaddle_workshop,consumer_goods_category,antq_s2_workshop_construction,yes,antq_leather_goods,,P12.1;P12.3,contested
antq_reg_papyrus_workshop,consumer_goods_category,antq_s2_workshop_construction,yes,paper,,P12.1;P12.3,contested
antq_reg_parchmentery,consumer_goods_category,antq_s2_workshop_construction,yes,antq_parchment,,P12.1;P12.3,contested
antq_reg_perfumery,consumer_goods_category,antq_s2_workshop_construction,yes,antq_perfumes,,P12.1;MET-ROMAN-TRADE,contested
antq_reg_polychrome_goldsmith,consumer_goods_category,antq_s2_workshop_construction,yes,antq_garnet_cloisonne,,MET-HUNNIC-BUCKLE,secure
