good	local_deficit	source_market	distance	their_surplus	their_available_to_trade
fruit	4.70827	Ctesiphon	3076.7234	14.53687	14.53687
fruit	4.70827	Atropatene	3110.7328	4.62131	4.62131
fruit	4.70827	Ecbatana	3394.6348	4.13042	4.13042
fruit	4.70827	Susa	3422.7224	40.88897	40.88897
fruit	4.70827	Meroe	3572.134	6.16297	6.16297
fruit	4.70827	Rhaga	3623.744	27.66091	27.66091
fruit	4.70827	Virú	3798	1.05385	1.05385
fruit	4.70827	Adulitan Northern Coast	3890.648	9.32452	9.32452
fruit	4.70827	Muziris	3955	9.2465	9.2465
fruit	4.70827	Palaesimundum	3986.51882	0.34838	0.34838
fruit	4.70827	Mouza	4008	56.8697	56.8697
fruit	4.70827	Barygaza	4137	8.51477	8.51477
fruit	4.70827	Brantas Coast	4219	2.46646	2.46646
fruit	4.70827	Malay Straits	4250	3.01758	3.01758
fruit	4.70827	Mon Coast	4332	5.3013	5.3013
fruit	4.70827	Angkor Borei	4485.04346	0.84058	0.84058
fruit	4.70827	Monte Albán	4560.62308	2.13594	2.13594
fruit	4.70827	Luzon Coast	4629	10.11945	10.11945
fruit	4.70827	Mekong Basin	4658.26588	2.39674	2.39674
fruit	4.70827	Pataliputra	4794.592	21.55864	21.55864
fruit	4.70827	Marakanda	4979.546	11.61981	11.61981
fruit	4.70827	Indus–Taxila Ford	5173.4608	0.65189	0.65189
fruit	4.70827	Kashgar	5762.202	3.10492	3.10492
horses	3.73423	Hippo Regius	146	0.27887	0.27887
horses	3.73423	Nemausus	165	0.53841	0.53841
horses	3.73423	Tacape	215	1.13638	3.25236
horses	3.73423	Tarentum	222	0.96179	0.96179
horses	3.73423	Šaršāl	264	3.47469	3.47469
horses	3.73423	Brundisium	267	2.79503	2.93204
horses	3.73423	Corinthus	278	0.684	0.684
horses	3.73423	Bononia	376.4316	0.72446	0.72446
horses	3.73423	Smyrna Ionia Caria Cedar	381	0.15409	0.15409
horses	3.73423	Caesaraugusta	402.97464	2.94622	3.55374
horses	3.73423	Gades	409	8.28018	9.80185
horses	3.73423	Aquileia	422	5.19233	6.80474
horses	3.73423	Byzantion	483	14.24953	14.24953
horses	3.73423	Corduba	486.42362	4.16535	4.16535
horses	3.73423	Olisipo	519	1.51464	1.51464
horses	3.73423	Antiochia ad Orontem	534	0	1.68879
horses	3.73423	Judaea–Samaria–Idumaea Plain	587.08328	2.45917	2.45917
horses	3.73423	Demašq	604.7949	0.04478	0.50013
horses	3.73423	Emerita Augusta	620.13348	2.66748	3.12217
horses	3.73423	Petra	676.0148	1.78532	2.2166
horses	3.73423	Bosporan Phanagoria–Sindica	683	44.24005	44.24005
horses	3.73423	Edessa	806.92392	2.34822	2.7002
horses	3.73423	Burdigala	811	8.81929	11.08499
horses	3.73423	Ubii Ara Ubiorum Oak Meadow	1287.41206	23.40942	23.40942
horses	3.73423	Ctesiphon	3076.7234	0.6149	0.6149
horses	3.73423	Atropatene	3110.7328	2.06584	2.06584
horses	3.73423	Ecbatana	3394.6348	0	0.08253
horses	3.73423	Susa	3422.7224	7.19707	7.44175
horses	3.73423	Meroe	3572.134	1.97189	1.97189
horses	3.73423	Adulitan Northern Coast	3890.648	0.0919	0.0919
horses	3.73423	Mouza	4008	0.10313	2.41979
horses	3.73423	Brantas Coast	4219	1.981	1.981
horses	3.73423	Malay Straits	4250	0	1.35111
horses	3.73423	Mon Coast	4332	0	2.29941
horses	3.73423	Mekong Basin	4658.26588	0.45081	0.45081
horses	3.73423	Jiaozhi	4772.1321	0	0.65417
horses	3.73423	Marakanda	4979.546	23.15212	23.15212
horses	3.73423	Luoyang	5716.85	19.6842	19.6842
horses	3.73423	Kashgar	5762.202	20.41528	20.41528
horses	3.73423	Chengdu	5804.7822	3.16812	3.16812
horses	3.73423	Chang'an	6151.7138	4.86756	4.86756
fish	2.56749	Hippo Diarrhytus	128	0.27649	0.27649
fish	2.56749	Carthago	146	0.48613	0.48613
fish	2.56749	Hippo Regius	146	1.39479	1.39479
fish	2.56749	Tacape	215	5.46117	5.46117
fish	2.56749	Tarraco	217	4.53085	4.53085
fish	2.56749	Šaršāl	264	11.27849	11.27849
fish	2.56749	Brundisium	267	1.17325	1.17325
fish	2.56749	Corinthus	278	11.20211	11.20211
fish	2.56749	Gades	409	21.24561	21.24561
fish	2.56749	Aquileia	422	3.61282	3.61282
fish	2.56749	Alexandria	451	3.66097	3.66097
fish	2.56749	Byzantion	483	8.43876	8.43876
fish	2.56749	Olisipo	519	20.20727	20.20727
fish	2.56749	Colonia Berytus	525	0.60903	0.60903
fish	2.56749	Judaea–Samaria–Idumaea Plain	587.08328	1.10303	1.10303
fish	2.56749	Beroea of Syria	638.23972	0.3893	0.3893
fish	2.56749	Petra	676.0148	6.3879	6.3879
fish	2.56749	Bosporan Phanagoria–Sindica	683	14.16267	14.16267
fish	2.56749	Burdigala	811	19.51985	19.51985
fish	2.56749	Ubii Ara Ubiorum Oak Meadow	1287.41206	94.90255	94.90255
fish	2.56749	Cuicuilco	2050.47064	3.37602	3.37602
fish	2.56749	Atropatene	3110.7328	0.15085	0.15085
fish	2.56749	Ecbatana	3394.6348	0.21909	0.21909
fish	2.56749	Susa	3422.7224	11.38741	11.38741
fish	2.56749	Meroe	3572.134	3.5097	3.5097
fish	2.56749	Virú	3798	1.42251	1.42251
fish	2.56749	Adulitan Northern Coast	3890.648	6.52293	6.52293
fish	2.56749	Muziris	3955	3.17221	3.17221
fish	2.56749	Palaesimundum	3986.51882	11.13797	11.13797
fish	2.56749	Mouza	4008	52.03061	52.03061
fish	2.56749	Brantas Coast	4219	45.34758	45.34758
fish	2.56749	Malay Straits	4250	38.83842	38.83842
fish	2.56749	Mon Coast	4332	5.17144	5.17144
fish	2.56749	Angkor Borei	4485.04346	4.94032	4.94032
fish	2.56749	Monte Albán	4560.62308	4.87317	4.87317
fish	2.56749	Luzon Coast	4629	28.73446	28.73446
fish	2.56749	Mekong Basin	4658.26588	5.35442	5.35442
fish	2.56749	Panyu	4744	27.14564	27.14564
fish	2.56749	Jiaozhi	4772.1321	8.1674	8.1674
fish	2.56749	Luoyang	5716.85	119.26197	119.26197
fish	2.56749	Kashgar	5762.202	4.25111	4.25111
fish	2.56749	Chengdu	5804.7822	3.90615	3.90615
antq_fine_ceramics	1.86841	Hippo Diarrhytus	128	0	0.0542
antq_fine_ceramics	1.86841	Massilia	135	0	0.04077
antq_fine_ceramics	1.86841	Arelate	163	0	0.09444
antq_fine_ceramics	1.86841	Hadrumetum	164	0	0.05205
antq_fine_ceramics	1.86841	Mutina	164.1873	0	0.06884
antq_fine_ceramics	1.86841	Nemausus	165	0	0.03791
antq_fine_ceramics	1.86841	Tacape	215	0	0.05878
antq_fine_ceramics	1.86841	Ravenna	343.31328	0	0.09165
antq_fine_ceramics	1.86841	Bononia	376.4316	0	0.12958
antq_cordage	1.64698	Hippo Diarrhytus	128	0.46032	1.14647
antq_cordage	1.64698	Massilia	135	1.08549	1.08549
antq_cordage	1.64698	Carthago	146	0	0.92258
antq_cordage	1.64698	Hippo Regius	146	0.92922	0.92922
antq_cordage	1.64698	Arelate	163	0	1.19841
antq_cordage	1.64698	Hadrumetum	164	0	1.14514
antq_cordage	1.64698	Mutina	164.1873	1.17096	1.17096
antq_cordage	1.64698	Nemausus	165	1.11494	1.11494
antq_cordage	1.64698	Narbo Martius	178	0.15487	0.9031
antq_cordage	1.64698	Tacape	215	0.84289	0.84289
antq_cordage	1.64698	Tarraco	217	0.00549	0.59808
antq_cordage	1.64698	Mediolanum	219.70292	0.53616	0.53616
antq_cordage	1.64698	Tarentum	222	0.65614	0.65614
antq_cordage	1.64698	Corinthus	278	0	0.49245
antq_cordage	1.64698	Ravenna	343.31328	1.21771	1.21771
antq_cordage	1.64698	Bononia	376.4316	0	0.29079
antq_cordage	1.64698	Caesaraugusta	402.97464	0	0.26921
antq_cordage	1.64698	Corduba	486.42362	0	0.61952
antq_cordage	1.64698	Olisipo	519	0.31066	0.31066
antq_cordage	1.64698	Colonia Berytus	525	0	0.92742
antq_cordage	1.64698	Phoenician Sidon	527	1.2563	1.2563
antq_cordage	1.64698	Antiochia ad Orontem	534	0	0.81974
antq_cordage	1.64698	Judaea–Samaria–Idumaea Plain	587.08328	0	0.99861
antq_cordage	1.64698	Emesa	592.34502	1.2698	1.2698
antq_cordage	1.64698	Demašq	604.7949	0.63089	1.06994
antq_cordage	1.64698	Emerita Augusta	620.13348	0	0.66936
antq_cordage	1.64698	Beroea of Syria	638.23972	0	0.8856
antq_cordage	1.64698	Petra	676.0148	0.25054	0.2552
antq_cordage	1.64698	Bosporan Phanagoria–Sindica	683	0.14645	0.14645
antq_cordage	1.64698	Arbela	2945.571	0	1.22851
antq_cordage	1.64698	Ecbatana	3394.6348	0	0.80554
antq_cordage	1.64698	Meroe	3572.134	0	0.0745
antq_cordage	1.64698	Rhaga	3623.744	0	0.54652
antq_cordage	1.64698	Adulitan Northern Coast	3890.648	0	0.04839
antq_cordage	1.64698	Muziris	3955	0	0.8579
antq_cordage	1.64698	Marakanda	4979.546	0.07558	0.07558
antq_cordage	1.64698	Kashgar	5762.202	0.16662	0.16662
sugar	1.40917	Hippo Diarrhytus	128	0.90475	1.98489
sugar	1.40917	Hadrumetum	164	1.98519	1.98519
sugar	1.40917	Tarraco	217	2.82664	2.86612
sugar	1.40917	Tarentum	222	4.9182	5.00019
sugar	1.40917	Šaršāl	264	3.4974	6.56281
sugar	1.40917	Corinthus	278	0.70676	0.70676
sugar	1.40917	Smyrna Ionia Caria Cedar	381	1.66465	1.66465
sugar	1.40917	Gades	409	3.56016	3.56016
sugar	1.40917	Alexandria	451	12.22054	14.21398
sugar	1.40917	Corduba	486.42362	3.64942	5.00849
sugar	1.40917	Phoenician Sidon	527	1.85197	2.00971
sugar	1.40917	Demašq	604.7949	0.87989	0.87989
sugar	1.40917	Beroea of Syria	638.23972	1.80145	1.80145
sugar	1.40917	Ctesiphon	3076.7234	2.27264	2.27264
sugar	1.40917	Susa	3422.7224	4.19069	4.19069
sugar	1.40917	Rhaga	3623.744	1.74074	2.78189
sugar	1.40917	Adulitan Northern Coast	3890.648	2.64894	2.64894
sugar	1.40917	Muziris	3955	3.23543	3.23543
sugar	1.40917	Mouza	4008	6.51739	6.51739
sugar	1.40917	Barygaza	4137	7.53907	8.36237
sugar	1.40917	Brantas Coast	4219	1.65106	1.65106
sugar	1.40917	Malay Straits	4250	2.42515	2.42515
sugar	1.40917	Mon Coast	4332	0.82248	0.82248
sugar	1.40917	Mekong Basin	4658.26588	1.88995	1.88995
sugar	1.40917	Panyu	4744	14.86278	14.86278
sugar	1.40917	Jiaozhi	4772.1321	3.58517	3.58517
sugar	1.40917	Pataliputra	4794.592	34.86999	34.86999
sugar	1.40917	Marakanda	4979.546	0.43406	0.43406
sugar	1.40917	Indus–Taxila Ford	5173.4608	10.82733	10.82733
sugar	1.40917	Chengdu	5804.7822	1.44792	1.44792
silver	1.13089	Hippo Diarrhytus	128	1.00756	1.00756
silver	1.13089	Mediolanum	219.70292	0.92127	0.92127
silver	1.13089	Brundisium	267	6.36955	6.36955
silver	1.13089	Smyrna Ionia Caria Cedar	381	3.56641	3.56641
silver	1.13089	Gades	409	0.78721	0.78721
silver	1.13089	Aquileia	422	8.32899	8.39732
silver	1.13089	Lugdunum	433.42518	0.54698	0.54698
silver	1.13089	Corduba	486.42362	0.94551	0.94551
silver	1.13089	Olisipo	519	0.73965	0.89204
silver	1.13089	Antiochia ad Orontem	534	0	0.91017
silver	1.13089	Bosporan Phanagoria–Sindica	683	0.90153	0.90153
silver	1.13089	Edessa	806.92392	0.80895	0.80895
silver	1.13089	Burdigala	811	4.5575	4.5575
silver	1.13089	Ubii Ara Ubiorum Oak Meadow	1287.41206	6.27738	6.27738
silver	1.13089	Maya Lowlands	1807.50822	0.85126	0.85126
silver	1.13089	Cuicuilco	2050.47064	3.78147	3.78147
silver	1.13089	Atropatene	3110.7328	1.21775	1.21775
silver	1.13089	Susa	3422.7224	0.63142	0.63142
silver	1.13089	Rhaga	3623.744	1.93912	1.93912
silver	1.13089	Virú	3798	5.88983	5.88983
silver	1.13089	Barygaza	4137	2.1864	2.1864
silver	1.13089	Malay Straits	4250	0.75312	0.75312
silver	1.13089	Monte Albán	4560.62308	1.87547	1.87547
silver	1.13089	Panyu	4744	6.54689	6.54689
silver	1.13089	Jiaozhi	4772.1321	1.84431	1.84431
silver	1.13089	Marakanda	4979.546	3.24463	3.24463
silver	1.13089	Luoyang	5716.85	26.9979	26.9979
silver	1.13089	Kashgar	5762.202	1.90036	1.90036
goods_gold	1.00997	Mediolanum	219.70292	0.92132	0.92132
goods_gold	1.00997	Brundisium	267	1.88465	1.90625
goods_gold	1.00997	Corinthus	278	0.91468	0.91468
goods_gold	1.00997	Gades	409	7.61283	7.61283
goods_gold	1.00997	Aquileia	422	3.39623	4.4062
goods_gold	1.00997	Byzantion	483	0.60552	0.60552
goods_gold	1.00997	Petra	676.0148	1.34677	1.88157
goods_gold	1.00997	Ubii Ara Ubiorum Oak Meadow	1287.41206	3.29838	3.29838
goods_gold	1.00997	Cuicuilco	2050.47064	2.72486	2.72486
goods_gold	1.00997	Ctesiphon	3076.7234	0.72028	0.72028
goods_gold	1.00997	Atropatene	3110.7328	0.95168	0.95168
goods_gold	1.00997	Susa	3422.7224	0.62765	0.62765
goods_gold	1.00997	Meroe	3572.134	8.10709	8.10709
goods_gold	1.00997	Virú	3798	4.81264	4.81264
goods_gold	1.00997	Adulitan Northern Coast	3890.648	1.96816	1.96816
goods_gold	1.00997	Muziris	3955	0.65014	0.65014
goods_gold	1.00997	Mouza	4008	6.84326	6.84326
goods_gold	1.00997	Barygaza	4137	0.88384	0.88384
goods_gold	1.00997	Brantas Coast	4219	1.68065	1.68065
goods_gold	1.00997	Malay Straits	4250	7.60941	7.60941
goods_gold	1.00997	Mon Coast	4332	2.00982	2.00982
goods_gold	1.00997	Luzon Coast	4629	0.812	0.812
goods_gold	1.00997	Panyu	4744	4.50649	4.50649
goods_gold	1.00997	Marakanda	4979.546	2.59867	2.59867
goods_gold	1.00997	Indus–Taxila Ford	5173.4608	1.44454	1.44454
goods_gold	1.00997	Luoyang	5716.85	44.39618	44.39618
goods_gold	1.00997	Kashgar	5762.202	0.53836	0.53836
goods_gold	1.00997	Chengdu	5804.7822	1.40449	1.40449
goods_gold	1.00997	Chang'an	6151.7138	3.11404	3.11404
antq_iron_hardware	0.93633	Hippo Diarrhytus	128	0.96508	0.96508
antq_iron_hardware	0.93633	Massilia	135	0.94418	0.94418
antq_iron_hardware	0.93633	Carthago	146	0.09467	0.79855
antq_iron_hardware	0.93633	Hippo Regius	146	0.88787	0.88787
antq_iron_hardware	0.93633	Arelate	163	0	1.00589
antq_iron_hardware	0.93633	Hadrumetum	164	0.96123	0.96123
antq_iron_hardware	0.93633	Mutina	164.1873	0.98243	0.98243
antq_iron_hardware	0.93633	Nemausus	165	0	0.93662
antq_iron_hardware	0.93633	Narbo Martius	178	0.27579	0.76387
antq_iron_hardware	0.93633	Tacape	215	0.70012	0.70012
antq_iron_hardware	0.93633	Tarraco	217	0	0.51404
antq_iron_hardware	0.93633	Mediolanum	219.70292	0.46166	0.46166
antq_iron_hardware	0.93633	Tarentum	222	0	0.56131
antq_iron_hardware	0.93633	Corinthus	278	0.42433	0.42433
antq_iron_hardware	0.93633	Ravenna	343.31328	0.98304	0.98304
antq_iron_hardware	0.93633	Bononia	376.4316	0	1.03751
antq_iron_hardware	0.93633	Caesaraugusta	402.97464	0	0.24208
antq_iron_hardware	0.93633	Corduba	486.42362	0.53391	0.53391
antq_iron_hardware	0.93633	Olisipo	519	0.27602	0.27602
antq_iron_hardware	0.93633	Colonia Berytus	525	0	1.00861
antq_iron_hardware	0.93633	Phoenician Sidon	527	1.04056	1.04056
antq_iron_hardware	0.93633	Antiochia ad Orontem	534	0	0.66989
antq_iron_hardware	0.93633	Judaea–Samaria–Idumaea Plain	587.08328	0.81895	0.81895
antq_iron_hardware	0.93633	Emesa	592.34502	1.15631	1.15631
antq_iron_hardware	0.93633	Demašq	604.7949	0.88342	0.88342
antq_iron_hardware	0.93633	Emerita Augusta	620.13348	0	0.57431
antq_iron_hardware	0.93633	Beroea of Syria	638.23972	0	0.68881
antq_iron_hardware	0.93633	Petra	676.0148	0.19081	0.19081
antq_iron_hardware	0.93633	Bosporan Phanagoria–Sindica	683	0.07524	0.07524
antq_iron_hardware	0.93633	Arbela	2945.571	0	1.02936
antq_iron_hardware	0.93633	Ecbatana	3394.6348	0	0.68498
antq_iron_hardware	0.93633	Meroe	3572.134	0	0.07128
antq_iron_hardware	0.93633	Rhaga	3623.744	0	0.45478
antq_iron_hardware	0.93633	Adulitan Northern Coast	3890.648	0	0.06309
antq_iron_hardware	0.93633	Marakanda	4979.546	0.42812	0.42812
antq_iron_hardware	0.93633	Kashgar	5762.202	0.02161	0.02161
cloth	0.61233	Hippo Diarrhytus	128	0.98781	0.98781
cloth	0.61233	Massilia	135	0.71884	0.98031
cloth	0.61233	Carthago	146	0	0.84548
cloth	0.61233	Hippo Regius	146	0.87609	0.87609
cloth	0.61233	Arelate	163	0	1.00735
cloth	0.61233	Hadrumetum	164	0.98707	0.98707
cloth	0.61233	Mutina	164.1873	0.25461	1.09787
cloth	0.61233	Nemausus	165	0.96912	0.96912
cloth	0.61233	Narbo Martius	178	0.96971	0.96971
cloth	0.61233	Tacape	215	0.91434	0.91434
cloth	0.61233	Tarraco	217	0.73035	0.73035
cloth	0.61233	Mediolanum	219.70292	0.6977	0.6977
cloth	0.61233	Tarentum	222	0	0.75672
cloth	0.61233	Brundisium	267	0	0.35295
cloth	0.61233	Corinthus	278	0	0.6532
cloth	0.61233	Ravenna	343.31328	0.93959	0.93959
cloth	0.61233	Bononia	376.4316	0.27086	1.12161
cloth	0.61233	Caesaraugusta	402.97464	0	0.57236
cloth	0.61233	Alexandria	451	0	0.24818
cloth	0.61233	Olisipo	519	0.58815	0.58815
cloth	0.61233	Antiochia ad Orontem	534	0	0.76498
cloth	0.61233	Judaea–Samaria–Idumaea Plain	587.08328	0.31064	0.31064
cloth	0.61233	Emerita Augusta	620.13348	0.72962	0.766
cloth	0.61233	Edessa	806.92392	0.20717	0.33437
cloth	0.61233	Maya Lowlands	1807.50822	1.2778	1.2778
cloth	0.61233	Arbela	2945.571	0	1.07071
cloth	0.61233	Ecbatana	3394.6348	0	0.56634
cloth	0.61233	Rhaga	3623.744	0	0.44022
cloth	0.61233	Indus–Taxila Ford	5173.4608	1.00704	1.00704
pottery	0.606	Antiochia ad Orontem	534	0	0.28672
pottery	0.606	Beroea of Syria	638.23972	0	0.10288
pottery	0.606	Cuicuilco	2050.47064	0.19014	1.05761
pottery	0.606	Virú	3798	1.03597	1.03597
pottery	0.606	Luzon Coast	4629	0	0.87104
pottery	0.606	Kashgar	5762.202	1.00828	1.00828
saffron	0.43719	Hippo Diarrhytus	128	2.3815	2.3815
saffron	0.43719	Massilia	135	4.23029	4.23029
saffron	0.43719	Arelate	163	-2.48095	3.07355
saffron	0.43719	Nemausus	165	3.1725	3.1725
saffron	0.43719	Narbo Martius	178	1.73127	2.97322
saffron	0.43719	Tacape	215	-0.22787	1.87699
saffron	0.43719	Tarraco	217	0.79151	0.79151
saffron	0.43719	Tarentum	222	2.16523	2.16523
saffron	0.43719	Šaršāl	264	0.36807	0.36807
saffron	0.43719	Brundisium	267	1.55422	1.55422
saffron	0.43719	Corinthus	278	-1.39802	0.717
saffron	0.43719	Bononia	376.4316	1.05752	1.05752
saffron	0.43719	Smyrna Ionia Caria Cedar	381	-7.65157	10.0882
saffron	0.43719	Caesaraugusta	402.97464	-4.64238	3.8182
saffron	0.43719	Gades	409	0.48344	0.48344
saffron	0.43719	Aquileia	422	0.18821	0.18821
saffron	0.43719	Lugdunum	433.42518	-1.21646	1.95604
saffron	0.43719	Alexandria	451	14.50975	14.59718
saffron	0.43719	Corduba	486.42362	-2.35291	1.84585
saffron	0.43719	Olisipo	519	2.09611	2.09611
saffron	0.43719	Colonia Berytus	525	1.01374	1.01374
saffron	0.43719	Antiochia ad Orontem	534	-1.30279	0.71919
saffron	0.43719	Judaea–Samaria–Idumaea Plain	587.08328	1.08228	1.08228
saffron	0.43719	Demašq	604.7949	0.04373	0.04373
saffron	0.43719	Emerita Augusta	620.13348	0.01882	0.01882
saffron	0.43719	Beroea of Syria	638.23972	2.12183	2.12183
saffron	0.43719	Petra	676.0148	-0.45999	0.62229
saffron	0.43719	Edessa	806.92392	-3.4692	1.53774
saffron	0.43719	Burdigala	811	0.82008	0.82008
saffron	0.43719	Arbela	2945.571	2.84114	2.84114
saffron	0.43719	Ctesiphon	3076.7234	0.3645	0.3645
saffron	0.43719	Atropatene	3110.7328	-1.74171	1.09943
saffron	0.43719	Ecbatana	3394.6348	-4.13408	3.92404
saffron	0.43719	Susa	3422.7224	3.78574	3.78574
saffron	0.43719	Meroe	3572.134	-3.22374	3.24787
saffron	0.43719	Rhaga	3623.744	2.79098	2.79098
saffron	0.43719	Adulitan Northern Coast	3890.648	2.8723	3.76096
saffron	0.43719	Marakanda	4979.546	-1.42094	0.48793
saffron	0.43719	Kashgar	5762.202	1.03746	1.03746
incense	0.25	Cuicuilco	2050.47064	-2.60012	2.84617
incense	0.25	Adulitan Northern Coast	3890.648	4.25719	4.28719
incense	0.25	Muziris	3955	-2.66045	10.22902
incense	0.25	Palaesimundum	3986.51882	11.63044	11.63044
incense	0.25	Mouza	4008	11.79658	11.79658
incense	0.25	Barygaza	4137	2.52346	2.52346
incense	0.25	Brantas Coast	4219	1.30545	1.30545
incense	0.25	Malay Straits	4250	1.97644	1.97644
incense	0.25	Mon Coast	4332	2.40949	2.40949
incense	0.25	Angkor Borei	4485.04346	0.99936	0.99936
incense	0.25	Monte Albán	4560.62308	2.81572	2.81572
incense	0.25	Mekong Basin	4658.26588	0.86811	0.86811
incense	0.25	Panyu	4744	2.51529	2.51529
incense	0.25	Jiaozhi	4772.1321	1.90567	1.90567
incense	0.25	Pataliputra	4794.592	2.14403	2.14403
incense	0.25	Marakanda	4979.546	0.90315	0.90315
incense	0.25	Luoyang	5716.85	0.43365	0.46365
millet	0.06707	Carthago	146	0.98878	0.98878
millet	0.06707	Hippo Regius	146	0.9097	0.9097
millet	0.06707	Nemausus	165	0.39292	0.39292
millet	0.06707	Tacape	215	1.8479	1.8479
millet	0.06707	Mediolanum	219.70292	1.58171	1.58171
millet	0.06707	Šaršāl	264	8.01559	8.01559
millet	0.06707	Gades	409	31.95094	31.95094
millet	0.06707	Aquileia	422	13.30273	13.30273
millet	0.06707	Lugdunum	433.42518	22.10196	22.10196
millet	0.06707	Byzantion	483	7.40532	7.40532
millet	0.06707	Demašq	604.7949	0.53799	0.53799
millet	0.06707	Bosporan Phanagoria–Sindica	683	38.78102	38.78102
millet	0.06707	Burdigala	811	18.03803	18.03803
millet	0.06707	Ubii Ara Ubiorum Oak Meadow	1287.41206	77.7335	77.7335
millet	0.06707	Arbela	2945.571	1.5598	1.5598
millet	0.06707	Ctesiphon	3076.7234	3.92748	3.92748
millet	0.06707	Meroe	3572.134	38.20678	38.20678
millet	0.06707	Adulitan Northern Coast	3890.648	11.7635	11.7635
millet	0.06707	Muziris	3955	20.2221	20.2221
millet	0.06707	Mouza	4008	7.23529	7.23529
millet	0.06707	Barygaza	4137	50.91027	50.91027
millet	0.06707	Brantas Coast	4219	11.25252	11.25252
millet	0.06707	Malay Straits	4250	11.87436	11.87436
millet	0.06707	Mon Coast	4332	11.785	11.785
millet	0.06707	Angkor Borei	4485.04346	1.88185	1.88185
millet	0.06707	Luzon Coast	4629	2.53855	2.53855
millet	0.06707	Mekong Basin	4658.26588	7.65322	7.65322
millet	0.06707	Jiaozhi	4772.1321	6.86227	6.86227
millet	0.06707	Marakanda	4979.546	2.2458	2.2458
millet	0.06707	Indus–Taxila Ford	5173.4608	1.10543	1.10543
millet	0.06707	Luoyang	5716.85	60.49522	60.49522
millet	0.06707	Kashgar	5762.202	3.3327	3.3327
millet	0.06707	Chang'an	6151.7138	44.25948	44.25948
coal	0.04	Massilia	135	1.0175	1.0575
coal	0.04	Brundisium	267	5.28751	5.28751
coal	0.04	Caesaraugusta	402.97464	1.05752	1.05752
coal	0.04	Aquileia	422	1.9322	2.0122
coal	0.04	Lugdunum	433.42518	3.17246	3.17246
coal	0.04	Byzantion	483	0.99094	0.99094
coal	0.04	Bosporan Phanagoria–Sindica	683	3.87402	3.87402
coal	0.04	Burdigala	811	3.12743	3.12743
coal	0.04	Ubii Ara Ubiorum Oak Meadow	1287.41206	18.31236	18.31236
coal	0.04	Cuicuilco	2050.47064	1.0768	1.0768
coal	0.04	Brantas Coast	4219	1.97033	1.97033
