goods_key	total_supply	total_demand	total_pop_demand	nobles_demand	clergy_demand	burghers_demand	laborers_demand	soldiers_demand	peasants_demand	tribesmen_demand	slaves_demand
antq_lacquerware	0	0	0	0	0	0	0	0	0	0	0
antq_lead_wares	0.15257	0	0	0	0	0	0	0	0	0	0
antq_leather_goods	17.11353	88.18343	88.1272	6.5912	6.54814	5.38047	5.652	0.05456	45.61201	18.28882	0
antq_naphtha	0	0	0	0	0	0	0	0	0	0	0
antq_nut_pastes	0	0	0	0	0	0	0	0	0	0	0
antq_olive_oil	2.1894	13.5814	13.5814	1.06152	0.97206	0.37088	0.59264	0.00702	8.97946	1.59782	0
antq_papyrus	5.99254	9.36	0.27284	0.14988	0.10261	0.02035	0	0	0	0	0
antq_parchment	0	1.4439	1.4439	0.2648	0.76306	0.17813	0.01212	0.0001	0.19917	0.02652	0
antq_perfumes	0	0	0	0	0	0	0	0	0	0	0
antq_preserved_fish	5.8099	35.81779	35.81779	2.43257	2.07623	1.57457	2.56904	0.03026	16.07349	11.06163	0
antq_rice_wine	1.64413	4.68943	4.68943	0.67711	0.44166	0.07294	0.30841	0.00086	2.43769	0.75076	0
antq_sailcloth	2.26913	3.44201	2.63431	0.28668	0.32356	0.37515	0.09112	0.00087	1.13809	0.41884	0
antq_sesame	5.74279	42.52176	36.18399	1.41312	1.08823	0.49063	1.64493	0.02397	20.4351	11.08801	0
antq_sesame_oil	0.40203	2.82952	2.82952	0.28328	0.17742	0.08431	0.09963	0.00155	1.34658	0.83675	0
antq_silphium	0	0	0	0	0	0	0	0	0	0	0
antq_soap	0	0	0	0	0	0	0	0	0	0	0
antq_soy_condiments	1.68504	0.82059	0.82059	0.02575	0.02064	0.00712	0.12842	0.00013	0.08038	0.55815	0
antq_tree_nuts	5.90199	35.74447	29.98804	1.83824	1.21871	0.60019	1.58449	0.01522	19.38587	5.34532	0
antq_wax_goods	0.91729	5.77411	5.77411	0.75209	1.75696	0.99458	0.32672	0.00334	1.04029	0.90013	0
antq_yue_celadon	0	0	0	0	0	0	0	0	0	0	0
horses	422.87426	224.45378	206.90565	206.90565	0	0	0	0	0	0	0
clay	3533.01835	336.49437	0	0	0	0	0	0	0	0	0
sand	1755.57053	13.64929	0	0	0	0	0	0	0	0	0
coal	78.30978	4.79181	0	0	0	0	0	0	0	0	0
iron	420.78671	212.46681	0	0	0	0	0	0	0	0	0
copper	160.04362	5.76696	0	0	0	0	0	0	0	0	0
goods_gold	140.54175	23.71138	15.5485	15.5485	0	0	0	0	0	0	0
silver	110.37004	16.25327	13.91694	13.91694	0	0	0	0	0	0	0
stone	2215.00487	39.30435	0	0	0	0	0	0	0	0	0
tin	79.2986	1.15342	0	0	0	0	0	0	0	0	0
lead	98.86637	1.66666	0	0	0	0	0	0	0	0	0
silk	236.42341	7.625	0	0	0	0	0	0	0	0	0
dyes	182.61008	96.44533	0	0	0	0	0	0	0	0	0
incense	73.1648	31.5269	6.02031	0	6.02031	0	0	0	0	0	0
tea	125.27102	61.00269	58.93049	53.45481	4.79272	0.68296	0	0	0	0	0
cocoa	21.54931	3.94547	3.94547	3.25208	0.56085	0.13254	0	0	0	0	0
coffee	15.20903	0.45656	0.45656	0.40829	0.02999	0.01828	0	0	0	0	0
fiber_crops	413.10262	103.53752	0	0	0	0	0	0	0	0	0
ivory	27.03509	0.3989	0	0	0	0	0	0	0	0	0
lumber	2654.1837	297.55475	0	0	0	0	0	0	0	0	0
salt	418.69372	73.57406	59.81094	32.1877	20.9945	6.62874	0	0	0	0	0
medicaments	212.77296	7.34559	4.11985	1.58548	1.32655	0.24223	0.59184	0.00125	0.3725	0	0
gems	125.13922	43.64132	27.54939	27.54939	0	0	0	0	0	0	0
pearls	95.73657	1.00238	0	0	0	0	0	0	0	0	0
amber	26.29811	22.37821	21.31838	20.67778	0	0.6406	0	0	0	0	0
saltpeter	51.44863	0	0	0	0	0	0	0	0	0	0
alum	88.57333	0.01632	0	0	0	0	0	0	0	0	0
wine	355.75092	52.32651	50.72676	3.84429	4.21551	1.37134	3.70756	0.02896	37.5591	0	0
elephants	121.30799	0	0	0	0	0	0	0	0	0	0
marble	113.07505	9.16162	0	0	0	0	0	0	0	0	0
mercury	32.58644	0.14063	0.09784	0.00307	0.01074	0.00582	0.04742	0	0.03079	0	0
saffron	110.22203	101.44139	19.79418	16.77234	2.5917	0.43014	0	0	0	0	0
pepper	126.21446	34.69999	25.92542	21.80085	3.76658	0.35799	0	0	0	0	0
cloves	35.38666	9.95748	0.73842	0.63077	0.09811	0.00954	0	0	0	0	0
chili	19.82017	3.14291	3.14291	2.65982	0.43587	0.04722	0	0	0	0	0
wool	857.7431	47.07498	0	0	0	0	0	0	0	0	0
cotton	601.43147	9.6985	0	0	0	0	0	0	0	0	0
sugar	188.1957	51.51967	41.88129	34.73671	5.67529	1.46929	0	0	0	0	0
tobacco	8.31402	1.97066	1.97066	1.62506	0.27944	0.06616	0	0	0	0	0
tar	76.3204	42.94551	0	0	0	0	0	0	0	0	0
porcelain	0	0	0	0	0	0	0	0	0	0	0
naval_supplies	43.80498	0.9775	0	0	0	0	0	0	0	0	0
firearms	0	0	0	0	0	0	0	0	0	0	0
cannons	0	0	0	0	0	0	0	0	0	0	0
weaponry	9.4175	31.36265	30.65056	30.52577	0	0	0.05411	0.00197	0.06871	0	0
glass	1.34777	2.9641	0	0	0	0	0	0	0	0	0
steel	0	0	0	0	0	0	0	0	0	0	0
cloth	71.0837	77.58432	53.3852	0	39.33287	7.63302	2.41572	0.04375	3.95984	0	0
fine_cloth	8.65301	3.56518	0	0	0	0	0	0	0	0	0
liquor	0	0	0	0	0	0	0	0	0	0	0
beer	77.28602	61.04124	55.67046	14.57284	24.13315	7.92163	6.85787	0.06347	2.1215	0	0
paper	1.7204	0.79	0	0	0	0	0	0	0	0	0
books	15.00837	0.64	0	0	0	0	0	0	0	0	0
jewelry	28.0742	78.74889	55.75464	54.3989	0	1.35574	0	0	0	0	0
leather	19.97815	38.84234	33.56088	7.74703	0	0	14.26011	0.22709	11.32665	0	0
tools	146.89613	61.46112	1.33497	0	0	0	1.33497	0	0	0	0
masonry	90.83488	7.12051	0.38576	0.00032	0.00028	0.00077	0.29758	0	0.08681	0	0
lacquerware	0	0	0	0	0	0	0	0	0	0	0
pottery	41.21979	139.47786	118.71465	0.77327	1.30386	0.89543	19.10279	0.12558	96.51372	0	0
furniture	18.98299	11.60421	10.95054	4.74914	3.79041	1.6848	0.5189	0.0015	0.20579	0	0
wild_game	500.56187	92.36291	55.326	6.49043	2.66771	0.80634	4.77465	0.03851	40.54836	0	0
fur	216.51364	1.10974	0	0	0	0	0	0	0	0	0
fish	975.41088	427.38694	411.43044	0.89543	1.49983	0.49691	40.5615	0.39404	367.58273	0	0
wheat	1572.63195	579.82595	439.31141	2.44588	3.92792	1.55716	37.16215	0.37502	393.84574	0	0
maize	85.13049	47.96804	47.96804	1.03239	1.70499	0.40209	4.75417	0.06884	40.07974	0	0
rice	855.15927	93.79495	70.00657	0.88017	1.50659	0.34521	6.38009	0.05063	60.84388	0	0
millet	745.75338	275.92105	233.72871	3.05422	5.05288	1.66031	23.25282	0.22966	200.47888	0	0
legumes	859.70367	141.80591	136.57264	1.78053	2.98363	0.94926	13.27078	0.11808	117.47036	0	0
potato	25.59364	5.76786	5.76786	0.04988	0.07663	0.01366	0.12221	0.00231	1.49748	4.00781	0
livestock	2220.56598	119.17958	55.67922	29.49201	16.08237	5.32671	3.43162	0.01729	1.32922	0	0
olives	148.58177	42.15903	34.67981	0.44021	0.66743	0.29581	2.94331	0.02425	30.3088	0	0
fruit	695.57452	314.25998	293.22334	3.93709	6.37309	2.1385	27.26153	0.27571	253.23742	0	0
beeswax	354.71459	57.90304	55.4284	0.70095	1.18918	0.3911	5.27917	0.04463	47.82337	0	0
slaves_goods	0	300.54468	0	0	0	0	0	0	0	0	0
