goods_key	total_supply	total_demand	total_pop_demand	nobles_demand	clergy_demand	burghers_demand	laborers_demand	soldiers_demand	peasants_demand	tribesmen_demand	slaves_demand
fish	975.41088	430.85301	414.89651	0.896	1.50051	0.49865	40.80602	0.3974	370.79793	0	0
wheat	1572.63195	607.96823	442.557	2.44575	3.92701	1.56057	37.34292	0.37723	396.90598	0	0
maize	85.13049	47.96804	47.96804	1.03239	1.70499	0.40209	4.75417	0.06884	40.07974	0	0
rice	855.15927	85.47691	70.58319	0.88033	1.50679	0.34539	6.41953	0.05127	61.37988	0	0
millet	745.75096	262.79116	235.78783	3.05611	5.05529	1.66661	23.38878	0.23145	202.38965	0	0
legumes	859.71245	142.85602	137.62275	1.78162	2.98497	0.95277	13.34617	0.1192	118.43802	0	0
potato	25.59364	5.76786	5.76786	0.04988	0.07663	0.01366	0.12221	0.00231	1.49748	4.00781	0
livestock	2220.56598	106.20068	55.73365	29.5157	16.09117	5.34863	3.43161	0.01732	1.32922	0	0
olives	148.58177	42.56524	35.08602	0.4413	0.66877	0.29932	2.97243	0.02453	30.67967	0	0
fruit	695.56942	316.94612	295.90948	3.93992	6.37653	2.14804	27.44481	0.2784	255.72178	0	0
beeswax	354.71459	58.12518	55.65054	0.70128	1.18956	0.39236	5.29596	0.04493	48.02645	0	0
slaves_goods	0	300.54516	0	0	0	0	0	0	0	0	0
