key,building,tier,name,unlock_age,profile,output_multiplier,input_multiplier,source
antq_reg_cauldron_smithy_organized,antq_reg_cauldron_smithy,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_cauldron_smithy_intensive,antq_reg_cauldron_smithy,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_ceramic_quarter_maintenance,antq_reg_ceramic_quarter,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_ceramic_quarter_organized,antq_reg_ceramic_quarter,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_ceramic_quarter_intensive,antq_reg_ceramic_quarter,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_chainmaker_maintenance,antq_reg_chainmaker,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_chainmaker_organized,antq_reg_chainmaker,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_chainmaker_intensive,antq_reg_chainmaker,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_charcoal_hearth_maintenance,antq_reg_charcoal_hearth,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;P14
antq_reg_charcoal_hearth_organized,antq_reg_charcoal_hearth,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;P14
antq_reg_charcoal_hearth_intensive,antq_reg_charcoal_hearth,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;P14
antq_reg_chariotwright_maintenance,antq_reg_chariotwright,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_chariotwright_organized,antq_reg_chariotwright,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_chariotwright_intensive,antq_reg_chariotwright,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_cheese_dairy_maintenance,antq_reg_cheese_dairy,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;P14
antq_reg_cheese_dairy_organized,antq_reg_cheese_dairy,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;P14
antq_reg_cheese_dairy_intensive,antq_reg_cheese_dairy,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;P14
antq_reg_clay_brickworks_maintenance,antq_reg_clay_brickworks,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;P14
antq_reg_clay_brickworks_organized,antq_reg_clay_brickworks,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;P14
antq_reg_clay_brickworks_intensive,antq_reg_clay_brickworks,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;P14
antq_reg_coconut_workshop_maintenance,antq_reg_coconut_workshop,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;P14;PER
antq_reg_coconut_workshop_organized,antq_reg_coconut_workshop,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;P14;PER
antq_reg_coconut_workshop_intensive,antq_reg_coconut_workshop,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;P14;PER
antq_reg_codex_bindery_maintenance,antq_reg_codex_bindery,maintenance,Established Practice,opening,shared,1.000,1.000,MET-LATE-ROMAN-WORLD
antq_reg_codex_bindery_organized,antq_reg_codex_bindery,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,MET-LATE-ROMAN-WORLD
antq_reg_codex_bindery_intensive,antq_reg_codex_bindery,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,MET-LATE-ROMAN-WORLD
antq_reg_combmaker_maintenance,antq_reg_combmaker,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_combmaker_organized,antq_reg_combmaker,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_combmaker_intensive,antq_reg_combmaker,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_cooperage_maintenance,antq_reg_cooperage,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;MET-ROMAN-TRADE
antq_reg_cooperage_organized,antq_reg_cooperage,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;MET-ROMAN-TRADE
antq_reg_cooperage_intensive,antq_reg_cooperage,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;MET-ROMAN-TRADE
antq_reg_copper_smithy_maintenance,antq_reg_copper_smithy,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1
antq_reg_copper_smithy_organized,antq_reg_copper_smithy,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1
antq_reg_copper_smithy_intensive,antq_reg_copper_smithy,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1
antq_reg_coral_workshop_maintenance,antq_reg_coral_workshop,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;MET-ROMAN-TRADE
antq_reg_coral_workshop_organized,antq_reg_coral_workshop,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;MET-ROMAN-TRADE
antq_reg_coral_workshop_intensive,antq_reg_coral_workshop,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;MET-ROMAN-TRADE
antq_reg_cordwainer_maintenance,antq_reg_cordwainer,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_cordwainer_organized,antq_reg_cordwainer,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_cordwainer_intensive,antq_reg_cordwainer,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_cork_workshop_maintenance,antq_reg_cork_workshop,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_cork_workshop_organized,antq_reg_cork_workshop,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_cork_workshop_intensive,antq_reg_cork_workshop,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_cotton_weavery_maintenance,antq_reg_cotton_weavery,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P8.4;PER
antq_reg_cotton_weavery_organized,antq_reg_cotton_weavery,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P8.4;PER
antq_reg_cotton_weavery_intensive,antq_reg_cotton_weavery,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P8.4;PER
antq_reg_crucible_steel_workshop_maintenance,antq_reg_crucible_steel_workshop,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;P14
antq_reg_crucible_steel_workshop_organized,antq_reg_crucible_steel_workshop,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;P14
antq_reg_crucible_steel_workshop_intensive,antq_reg_crucible_steel_workshop,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;P14
antq_reg_date_drying_yard_maintenance,antq_reg_date_drying_yard,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;P14;PER
antq_reg_date_drying_yard_organized,antq_reg_date_drying_yard,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;P14;PER
antq_reg_date_drying_yard_intensive,antq_reg_date_drying_yard,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;P14;PER
antq_reg_diatretum_glasshouse_maintenance,antq_reg_diatretum_glasshouse,maintenance,Established Practice,opening,shared,1.000,1.000,BM-LYCURGUS
antq_reg_diatretum_glasshouse_organized,antq_reg_diatretum_glasshouse,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,BM-LYCURGUS
antq_reg_diatretum_glasshouse_intensive,antq_reg_diatretum_glasshouse,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,BM-LYCURGUS
antq_reg_dye_finishing_house_maintenance,antq_reg_dye_finishing_house,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;P14
antq_reg_dye_finishing_house_organized,antq_reg_dye_finishing_house,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;P14
antq_reg_dye_finishing_house_intensive,antq_reg_dye_finishing_house,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;P14
antq_reg_dye_workshop_maintenance,antq_reg_dye_workshop,maintenance,Established Practice,opening,shared,1.000,1.000,UNESCO-TYRE;POM-FULLONICA
antq_reg_dye_workshop_organized,antq_reg_dye_workshop,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,UNESCO-TYRE;POM-FULLONICA
antq_reg_dye_workshop_intensive,antq_reg_dye_workshop,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,UNESCO-TYRE;POM-FULLONICA
antq_reg_feltworks_maintenance,antq_reg_feltworks,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_feltworks_organized,antq_reg_feltworks,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_feltworks_intensive,antq_reg_feltworks,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_ferry_quay_maintenance,antq_reg_ferry_quay,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;MET-ROMAN-TRADE
antq_reg_ferry_quay_organized,antq_reg_ferry_quay,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;MET-ROMAN-TRADE
antq_reg_ferry_quay_intensive,antq_reg_ferry_quay,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;MET-ROMAN-TRADE
antq_reg_figurine_kiln_maintenance,antq_reg_figurine_kiln,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_figurine_kiln_organized,antq_reg_figurine_kiln,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_figurine_kiln_intensive,antq_reg_figurine_kiln,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_fineware_kiln_maintenance,antq_reg_fineware_kiln,maintenance,Established Practice,opening,shared,1.000,1.000,BM-ARRETINE;BM-MEMPHIS
antq_reg_fineware_kiln_organized,antq_reg_fineware_kiln,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,BM-ARRETINE;BM-MEMPHIS
antq_reg_fineware_kiln_intensive,antq_reg_fineware_kiln,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,BM-ARRETINE;BM-MEMPHIS
antq_reg_fish_saltery_maintenance,antq_reg_fish_saltery,maintenance,Established Practice,opening,shared,1.000,1.000,BAELO-SALTERY
antq_reg_fish_saltery_organized,antq_reg_fish_saltery,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,BAELO-SALTERY
antq_reg_fish_saltery_intensive,antq_reg_fish_saltery,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,BAELO-SALTERY
antq_reg_fishing_tackle_maintenance,antq_reg_fishing_tackle,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_fishing_tackle_organized,antq_reg_fishing_tackle,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_fishing_tackle_intensive,antq_reg_fishing_tackle,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_flax_retting_yard_maintenance,antq_reg_flax_retting_yard,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_flax_retting_yard_organized,antq_reg_flax_retting_yard,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_flax_retting_yard_intensive,antq_reg_flax_retting_yard,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_fruit_brewery_maintenance,antq_reg_fruit_brewery,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;P14
antq_reg_fruit_brewery_organized,antq_reg_fruit_brewery,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;P14
antq_reg_fruit_brewery_intensive,antq_reg_fruit_brewery,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;P14
antq_reg_fullonica_maintenance,antq_reg_fullonica,maintenance,Established Practice,opening,shared,1.000,1.000,POM-FULLONICA
antq_reg_fullonica_organized,antq_reg_fullonica,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,POM-FULLONICA
antq_reg_fullonica_intensive,antq_reg_fullonica,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,POM-FULLONICA
antq_reg_garum_workshop_maintenance,antq_reg_garum_workshop,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;MET-ROMAN-TRADE
antq_reg_garum_workshop_organized,antq_reg_garum_workshop,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;MET-ROMAN-TRADE
antq_reg_garum_workshop_intensive,antq_reg_garum_workshop,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;MET-ROMAN-TRADE
antq_reg_glass_bead_furnace_maintenance,antq_reg_glass_bead_furnace,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;MET-ROMAN-TRADE
antq_reg_glass_bead_furnace_organized,antq_reg_glass_bead_furnace,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;MET-ROMAN-TRADE
antq_reg_glass_bead_furnace_intensive,antq_reg_glass_bead_furnace,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;MET-ROMAN-TRADE
antq_reg_glassworks_maintenance,antq_reg_glassworks,maintenance,Established Practice,opening,shared,1.000,1.000,MET-ROMAN-GLASS
antq_reg_glassworks_organized,antq_reg_glassworks,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,MET-ROMAN-GLASS
antq_reg_glassworks_intensive,antq_reg_glassworks,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,MET-ROMAN-GLASS
antq_reg_grain_mill_maintenance,antq_reg_grain_mill,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_grain_mill_organized,antq_reg_grain_mill,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_grain_mill_intensive,antq_reg_grain_mill,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_harness_maker_maintenance,antq_reg_harness_maker,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_harness_maker_organized,antq_reg_harness_maker,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_harness_maker_intensive,antq_reg_harness_maker,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_herbal_apothecary_maintenance,antq_reg_herbal_apothecary,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;P14
antq_reg_herbal_apothecary_organized,antq_reg_herbal_apothecary,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;P14
antq_reg_herbal_apothecary_intensive,antq_reg_herbal_apothecary,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;P14
antq_reg_hide_curing_yard_maintenance,antq_reg_hide_curing_yard,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_hide_curing_yard_organized,antq_reg_hide_curing_yard,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_hide_curing_yard_intensive,antq_reg_hide_curing_yard,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_honey_house_maintenance,antq_reg_honey_house,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_honey_house_organized,antq_reg_honey_house,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_honey_house_specialist,antq_reg_honey_house,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_hornworker_maintenance,antq_reg_hornworker,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_hornworker_organized,antq_reg_hornworker,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_hornworker_intensive,antq_reg_hornworker,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_incense_workshop_maintenance,antq_reg_incense_workshop,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_incense_workshop_organized,antq_reg_incense_workshop,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_incense_workshop_intensive,antq_reg_incense_workshop,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_instrument_maker_maintenance,antq_reg_instrument_maker,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_instrument_maker_organized,antq_reg_instrument_maker,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_instrument_maker_intensive,antq_reg_instrument_maker,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_iron_bloomery_maintenance,antq_reg_iron_bloomery,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_iron_bloomery_organized,antq_reg_iron_bloomery,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
