key,family,location,macro,source,confidence,note
cult_papyrus_el_mahalla,antq_cult_papyrus_beds,el_mahalla,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_esna,antq_cult_papyrus_beds,esna,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_faqus,antq_cult_papyrus_beds,faqus,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_fuwa,antq_cult_papyrus_beds,fuwa,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_baghdad,antq_cult_sesame_plots,baghdad,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_damascus,antq_cult_sesame_plots,damascus,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_aleppo,antq_cult_sesame_plots,aleppo,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_madurai,antq_cult_sesame_plots,madurai,South Asia,P12.1;P12.3;P14;PER,secure,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_thanjavur,antq_cult_sesame_plots,thanjavur,South Asia,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_srirangam,antq_cult_sesame_plots,srirangam,South Asia,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_ashmunayn,antq_cult_sesame_plots,ashmunayn,Europe,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_ukbara,antq_cult_sesame_plots,ukbara,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_patna,antq_cult_sesame_plots,patna,South Asia,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_varanasi,antq_cult_sesame_plots,varanasi,South Asia,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_prayag,antq_cult_sesame_plots,prayag,South Asia,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_kanchipuram,antq_cult_sesame_plots,kanchipuram,South Asia,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_ujjain,antq_cult_sesame_plots,ujjain,South Asia,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_mathura,antq_cult_sesame_plots,mathura,South Asia,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_masulipatnam,antq_cult_sesame_plots,masulipatnam,South Asia,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_visakhapatnam,antq_cult_sesame_plots,visakhapatnam,South Asia,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_srigangapatna,antq_cult_sesame_plots,srigangapatna,South Asia,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_patna_garjat,antq_cult_sesame_plots,patna_garjat,South Asia,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_hama,antq_cult_sesame_plots,hama,Middle East,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_idlib,antq_cult_sesame_plots,idlib,Middle East,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_mosul,antq_cult_sesame_plots,mosul,Middle East,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_thebes,antq_cult_sesame_plots,thebes,Europe,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_faiyum,antq_cult_sesame_plots,faiyum,Europe,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_sesame_qena,antq_cult_sesame_plots,qena,Europe,P12.1;PER;PMC-SESAME-EXCHANGE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_shiraz,antq_cult_nut_orchards,shiraz,Middle East,P12.1;P12.3;P14;PER,secure,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_baalbek,antq_cult_nut_orchards,baalbek,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_ayasuluk,antq_cult_nut_orchards,ayasuluk,Europe,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_tarsus,antq_cult_nut_orchards,tarsus,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_baramulla,antq_cult_nut_orchards,baramulla,South Asia,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_astarabad,antq_cult_nut_orchards,astarabad,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_savur,antq_cult_nut_orchards,savur,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_trapessac,antq_cult_nut_orchards,trapessac,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_nola,antq_cult_nut_orchards,nola,Europe,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_narni,antq_cult_nut_orchards,narni,Europe,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_avellino,antq_cult_nut_orchards,avellino,Europe,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_sinop,antq_cult_nut_orchards,sinop,Europe,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_amasra,antq_cult_nut_orchards,amasra,Europe,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_tarragona,antq_cult_nut_orchards,tarragona,Europe,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_marseille,antq_cult_nut_orchards,marseille,Europe,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_nimes,antq_cult_nut_orchards,nimes,Europe,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_jerusalem,antq_cult_nut_orchards,jerusalem,Middle East,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_beirut,antq_cult_nut_orchards,beirut,Middle East,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_dara,antq_cult_nut_orchards,dara,Middle East,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_kermanshah,antq_cult_nut_orchards,kermanshah,Middle East,P12.1;PER;PLOS-SILK-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_rudbar,antq_cult_nut_orchards,rudbar,Middle East,P12.1;PER;PLOS-SILK-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_quchan,antq_cult_nut_orchards,quchan,Middle East,P12.1;PER;PLOS-SILK-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_gilan_gharb,antq_cult_nut_orchards,gilan_gharb,Middle East,P12.1;PER;PLOS-SILK-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_tree_nuts_masyaf,antq_cult_nut_orchards,masyaf,Middle East,P12.1;PER;CAM-MED-NUTS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
