region,capacity_class,resource_family,fit_class,trade_access,locations
Africa,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,coastal_local,5
Africa,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,inland,6
Africa,open_mixed_land,orchard_or_specialty_crop,environmentally_aligned,coastal_local,3
Africa,open_mixed_land,orchard_or_specialty_crop,environmentally_aligned,inland,4
Africa,open_mixed_land,pastoral,environmentally_aligned,coastal_local,1
Africa,open_mixed_land,pastoral,environmentally_aligned,inland,18
Africa,open_mixed_land,staple_crop,environmentally_aligned,coastal_local,2
Africa,open_mixed_land,staple_crop,environmentally_aligned,inland,16
Africa,open_mixed_land,staple_crop,environmentally_aligned,major_harbor,1
Africa,wetland_or_riverine,aquatic,environmentally_aligned,coastal_access,1
Africa,wetland_or_riverine,fiber_or_dye_crop,environmentally_aligned,coastal_local,1
Africa,wetland_or_riverine,fiber_or_dye_crop,environmentally_aligned,inland,1
Africa,wetland_or_riverine,orchard_or_specialty_crop,broad_capacity_proxy,coastal_access,1
Africa,wetland_or_riverine,orchard_or_specialty_crop,broad_capacity_proxy,coastal_local,1
Africa,wetland_or_riverine,staple_crop,environmentally_aligned,coastal_local,1
Africa,woodland_or_forest,aquatic,broad_capacity_proxy,inland,1
Africa,woodland_or_forest,aquatic,environmentally_aligned,coastal_access,2
Africa,woodland_or_forest,aquatic,environmentally_aligned,coastal_local,5
Africa,woodland_or_forest,aquatic,environmentally_aligned,major_harbor,6
Africa,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,coastal_access,2
Africa,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,coastal_local,4
Africa,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,inland,5
Africa,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,major_harbor,2
Africa,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,market_anchor,1
Africa,woodland_or_forest,forest_or_gathered,environmentally_aligned,coastal_local,3
Africa,woodland_or_forest,forest_or_gathered,environmentally_aligned,inland,21
Africa,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,coastal_access,1
Africa,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,coastal_local,3
Africa,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,inland,20
Africa,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,coastal_access,1
Africa,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,coastal_local,5
Africa,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,inland,3
Africa,woodland_or_forest,pastoral,broad_capacity_proxy,coastal_local,2
Africa,woodland_or_forest,pastoral,broad_capacity_proxy,inland,20
Africa,woodland_or_forest,staple_crop,broad_capacity_proxy,coastal_local,8
Africa,woodland_or_forest,staple_crop,broad_capacity_proxy,inland,14
Anatolia,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,inland,1
Anatolia,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,inland,1
Anatolia,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,inland,2
Anatolia,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,inland,1
Anatolia,dryland_or_oasis,pastoral,environmentally_aligned,inland,4
Anatolia,highland,mineral_or_quarried,environmentally_aligned,inland,1
Anatolia,highland,orchard_or_specialty_crop,broad_capacity_proxy,inland,1
Anatolia,highland,pastoral,environmentally_aligned,inland,3
Anatolia,highland,staple_crop,broad_capacity_proxy,inland,1
Anatolia,intensive_cultivation,fiber_or_dye_crop,environmentally_aligned,coastal_local,1
Anatolia,intensive_cultivation,orchard_or_specialty_crop,environmentally_aligned,inland,2
Anatolia,intensive_cultivation,staple_crop,environmentally_aligned,coastal_access,1
Anatolia,intensive_cultivation,staple_crop,environmentally_aligned,inland,2
Anatolia,mixed_land,fiber_or_dye_crop,environmentally_aligned,coastal_access,1
Anatolia,mixed_land,pastoral,environmentally_aligned,inland,1
Anatolia,open_mixed_land,fiber_or_dye_crop,environmentally_aligned,inland,1
Anatolia,open_mixed_land,pastoral,environmentally_aligned,inland,3
Anatolia,open_mixed_land,staple_crop,environmentally_aligned,inland,4
Anatolia,wetland_or_riverine,orchard_or_specialty_crop,broad_capacity_proxy,coastal_local,1
Anatolia,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,coastal_access,1
Anatolia,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,coastal_local,2
Anatolia,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,inland,1
Anatolia,woodland_or_forest,forest_or_gathered,environmentally_aligned,coastal_local,2
Anatolia,woodland_or_forest,forest_or_gathered,environmentally_aligned,inland,11
Anatolia,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,inland,9
Anatolia,woodland_or_forest,mineral_or_quarried,source_anchored,coastal_local,1
Anatolia,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,coastal_access,1
Anatolia,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,inland,4
Anatolia,woodland_or_forest,pastoral,broad_capacity_proxy,inland,12
Anatolia,woodland_or_forest,staple_crop,broad_capacity_proxy,coastal_local,2
Anatolia,woodland_or_forest,staple_crop,broad_capacity_proxy,inland,1
Andes,dryland_or_oasis,aquatic,environmentally_aligned,coastal_access,1
Andes,dryland_or_oasis,aquatic,environmentally_aligned,coastal_local,2
Andes,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,coastal_local,1
Andes,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,inland,1
Andes,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,coastal_local,3
Andes,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,market_anchor,1
Andes,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,coastal_local,4
Andes,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,inland,5
Andes,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,coastal_access,1
Andes,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,coastal_local,1
Andes,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,inland,1
Andes,dryland_or_oasis,staple_crop,broad_capacity_proxy,coastal_local,3
Andes,dryland_or_oasis,staple_crop,broad_capacity_proxy,inland,7
Andes,highland,fiber_or_dye_crop,broad_capacity_proxy,inland,3
Andes,highland,forest_or_gathered,environmentally_aligned,inland,4
Andes,highland,mineral_or_quarried,environmentally_aligned,inland,22
Andes,highland,orchard_or_specialty_crop,broad_capacity_proxy,inland,1
Andes,highland,pastoral,environmentally_aligned,inland,10
Andes,highland,staple_crop,broad_capacity_proxy,inland,12
Andes,open_mixed_land,aquatic,broad_capacity_proxy,inland,1
Andes,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,inland,1
Andes,open_mixed_land,pastoral,environmentally_aligned,inland,1
Andes,open_mixed_land,staple_crop,environmentally_aligned,inland,3
Andes,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,inland,1
Andes,woodland_or_forest,forest_or_gathered,environmentally_aligned,inland,3
Andes,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,inland,3
Andes,woodland_or_forest,staple_crop,broad_capacity_proxy,inland,2
Arabia,dryland_or_oasis,aquatic,environmentally_aligned,coastal_access,8
Arabia,dryland_or_oasis,aquatic,environmentally_aligned,coastal_local,33
Arabia,dryland_or_oasis,aquatic,environmentally_aligned,major_harbor,2
Arabia,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,coastal_access,1
Arabia,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,coastal_local,5
Arabia,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,inland,5
Arabia,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,major_harbor,1
Arabia,dryland_or_oasis,forest_or_gathered,bounded_specialty,coastal_local,6
Arabia,dryland_or_oasis,forest_or_gathered,bounded_specialty,inland,3
Arabia,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,coastal_local,1
Arabia,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,inland,2
Arabia,dryland_or_oasis,forest_or_gathered,source_anchored,market_anchor,1
Arabia,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,coastal_access,2
Arabia,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,coastal_local,7
Arabia,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,inland,29
Arabia,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,coastal_local,9
Arabia,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,inland,81
Arabia,dryland_or_oasis,pastoral,environmentally_aligned,coastal_local,4
Arabia,dryland_or_oasis,pastoral,environmentally_aligned,inland,67
Arabia,dryland_or_oasis,pastoral,environmentally_aligned,market_anchor,1
Arabia,dryland_or_oasis,pastoral,source_anchored,inland,1
Arabia,dryland_or_oasis,staple_crop,broad_capacity_proxy,coastal_local,7
Arabia,dryland_or_oasis,staple_crop,broad_capacity_proxy,inland,59
Arabia,highland,aquatic,environmentally_aligned,coastal_access,1
Arabia,highland,fiber_or_dye_crop,broad_capacity_proxy,inland,1
Arabia,highland,mineral_or_quarried,environmentally_aligned,inland,2
Arabia,highland,orchard_or_specialty_crop,broad_capacity_proxy,inland,6
Arabia,highland,pastoral,environmentally_aligned,inland,3
Arabia,open_mixed_land,fiber_or_dye_crop,environmentally_aligned,coastal_local,1
Arabia,open_mixed_land,orchard_or_specialty_crop,environmentally_aligned,inland,1
Arabia,woodland_or_forest,forest_or_gathered,environmentally_aligned,inland,2
Balkans,intensive_cultivation,fiber_or_dye_crop,environmentally_aligned,coastal_local,1
Balkans,intensive_cultivation,fiber_or_dye_crop,environmentally_aligned,inland,1
Balkans,intensive_cultivation,fiber_or_dye_crop,environmentally_aligned,market_anchor,1
Balkans,intensive_cultivation,orchard_or_specialty_crop,environmentally_aligned,coastal_local,1
Balkans,intensive_cultivation,pastoral,broad_capacity_proxy,coastal_local,1
Balkans,intensive_cultivation,pastoral,broad_capacity_proxy,inland,1
Balkans,intensive_cultivation,staple_crop,environmentally_aligned,inland,1
Balkans,open_mixed_land,aquatic,environmentally_aligned,coastal_local,1
Balkans,open_mixed_land,aquatic,environmentally_aligned,major_harbor,1
Balkans,open_mixed_land,forest_or_gathered,broad_capacity_proxy,inland,1
Balkans,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,coastal_local,2
Balkans,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,inland,1
Balkans,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,major_harbor,1
Balkans,open_mixed_land,orchard_or_specialty_crop,environmentally_aligned,inland,1
Balkans,open_mixed_land,pastoral,environmentally_aligned,coastal_local,1
Balkans,open_mixed_land,pastoral,environmentally_aligned,inland,3
Balkans,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,coastal_local,2
Balkans,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,inland,2
Balkans,woodland_or_forest,forest_or_gathered,environmentally_aligned,coastal_local,1
Balkans,woodland_or_forest,forest_or_gathered,environmentally_aligned,inland,6
Balkans,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,coastal_access,1
Balkans,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,coastal_local,1
Balkans,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,inland,1
Balkans,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,inland,4
Balkans,woodland_or_forest,pastoral,broad_capacity_proxy,coastal_access,1
Balkans,woodland_or_forest,pastoral,broad_capacity_proxy,inland,4
Balkans,woodland_or_forest,staple_crop,broad_capacity_proxy,coastal_local,1
Balkans,woodland_or_forest,staple_crop,broad_capacity_proxy,inland,2
Baltic,intensive_cultivation,mineral_or_quarried,broad_capacity_proxy,major_harbor,1
Baltic,intensive_cultivation,staple_crop,environmentally_aligned,inland,2
Baltic,open_mixed_land,aquatic,environmentally_aligned,major_harbor,1
Baltic,open_mixed_land,fiber_or_dye_crop,environmentally_aligned,inland,2
Baltic,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,inland,1
Baltic,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,major_harbor,2
Baltic,open_mixed_land,pastoral,environmentally_aligned,inland,1
Baltic,open_mixed_land,pastoral,environmentally_aligned,major_harbor,1
Baltic,open_mixed_land,staple_crop,environmentally_aligned,coastal_local,1
Baltic,open_mixed_land,staple_crop,environmentally_aligned,inland,2
Baltic,wetland_or_riverine,aquatic,environmentally_aligned,coastal_local,3
Baltic,wetland_or_riverine,aquatic,environmentally_aligned,inland,1
Baltic,wetland_or_riverine,fiber_or_dye_crop,environmentally_aligned,coastal_local,1
Baltic,wetland_or_riverine,fiber_or_dye_crop,environmentally_aligned,inland,2
Baltic,wetland_or_riverine,forest_or_gathered,broad_capacity_proxy,inland,11
Baltic,wetland_or_riverine,mineral_or_quarried,broad_capacity_proxy,coastal_local,1
Baltic,wetland_or_riverine,mineral_or_quarried,broad_capacity_proxy,inland,2
Baltic,wetland_or_riverine,staple_crop,environmentally_aligned,coastal_local,1
Baltic,wetland_or_riverine,staple_crop,environmentally_aligned,inland,4
Baltic,wetland_or_riverine,staple_crop,environmentally_aligned,major_harbor,1
Baltic,woodland_or_forest,aquatic,broad_capacity_proxy,inland,2
Baltic,woodland_or_forest,aquatic,environmentally_aligned,coastal_local,2
Baltic,woodland_or_forest,aquatic,environmentally_aligned,major_harbor,1
Baltic,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,coastal_local,3
Baltic,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,inland,5
Baltic,woodland_or_forest,forest_or_gathered,environmentally_aligned,coastal_local,1
Baltic,woodland_or_forest,forest_or_gathered,environmentally_aligned,inland,39
Baltic,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,coastal_local,3
Baltic,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,inland,6
Baltic,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,major_harbor,1
Baltic,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,inland,1
Baltic,woodland_or_forest,pastoral,broad_capacity_proxy,coastal_local,2
Baltic,woodland_or_forest,pastoral,broad_capacity_proxy,inland,10
Baltic,woodland_or_forest,staple_crop,broad_capacity_proxy,coastal_local,3
Baltic,woodland_or_forest,staple_crop,broad_capacity_proxy,inland,17
Britain,highland,aquatic,environmentally_aligned,coastal_local,1
Britain,highland,pastoral,environmentally_aligned,major_harbor,1
Britain,intensive_cultivation,aquatic,environmentally_aligned,coastal_local,1
Britain,intensive_cultivation,mineral_or_quarried,broad_capacity_proxy,coastal_local,1
Britain,intensive_cultivation,orchard_or_specialty_crop,environmentally_aligned,inland,2
Britain,intensive_cultivation,pastoral,broad_capacity_proxy,inland,2
Britain,intensive_cultivation,staple_crop,environmentally_aligned,coastal_local,1
Britain,intensive_cultivation,staple_crop,environmentally_aligned,inland,8
Britain,intensive_cultivation,staple_crop,environmentally_aligned,major_harbor,1
Britain,mixed_land,aquatic,environmentally_aligned,coastal_local,1
Britain,mixed_land,aquatic,environmentally_aligned,major_harbor,3
Britain,mixed_land,fiber_or_dye_crop,environmentally_aligned,coastal_local,3
Britain,mixed_land,forest_or_gathered,broad_capacity_proxy,coastal_access,1
Britain,mixed_land,forest_or_gathered,broad_capacity_proxy,coastal_local,1
Britain,mixed_land,forest_or_gathered,broad_capacity_proxy,inland,1
Britain,mixed_land,mineral_or_quarried,broad_capacity_proxy,coastal_access,2
Britain,mixed_land,mineral_or_quarried,broad_capacity_proxy,coastal_local,2
Britain,mixed_land,mineral_or_quarried,broad_capacity_proxy,inland,9
Britain,mixed_land,pastoral,environmentally_aligned,coastal_access,1
Britain,mixed_land,pastoral,environmentally_aligned,coastal_local,4
Britain,mixed_land,pastoral,environmentally_aligned,inland,4
Britain,mixed_land,pastoral,environmentally_aligned,major_harbor,1
Britain,open_mixed_land,aquatic,environmentally_aligned,coastal_access,5
Britain,open_mixed_land,aquatic,environmentally_aligned,coastal_local,2
Britain,open_mixed_land,aquatic,environmentally_aligned,major_harbor,1
Britain,open_mixed_land,fiber_or_dye_crop,environmentally_aligned,coastal_access,2
Britain,open_mixed_land,fiber_or_dye_crop,environmentally_aligned,major_harbor,1
Britain,open_mixed_land,forest_or_gathered,broad_capacity_proxy,inland,1
Britain,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,coastal_access,4
Britain,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,coastal_local,2
Britain,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,inland,4
Britain,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,major_harbor,3
Britain,open_mixed_land,mineral_or_quarried,source_anchored,major_harbor,1
Britain,open_mixed_land,orchard_or_specialty_crop,environmentally_aligned,coastal_access,1
Britain,open_mixed_land,orchard_or_specialty_crop,environmentally_aligned,inland,2
Britain,open_mixed_land,orchard_or_specialty_crop,environmentally_aligned,major_harbor,1
Britain,open_mixed_land,pastoral,environmentally_aligned,coastal_access,4
Britain,open_mixed_land,pastoral,environmentally_aligned,coastal_local,6
Britain,open_mixed_land,pastoral,environmentally_aligned,inland,20
Britain,open_mixed_land,pastoral,environmentally_aligned,major_harbor,3
Britain,open_mixed_land,staple_crop,environmentally_aligned,coastal_access,3
Britain,open_mixed_land,staple_crop,environmentally_aligned,coastal_local,4
Britain,open_mixed_land,staple_crop,environmentally_aligned,inland,8
Britain,open_mixed_land,staple_crop,environmentally_aligned,major_harbor,1
Britain,wetland_or_riverine,aquatic,environmentally_aligned,coastal_access,2
Britain,wetland_or_riverine,forest_or_gathered,broad_capacity_proxy,coastal_access,1
Britain,wetland_or_riverine,mineral_or_quarried,broad_capacity_proxy,coastal_access,1
Britain,wetland_or_riverine,mineral_or_quarried,broad_capacity_proxy,coastal_local,4
Britain,wetland_or_riverine,mineral_or_quarried,broad_capacity_proxy,inland,1
Britain,wetland_or_riverine,pastoral,broad_capacity_proxy,coastal_access,1
Britain,wetland_or_riverine,pastoral,broad_capacity_proxy,coastal_local,3
Britain,wetland_or_riverine,staple_crop,environmentally_aligned,inland,1
Britain,woodland_or_forest,aquatic,broad_capacity_proxy,inland,1
Britain,woodland_or_forest,aquatic,environmentally_aligned,coastal_access,1
Britain,woodland_or_forest,aquatic,environmentally_aligned,coastal_local,1
Britain,woodland_or_forest,aquatic,environmentally_aligned,major_harbor,2
Britain,woodland_or_forest,forest_or_gathered,environmentally_aligned,coastal_access,5
Britain,woodland_or_forest,forest_or_gathered,environmentally_aligned,coastal_local,2
Britain,woodland_or_forest,forest_or_gathered,environmentally_aligned,inland,18
Britain,woodland_or_forest,forest_or_gathered,environmentally_aligned,major_harbor,2
Britain,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,coastal_access,7
Britain,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,coastal_local,6
Britain,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,inland,10
Britain,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,major_harbor,6
Britain,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,coastal_local,1
Britain,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,inland,1
Britain,woodland_or_forest,pastoral,broad_capacity_proxy,coastal_access,3
Britain,woodland_or_forest,pastoral,broad_capacity_proxy,coastal_local,3
Britain,woodland_or_forest,pastoral,broad_capacity_proxy,inland,16
Britain,woodland_or_forest,pastoral,broad_capacity_proxy,major_harbor,1
Britain,woodland_or_forest,staple_crop,broad_capacity_proxy,coastal_access,3
Britain,woodland_or_forest,staple_crop,broad_capacity_proxy,inland,3
Caribbean-Amazon,open_mixed_land,staple_crop,environmentally_aligned,inland,1
Caribbean-Amazon,woodland_or_forest,aquatic,environmentally_aligned,major_harbor,1
Caribbean-Amazon,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,inland,1
Caucasus,dryland_or_oasis,aquatic,environmentally_aligned,coastal_local,1
Caucasus,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,coastal_local,2
Caucasus,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,inland,1
Caucasus,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,inland,1
Caucasus,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,inland,3
Caucasus,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,major_harbor,1
Caucasus,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,inland,1
Caucasus,dryland_or_oasis,pastoral,environmentally_aligned,coastal_local,1
Caucasus,dryland_or_oasis,pastoral,environmentally_aligned,inland,2
Caucasus,dryland_or_oasis,staple_crop,broad_capacity_proxy,coastal_local,2
Caucasus,dryland_or_oasis,staple_crop,broad_capacity_proxy,inland,4
Caucasus,highland,fiber_or_dye_crop,broad_capacity_proxy,inland,2
Caucasus,highland,forest_or_gathered,environmentally_aligned,inland,3
Caucasus,highland,mineral_or_quarried,environmentally_aligned,inland,11
Caucasus,highland,orchard_or_specialty_crop,broad_capacity_proxy,inland,3
Caucasus,highland,pastoral,environmentally_aligned,inland,15
Caucasus,highland,staple_crop,broad_capacity_proxy,inland,3
Caucasus,intensive_cultivation,mineral_or_quarried,broad_capacity_proxy,inland,1
Caucasus,intensive_cultivation,orchard_or_specialty_crop,environmentally_aligned,inland,1
Caucasus,intensive_cultivation,staple_crop,environmentally_aligned,inland,1
Caucasus,mixed_land,fiber_or_dye_crop,environmentally_aligned,inland,1
Caucasus,mixed_land,forest_or_gathered,broad_capacity_proxy,inland,1
Caucasus,mixed_land,pastoral,environmentally_aligned,inland,1
Caucasus,open_mixed_land,fiber_or_dye_crop,environmentally_aligned,inland,2
Caucasus,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,inland,2
Caucasus,open_mixed_land,orchard_or_specialty_crop,environmentally_aligned,inland,2
Caucasus,open_mixed_land,pastoral,environmentally_aligned,inland,3
Caucasus,open_mixed_land,staple_crop,environmentally_aligned,coastal_local,1
Caucasus,open_mixed_land,staple_crop,environmentally_aligned,inland,5
Caucasus,wetland_or_riverine,aquatic,environmentally_aligned,coastal_access,1
Caucasus,wetland_or_riverine,pastoral,broad_capacity_proxy,coastal_local,1
Caucasus,wetland_or_riverine,pastoral,broad_capacity_proxy,inland,1
Caucasus,wetland_or_riverine,staple_crop,environmentally_aligned,inland,1
Caucasus,woodland_or_forest,aquatic,environmentally_aligned,coastal_access,2
Caucasus,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,coastal_local,1
Caucasus,woodland_or_forest,fiber_or_dye_crop,broad_capacity_proxy,inland,2
Caucasus,woodland_or_forest,forest_or_gathered,environmentally_aligned,coastal_local,1
Caucasus,woodland_or_forest,forest_or_gathered,environmentally_aligned,inland,16
Caucasus,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,coastal_local,1
Caucasus,woodland_or_forest,mineral_or_quarried,broad_capacity_proxy,inland,17
Caucasus,woodland_or_forest,orchard_or_specialty_crop,environmentally_aligned,inland,2
Caucasus,woodland_or_forest,pastoral,broad_capacity_proxy,coastal_access,1
Caucasus,woodland_or_forest,pastoral,broad_capacity_proxy,coastal_local,2
Caucasus,woodland_or_forest,pastoral,broad_capacity_proxy,inland,16
Caucasus,woodland_or_forest,staple_crop,broad_capacity_proxy,inland,7
Central Asia,dryland_or_oasis,aquatic,broad_capacity_proxy,inland,2
Central Asia,dryland_or_oasis,aquatic,environmentally_aligned,coastal_local,4
Central Asia,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,inland,10
Central Asia,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,inland,24
Central Asia,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,reviewed_road_corridor,1
Central Asia,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,inland,32
Central Asia,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,inland,6
Central Asia,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,reviewed_road_corridor,1
Central Asia,dryland_or_oasis,pastoral,environmentally_aligned,inland,84
Central Asia,dryland_or_oasis,staple_crop,broad_capacity_proxy,coastal_local,2
Central Asia,dryland_or_oasis,staple_crop,broad_capacity_proxy,inland,37
