sheet,quadrant,key,cohort,style_references,review
named_roman_16.png,bottom_right,antq_theatrum_pompei,named_roman,installed EU5 building icons,accepted
named_roman_17.png,top_left,antq_aedes_iovis_statoris,named_roman,installed EU5 building icons,accepted
named_roman_17.png,top_right,antq_curiae_veteres,named_roman,installed EU5 building icons,accepted
named_roman_17.png,bottom_left,antq_aedes_concordiae_augustae,named_roman,installed EU5 building icons,accepted
named_roman_17.png,bottom_right,antq_aedes_bellonae,named_roman,installed EU5 building icons,accepted
named_roman_18.png,top_left,antq_aedes_iovis_tonantis,named_roman,installed EU5 building icons,accepted
named_roman_18.png,top_right,antq_aedes_magnae_matris,named_roman,installed EU5 building icons,accepted
named_roman_18.png,bottom_left,antq_forum_iulium,named_roman,installed EU5 building icons,accepted
named_roman_18.png,bottom_right,antq_aedes_divi_iulii,named_roman,installed EU5 building icons,accepted
named_roman_19.png,top_left,antq_aedes_fortunae_primigeniae,named_roman,installed EU5 building icons,accepted
named_roman_19.png,top_right,antq_puteal_libonis,named_roman,installed EU5 building icons,accepted
named_roman_19.png,bottom_left,antq_casa_romuli,named_roman,installed EU5 building icons,accepted
named_roman_19.png,bottom_right,antq_porticus_gai_et_luci,named_roman,installed EU5 building icons,accepted
named_roman_20.png,top_left,antq_chalcidicum_iulium,named_roman,installed EU5 building icons,accepted
named_roman_20.png,top_right,antq_aedes_victoriae,named_roman,installed EU5 building icons,accepted
named_roman_20.png,bottom_left,antq_castra_vetera,named_roman,installed EU5 building icons,accepted
named_roman_20.png,bottom_right,antq_castra_siscia,named_roman,installed EU5 building icons,accepted
