corridor_origin,corridor_destination,step,origin,destination,corridor,source,confidence,note
ravenna,rovigo,1,ravenna,comacchio,Via Popilia northern section,P8.1;ORB;MIC-POP,contested,Ravenna to Rovigo is a high-level proxy toward the unavailable Adria and Altino anchors
ravenna,rovigo,2,comacchio,rovigo,Via Popilia northern section,P8.1;ORB;MIC-POP,contested,Ravenna to Rovigo is a high-level proxy toward the unavailable Adria and Altino anchors
durres,thessaloniki,1,durres,kavaje,Via Egnatia,ORB;P8.1,secure,Adriatic to Macedonian trunk leg
durres,thessaloniki,2,kavaje,elbasan,Via Egnatia,ORB;P8.1,secure,Adriatic to Macedonian trunk leg
durres,thessaloniki,3,elbasan,ohrid,Via Egnatia,ORB;P8.1,secure,Adriatic to Macedonian trunk leg
durres,thessaloniki,4,ohrid,bitola,Via Egnatia,ORB;P8.1,secure,Adriatic to Macedonian trunk leg
durres,thessaloniki,5,bitola,prosek,Via Egnatia,ORB;P8.1,secure,Adriatic to Macedonian trunk leg
durres,thessaloniki,6,prosek,giannitsa,Via Egnatia,ORB;P8.1,secure,Adriatic to Macedonian trunk leg
durres,thessaloniki,7,giannitsa,thessaloniki,Via Egnatia,ORB;P8.1,secure,Adriatic to Macedonian trunk leg
thessaloniki,constantinople,1,thessaloniki,gynaikokastro,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
thessaloniki,constantinople,2,gynaikokastro,rentina,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
thessaloniki,constantinople,3,rentina,drama,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
thessaloniki,constantinople,4,drama,xanthia,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
thessaloniki,constantinople,5,xanthia,komotini,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
thessaloniki,constantinople,6,komotini,demotica,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
thessaloniki,constantinople,7,demotica,hayrabolu,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
thessaloniki,constantinople,8,hayrabolu,malgara,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
thessaloniki,constantinople,9,malgara,corlu,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
thessaloniki,constantinople,10,corlu,catalca,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
thessaloniki,constantinople,11,catalca,constantinople,Via Egnatia,ORB;P8.1,secure,Macedonian to Thracian trunk leg
alexandria,gaza,1,alexandria,damanhur,Via Maris,ORB;P8.1,secure,Egypt-Levant coastal trunk proxy
alexandria,gaza,2,damanhur,el_mahalla,Via Maris,ORB;P8.1,secure,Egypt-Levant coastal trunk proxy
alexandria,gaza,3,el_mahalla,samanoud,Via Maris,ORB;P8.1,secure,Egypt-Levant coastal trunk proxy
alexandria,gaza,4,samanoud,kafr_saqr,Via Maris,ORB;P8.1,secure,Egypt-Levant coastal trunk proxy
alexandria,gaza,5,kafr_saqr,faqus,Via Maris,ORB;P8.1,secure,Egypt-Levant coastal trunk proxy
alexandria,gaza,6,faqus,tinnis,Via Maris,ORB;P8.1,secure,Egypt-Levant coastal trunk proxy
alexandria,gaza,7,tinnis,qatya,Via Maris,ORB;P8.1,secure,Egypt-Levant coastal trunk proxy
alexandria,gaza,8,qatya,warrada,Via Maris,ORB;P8.1,secure,Egypt-Levant coastal trunk proxy
alexandria,gaza,9,warrada,el_arish,Via Maris,ORB;P8.1,secure,Egypt-Levant coastal trunk proxy
alexandria,gaza,10,el_arish,gaza,Via Maris,ORB;P8.1,secure,Egypt-Levant coastal trunk proxy
gaza,jerusalem,1,gaza,majdal,Via Maris-Judaean branch,ORB;P8.1,secure,Southern Levant trunk branch
gaza,jerusalem,2,majdal,jerusalem,Via Maris-Judaean branch,ORB;P8.1,secure,Southern Levant trunk branch
jerusalem,damascus,1,jerusalem,nablus,Levant interior,ORB;P8.1,secure,Judaea to Damascus caravan-road leg
jerusalem,damascus,2,nablus,safed,Levant interior,ORB;P8.1,secure,Judaea to Damascus caravan-road leg
jerusalem,damascus,3,safed,nawa,Levant interior,ORB;P8.1,secure,Judaea to Damascus caravan-road leg
jerusalem,damascus,4,nawa,damascus,Levant interior,ORB;P8.1,secure,Judaea to Damascus caravan-road leg
damascus,homs,1,damascus,baalbek,Syrian interior,ORB;P8.1,contested,Damascus to Palmyra-proxy trunk leg
damascus,homs,2,baalbek,qusayr,Syrian interior,ORB;P8.1,contested,Damascus to Palmyra-proxy trunk leg
damascus,homs,3,qusayr,homs,Syrian interior,ORB;P8.1,contested,Damascus to Palmyra-proxy trunk leg
homs,aleppo,1,homs,hama,Syrian interior,ORB;P8.1,contested,Palmyra-proxy to northern Syria leg
homs,aleppo,2,hama,khanaser,Syrian interior,ORB;P8.1,contested,Palmyra-proxy to northern Syria leg
homs,aleppo,3,khanaser,aleppo,Syrian interior,ORB;P8.1,contested,Palmyra-proxy to northern Syria leg
aleppo,edessa,1,aleppo,afrin,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,2,afrin,kilis,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,3,kilis,marash,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,4,marash,besni,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,5,besni,malatya,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,6,malatya,gerger,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,7,gerger,harput,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,8,harput,palu,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,9,palu,adakli,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,10,adakli,tercan,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,11,tercan,erzurum,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,12,erzurum,tortum,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,13,tortum,oltu,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,14,oltu,ardahan,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,15,ardahan,akhaltsikhe,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,16,akhaltsikhe,gori,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,17,gori,kvenipnevi,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,18,kvenipnevi,dusheti,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,19,dusheti,jariekhi,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,20,jariekhi,targim,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,21,targim,nazran,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,22,nazran,novopavlovsk,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,23,novopavlovsk,novoselitskoye,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,24,novoselitskoye,blagodarnoye,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,25,blagodarnoye,ipatovo,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,26,ipatovo,gorodovikovsk,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,27,gorodovikovsk,yundin,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,28,yundin,bagayevskaya,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,29,bagayevskaya,tana,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,30,tana,taganrog,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,31,taganrog,shyrokyne,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,32,shyrokyne,domakha,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,33,domakha,huliaipole,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,34,huliaipole,kichkas,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,35,kichkas,kodak,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,36,kodak,myshuryn_rih,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,37,myshuryn_rih,usivka,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,38,usivka,mala_vyska,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,39,mala_vyska,harbuzynka,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,40,harbuzynka,aqmecit_prybuzhzhya,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,41,aqmecit_prybuzhzhya,ananiv,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,42,ananiv,iagorlic,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,43,iagorlic,cetatea_alba,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,44,cetatea_alba,sarata,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,45,sarata,chilia,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,46,chilia,tulcea,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,47,tulcea,isaccea,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,48,isaccea,harsova,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,49,harsova,cernavoda,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,50,cernavoda,drastar,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,51,drastar,razgrad,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,52,razgrad,cherven,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,53,cherven,nikopol,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,54,nikopol,gigen,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,55,gigen,dobrolak,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,56,dobrolak,svoge,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,57,svoge,zemlungrad,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,58,zemlungrad,velbuzd,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,59,velbuzd,kocani,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,60,kocani,shtip,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,61,shtip,prosek,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
aleppo,edessa,62,prosek,edessa,Upper Mesopotamian corridor,ORB;P8.1,contested,Northern Syrian to Edessa corridor leg
baghdad,susa,1,baghdad,baqubah,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,2,baqubah,khalis,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,3,khalis,tuz_khurma,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,4,tuz_khurma,chamchamal,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,5,chamchamal,qaladiza,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,6,qaladiza,piranshahr,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,7,piranshahr,osnavieh,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,8,osnavieh,urmia,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,9,urmia,salmas,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,10,salmas,khameneh,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,11,khameneh,mardanaqom,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,12,mardanaqom,kaleybar,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,13,kaleybar,goroz,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,14,goroz,beylagan,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,15,beylagan,javad,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,16,javad,maraza,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,17,maraza,shirvan,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,18,shirvan,shabran,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,19,shabran,niyazabad,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,20,niyazabad,derbent,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,21,derbent,boynak,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,22,boynak,tarki,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,23,tarki,terek,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,24,terek,kara_bazaar,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,25,kara_bazaar,dardeling,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,26,dardeling,mekletin,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,27,mekletin,iki_burul,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,28,iki_burul,raguli,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,29,raguli,gorodovikovsk,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,30,gorodovikovsk,yundin,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,31,yundin,bagayevskaya,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,32,bagayevskaya,tana,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,33,tana,taganrog,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,34,taganrog,shyrokyne,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,35,shyrokyne,domakha,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,36,domakha,huliaipole,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,37,huliaipole,kichkas,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,38,kichkas,kodak,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,39,kodak,myshuryn_rih,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,40,myshuryn_rih,usivka,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,41,usivka,mala_vyska,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,42,mala_vyska,harbuzynka,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,43,harbuzynka,aqmecit_prybuzhzhya,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,44,aqmecit_prybuzhzhya,ananiv,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,45,ananiv,iagorlic,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,46,iagorlic,tuzara,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,47,tuzara,ungheni,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,48,ungheni,harlau,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,49,harlau,suceava,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,50,suceava,campulung_moldovenesc,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,51,campulung_moldovenesc,cuhea,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,52,cuhea,sighet,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,53,sighet,khust,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,54,khust,beregovo,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
baghdad,susa,55,beregovo,varda,Royal Road legacy,ORB;P8.2,contested,Seleucia-Ctesiphon proxy to Susiana leg
