good,display,origin,period_role,rgo_locations,building_families,productive_inputs,productive_outputs,roman_profile_families,source,status
gems,Gems,installed_ancient_adapter,mineral_or_quarried_raw,0,1,0,0,0,P12.1;P12.3,active_reviewed
glass,Glass,installed_ancient_adapter,processed_craft_or_service,0,5,3,1,0,P12.1;P12.3,active_reviewed
goods_gold,Gold,installed_ancient_adapter,mineral_or_quarried_raw,1,8,7,0,0,P12.1;P12.3,active_reviewed
incense,Incense,installed_ancient_adapter,organic_raw_or_exchange,2,26,3,0,2,P12.1;P12.3,active_reviewed
iron,Iron,installed_ancient_adapter,mineral_or_quarried_raw,1,19,15,0,1,P12.1;P12.3,active_reviewed
ivory,Ivory,installed_ancient_adapter,organic_raw_or_exchange,0,3,3,0,0,P12.1;P12.3,active_reviewed
jewelry,Jewelry,installed_ancient_adapter,processed_craft_or_service,0,0,0,10,0,P12.1;P12.3,active_reviewed
lead,Lead,installed_ancient_adapter,mineral_or_quarried_raw,0,6,2,0,2,P12.1;P12.3,active_reviewed
leather,Leather,installed_ancient_adapter,processed_craft_or_service,0,15,3,1,3,P12.1;P12.3,active_reviewed
livestock,Livestock,installed_ancient_adapter,food_crop_or_animal,4,14,9,0,1,P12.1;P12.3,active_reviewed
lumber,Lumber,installed_ancient_adapter,organic_raw_or_exchange,50,137,64,0,17,P12.1;P12.3,active_reviewed
marble,Marble,installed_ancient_adapter,mineral_or_quarried_raw,0,33,2,0,4,P12.1;P12.3,active_reviewed
masonry,Masonry,installed_ancient_adapter,processed_craft_or_service,0,49,0,11,1,P12.1;P12.3,active_reviewed
medicaments,Medicaments,installed_ancient_adapter,processed_craft_or_service,120,0,0,2,0,P12.1;P12.3,active_reviewed
mercury,Mercury,installed_ancient_adapter,mineral_or_quarried_raw,0,1,1,0,0,P12.1;P12.3,active_reviewed
millet,Millet,installed_ancient_adapter,food_crop_or_animal,20,1,1,0,0,P12.1;P12.3,active_reviewed
naval_supplies,Naval Supplies,installed_ancient_adapter,processed_craft_or_service,0,8,0,8,1,P12.1;P12.3,active_reviewed
olives,Olives,installed_ancient_adapter,food_crop_or_animal,0,13,7,0,2,P12.1;P12.3,active_reviewed
paper,Paper,installed_ancient_adapter,processed_craft_or_service,0,9,0,0,0,P12.1;P12.3,active_reviewed
pepper,Pepper,installed_ancient_adapter,organic_raw_or_exchange,1,1,0,0,0,P12.1;P12.3,active_reviewed
pottery,Pottery,installed_ancient_adapter,processed_craft_or_service,0,47,11,6,6,P12.1;P12.3,active_reviewed
rice,Rice,installed_ancient_adapter,food_crop_or_animal,0,2,1,0,0,P12.1;P12.3,active_reviewed
salt,Salt,installed_ancient_adapter,mineral_or_quarried_raw,32,7,2,0,0,P12.1;P12.3,active_reviewed
sand,Sand,installed_ancient_adapter,mineral_or_quarried_raw,0,3,9,0,0,P12.1;P12.3,active_reviewed
silk,Silk,installed_ancient_adapter,organic_raw_or_exchange,2,1,2,0,0,P12.1;P12.3,active_reviewed
silver,Silver,installed_ancient_adapter,mineral_or_quarried_raw,1,3,0,0,0,P12.1;P12.3,active_reviewed
steel,Steel,installed_ancient_adapter,processed_craft_or_service,0,0,0,1,0,P12.1;P12.3,active_reviewed
stone,Stone,installed_ancient_adapter,mineral_or_quarried_raw,0,30,9,0,10,P12.1;P12.3,active_reviewed
tar,Tar,installed_ancient_adapter,organic_raw_or_exchange,0,28,18,0,0,P12.1;P12.3,active_reviewed
tin,Tin,installed_ancient_adapter,mineral_or_quarried_raw,1,8,9,0,1,P12.1;P12.3,active_reviewed
tools,Tools,installed_ancient_adapter,processed_craft_or_service,0,232,90,2,23,P12.1;P12.3,active_reviewed
weaponry,Weaponry,installed_ancient_adapter,processed_craft_or_service,0,11,0,5,1,P12.1;P12.3,active_reviewed
wheat,Wheat,installed_ancient_adapter,food_crop_or_animal,0,16,6,0,3,P12.1;P12.3,active_reviewed
wild_game,Wild Game,installed_ancient_adapter,food_crop_or_animal,0,2,1,0,0,P12.1;P12.3,active_reviewed
wine,Wine,installed_ancient_adapter,processed_food_or_drink,0,27,0,2,1,P12.1;P12.3,active_reviewed
wool,Wool,installed_ancient_adapter,organic_raw_or_exchange,0,9,6,0,1,P12.1;P12.3,active_reviewed
