region,dimension,value,before,after,delta
Levant,topography,plateau,1,1,0
Levant,vegetation,farmland,2,3,1
Levant,vegetation,grasslands,1,0,-1
Levant,vegetation,woods,1,1,0
Mesoamerica,climate,arid,13,13,0
Mesoamerica,climate,cold_arid,14,14,0
Mesoamerica,climate,continental,83,83,0
Mesoamerica,climate,oceanic,16,16,0
Mesoamerica,climate,subtropical,26,26,0
Mesoamerica,climate,tropical,176,176,0
Mesoamerica,topography,flatland,79,79,0
Mesoamerica,topography,hills,87,87,0
Mesoamerica,topography,mountains,90,90,0
Mesoamerica,topography,plateau,55,55,0
Mesoamerica,topography,wetlands,17,17,0
Mesoamerica,vegetation,forest,195,195,0
Mesoamerica,vegetation,grasslands,35,35,0
Mesoamerica,vegetation,jungle,65,65,0
Mesoamerica,vegetation,sparse,13,13,0
Mesoamerica,vegetation,woods,20,20,0
Mesopotamia,climate,continental,1,1,0
Mesopotamia,climate,mediterranean,2,2,0
Mesopotamia,topography,flatland,2,2,0
Mesopotamia,topography,hills,1,1,0
Mesopotamia,vegetation,sparse,3,3,0
North America,climate,arctic,13,13,0
North America,climate,cold_arid,9,9,0
North America,climate,continental,49,49,0
North America,climate,oceanic,4,4,0
North America,climate,subtropical,3,3,0
North America,topography,flatland,37,37,0
North America,topography,hills,26,26,0
North America,topography,mountains,6,6,0
North America,topography,plateau,9,9,0
North America,vegetation,desert,1,1,0
North America,vegetation,forest,26,26,0
North America,vegetation,grasslands,9,9,0
North America,vegetation,sparse,17,17,0
North America,vegetation,woods,25,25,0
Northern Andes,climate,oceanic,9,9,0
Northern Andes,climate,tropical,4,4,0
Northern Andes,topography,hills,3,3,0
Northern Andes,topography,mountains,9,9,0
Northern Andes,topography,plateau,1,1,0
Northern Andes,vegetation,forest,6,6,0
Northern Andes,vegetation,jungle,1,1,0
Northern Andes,vegetation,woods,6,6,0
Oceania,climate,tropical,13,13,0
Oceania,topography,atoll,1,1,0
Oceania,topography,flatland,9,9,0
Oceania,topography,hills,1,1,0
Oceania,topography,mountains,2,2,0
Oceania,vegetation,forest,5,5,0
Oceania,vegetation,jungle,7,7,0
Oceania,vegetation,woods,1,1,0
Pontic,climate,cold_arid,145,145,0
Pontic,climate,continental,194,194,0
Pontic,climate,subtropical,9,9,0
Pontic,topography,flatland,301,301,0
Pontic,topography,hills,14,14,0
Pontic,topography,mountains,16,16,0
Pontic,topography,plateau,2,2,0
Pontic,topography,wetlands,15,15,0
Pontic,vegetation,forest,10,10,0
Pontic,vegetation,grasslands,250,250,0
Pontic,vegetation,sparse,49,49,0
Pontic,vegetation,woods,39,39,0
Rome,climate,arid,117,117,0
Rome,climate,cold_arid,245,245,0
Rome,climate,continental,334,334,0
Rome,climate,mediterranean,454,454,0
Rome,climate,oceanic,747,747,0
Rome,climate,subtropical,133,133,0
Rome,topography,flatland,853,853,0
Rome,topography,hills,610,610,0
Rome,topography,mountains,256,256,0
Rome,topography,plateau,246,246,0
Rome,topography,wetlands,65,65,0
Rome,vegetation,desert,20,20,0
Rome,vegetation,farmland,250,308,58
Rome,vegetation,forest,293,296,3
Rome,vegetation,grasslands,641,549,-92
Rome,vegetation,sparse,211,197,-14
Rome,vegetation,woods,615,660,45
Scandinavia,climate,arctic,21,21,0
Scandinavia,climate,continental,27,27,0
Scandinavia,topography,flatland,42,42,0
Scandinavia,topography,plateau,1,1,0
Scandinavia,topography,wetlands,5,5,0
Scandinavia,vegetation,farmland,1,1,0
Scandinavia,vegetation,forest,25,25,0
Scandinavia,vegetation,grasslands,5,5,0
Scandinavia,vegetation,woods,17,17,0
Southeast Asia,climate,arid,1,1,0
Southeast Asia,climate,oceanic,2,2,0
Southeast Asia,climate,subtropical,70,70,0
Southeast Asia,climate,tropical,754,754,0
Southeast Asia,topography,flatland,429,416,-13
Southeast Asia,topography,hills,180,180,0
Southeast Asia,topography,mountains,89,89,0
Southeast Asia,topography,plateau,23,23,0
Southeast Asia,topography,wetlands,106,119,13
Southeast Asia,vegetation,farmland,17,30,13
Southeast Asia,vegetation,forest,150,150,0
Southeast Asia,vegetation,grasslands,22,13,-9
Southeast Asia,vegetation,jungle,594,594,0
Southeast Asia,vegetation,woods,44,40,-4
Steppe,climate,arctic,41,41,0
Steppe,climate,cold_arid,155,155,0
Steppe,climate,continental,332,332,0
Steppe,topography,flatland,135,135,0
Steppe,topography,high_lakes,1,1,0
Steppe,topography,hills,144,144,0
Steppe,topography,mountains,40,40,0
Steppe,topography,plateau,159,159,0
Steppe,topography,wetlands,49,49,0
Steppe,vegetation,,1,1,0
Steppe,vegetation,desert,57,57,0
Steppe,vegetation,farmland,3,3,0
Steppe,vegetation,forest,133,89,-44
Steppe,vegetation,grasslands,167,167,0
Steppe,vegetation,sparse,54,54,0
Steppe,vegetation,woods,113,157,44
Tarim,climate,cold_arid,65,65,0
Tarim,topography,flatland,9,9,0
Tarim,topography,hills,4,4,0
Tarim,topography,mountains,5,5,0
Tarim,topography,plateau,47,47,0
Tarim,vegetation,desert,49,49,0
Tarim,vegetation,farmland,4,4,0
Tarim,vegetation,sparse,12,12,0
West Africa,climate,arid,188,188,0
West Africa,climate,tropical,182,182,0
West Africa,topography,flatland,311,311,0
West Africa,topography,hills,25,25,0
West Africa,topography,plateau,16,16,0
West Africa,topography,wetlands,18,18,0
West Africa,vegetation,desert,22,22,0
West Africa,vegetation,farmland,16,16,0
West Africa,vegetation,forest,33,33,0
West Africa,vegetation,grasslands,176,176,0
West Africa,vegetation,jungle,35,35,0
West Africa,vegetation,sparse,43,43,0
West Africa,vegetation,woods,45,45,0
map:iberia_region,climate,cold_arid,129,129,0
map:iberia_region,climate,continental,3,3,0
map:iberia_region,climate,mediterranean,109,109,0
map:iberia_region,climate,oceanic,183,183,0
map:iberia_region,topography,flatland,136,136,0
map:iberia_region,topography,hills,147,147,0
map:iberia_region,topography,mountains,34,34,0
map:iberia_region,topography,plateau,100,100,0
map:iberia_region,topography,wetlands,7,7,0
map:iberia_region,vegetation,farmland,35,47,12
map:iberia_region,vegetation,forest,31,34,3
map:iberia_region,vegetation,grasslands,134,88,-46
map:iberia_region,vegetation,sparse,78,64,-14
map:iberia_region,vegetation,woods,146,191,45
map:north_german_region,climate,continental,175,175,0
map:north_german_region,climate,oceanic,241,241,0
map:north_german_region,topography,flatland,297,297,0
map:north_german_region,topography,hills,76,76,0
map:north_german_region,topography,plateau,4,4,0
map:north_german_region,topography,wetlands,39,39,0
map:north_german_region,vegetation,farmland,40,40,0
map:north_german_region,vegetation,forest,36,89,53
map:north_german_region,vegetation,grasslands,228,137,-91
map:north_german_region,vegetation,woods,112,150,38
map:south_german_region,climate,continental,317,317,0
map:south_german_region,climate,oceanic,34,34,0
map:south_german_region,topography,flatland,136,136,0
map:south_german_region,topography,hills,86,86,0
map:south_german_region,topography,mountains,72,72,0
map:south_german_region,topography,plateau,57,57,0
map:south_german_region,vegetation,farmland,24,24,0
map:south_german_region,vegetation,forest,60,111,51
map:south_german_region,vegetation,grasslands,133,90,-43
map:south_german_region,vegetation,woods,134,126,-8
