key,building,tier,name,good,base_output,output_multiplier,output,default_margin,unlock_age,profile,source
antq_cult_fruit_orchards_managed,antq_cult_fruit_orchards,managed,Managed Rotation,fruit,0.32,1.12,0.3584,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_fruit_orchards_intensive,antq_cult_fruit_orchards,intensive,Intensive Husbandry,fruit,0.32,1.25,0.4000,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_fruit_orchards_specialized,antq_cult_fruit_orchards,specialized,Regional Specialization,fruit,0.32,1.35,0.4320,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_olive_groves_maintenance,antq_cult_olive_groves,maintenance,Established Practice,olives,0.28,1.00,0.2800,1.20,opening,shared,P12.1;P12.3;MET-ROMAN-HOUSING;PER
antq_cult_olive_groves_managed,antq_cult_olive_groves,managed,Managed Rotation,olives,0.28,1.12,0.3136,1.20,age_2_renaissance,shared,P12.1;P12.3;MET-ROMAN-HOUSING;PER
antq_cult_olive_groves_intensive,antq_cult_olive_groves,intensive,Intensive Husbandry,olives,0.28,1.25,0.3500,1.20,age_4_reformation,shared,P12.1;P12.3;MET-ROMAN-HOUSING;PER
antq_cult_olive_groves_specialized,antq_cult_olive_groves,specialized,Regional Specialization,olives,0.28,1.35,0.3780,1.20,age_6_revolutions,shared,P12.1;P12.3;MET-ROMAN-HOUSING;PER
antq_cult_grape_arbors_maintenance,antq_cult_grape_arbors,maintenance,Established Practice,fruit,0.30,1.00,0.3000,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_grape_arbors_managed,antq_cult_grape_arbors,managed,Managed Rotation,fruit,0.30,1.12,0.3360,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_grape_arbors_intensive,antq_cult_grape_arbors,intensive,Intensive Husbandry,fruit,0.30,1.25,0.3750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_grape_arbors_specialized,antq_cult_grape_arbors,specialized,Regional Specialization,fruit,0.30,1.35,0.4050,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_date_groves_maintenance,antq_cult_date_groves,maintenance,Established Practice,antq_dates,0.30,1.00,0.3000,1.20,opening,shared,P12.1;P12.3;P14;PER
antq_cult_date_groves_managed,antq_cult_date_groves,managed,Managed Rotation,antq_dates,0.30,1.12,0.3360,1.20,age_2_renaissance,shared,P12.1;P12.3;P14;PER
antq_cult_date_groves_intensive,antq_cult_date_groves,intensive,Intensive Husbandry,antq_dates,0.30,1.25,0.3750,1.20,age_4_reformation,shared,P12.1;P12.3;P14;PER
antq_cult_date_groves_specialized,antq_cult_date_groves,specialized,Regional Specialization,antq_dates,0.30,1.35,0.4050,1.20,age_6_revolutions,shared,P12.1;P12.3;P14;PER
antq_cult_nut_orchards_maintenance,antq_cult_nut_orchards,maintenance,Established Practice,antq_tree_nuts,0.30,1.00,0.3000,1.20,opening,shared,P12.1;P12.3;P14;PER
antq_cult_nut_orchards_managed,antq_cult_nut_orchards,managed,Managed Rotation,antq_tree_nuts,0.30,1.12,0.3360,1.20,age_2_renaissance,shared,P12.1;P12.3;P14;PER
antq_cult_nut_orchards_intensive,antq_cult_nut_orchards,intensive,Intensive Husbandry,antq_tree_nuts,0.30,1.25,0.3750,1.20,age_4_reformation,shared,P12.1;P12.3;P14;PER
antq_cult_nut_orchards_specialized,antq_cult_nut_orchards,specialized,Regional Specialization,antq_tree_nuts,0.30,1.35,0.4050,1.20,age_6_revolutions,shared,P12.1;P12.3;P14;PER
antq_cult_sesame_plots_maintenance,antq_cult_sesame_plots,maintenance,Established Practice,antq_sesame,0.32,1.00,0.3200,1.20,opening,shared,P12.1;P12.3;P14;PER
antq_cult_sesame_plots_managed,antq_cult_sesame_plots,managed,Managed Rotation,antq_sesame,0.32,1.12,0.3584,1.20,age_2_renaissance,shared,P12.1;P12.3;P14;PER
antq_cult_sesame_plots_intensive,antq_cult_sesame_plots,intensive,Intensive Husbandry,antq_sesame,0.32,1.25,0.4000,1.20,age_4_reformation,shared,P12.1;P12.3;P14;PER
antq_cult_sesame_plots_specialized,antq_cult_sesame_plots,specialized,Regional Specialization,antq_sesame,0.32,1.35,0.4320,1.20,age_6_revolutions,shared,P12.1;P12.3;P14;PER
antq_cult_flax_hemp_fields_maintenance,antq_cult_flax_hemp_fields,maintenance,Established Practice,fiber_crops,0.34,1.00,0.3400,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_flax_hemp_fields_managed,antq_cult_flax_hemp_fields,managed,Managed Rotation,fiber_crops,0.34,1.12,0.3808,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_flax_hemp_fields_intensive,antq_cult_flax_hemp_fields,intensive,Intensive Husbandry,fiber_crops,0.34,1.25,0.4250,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_flax_hemp_fields_specialized,antq_cult_flax_hemp_fields,specialized,Regional Specialization,fiber_crops,0.34,1.35,0.4590,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_cotton_plots_maintenance,antq_cult_cotton_plots,maintenance,Established Practice,cotton,0.30,1.00,0.3000,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_cotton_plots_managed,antq_cult_cotton_plots,managed,Managed Rotation,cotton,0.30,1.12,0.3360,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_cotton_plots_intensive,antq_cult_cotton_plots,intensive,Intensive Husbandry,cotton,0.30,1.25,0.3750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_cotton_plots_specialized,antq_cult_cotton_plots,specialized,Regional Specialization,cotton,0.30,1.35,0.4050,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_dye_gardens_maintenance,antq_cult_dye_gardens,maintenance,Established Practice,dyes,0.27,1.00,0.2700,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_dye_gardens_managed,antq_cult_dye_gardens,managed,Managed Rotation,dyes,0.27,1.12,0.3024,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_dye_gardens_intensive,antq_cult_dye_gardens,intensive,Intensive Husbandry,dyes,0.27,1.25,0.3375,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_dye_gardens_specialized,antq_cult_dye_gardens,specialized,Regional Specialization,dyes,0.27,1.35,0.3645,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_sugar_cane_maintenance,antq_cult_sugar_cane,maintenance,Established Practice,sugar,0.25,1.00,0.2500,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_sugar_cane_managed,antq_cult_sugar_cane,managed,Managed Rotation,sugar,0.25,1.12,0.2800,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_sugar_cane_intensive,antq_cult_sugar_cane,intensive,Intensive Husbandry,sugar,0.25,1.25,0.3125,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_sugar_cane_specialized,antq_cult_sugar_cane,specialized,Regional Specialization,sugar,0.25,1.35,0.3375,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_tea_gardens_maintenance,antq_cult_tea_gardens,maintenance,Established Practice,tea,0.22,1.00,0.2200,1.20,opening,shared,P12.1;BHR;PER
antq_cult_tea_gardens_managed,antq_cult_tea_gardens,managed,Managed Rotation,tea,0.22,1.12,0.2464,1.20,age_2_renaissance,shared,P12.1;BHR;PER
antq_cult_tea_gardens_intensive,antq_cult_tea_gardens,intensive,Intensive Husbandry,tea,0.22,1.25,0.2750,1.20,age_4_reformation,shared,P12.1;BHR;PER
antq_cult_tea_gardens_specialized,antq_cult_tea_gardens,specialized,Regional Specialization,tea,0.22,1.35,0.2970,1.20,age_6_revolutions,shared,P12.1;BHR;PER
antq_cult_pepper_gardens_maintenance,antq_cult_pepper_gardens,maintenance,Established Practice,medicaments,0.22,1.00,0.2200,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_pepper_gardens_managed,antq_cult_pepper_gardens,managed,Managed Rotation,medicaments,0.22,1.12,0.2464,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_pepper_gardens_intensive,antq_cult_pepper_gardens,intensive,Intensive Husbandry,medicaments,0.22,1.25,0.2750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_pepper_gardens_specialized,antq_cult_pepper_gardens,specialized,Regional Specialization,medicaments,0.22,1.35,0.2970,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_incense_gardens_maintenance,antq_cult_incense_gardens,maintenance,Established Practice,incense,0.20,1.00,0.2000,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_incense_gardens_managed,antq_cult_incense_gardens,managed,Managed Rotation,incense,0.20,1.12,0.2240,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_incense_gardens_intensive,antq_cult_incense_gardens,intensive,Intensive Husbandry,incense,0.20,1.25,0.2500,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_incense_gardens_specialized,antq_cult_incense_gardens,specialized,Regional Specialization,incense,0.20,1.35,0.2700,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_papyrus_beds_maintenance,antq_cult_papyrus_beds,maintenance,Established Practice,antq_papyrus,0.22,1.00,0.2200,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_papyrus_beds_managed,antq_cult_papyrus_beds,managed,Managed Rotation,antq_papyrus,0.22,1.12,0.2464,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_papyrus_beds_intensive,antq_cult_papyrus_beds,intensive,Intensive Husbandry,antq_papyrus,0.22,1.25,0.2750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_papyrus_beds_specialized,antq_cult_papyrus_beds,specialized,Regional Specialization,antq_papyrus,0.22,1.35,0.2970,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_coconut_groves_maintenance,antq_cult_coconut_groves,maintenance,Established Practice,antq_coconuts,0.27,1.00,0.2700,1.20,opening,shared,P12.1;P12.3;P14;PER
antq_cult_coconut_groves_managed,antq_cult_coconut_groves,managed,Managed Rotation,antq_coconuts,0.27,1.12,0.3024,1.20,age_2_renaissance,shared,P12.1;P12.3;P14;PER
antq_cult_coconut_groves_intensive,antq_cult_coconut_groves,intensive,Intensive Husbandry,antq_coconuts,0.27,1.25,0.3375,1.20,age_4_reformation,shared,P12.1;P12.3;P14;PER
antq_cult_coconut_groves_specialized,antq_cult_coconut_groves,specialized,Regional Specialization,antq_coconuts,0.27,1.35,0.3645,1.20,age_6_revolutions,shared,P12.1;P12.3;P14;PER
antq_cult_spice_gardens_maintenance,antq_cult_spice_gardens,maintenance,Established Practice,medicaments,0.20,1.00,0.2000,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_spice_gardens_managed,antq_cult_spice_gardens,managed,Managed Rotation,medicaments,0.20,1.12,0.2240,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_spice_gardens_intensive,antq_cult_spice_gardens,intensive,Intensive Husbandry,medicaments,0.20,1.25,0.2500,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_spice_gardens_specialized,antq_cult_spice_gardens,specialized,Regional Specialization,medicaments,0.20,1.35,0.2700,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_cacao_groves_maintenance,antq_cult_cacao_groves,maintenance,Established Practice,cocoa,0.20,1.00,0.2000,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_cacao_groves_managed,antq_cult_cacao_groves,managed,Managed Rotation,cocoa,0.20,1.12,0.2240,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_cacao_groves_intensive,antq_cult_cacao_groves,intensive,Intensive Husbandry,cocoa,0.20,1.25,0.2500,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_cacao_groves_specialized,antq_cult_cacao_groves,specialized,Regional Specialization,cocoa,0.20,1.35,0.2700,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_tobacco_plots_maintenance,antq_cult_tobacco_plots,maintenance,Established Practice,tobacco,0.22,1.00,0.2200,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_tobacco_plots_managed,antq_cult_tobacco_plots,managed,Managed Rotation,tobacco,0.22,1.12,0.2464,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_tobacco_plots_intensive,antq_cult_tobacco_plots,intensive,Intensive Husbandry,tobacco,0.22,1.25,0.2750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_tobacco_plots_specialized,antq_cult_tobacco_plots,specialized,Regional Specialization,tobacco,0.22,1.35,0.2970,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_vineyards_maintenance,antq_cult_vineyards,maintenance,Established Practice,wine,0.30,1.00,0.3000,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_vineyards_managed,antq_cult_vineyards,managed,Managed Rotation,wine,0.30,1.12,0.3360,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_vineyards_intensive,antq_cult_vineyards,intensive,Intensive Husbandry,wine,0.30,1.25,0.3750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_vineyards_specialized,antq_cult_vineyards,specialized,Regional Specialization,wine,0.30,1.35,0.4050,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_saffron_beds_maintenance,antq_cult_saffron_beds,maintenance,Established Practice,saffron,0.20,1.00,0.2000,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_saffron_beds_managed,antq_cult_saffron_beds,managed,Managed Rotation,saffron,0.20,1.12,0.2240,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_saffron_beds_intensive,antq_cult_saffron_beds,intensive,Intensive Husbandry,saffron,0.20,1.25,0.2500,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_saffron_beds_specialized,antq_cult_saffron_beds,specialized,Regional Specialization,saffron,0.20,1.35,0.2700,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_black_pepper_maintenance,antq_cult_black_pepper,maintenance,Established Practice,pepper,0.20,1.00,0.2000,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_black_pepper_managed,antq_cult_black_pepper,managed,Managed Rotation,pepper,0.20,1.12,0.2240,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_black_pepper_intensive,antq_cult_black_pepper,intensive,Intensive Husbandry,pepper,0.20,1.25,0.2500,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_black_pepper_specialized,antq_cult_black_pepper,specialized,Regional Specialization,pepper,0.20,1.35,0.2700,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_clove_groves_maintenance,antq_cult_clove_groves,maintenance,Established Practice,cloves,0.18,1.00,0.1800,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_clove_groves_managed,antq_cult_clove_groves,managed,Managed Rotation,cloves,0.18,1.12,0.2016,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_clove_groves_intensive,antq_cult_clove_groves,intensive,Intensive Husbandry,cloves,0.18,1.25,0.2250,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_clove_groves_specialized,antq_cult_clove_groves,specialized,Regional Specialization,cloves,0.18,1.35,0.2430,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_chili_gardens_maintenance,antq_cult_chili_gardens,maintenance,Established Practice,chili,0.25,1.00,0.2500,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_chili_gardens_managed,antq_cult_chili_gardens,managed,Managed Rotation,chili,0.25,1.12,0.2800,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_chili_gardens_intensive,antq_cult_chili_gardens,intensive,Intensive Husbandry,chili,0.25,1.25,0.3125,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_chili_gardens_specialized,antq_cult_chili_gardens,specialized,Regional Specialization,chili,0.25,1.35,0.3375,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_potato_terraces_maintenance,antq_cult_potato_terraces,maintenance,Established Practice,potato,0.30,1.00,0.3000,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_potato_terraces_managed,antq_cult_potato_terraces,managed,Managed Rotation,potato,0.30,1.12,0.3360,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_potato_terraces_intensive,antq_cult_potato_terraces,intensive,Intensive Husbandry,potato,0.30,1.25,0.3750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_potato_terraces_specialized,antq_cult_potato_terraces,specialized,Regional Specialization,potato,0.30,1.35,0.4050,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_apiaries_maintenance,antq_cult_apiaries,maintenance,Established Practice,beeswax,0.22,1.00,0.2200,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_apiaries_managed,antq_cult_apiaries,managed,Managed Rotation,beeswax,0.22,1.12,0.2464,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_apiaries_intensive,antq_cult_apiaries,intensive,Intensive Husbandry,beeswax,0.22,1.25,0.2750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_apiaries_specialized,antq_cult_apiaries,specialized,Regional Specialization,beeswax,0.22,1.35,0.2970,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_mulberry_sericulture_maintenance,antq_cult_mulberry_sericulture,maintenance,Established Practice,silk,0.18,1.00,0.1800,1.20,opening,shared,P12.1;BHR;PER
antq_cult_mulberry_sericulture_managed,antq_cult_mulberry_sericulture,managed,Managed Rotation,silk,0.18,1.12,0.2016,1.20,age_2_renaissance,shared,P12.1;BHR;PER
antq_cult_mulberry_sericulture_intensive,antq_cult_mulberry_sericulture,intensive,Intensive Husbandry,silk,0.18,1.25,0.2250,1.20,age_4_reformation,shared,P12.1;BHR;PER
antq_cult_mulberry_sericulture_specialized,antq_cult_mulberry_sericulture,specialized,Regional Specialization,silk,0.18,1.35,0.2430,1.20,age_6_revolutions,shared,P12.1;BHR;PER
antq_cult_wool_flocks_maintenance,antq_cult_wool_flocks,maintenance,Established Practice,wool,0.30,1.00,0.3000,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_wool_flocks_managed,antq_cult_wool_flocks,managed,Managed Rotation,wool,0.30,1.12,0.3360,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_wool_flocks_intensive,antq_cult_wool_flocks,intensive,Intensive Husbandry,wool,0.30,1.25,0.3750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_wool_flocks_specialized,antq_cult_wool_flocks,specialized,Regional Specialization,wool,0.30,1.35,0.4050,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_cattle_pastures_maintenance,antq_cult_cattle_pastures,maintenance,Established Practice,livestock,0.28,1.00,0.2800,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_cattle_pastures_managed,antq_cult_cattle_pastures,managed,Managed Rotation,livestock,0.28,1.12,0.3136,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_cattle_pastures_intensive,antq_cult_cattle_pastures,intensive,Intensive Husbandry,livestock,0.28,1.25,0.3500,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_cattle_pastures_specialized,antq_cult_cattle_pastures,specialized,Regional Specialization,livestock,0.28,1.35,0.3780,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_horse_pastures_maintenance,antq_cult_horse_pastures,maintenance,Established Practice,horses,0.22,1.00,0.2200,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_horse_pastures_managed,antq_cult_horse_pastures,managed,Managed Rotation,horses,0.22,1.12,0.2464,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_horse_pastures_intensive,antq_cult_horse_pastures,intensive,Intensive Husbandry,horses,0.22,1.25,0.2750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_horse_pastures_specialized,antq_cult_horse_pastures,specialized,Regional Specialization,horses,0.22,1.35,0.2970,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_camel_corrals_maintenance,antq_cult_camel_corrals,maintenance,Established Practice,antq_camels,0.20,1.00,0.2000,1.20,opening,shared,P12.1;P12.3;SRS-CAM;PER
antq_cult_camel_corrals_managed,antq_cult_camel_corrals,managed,Managed Rotation,antq_camels,0.20,1.12,0.2240,1.20,age_2_renaissance,shared,P12.1;P12.3;SRS-CAM;PER
antq_cult_camel_corrals_intensive,antq_cult_camel_corrals,intensive,Intensive Husbandry,antq_camels,0.20,1.25,0.2500,1.20,age_4_reformation,shared,P12.1;P12.3;SRS-CAM;PER
antq_cult_camel_corrals_specialized,antq_cult_camel_corrals,specialized,Regional Specialization,antq_camels,0.20,1.35,0.2700,1.20,age_6_revolutions,shared,P12.1;P12.3;SRS-CAM;PER
