location,region,operation,source_good,replacement_good
ayaviri,Andes,environment_rule,cotton,fiber_crops
azghand,Iran,regional_rule,sugar,fiber_crops
azumi,Japan,regional_rule,cotton,fiber_crops
baalbek,Iran,anchor,fruit,antq_tree_nuts
baciravan,Caucasus,regional_rule,cotton,fiber_crops
badami,India,location_allowlist_rule,pepper,medicaments
baden,Germania,regional_rule,wine,fruit
baghdad,Iran,anchor,cotton,antq_sesame
baia_de_aries,Danube,anchor,beeswax,goods_gold
baima,China,location_allowlist_rule,tea,medicaments
baishui,China,regional_rule,cotton,fiber_crops
balikesir,Rome,regional_rule,cotton,fiber_crops
balkh,Central Asia,regional_rule,incense,medicaments
bandar_aceh,Southeast Asia,regional_rule,incense,medicaments
bandar_charak,Iran,regional_rule,sugar,fiber_crops
bandar_e_jask,Iran,regional_rule,sugar,fiber_crops
baniachang,India,regional_rule,silk,fiber_crops
bankapura,India,location_allowlist_rule,pepper,medicaments
bannajbur,Iran,regional_rule,sugar,fiber_crops
banten,Southeast Asia,location_allowlist_rule,pepper,medicaments
baojing,China,location_allowlist_rule,tea,medicaments
baoning,China,location_allowlist_rule,pepper,medicaments
baramulla,India,anchor,silk,antq_tree_nuts
baran,India,regional_rule,silk,fiber_crops
barca,Rome,anchor,wheat,antq_silphium
bardhaman,India,regional_rule,coal,lumber
baris,Rome,regional_rule,sugar,fiber_crops
barletta,Rome,environment_rule,olives,fruit
basra,Iran,anchor,sugar,antq_dates
batang,Central Asia,regional_rule,rice,millet
bawean,Southeast Asia,anchor,fruit,antq_coconuts
bekarlar,Anatolia,environment_rule,wine,fruit
belchite,Rome,regional_rule,silk,fiber_crops
belgaum,India,location_allowlist_rule,pepper,medicaments
belur,India,regional_rule,incense,medicaments
bengkulu,Southeast Asia,location_allowlist_rule,cloves,medicaments
bethune,Rome,regional_rule,coal,lumber
biberach,Germania,regional_rule,cotton,fiber_crops
bidar,India,regional_rule,silk,fiber_crops
bihar,Danube,regional_rule,wine,fruit
bihar_sharif,India,regional_rule,silk,fiber_crops
bilbeis,Rome,regional_rule,cotton,fiber_crops
bivona,Rome,regional_rule,cotton,fiber_crops
bobai,China,regional_rule,sugar,fiber_crops
bojano,Rome,environment_rule,olives,fruit
bologna,Rome,regional_rule,silk,fiber_crops
bombay,India,location_allowlist_rule,pepper,medicaments
bonga,Africa,regional_rule,coffee,medicaments
bor_tur,Anatolia,regional_rule,saltpeter,salt
boseong,Korea,location_allowlist_rule,tea,medicaments
bosra,Iran,environment_rule,cotton,fiber_crops
brezina,Africa,environment_rule,cotton,fiber_crops
briancon,Rome,regional_rule,coal,lumber
brno,Germania,regional_rule,wine,fruit
buchen,Germania,regional_rule,wine,fruit
buda,Danube,regional_rule,wine,fruit
bursa,Rome,regional_rule,silk,fiber_crops
buzau,Danube,regional_rule,wine,fruit
bzou,Africa,regional_rule,sugar,fiber_crops
candia,Rome,regional_rule,cotton,fiber_crops
carinena,Rome,environment_rule,wine,fruit
caspe,Rome,environment_rule,olives,fruit
catania,Rome,regional_rule,silk,fiber_crops
catanzaro,Rome,regional_rule,silk,fiber_crops
cercy,Rome,regional_rule,coal,lumber
chai_nat,Southeast Asia,regional_rule,silk,fiber_crops
chandwar,India,environment_rule,sugar,fiber_crops
changle_xunzhou,China,regional_rule,cotton,fiber_crops
changshou_pingjiang,China,location_allowlist_rule,tea,medicaments
changshu,China,regional_rule,cotton,fiber_crops
changxing,China,location_allowlist_rule,tea,medicaments
changyang,China,regional_rule,cotton,fiber_crops
charchan,Tarim,regional_rule,cotton,fiber_crops
chebba,Rome,regional_rule,sugar,fiber_crops
chengdu,China,anchor,rice,silk
cherchell,Africa,regional_rule,sugar,fiber_crops
chichaoua,Africa,environment_rule,cotton,fiber_crops
chinchilla,Rome,environment_rule,wine,fruit
chinon,Rome,regional_rule,silk,fiber_crops
chitapur,India,location_allowlist_rule,pepper,medicaments
chittoor,India,regional_rule,incense,medicaments
chongan,China,location_allowlist_rule,tea,medicaments
chongde,China,location_allowlist_rule,tea,medicaments
chongyang,China,location_allowlist_rule,tea,medicaments
churumekua,Mesoamerica,regional_rule,incense,medicaments
cizre,Iran,regional_rule,olives,fruit
cochem,Germania,regional_rule,wine,fruit
conghua,China,regional_rule,sugar,fiber_crops
constantinople,Balkans,regional_rule,silk,fiber_crops
corbeil,Rome,regional_rule,silk,fiber_crops
cosenza,Rome,regional_rule,silk,fiber_crops
cotrone,Rome,regional_rule,cotton,fiber_crops
da_giang,China,location_allowlist_rule,tea,medicaments
dabhol,India,location_allowlist_rule,pepper,medicaments
dadu,China,location_allowlist_rule,pepper,medicaments
dakahla,Rome,regional_rule,rice,millet
dakkar,Africa,regional_rule,coffee,medicaments
dalinghe,Steppe,regional_rule,rice,millet
damascus,Iran,anchor,olives,antq_sesame
damghan,Iran,environment_rule,cotton,fiber_crops
dangila,Africa,regional_rule,coffee,medicaments
darganata,Central Asia,environment_rule,cotton,fiber_crops
darwar,India,regional_rule,incense,medicaments
dashev,Pontic,environment_rule,wine,fruit
datian_shizhou,China,location_allowlist_rule,tea,medicaments
dayr_aqul,Iran,regional_rule,sugar,fiber_crops
debdou,Africa,environment_rule,olives,fruit
dehua_jiujiang,China,regional_rule,cotton,fiber_crops
deir_qamar,Iran,regional_rule,silk,fiber_crops
dergaon,India,location_allowlist_rule,tea,medicaments
derge,Central Asia,anchor,goods_gold,livestock
dharmasraya,Southeast Asia,location_allowlist_rule,cloves,medicaments
dien_ban,Southeast Asia,location_allowlist_rule,pepper,medicaments
dingyuan_fengyang,China,regional_rule,cotton,fiber_crops
diu,India,environment_rule,sugar,fiber_crops
dluk,Iran,regional_rule,olives,fruit
dongguan,China,regional_rule,incense,medicaments
dongping,China,location_allowlist_rule,tea,medicaments
dortmund,Germania,regional_rule,coal,lumber
dresden,Germania,regional_rule,wine,fruit
durgarazpatnam,India,location_allowlist_rule,pepper,medicaments
duyun,China,location_allowlist_rule,tea,medicaments
dvarasamudra,India,regional_rule,silk,fiber_crops
el_bahnasa,Rome,regional_rule,cotton,fiber_crops
el_buwit,Rome,regional_rule,sugar,fiber_crops
el_mahalla,Rome,regional_rule,cotton,fiber_crops
emei,China,regional_rule,saltpeter,salt
epe,West Africa,regional_rule,saffron,medicaments
eregli,Rome,regional_rule,coal,lumber
erode,India,regional_rule,incense,medicaments
esna,Rome,regional_rule,sugar,fiber_crops
essen,Germania,regional_rule,coal,lumber
etawah,India,environment_rule,sugar,fiber_crops
fenouillet,Rome,regional_rule,silk,fiber_crops
flix,Rome,environment_rule,olives,fruit
florac,Rome,regional_rule,silk,fiber_crops
florence,Rome,regional_rule,silk,fiber_crops
focsani,Danube,regional_rule,wine,fruit
francavilla,Rome,regional_rule,cotton,fiber_crops
french_ales,Rome,regional_rule,silk,fiber_crops
friesach,Rome,anchor,marble,iron
fuan,China,location_allowlist_rule,tea,medicaments
fucheng_hejian,China,regional_rule,cotton,fiber_crops
fuchi,Japan,location_allowlist_rule,pepper,medicaments
fuqiang,China,location_allowlist_rule,pepper,medicaments
fuqing,China,regional_rule,cotton,fiber_crops
fushun_liaoyang,Steppe,regional_rule,coal,lumber
fuwa,Rome,regional_rule,sugar,fiber_crops
fuzhou_sichuan,China,location_allowlist_rule,pepper,medicaments
gaeryeong,Korea,location_allowlist_rule,pepper,medicaments
gagi,Caucasus,environment_rule,wine,fruit
gampola,Lanka,location_allowlist_rule,pepper,medicaments
gandia,Rome,regional_rule,sugar,fiber_crops
gayo_lues,Southeast Asia,location_allowlist_rule,cloves,medicaments
geneve,Rome,regional_rule,silk,fiber_crops
genoa,Rome,regional_rule,silk,fiber_crops
ghardaia,Africa,regional_rule,saffron,medicaments
ghatsila,India,regional_rule,saltpeter,salt
giresun,Rome,environment_rule,olives,fruit
girin_ula,Korea,regional_rule,cotton,fiber_crops
giza,Rome,regional_rule,sugar,fiber_crops
goa,India,location_allowlist_rule,pepper,medicaments
gonabad,Iran,regional_rule,silk,fiber_crops
gonda,India,regional_rule,silk,fiber_crops
gongju,Korea,location_allowlist_rule,pepper,medicaments
goraghat,India,regional_rule,silk,fiber_crops
gorgan,Iran,environment_rule,cotton,fiber_crops
goseong,Korea,regional_rule,coal,lumber
goychay,Caucasus,environment_rule,wine,fruit
gremi,Caucasus,regional_rule,silk,fiber_crops
guangchang,China,location_allowlist_rule,pepper,medicaments
gugera,India,environment_rule,sugar,fiber_crops
guiping,China,location_allowlist_rule,tea,medicaments
guishan,China,regional_rule,cotton,fiber_crops
guizhou_xunzhou,China,location_allowlist_rule,tea,medicaments
guma,Tarim,regional_rule,rice,millet
guwan,China,location_allowlist_rule,pepper,medicaments
gynaikokastro,Rome,environment_rule,wine,fruit
ha_va_nguon,Southeast Asia,regional_rule,incense,medicaments
hachberg,Germania,regional_rule,wine,fruit
hadibu,Arabia,regional_rule,sugar,fiber_crops
haditha,Iran,regional_rule,sugar,fiber_crops
hadong,Korea,location_allowlist_rule,tea,medicaments
hagios_pavlos,Rome,regional_rule,sugar,fiber_crops
haleri,India,regional_rule,silk,fiber_crops
hamidiyeh,Iran,regional_rule,silk,fiber_crops
harar,Africa,regional_rule,coffee,medicaments
haskovo,Balkans,regional_rule,cotton,fiber_crops
hatthigiripura,Lanka,regional_rule,elephants,livestock
hatunsaray,Rome,environment_rule,wine,fruit
heilbronn,Germania,regional_rule,wine,fruit
hellin,Rome,environment_rule,olives,fruit
hit,Iran,anchor,legumes,antq_naphtha
hiw,Rome,regional_rule,sugar,fiber_crops
honnavara,India,location_allowlist_rule,pepper,medicaments
hoskote,India,location_allowlist_rule,pepper,medicaments
hovtva,Eastern Europe,regional_rule,saltpeter,salt
huelva,Rome,anchor,salt,silver
huichuan,China,regional_rule,cotton,fiber_crops
huoqiu,China,regional_rule,wine,fruit
iasi,Danube,regional_rule,wine,fruit
igdir,Caucasus,regional_rule,cotton,fiber_crops
ihara,Japan,location_allowlist_rule,tea,medicaments
ikkeri,India,regional_rule,silk,fiber_crops
ilimo,Africa,regional_rule,coffee,medicaments
ineu,Danube,regional_rule,wine,fruit
irbid,Iran,regional_rule,olives,fruit
isfahan,Iran,regional_rule,silk,fiber_crops
isparta,Rome,regional_rule,cotton,fiber_crops
jalandhar,India,environment_rule,sugar,fiber_crops
jama_TUN,Rome,environment_rule,olives,fruit
jambi,Southeast Asia,location_allowlist_rule,cloves,medicaments
jeongeup,Korea,location_allowlist_rule,pepper,medicaments
jeonju,Korea,regional_rule,cotton,fiber_crops
jhenaidah,India,location_allowlist_rule,pepper,medicaments
jiaha,China,regional_rule,cotton,fiber_crops
jiangan,China,location_allowlist_rule,pepper,medicaments
jiangshan_laiyang,China,location_allowlist_rule,pepper,medicaments
jianping,China,location_allowlist_rule,tea,medicaments
jianshi,China,location_allowlist_rule,tea,medicaments
jiaohua,China,regional_rule,cotton,fiber_crops
jinan,Korea,location_allowlist_rule,pepper,medicaments
jingyang,China,regional_rule,cotton,fiber_crops
jingzhao,China,anchor,clay,silk
jinjam,Korea,location_allowlist_rule,tea,medicaments
jinju,Korea,regional_rule,silk,fiber_crops
jinkang,China,regional_rule,sugar,fiber_crops
jorquera,Rome,environment_rule,wine,fruit
jowhar,Africa,regional_rule,sugar,fiber_crops
julau,Southeast Asia,anchor,cloves,lumber
jumilla,Rome,environment_rule,wine,fruit
junnar,India,regional_rule,incense,medicaments
juye,China,regional_rule,cotton,fiber_crops
kaffa,Pontic,environment_rule,wine,fruit
kaicheng,Steppe,regional_rule,cotton,fiber_crops
kaifeng,China,regional_rule,saltpeter,salt
kalaa_of_ait_abbas,Rome,environment_rule,olives,fruit
kalecik,Rome,environment_rule,wine,fruit
kallakurichi,India,regional_rule,incense,medicaments
kanauj,India,regional_rule,silk,fiber_crops
kandiaro,India,regional_rule,silk,fiber_crops
kandy,Lanka,location_allowlist_rule,pepper,medicaments
karajia,Andes,environment_rule,cotton,fiber_crops
karakax,Tarim,regional_rule,cotton,fiber_crops
karkevand,Iran,environment_rule,cotton,fiber_crops
karpus_mahal,India,regional_rule,silk,fiber_crops
karytaina,Rome,regional_rule,saltpeter,salt
kashima,Japan,regional_rule,silk,fiber_crops
kataka,India,regional_rule,silk,fiber_crops
kawachi,Japan,location_allowlist_rule,pepper,medicaments
kayal,India,anchor,salt,pearls
kembhavi,India,regional_rule,incense,medicaments
khairabad,India,regional_rule,silk,fiber_crops
khargerd,Iran,regional_rule,silk,fiber_crops
kharsawan,India,regional_rule,incense,medicaments
khatunabad,Iran,environment_rule,wine,fruit
khondab,Iran,environment_rule,cotton,fiber_crops
khordong,Central Asia,location_allowlist_rule,tea,medicaments
khotan,Tarim,anchor,gems,antq_jade
khujand,Central Asia,regional_rule,coal,lumber
khupati,Rome,regional_rule,cotton,fiber_crops
kitou,Japan,location_allowlist_rule,tea,medicaments
kleisoura,Rome,regional_rule,cotton,fiber_crops
kodungallur,India,anchor,fish,pepper
kol,India,regional_rule,saltpeter,salt
kong,West Africa,regional_rule,saffron,medicaments
konstanz,Germania,regional_rule,wine,fruit
konya,Rome,regional_rule,silk,fiber_crops
koshi,Japan,regional_rule,silk,fiber_crops
kotagad,India,regional_rule,incense,medicaments
kothagudem,India,regional_rule,saltpeter,salt
krupina,Germania,regional_rule,wine,fruit
ksar_el_boukhari,Africa,environment_rule,olives,fruit
ksar_el_kebir,Africa,regional_rule,sugar,fiber_crops
kuji,Japan,location_allowlist_rule,tea,medicaments
kurla,Tarim,regional_rule,rice,millet
kuse,Japan,location_allowlist_rule,tea,medicaments
kushinagar,India,regional_rule,silk,fiber_crops
kuznetsk,Steppe,regional_rule,coal,lumber
kyat_kala,Central Asia,environment_rule,cotton,fiber_crops
ladik_pontus,Anatolia,regional_rule,rice,millet
laiyang,China,location_allowlist_rule,tea,medicaments
lampung,Southeast Asia,location_allowlist_rule,cloves,medicaments
langarud,Iran,regional_rule,silk,fiber_crops
lanshan,China,location_allowlist_rule,tea,medicaments
larantuka,Southeast Asia,regional_rule,incense,medicaments
larnaca,Anatolia,regional_rule,silk,fiber_crops
lean_fuzhou,China,location_allowlist_rule,tea,medicaments
leuktron,Rome,regional_rule,silk,fiber_crops
lhasa,Central Asia,anchor,wheat,antq_barley
lidian,China,regional_rule,saltpeter,salt
liege,Rome,regional_rule,saltpeter,salt
likusaen,Southeast Asia,regional_rule,incense,medicaments
limassol,Anatolia,regional_rule,sugar,fiber_crops
limbdi,India,regional_rule,saltpeter,salt
limoux,Rome,environment_rule,olives,fruit
linfen,China,regional_rule,saltpeter,salt
lingshan,China,regional_rule,sugar,fiber_crops
linshui,China,location_allowlist_rule,pepper,medicaments
linwu,China,location_allowlist_rule,tea,medicaments
lisle_jourdain,Rome,environment_rule,olives,fruit
litomerice,Germania,regional_rule,wine,fruit
loket,Germania,regional_rule,coal,lumber
lomello,Rome,regional_rule,rice,millet
longping_pingle,China,location_allowlist_rule,tea,medicaments
longzhou_longzhou,China,location_allowlist_rule,tea,medicaments
lop,Tarim,regional_rule,silk,fiber_crops
lorca,Rome,regional_rule,saltpeter,salt
lucca,Rome,regional_rule,cotton,fiber_crops
lukchun,Tarim,regional_rule,saltpeter,salt
luliang,China,regional_rule,cotton,fiber_crops
lumajang,Southeast Asia,regional_rule,saltpeter,salt
luoji,China,location_allowlist_rule,pepper,medicaments
luoshan,China,regional_rule,wine,fruit
luotian,China,location_allowlist_rule,pepper,medicaments
luoxiong,China,location_allowlist_rule,pepper,medicaments
luzhou,China,regional_rule,wine,fruit
lyaskovets,Rome,regional_rule,cotton,fiber_crops
lyon,Rome,regional_rule,silk,fiber_crops
madaran,India,regional_rule,silk,fiber_crops
madas,Rome,regional_rule,cotton,fiber_crops
madugula,India,regional_rule,incense,medicaments
madurai,India,anchor,silk,antq_sesame
mainz,Germania,regional_rule,wine,fruit
malacca,Southeast Asia,location_allowlist_rule,cloves,medicaments
malaga,Rome,regional_rule,sugar,fiber_crops
malapuram,India,regional_rule,incense,medicaments
male_atoll,India,anchor,lumber,pearls
malta,Rome,regional_rule,cotton,fiber_crops
mandar_parvat,India,regional_rule,silk,fiber_crops
mang_viet,China,regional_rule,saltpeter,salt
manisa,Rome,regional_rule,cotton,fiber_crops
manresa,Rome,regional_rule,saltpeter,salt
mansoura,Rome,regional_rule,sugar,fiber_crops
maoming,China,regional_rule,sugar,fiber_crops
marghinan,Central Asia,regional_rule,silk,fiber_crops
maskanah,Iran,regional_rule,sugar,fiber_crops
massawa,Africa,anchor,gems,incense
matera,Rome,environment_rule,olives,fruit
mateur,Rome,regional_rule,sugar,fiber_crops
mathura,India,environment_rule,sugar,fiber_crops
mazara,Rome,regional_rule,saltpeter,salt
medias,Danube,regional_rule,wine,fruit
medina,Arabia,anchor,fruit,antq_camels
meiqiu,China,regional_rule,cotton,fiber_crops
meizhou,China,location_allowlist_rule,pepper,medicaments
melfi,Rome,environment_rule,wine,fruit
menggala,Southeast Asia,location_allowlist_rule,cloves,medicaments
menghai,China,regional_rule,cotton,fiber_crops
menouf,Rome,regional_rule,rice,millet
merv,Central Asia,regional_rule,silk,fiber_crops
merzig,Germania,regional_rule,coal,lumber
meskiana,Rome,regional_rule,cotton,fiber_crops
metog,Central Asia,regional_rule,rice,millet
mevouillon,Rome,environment_rule,olives,fruit
miandoab,Iran,regional_rule,sugar,fiber_crops
mianzhu,China,regional_rule,wine,fruit
midu,China,regional_rule,cotton,fiber_crops
mikasa,Japan,regional_rule,coal,lumber
mima,Japan,location_allowlist_rule,tea,medicaments
minab,Iran,regional_rule,sugar,fiber_crops
mingying,China,location_allowlist_rule,tea,medicaments
minokamo,Japan,regional_rule,silk,fiber_crops
minqing,China,regional_rule,sugar,fiber_crops
minxian,China,regional_rule,sugar,fiber_crops
miyaneh,Iran,environment_rule,cotton,fiber_crops
modica,Rome,regional_rule,silk,fiber_crops
mons,Rome,regional_rule,coal,lumber
montalban,Rome,regional_rule,coal,lumber
moron,Rome,regional_rule,cotton,fiber_crops
morphou,Anatolia,regional_rule,cotton,fiber_crops
mostar,Rome,environment_rule,olives,fruit
muang_sua,Southeast Asia,location_allowlist_rule,tea,medicaments
mubarakabad,Iran,environment_rule,cotton,fiber_crops
muko,Japan,location_allowlist_rule,tea,medicaments
mullheim,Germania,regional_rule,wine,fruit
mungyeong,Korea,regional_rule,coal,lumber
murcia,Rome,regional_rule,silk,fiber_crops
mut,Anatolia,regional_rule,cotton,fiber_crops
myslenice,Eastern Europe,regional_rule,coal,lumber
mysore,India,regional_rule,silk,fiber_crops
nabeul,Rome,regional_rule,cotton,fiber_crops
nagykanizsa,Danube,regional_rule,wine,fruit
najran,Arabia,regional_rule,silk,fiber_crops
nakatsu,Japan,regional_rule,coal,lumber
nakijin,Japan,location_allowlist_rule,tea,medicaments
nakpa,West Africa,regional_rule,saffron,medicaments
nalli,Rome,regional_rule,rice,millet
namhsan,Southeast Asia,location_allowlist_rule,tea,medicaments
namwon,Korea,regional_rule,incense,medicaments
nanan_quanzhou,China,regional_rule,cotton,fiber_crops
nandurbar,India,regional_rule,silk,fiber_crops
nanning,China,regional_rule,cotton,fiber_crops
nansheng,China,location_allowlist_rule,tea,medicaments
nazilli,Rome,regional_rule,cotton,fiber_crops
nedong,Central Asia,anchor,wool,antq_barley
negombo,Lanka,location_allowlist_rule,pepper,medicaments
neijiang,China,regional_rule,sugar,fiber_crops
niihari,Japan,location_allowlist_rule,pepper,medicaments
ningjin,China,regional_rule,cotton,fiber_crops
niwa,Japan,regional_rule,silk,fiber_crops
nora_eth,Africa,regional_rule,sugar,fiber_crops
noto_jap,Japan,regional_rule,silk,fiber_crops
nyemo,Central Asia,regional_rule,incense,medicaments
omkoi,Southeast Asia,regional_rule,incense,medicaments
onga,Japan,regional_rule,coal,lumber
onseong,Korea,regional_rule,coal,lumber
orgiva,Rome,regional_rule,silk,fiber_crops
orhei,Danube,regional_rule,wine,fruit
ormara,Iran,regional_rule,sugar,fiber_crops
oryahovo,Rome,regional_rule,cotton,fiber_crops
osh,Central Asia,regional_rule,silk,fiber_crops
osnabruck,Germania,regional_rule,coal,lumber
oster,Eastern Europe,regional_rule,coal,lumber
otrar,Central Asia,environment_rule,cotton,fiber_crops
ouning,China,location_allowlist_rule,tea,medicaments
padang,Southeast Asia,location_allowlist_rule,cloves,medicaments
pal_lahara,India,regional_rule,incense,medicaments
palanpur,India,regional_rule,silk,fiber_crops
palermo,Rome,regional_rule,sugar,fiber_crops
palitana,India,environment_rule,sugar,fiber_crops
pangani,Africa,regional_rule,rice,millet
panipat,India,environment_rule,sugar,fiber_crops
panugallu,India,regional_rule,silk,fiber_crops
pazin,Rome,environment_rule,olives,fruit
pekalongan,Southeast Asia,location_allowlist_rule,cloves,medicaments
penafiel,Rome,environment_rule,wine,fruit
peranap,Southeast Asia,regional_rule,coal,lumber
pesagi,Southeast Asia,regional_rule,saltpeter,salt
pescia,Rome,regional_rule,cotton,fiber_crops
petrove,Pontic,regional_rule,coal,lumber
piazza,Rome,regional_rule,saltpeter,salt
pingba,China,regional_rule,cotton,fiber_crops
pisa,Rome,regional_rule,silk,fiber_crops
pithapuram,India,regional_rule,saltpeter,salt
plenita,Danube,regional_rule,cotton,fiber_crops
pondicherry,India,location_allowlist_rule,pepper,medicaments
pontianak,Southeast Asia,anchor,sugar,fish
pontikokastro,Rome,regional_rule,silk,fiber_crops
prakkad,India,location_allowlist_rule,pepper,medicaments
prievidza,Germania,regional_rule,saffron,medicaments
pristina,Rome,regional_rule,coal,lumber
prosek,Rome,environment_rule,wine,fruit
pryluky,Eastern Europe,regional_rule,coal,lumber
pszczyna,Germania,regional_rule,coal,lumber
puddokothai,India,location_allowlist_rule,pepper,medicaments
puding,China,regional_rule,cotton,fiber_crops
pulawama,India,regional_rule,silk,fiber_crops
puqi,China,location_allowlist_rule,tea,medicaments
puri_simao,China,location_allowlist_rule,tea,medicaments
pyay,Southeast Asia,regional_rule,silk,fiber_crops
qalhat,Arabia,regional_rule,sugar,fiber_crops
qianshan,China,regional_rule,cotton,fiber_crops
qianzhou,China,regional_rule,cotton,fiber_crops
qimen,China,location_allowlist_rule,tea,medicaments
qingxiang,China,regional_rule,wine,fruit
qinjiang,China,regional_rule,sugar,fiber_crops
qiongzhou,China,regional_rule,wine,fruit
qiubei,China,regional_rule,cotton,fiber_crops
qobustan,Caucasus,regional_rule,cotton,fiber_crops
quanjiao,China,regional_rule,cotton,fiber_crops
quelimane,Africa,regional_rule,rice,millet
qumbash,Tarim,regional_rule,rice,millet
rahatgarh,India,regional_rule,saltpeter,salt
rahba,Iran,regional_rule,sugar,fiber_crops
rahsaan_khad,Steppe,regional_rule,coal,lumber
raigadh,India,regional_rule,silk,fiber_crops
ramhormoz,Iran,regional_rule,silk,fiber_crops
rangamati,India,location_allowlist_rule,tea,medicaments
ras_hafun,Africa,regional_rule,saffron,medicaments
ras_kebdana,Africa,environment_rule,olives,fruit
rasht,Iran,regional_rule,silk,fiber_crops
rath,India,regional_rule,saltpeter,salt
ratnapura,India,regional_rule,silk,fiber_crops
ratnapura_LKA,Lanka,location_allowlist_rule,pepper,medicaments
rattanaburi,Southeast Asia,regional_rule,silk,fiber_crops
raybag,India,regional_rule,incense,medicaments
rayen,Iran,environment_rule,cotton,fiber_crops
reggiocal,Rome,regional_rule,cotton,fiber_crops
renhua,China,location_allowlist_rule,tea,medicaments
rey,Iran,regional_rule,silk,fiber_crops
rohri,India,environment_rule,sugar,fiber_crops
rozkishna,Eastern Europe,regional_rule,coal,lumber
rudbar,Iran,regional_rule,olives,fruit
sabac,Rome,regional_rule,coal,lumber
sadiya,India,location_allowlist_rule,tea,medicaments
sagaing,Southeast Asia,regional_rule,silk,fiber_crops
sakju,Korea,regional_rule,silk,fiber_crops
salaga,West Africa,regional_rule,saffron,medicaments
samarkand,Central Asia,regional_rule,silk,fiber_crops
samsun,Rome,environment_rule,olives,fruit
sangju,Korea,regional_rule,silk,fiber_crops
sanhe_chaozhou,China,regional_rule,sugar,fiber_crops
sansevero,Rome,environment_rule,wine,fruit
santubong,Southeast Asia,anchor,mercury,fish
sarikei,Southeast Asia,anchor,cloves,fish
sasaram,India,regional_rule,silk,fiber_crops
satoraljaujhely,Germania,regional_rule,wine,fruit
savaii,Oceania,anchor,fruit,antq_coconuts
savur,Iran,anchor,olives,antq_tree_nuts
sayun,Arabia,anchor,fruit,antq_dates
seogyeong,Korea,regional_rule,coal,lumber
seongcheon,Korea,regional_rule,cotton,fiber_crops
sepon,Southeast Asia,regional_rule,coal,lumber
seta,Japan,regional_rule,silk,fiber_crops
seyitgazi,Rome,environment_rule,wine,fruit
shakhty,Pontic,regional_rule,coal,lumber
shamakhi,Caucasus,regional_rule,silk,fiber_crops
shansu,China,regional_rule,cotton,fiber_crops
