good,period_role,source_modes,rgo_locations,producer_families,seeded_producers,day_one_constructible_producers,constructible_polities,opening_reachable,market_source,audit_flags
antq_lead_wares,processed_craft_or_service,seeded;constructible,0,antq_reg_lead_foundry;antq_reg_lead_pipeworks,antq_reg_lead_foundry,antq_reg_lead_foundry,56,yes,yes,pass
antq_leather_goods,processed_craft_or_service,seeded;constructible,0,antq_reg_cordwainer;antq_reg_harness_maker;antq_reg_leatherworks;antq_reg_packsaddle_workshop;antq_reg_saddlery;antq_reg_scabbard_maker,antq_reg_cordwainer;antq_reg_harness_maker;antq_reg_leatherworks;antq_reg_packsaddle_workshop;antq_reg_saddlery;antq_reg_scabbard_maker,antq_reg_cordwainer;antq_reg_leatherworks,463,yes,yes,pass
antq_naphtha,mineral_or_quarried_raw,rgo,1,,,,0,yes,yes,pass
antq_nut_pastes,processed_food_or_drink,seeded;constructible,0,antq_reg_nut_grinding_house,antq_reg_nut_grinding_house,antq_reg_nut_grinding_house,54,yes,yes,pass
antq_olive_oil,processed_food_or_drink,seeded;constructible,0,antq_reg_oil_bottler;antq_reg_olive_estate;antq_reg_olive_press,antq_reg_oil_bottler;antq_reg_olive_press,antq_reg_olive_press,463,yes,yes,pass
antq_papyrus,organic_raw_or_exchange,rgo;seeded;constructible,1,antq_cult_papyrus_beds,antq_cult_papyrus_beds,antq_cult_papyrus_beds,463,yes,yes,pass
antq_parchment,processed_craft_or_service,seeded;constructible,0,antq_reg_parchmentery,antq_reg_parchmentery,antq_reg_parchmentery,57,yes,yes,pass
antq_perfumes,processed_craft_or_service,seeded;constructible,0,antq_reg_incense_workshop;antq_reg_perfumery;antq_reg_unguentarium,antq_reg_incense_workshop;antq_reg_perfumery,antq_reg_incense_workshop;antq_reg_perfumery,48,yes,yes,pass
antq_preserved_fish,processed_food_or_drink,seeded;constructible,0,antq_reg_fish_saltery;antq_reg_garum_workshop,antq_reg_fish_saltery;antq_reg_garum_workshop,antq_reg_fish_saltery,463,yes,yes,pass
antq_rice_wine,processed_food_or_drink,seeded;constructible,0,antq_reg_rice_wine_house,antq_reg_rice_wine_house,antq_reg_rice_wine_house,3,yes,yes,pass
antq_sailcloth,processed_craft_or_service,seeded;constructible,0,antq_reg_sailmaker,antq_reg_sailmaker,antq_reg_sailmaker,463,yes,yes,pass
antq_sesame,food_crop_or_animal,rgo;seeded;constructible,25,antq_cult_sesame_plots,antq_cult_sesame_plots,antq_cult_sesame_plots,463,yes,yes,pass
antq_sesame_oil,processed_food_or_drink,seeded;constructible,0,antq_reg_sesame_oil_press,antq_reg_sesame_oil_press,antq_reg_sesame_oil_press,60,yes,yes,pass
antq_silphium,organic_raw_or_exchange,rgo,1,,,,0,yes,yes,pass
antq_soap,processed_craft_or_service,seeded;constructible,0,antq_reg_soapworks,antq_reg_soapworks,antq_reg_soapworks,48,yes,yes,pass
antq_soy_condiments,processed_food_or_drink,seeded;constructible,0,antq_reg_soy_fermentary,antq_reg_soy_fermentary,antq_reg_soy_fermentary,3,yes,yes,pass
antq_tree_nuts,food_crop_or_animal,rgo;seeded;constructible,40,antq_cult_nut_orchards,antq_cult_nut_orchards,antq_cult_nut_orchards,463,yes,yes,pass
antq_wax_goods,processed_craft_or_service,seeded;constructible,0,antq_reg_torchmaker;antq_reg_wax_workshop,antq_reg_torchmaker;antq_reg_wax_workshop,antq_reg_wax_workshop,80,yes,yes,pass
antq_yue_celadon,later_antique_specialty,later_locked,0,antq_reg_yue_celadon_kiln,,,0,no,no,pass
beer,processed_food_or_drink,seeded;constructible,0,antq_reg_brewhouse;antq_reg_fruit_brewery;antq_reg_honey_house;antq_reg_millet_brewery;antq_reg_rice_brewery;antq_reg_wheat_brewery,antq_reg_brewhouse;antq_reg_fruit_brewery;antq_reg_honey_house;antq_reg_millet_brewery;antq_reg_rice_brewery;antq_reg_wheat_brewery,antq_reg_brewhouse,463,yes,yes,pass
beeswax,organic_raw_or_exchange,rgo,309,antq_cult_apiaries,,,0,yes,yes,pass
books,processed_craft_or_service,seeded;constructible,0,antq_reg_reed_pen_maker;antq_reg_scriptorium;antq_reg_scroll_workshop;antq_reg_stationer,antq_reg_reed_pen_maker;antq_reg_scriptorium;antq_reg_scroll_workshop;antq_reg_stationer,antq_reg_scriptorium,45,yes,yes,pass
chili,food_crop_or_animal,rgo,18,antq_cult_chili_gardens,,,0,yes,yes,pass
clay,mineral_or_quarried_raw,rgo,339,,,,0,yes,yes,pass
cloth,processed_craft_or_service,seeded;constructible,0,antq_reg_cotton_weavery;antq_reg_flax_retting_yard;antq_reg_fullonica;antq_reg_linen_bleachery;antq_reg_linen_weavery;antq_reg_loom_house;antq_reg_loomweight_weavery;antq_reg_spindlework;antq_reg_textile_quarter;antq_reg_wool_carder,antq_reg_cotton_weavery;antq_reg_flax_retting_yard;antq_reg_fullonica;antq_reg_linen_bleachery;antq_reg_linen_weavery;antq_reg_loom_house;antq_reg_loomweight_weavery;antq_reg_spindlework;antq_reg_textile_quarter;antq_reg_wool_carder,antq_reg_fullonica;antq_reg_linen_weavery;antq_reg_wool_carder,463,yes,yes,pass
cloves,organic_raw_or_exchange,rgo,2,antq_cult_clove_groves,,,0,yes,yes,pass
coal,mineral_or_quarried_raw,rgo,15,,,,0,yes,yes,pass
cocoa,food_crop_or_animal,rgo,20,antq_cult_cacao_groves,,,0,yes,yes,pass
copper,mineral_or_quarried_raw,rgo,149,,,,0,yes,yes,pass
cotton,organic_raw_or_exchange,rgo,218,antq_cult_cotton_plots,,,0,yes,yes,pass
dyes,processed_craft_or_service,rgo;seeded,110,antq_cult_dye_gardens;antq_reg_spice_grinder,antq_reg_spice_grinder,,0,yes,yes,pass
elephants,food_crop_or_animal,rgo,75,,,,0,yes,yes,pass
fiber_crops,organic_raw_or_exchange,rgo,635,antq_cult_flax_hemp_fields,,,0,yes,yes,pass
fine_cloth,processed_craft_or_service,seeded;constructible,0,antq_reg_alum_dyehouse;antq_reg_dye_finishing_house;antq_reg_dye_workshop;antq_reg_mordant_dyehouse;antq_reg_purple_dyehouse;antq_reg_silk_drapery;antq_reg_silk_loom;antq_reg_textile_dye_finisher;antq_reg_wool_drapery,antq_reg_alum_dyehouse;antq_reg_dye_finishing_house;antq_reg_dye_workshop;antq_reg_mordant_dyehouse;antq_reg_purple_dyehouse;antq_reg_silk_drapery;antq_reg_silk_loom;antq_reg_textile_dye_finisher;antq_reg_wool_drapery,antq_reg_dye_workshop;antq_reg_purple_dyehouse;antq_reg_textile_dye_finisher,123,yes,yes,pass
fish,food_crop_or_animal,rgo,738,,,,0,yes,yes,pass
fruit,food_crop_or_animal,rgo,602,antq_cult_fruit_orchards;antq_cult_grape_arbors,,,0,yes,yes,pass
fur,organic_raw_or_exchange,rgo,323,,,,0,yes,yes,pass
furniture,processed_craft_or_service,seeded;constructible,0,antq_reg_basketry;antq_reg_brushmaker;antq_reg_chariotwright;antq_reg_cooperage;antq_reg_cork_workshop;antq_reg_instrument_maker;antq_reg_joinery;antq_reg_reed_matmaker;antq_reg_sieve_maker;antq_reg_wheelwright;antq_reg_wickerwork,antq_reg_basketry;antq_reg_brushmaker;antq_reg_chariotwright;antq_reg_cooperage;antq_reg_cork_workshop;antq_reg_instrument_maker;antq_reg_joinery;antq_reg_reed_matmaker;antq_reg_sieve_maker;antq_reg_wheelwright;antq_reg_wickerwork,antq_reg_joinery;antq_reg_wheelwright,55,yes,yes,pass
gems,mineral_or_quarried_raw,rgo,78,,,,0,yes,yes,pass
glass,processed_craft_or_service,seeded;constructible,0,antq_reg_tesserae_kiln,antq_reg_tesserae_kiln,antq_reg_tesserae_kiln,51,yes,yes,pass
goods_gold,mineral_or_quarried_raw,rgo,119,,,,0,yes,yes,pass
horses,food_crop_or_animal,rgo,370,antq_cult_horse_pastures,,,0,yes,yes,pass
incense,organic_raw_or_exchange,rgo,17,antq_cult_incense_gardens,,,0,yes,yes,pass
iron,mineral_or_quarried_raw,rgo,333,,,,0,yes,yes,pass
ivory,organic_raw_or_exchange,rgo,25,,,,0,yes,yes,pass
jewelry,processed_craft_or_service,seeded;constructible,0,antq_reg_bone_carver;antq_reg_combmaker;antq_reg_coral_workshop;antq_reg_hornworker;antq_reg_ivory_carver;antq_reg_jeweler;antq_reg_lapidary;antq_reg_monetal_workshop;antq_reg_seal_cutter;antq_reg_silverworkshop,antq_reg_bone_carver;antq_reg_combmaker;antq_reg_coral_workshop;antq_reg_hornworker;antq_reg_ivory_carver;antq_reg_jeweler;antq_reg_lapidary;antq_reg_monetal_workshop;antq_reg_seal_cutter;antq_reg_silverworkshop,antq_reg_bone_carver;antq_reg_jeweler,103,yes,yes,pass
lead,mineral_or_quarried_raw,rgo,84,,,,0,yes,yes,pass
leather,processed_craft_or_service,seeded;constructible,0,antq_reg_hide_curing_yard,antq_reg_hide_curing_yard,antq_reg_hide_curing_yard,463,yes,yes,pass
legumes,food_crop_or_animal,rgo,557,antq_cult_pulse_plots,,,0,yes,yes,pass
livestock,food_crop_or_animal,rgo,1703,antq_cult_cattle_pastures,,,0,yes,yes,pass
lumber,organic_raw_or_exchange,rgo,1293,,,,0,yes,yes,pass
maize,food_crop_or_animal,rgo,67,antq_cult_maize_plots,,,0,yes,yes,pass
marble,mineral_or_quarried_raw,rgo,79,,,,0,yes,yes,pass
masonry,processed_craft_or_service,seeded;constructible,0,antq_reg_brickworks;antq_reg_clay_brickworks;antq_reg_lime_kiln;antq_reg_marble_yard;antq_reg_mortar_grinder;antq_reg_mosaic_workshop;antq_reg_quarry_contractors;antq_reg_quernworks;antq_reg_stone_carver;antq_reg_stone_masonry_yard;antq_reg_stuccoworks,antq_reg_brickworks;antq_reg_clay_brickworks;antq_reg_lime_kiln;antq_reg_marble_yard;antq_reg_mortar_grinder;antq_reg_mosaic_workshop;antq_reg_quernworks;antq_reg_stone_carver;antq_reg_stone_masonry_yard;antq_reg_stuccoworks,antq_reg_brickworks;antq_reg_stone_carver,463,yes,yes,pass
medicaments,processed_craft_or_service,rgo;seeded;constructible,369,antq_cult_pepper_gardens;antq_cult_spice_gardens;antq_reg_herbal_apothecary;antq_reg_materia_medica,antq_reg_herbal_apothecary;antq_reg_materia_medica,antq_reg_herbal_apothecary;antq_reg_materia_medica,86,yes,yes,pass
mercury,mineral_or_quarried_raw,rgo,20,,,,0,yes,yes,pass
millet,food_crop_or_animal,rgo,618,antq_cult_millet_plots,,,0,yes,yes,pass
naval_supplies,processed_craft_or_service,seeded;constructible,0,antq_reg_barge_chandlery;antq_reg_bargeyard;antq_reg_ferry_quay;antq_reg_oarwright;antq_reg_pulley_workshop;antq_reg_reed_boatyard;antq_reg_sail_needle_shop;antq_reg_shipyard,antq_reg_barge_chandlery;antq_reg_bargeyard;antq_reg_ferry_quay;antq_reg_oarwright;antq_reg_pulley_workshop;antq_reg_reed_boatyard;antq_reg_sail_needle_shop;antq_reg_shipyard,antq_reg_bargeyard;antq_reg_ferry_quay;antq_reg_shipyard,463,yes,yes,pass
olives,food_crop_or_animal,rgo,57,antq_cult_olive_groves,,,0,yes,yes,pass
paper,processed_craft_or_service,seeded;constructible,0,antq_reg_papyrus_workshop,antq_reg_papyrus_workshop,antq_reg_papyrus_workshop,4,yes,yes,pass
pearls,organic_raw_or_exchange,rgo,68,,,,0,yes,yes,pass
pepper,organic_raw_or_exchange,rgo,10,antq_cult_black_pepper,,,0,yes,yes,pass
potato,food_crop_or_animal,rgo,17,antq_cult_potato_terraces,,,0,yes,yes,pass
pottery,processed_craft_or_service,seeded;constructible,0,antq_reg_figurine_kiln;antq_reg_kiln_furniture;antq_reg_lampworks;antq_reg_pottery_kiln;antq_reg_tegula_kiln;antq_reg_tile_yard,antq_reg_figurine_kiln;antq_reg_kiln_furniture;antq_reg_lampworks;antq_reg_pottery_kiln;antq_reg_tegula_kiln;antq_reg_tile_yard,antq_reg_pottery_kiln,463,yes,yes,pass
rice,food_crop_or_animal,rgo,460,antq_cult_rice_paddies,,,0,yes,yes,pass
saffron,organic_raw_or_exchange,rgo,29,antq_cult_saffron_beds,,,0,yes,yes,pass
salt,mineral_or_quarried_raw,rgo,328,,,,0,yes,yes,pass
sand,mineral_or_quarried_raw,rgo,187,,,,0,yes,yes,pass
silk,organic_raw_or_exchange,rgo,25,antq_cult_mulberry_sericulture,,,0,yes,yes,pass
silver,mineral_or_quarried_raw,rgo,95,,,,0,yes,yes,pass
steel,processed_craft_or_service,seeded;constructible,0,antq_reg_crucible_steel_workshop,antq_reg_crucible_steel_workshop,antq_reg_crucible_steel_workshop,28,yes,yes,pass
stone,mineral_or_quarried_raw,rgo,312,,,,0,yes,yes,pass
sugar,food_crop_or_animal,rgo,33,antq_cult_sugar_cane,,,0,yes,yes,pass
tar,organic_raw_or_exchange,seeded;constructible,0,antq_reg_charcoal_hearth,antq_reg_charcoal_hearth,antq_reg_charcoal_hearth,463,yes,yes,pass
tea,organic_raw_or_exchange,rgo,11,antq_cult_tea_gardens,,,0,yes,yes,pass
tin,mineral_or_quarried_raw,rgo,67,,,,0,yes,yes,pass
tobacco,organic_raw_or_exchange,rgo,7,antq_cult_tobacco_plots,,,0,yes,yes,pass
tools,processed_craft_or_service,seeded;constructible,0,antq_reg_iron_bloomery;antq_reg_metalwork,antq_reg_iron_bloomery;antq_reg_metalwork,antq_reg_iron_bloomery,463,yes,yes,pass
weaponry,processed_craft_or_service,seeded;constructible,0,antq_reg_arrow_fletchery;antq_reg_castra_fabrica;antq_reg_scale_armoury;antq_reg_shieldmaker;antq_reg_weapon_smith,antq_reg_arrow_fletchery;antq_reg_scale_armoury;antq_reg_shieldmaker;antq_reg_weapon_smith,antq_reg_arrow_fletchery,463,yes,yes,pass
wheat,food_crop_or_animal,rgo,907,antq_cult_wheat_fields,,,0,yes,yes,pass
wild_game,food_crop_or_animal,rgo,597,,,,0,yes,yes,pass
wine,processed_food_or_drink,rgo;seeded;constructible,137,antq_cult_vineyards;antq_reg_vineyard_estate;antq_reg_wine_press,antq_reg_vineyard_estate;antq_reg_wine_press,antq_reg_wine_press,42,yes,yes,pass
wool,organic_raw_or_exchange,rgo,695,antq_cult_wool_flocks,,,0,yes,yes,pass
