advance,name,age,depth,track,profile,scope,role,modifier,stacking_family,engine_category,unit,ui_decimals,script_value,display_value,representative_baseline_impact,vanilla_advance_min,vanilla_advance_max,modifier_definition,historical_source
antq_jurists_law,Jurists Law,age_2_renaissance,0,statecraft,shared,shared,minor,country_cabinet_efficiency,country_cabinet_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_commentary_schools,Commentary Schools,age_2_renaissance,0,statecraft,shared,shared,minor,country_cabinet_efficiency,country_cabinet_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_provincial_assizes,Hellenic: Provincial Assizes,age_2_renaissance,1,statecraft,hellenic,hellenic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_civic_patronage,Hellenic: Civic Patronage,age_2_renaissance,1,statecraft,hellenic,hellenic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_municipal_accounting,Iranian: Municipal Accounting,age_2_renaissance,1,statecraft,iranian,iranian,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_estate_registries,Iranian: Estate Registries,age_2_renaissance,1,statecraft,iranian,iranian,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_imperial_rescripts,Hellenic: Imperial Rescripts,age_2_renaissance,2,statecraft,hellenic,hellenic,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_law_of_persons,Iranian: Law Of Persons,age_2_renaissance,2,statecraft,iranian,iranian,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_provincial_governance,Hellenic: Provincial Governance,age_2_renaissance,3,statecraft,hellenic,hellenic,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_high_empire_administration,Iranian: High Empire Administration,age_2_renaissance,2,statecraft,iranian,iranian,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_crisis_coinage,Crisis Coinage,age_3_discovery,0,statecraft,shared,shared,minor,country_cabinet_efficiency,country_cabinet_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_emergency_levies,Emergency Levies,age_3_discovery,0,statecraft,shared,shared,minor,country_cabinet_efficiency,country_cabinet_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_fiscal_reassessment,Near Eastern: Fiscal Reassessment,age_3_discovery,1,statecraft,near_eastern,near_eastern,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P8.2;P15;CAH-XI
antq_mint_accounting,Near Eastern: Mint Accounting,age_3_discovery,1,statecraft,near_eastern,near_eastern,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P8.2;P15;CAH-XI
antq_regional_commands,Indic: Regional Commands,age_3_discovery,1,statecraft,indic,indic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.4;P15;CAH-XI
antq_emergency_rescripts,Indic: Emergency Rescripts,age_3_discovery,1,statecraft,indic,indic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.4;P15;CAH-XI
antq_grain_annona,Near Eastern: Grain Annona,age_3_discovery,2,statecraft,near_eastern,near_eastern,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P8.2;P15;CAH-XI
antq_imperial_dioceses,Indic: Imperial Dioceses,age_3_discovery,2,statecraft,indic,indic,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.4;P15;CAH-XI
antq_revenue_recovery,Near Eastern: Revenue Recovery,age_3_discovery,3,statecraft,near_eastern,near_eastern,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P8.2;P15;CAH-XI
antq_crisis_statecraft,Indic: Crisis Statecraft,age_3_discovery,2,statecraft,indic,indic,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.4;P15;CAH-XI
antq_diocesan_administration,Diocesan Administration,age_4_reformation,0,statecraft,shared,shared,minor,country_cabinet_efficiency,country_cabinet_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_codification,Codification,age_4_reformation,0,statecraft,shared,shared,minor,country_cabinet_efficiency,country_cabinet_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_notarial_offices,Roman and Italic: Notarial Offices,age_4_reformation,1,statecraft,roman_italic,roman_italic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_imperial_chancery,Roman and Italic: Imperial Chancery,age_4_reformation,1,statecraft,roman_italic,roman_italic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_provincial_prefects,Nile and North African: Provincial Prefects,age_4_reformation,1,statecraft,nile_north_african,nile_north_african,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;PER;CAH-XI;CAH-XII
antq_tax_in_kind,Nile and North African: Tax In Kind,age_4_reformation,1,statecraft,nile_north_african,nile_north_african,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;PER;CAH-XI;CAH-XII
antq_public_post,Roman and Italic: Public Post,age_4_reformation,2,statecraft,roman_italic,roman_italic,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_legal_compilations,Nile and North African: Legal Compilations,age_4_reformation,2,statecraft,nile_north_african,nile_north_african,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;PER;CAH-XI;CAH-XII
antq_late_roman_bureaucracy,Roman and Italic: Late Imperial Bureaucracy,age_4_reformation,3,statecraft,roman_italic,roman_italic,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_dominate_statecraft,Nile and North African: Dominate Statecraft,age_4_reformation,2,statecraft,nile_north_african,nile_north_african,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;PER;CAH-XI;CAH-XII
antq_kingdom_charters,Kingdom Charters,age_5_absolutism,0,statecraft,shared,shared,minor,country_cabinet_efficiency,country_cabinet_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_barbarian_hospitality,Germanic: Frontier Hospitality,age_5_absolutism,1,statecraft,germanic,germanic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;CAH-XI;STR-GER
antq_land_assignment,Celtic and Brittonic: Land Assignment,age_5_absolutism,1,statecraft,celtic,celtic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;CAH-XI
antq_successor_taxation,Germanic: Successor Taxation,age_5_absolutism,2,statecraft,germanic,germanic,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;CAH-XI;STR-GER
antq_royal_notaries,Celtic and Brittonic: Royal Notaries,age_5_absolutism,2,statecraft,celtic,celtic,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;CAH-XI
antq_regional_law_codes,Regional Law Codes,age_6_revolutions,0,statecraft,shared,shared,minor,country_cabinet_efficiency,country_cabinet_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_mixed_courts,American: Mixed Courts,age_6_revolutions,1,statecraft,american,american,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.10;P15
antq_settlement_registers,Austronesian and Oceanian: Settlement Registers,age_6_revolutions,1,statecraft,oceanian,oceanian,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.9;P15
antq_kingdom_building,American: Kingdom Building,age_6_revolutions,2,statecraft,american,american,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.10;P15
antq_post_roman_statecraft,Austronesian and Oceanian: Post Imperial Statecraft,age_6_revolutions,2,statecraft,oceanian,oceanian,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.9;P15
antq_oppidum_council_summons,Celtic and Brittonic: Oppidum Council Summons,age_1_traditions,1,statecraft,celtic,celtic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;CAH-XI
antq_guest_friends_arbitration,Celtic and Brittonic: Guest Friends Arbitration,age_1_traditions,2,statecraft,celtic,celtic,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;CAH-XI
antq_tribute_feast_tallies,Celtic and Brittonic: Tribute Feast Tallies,age_1_traditions,3,statecraft,celtic,celtic,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;CAH-XI
antq_clientage_oath_networks,Celtic and Brittonic: Clientage Oath Networks,age_1_traditions,3,statecraft,celtic,celtic,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;CAH-XI
antq_confederated_council_customs,Celtic and Brittonic: Confederated Council Customs,age_1_traditions,4,statecraft,celtic,celtic,major,legislative_efficiency,legislative_efficiency,country,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;CAH-XI
antq_amber_coast_assemblies,Baltic: Amber Coast Assemblies,age_1_traditions,1,statecraft,baltic,baltic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;TAC-GER;PAN-WBB
antq_hillfort_household_speakers,Baltic: Hillfort Household Speakers,age_1_traditions,2,statecraft,baltic,baltic,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;TAC-GER;PAN-WBB
antq_burial_community_custodians,Baltic: Burial Community Custodians,age_1_traditions,3,statecraft,baltic,baltic,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;TAC-GER;PAN-WBB
antq_coastal_route_arbitration,Baltic: Coastal Route Arbitration,age_1_traditions,3,statecraft,baltic,baltic,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;TAC-GER;PAN-WBB
antq_intercommunity_oath_circles,Baltic: Intercommunity Oath Circles,age_1_traditions,4,statecraft,baltic,baltic,major,legislative_efficiency,legislative_efficiency,country,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;TAC-GER;PAN-WBB
antq_seasonal_round_councils,"Volga, Kama, and Northern Forest: Seasonal Round Councils",age_1_traditions,1,statecraft,uralic,uralic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;BSE-GORODETS;BSE-GLYADENOVO;BSE-UST-POLUY
antq_river_portage_stewards,"Volga, Kama, and Northern Forest: River Portage Stewards",age_1_traditions,2,statecraft,uralic,uralic,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;BSE-GORODETS;BSE-GLYADENOVO;BSE-UST-POLUY
antq_sanctuary_offering_custody,"Volga, Kama, and Northern Forest: Sanctuary Offering Custody",age_1_traditions,3,statecraft,uralic,uralic,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;BSE-GORODETS;BSE-GLYADENOVO;BSE-UST-POLUY
antq_forest_steppe_envoys,"Volga, Kama, and Northern Forest: Forest Steppe Envoys",age_1_traditions,3,statecraft,uralic,uralic,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;BSE-GORODETS;BSE-GLYADENOVO;BSE-UST-POLUY
antq_dispersed_household_compacts,"Volga, Kama, and Northern Forest: Dispersed Household Compacts",age_1_traditions,4,statecraft,uralic,uralic,major,legislative_efficiency,legislative_efficiency,country,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;BSE-GORODETS;BSE-GLYADENOVO;BSE-UST-POLUY
antq_satrapal_household_registers,Iranian: Satrapal Household Registers,age_1_traditions,1,statecraft,iranian,iranian,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_arsacid_dynastic_compacts,Iranian: Arsacid Dynastic Compacts,age_1_traditions,2,statecraft,iranian,iranian,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_temple_estate_adjudication,Iranian: Temple Estate Adjudication,age_1_traditions,3,statecraft,iranian,iranian,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_royal_road_station_offices,Iranian: Royal Road Station Offices,age_1_traditions,3,statecraft,iranian,iranian,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_king_of_kings_delegated_rule,Iranian: King Of Kings Delegated Rule,age_1_traditions,4,statecraft,iranian,iranian,major,legislative_efficiency,legislative_efficiency,country,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_seasonal_horde_councils,Inner Asian Steppe: Seasonal Horde Councils,age_1_traditions,1,statecraft,inner_asian_steppe,inner_asian_steppe,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_left_right_wing_commands,Inner Asian Steppe: Left Right Wing Commands,age_1_traditions,2,statecraft,inner_asian_steppe,inner_asian_steppe,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_tribute_envoy_protocols,Inner Asian Steppe: Tribute Envoy Protocols,age_1_traditions,3,statecraft,inner_asian_steppe,inner_asian_steppe,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_subject_people_interpreters,Inner Asian Steppe: Subject People Interpreters,age_1_traditions,3,statecraft,inner_asian_steppe,inner_asian_steppe,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_chanyu_confederate_authority,Inner Asian Steppe: Chanyu Confederate Authority,age_1_traditions,4,statecraft,inner_asian_steppe,inner_asian_steppe,major,legislative_efficiency,legislative_efficiency,country,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_nile_temple_land_stewards,Nile and North African: Nile Temple Land Stewards,age_1_traditions,1,statecraft,nile_north_african,nile_north_african,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;PER;CAH-XI;CAH-XII
antq_nomos_petition_delegates,Nile and North African: Nomos Petition Delegates,age_1_traditions,2,statecraft,nile_north_african,nile_north_african,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;PER;CAH-XI;CAH-XII
antq_desert_oasis_tribute_tallies,Nile and North African: Desert Oasis Tribute Tallies,age_1_traditions,3,statecraft,nile_north_african,nile_north_african,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;PER;CAH-XI;CAH-XII
antq_caravan_route_arbitration,Nile and North African: Caravan Route Arbitration,age_1_traditions,3,statecraft,nile_north_african,nile_north_african,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;PER;CAH-XI;CAH-XII
