tag,name,tier,kind,culture,culture_group,technology_level,owned_age_i,eligible_count,eligible_keys,status
DUM,Dumnonii,1,country,antq_dumnonian,antq_celtic_group,3,89,4,antq_tribute_feast_tallies;antq_clientage_oath_networks;antq_champion_retinues;antq_oppidum_supply_caches,pass
BRT,Cantiaci,2,sop,antq_cantiacian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
REG,Regni,2,sop,antq_regnian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
BLG,Belgae,2,sop,antq_british_belgic,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
DUR,Durotriges,2,sop,antq_durotrigian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
DOB,Dobunni,2,sop,antq_dobunnic,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
COR,Corieltauvi,2,sop,antq_corieltauvian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
CNV,Cornovii,2,sop,antq_british_cornovian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
PBI,Parisii,2,sop,antq_british_parisian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
CRV,Carvetii,2,sop,antq_carvetian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
DEM,Demetae,2,sop,antq_demetian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
DEC,Deceangli,2,sop,antq_deceanglian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
VOT,Votadini,2,sop,antq_votadinian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
SEL,Selgovae,2,sop,antq_selgovaean,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
NOV,Novantae,2,sop,antq_novantaean,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
DAM,Damnonii,2,sop,antq_damnonian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
VCN,Venicones,2,sop,antq_veniconian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
TAE,Taexali,2,sop,antq_taexalian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
EPD,Epidii,2,sop,antq_epidian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
VAC,Vacomagi,2,sop,antq_vacomagian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
DCT,Decantae,2,sop,antq_decantian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
CAE,Caereni,2,sop,antq_caerenian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
CRE,Creones,2,sop,antq_creonian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
CNA,Carnonacae,2,sop,antq_carnonacan,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
LGB,Lugi,2,sop,antq_british_lugian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
SME,Smertae,2,sop,antq_smertian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
NCR,Cornavii,2,sop,antq_northern_cornavian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
CAL,Caledoni,2,sop,antq_caledonian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
VNI,Vennicnii,2,sop,antq_vennicnian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
RHB,Rhobogdii,2,sop,antq_rhobogdian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
DAR,Darini,2,sop,antq_darinian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
ERD,Erdini,2,sop,antq_erdinian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
ULA,Voluntii,2,sop,antq_voluntian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
NAG,Nagnatae,2,sop,antq_nagnatan,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
AUT,Autini,2,sop,antq_autinian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
GAN,Gangani,2,sop,antq_ganganian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
VEL,Velabri,2,sop,antq_velabrian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
IVN,Iverni,2,sop,antq_ivernian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
USD,Usdiae,2,sop,antq_usdiaean,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
IBG,Hibernian Brigantes,2,sop,antq_irish_brigantian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
CND,Coriondi,2,sop,antq_coriondian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
MNP,Manapii,2,sop,antq_manapian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
CCI,Cauci,2,sop,antq_caucian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
EBL,Eblani,2,sop,antq_eblanian,antq_celtic_group,1,10,2,antq_oppidum_council_summons;antq_hillfort_muster_beacons,pass
DAC,Dacian Kingdoms,2,country,antq_dacian,antq_balkan_group,3,89,6,antq_imperial_archives;antq_legionary_logistics;antq_river_port_dues;antq_collegia_distribution_halls;antq_juristic_responsa;antq_legionary_commentarii,pass
GET,Getae,2,sop,antq_getic,antq_balkan_group,1,10,6,antq_tax_registers;antq_road_milestones;antq_drill_routines;antq_supply_columns;antq_amphora_capacity_standards;antq_agrimensor_field_books,pass
BAS,Bastarnae,2,sop,antq_dacian,antq_balkan_group,1,10,6,antq_tax_registers;antq_road_milestones;antq_drill_routines;antq_supply_columns;antq_amphora_capacity_standards;antq_agrimensor_field_books,pass
IAZ,Iazyges,2,country,antq_dacian,antq_balkan_group,3,89,6,antq_imperial_archives;antq_legionary_logistics;antq_river_port_dues;antq_collegia_distribution_halls;antq_juristic_responsa;antq_legionary_commentarii,pass
ROX,Roxolani,2,country,antq_sarmatian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
AOR,Aorsi,2,country,antq_sarmatian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
SIR,Siraces,2,country,antq_sarmatian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
ALA,Alans,2,country,antq_sarmatian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
KNG,Kangju,2,country,antq_sogdian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
WSN,Wusun,2,country,antq_sogdian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
DAY,Dayuan,2,country,antq_sogdian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
SOG,Sogdian Cities,2,sop,antq_sogdian,antq_iranian_group,1,10,3,antq_remount_pasture_registers;antq_library_catalogues;antq_han_classics,pass
KHW,Khwarazm,2,country,antq_sogdian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
XIA,Xianbei,2,country,antq_xiongnu,antq_steppe_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
WHU,Wuhuan,2,country,antq_xiongnu,antq_steppe_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
DNG,Dingling,2,sop,antq_dingling,antq_steppe_group,1,10,3,antq_remount_pasture_registers;antq_library_catalogues;antq_han_classics,pass
PYU,Pyu Cities,3,sop,antq_pyu,antq_southeast_asian_group,1,10,3,antq_religious_endowments;antq_veteran_settlement;antq_outrigger_kin_voyages,pass
MON,Mon Precursors,3,sop,antq_mon,antq_southeast_asian_group,1,10,3,antq_religious_endowments;antq_veteran_settlement;antq_outrigger_kin_voyages,pass
KHM,Proto-Khmer,3,sop,antq_khmer,antq_southeast_asian_group,1,10,3,antq_religious_endowments;antq_veteran_settlement;antq_outrigger_kin_voyages,pass
MAL,Malay Polities,3,sop,antq_malay,antq_austronesian_group,1,10,3,antq_religious_endowments;antq_veteran_settlement;antq_outrigger_kin_voyages,pass
