key,name,age,earliest,birthplace,start_active,eligibility_profile,eligibility_summary,ordinary_trade_spread,source
"antq_kushan_buddhist_cosmopolis","Kushan Buddhist Cosmopolis","age_2_renaissance","127.1.1","merv","no","buddhist_networks","Buddhist communities across South, Central, and East Asian corridors","yes","P8.2;P8.4;P14.3;CAH-XI"
"antq_christian_monasticism","Christian Monasticism","age_3_discovery","270.1.1","alexandria","no","christian_monastic","Locations whose dominant faith belongs to the Christian family","yes","P14.3;CAH-XII"
"antq_sasanian_fiscal_statecraft","Sasanian Fiscal Statecraft","age_3_discovery","226.1.1","baghdad","no","iranian_fiscal","Iranian, Caucasian, Mesopotamian, and Central Asian state corridors","no","P8.2;P14.3;CAH-XII"
"antq_three_kingdoms_military_colonies","Three Kingdoms Military Settlements","age_3_discovery","220.1.1","luoyang","no","east_asian_administration","Sinitic, Korean, and adjacent East Asian administrative contexts","no","P8.3;P14.3;CAH-XII"
"antq_teotihuacan_metropolitanism","Teotihuacan Metropolitanism","age_3_discovery","200.1.1","tehotihuacan","no","american_metropolitan","Mesoamerican, Andean, and adjacent American civic-ritual networks","yes","P8.10;P14.3;INAH-TEO;MILLON"
"antq_forest_steppe_craft_exchange","Forest-Steppe Craft Exchange","age_3_discovery","210.1.1","kazan","no","northern_craft","Baltic, eastern-European, and northern-forest craft and portage networks","yes","P8.7;P14.3;PAN-WBB;BSE-GORODETS"
"antq_theological_orthodoxy","Theological Orthodoxy","age_4_reformation","325.1.1","iznik","no","christian_councils","Christian communities participating in conciliar networks","no","P14.3;CAH-XII"
"antq_diocletianic_administration","Diocletianic Administration","age_4_reformation","293.1.1","iznik","no","roman_imperial_practice","Roman and provincial societies inside the historical imperial sphere","no","P8.1;P14.3;CAH-XII"
"antq_gupta_sanskrit_cosmopolis","Gupta Sanskrit Cosmopolis","age_4_reformation","320.1.1","patna","no","indic_inscriptional","Indic inscriptional, court, and monastic knowledge networks","yes","P8.4;P14.3;CAH-XII"
"antq_steppe_confederate_cavalry","Steppe Confederate Cavalry","age_4_reformation","350.1.1","kazan","no","iranian_steppe_cavalry","Iranian, steppe, Caucasian, and eastern Roman military corridors","no","P8.8;P14.3;CAH-XII;AMM"
"antq_austronesian_harbor_chiefdoms","Austronesian Harbor Chiefdoms","age_4_reformation","300.1.1","guahan","no","oceanian_harbor","Austronesian, Southeast Asian, and Oceanian harbor-chiefdom networks","yes","P8.9;P14.3;BELLWOOD;KIRCH"
"antq_foederati_statecraft","Foederati Statecraft","age_5_absolutism","382.1.1","edirne","no","late_roman_frontier","Late Roman and neighboring federate settlement zones","no","P14.3;AMM-31"
"antq_rabbinic_academy_networks","Rabbinic Academy Networks","age_5_absolutism","400.1.1","baghdad","no","iranian_fiscal","Iranian, Caucasian, Mesopotamian, and Central Asian state corridors","yes","P8.2;P14.3;CAH-XII"
"antq_aksumite_christian_kingship","Aksumite Christian Kingship","age_5_absolutism","395.1.1","axum","no","red_sea_exchange","Nile, Horn, Arabian, and western Indian Ocean exchange societies","yes","P8.5;P14.3;CAH-XII"
"antq_moche_irrigation_polities","Moche Irrigation Polities","age_5_absolutism","395.1.1","chan_chan","no","american_metropolitan","Mesoamerican, Andean, and adjacent American civic-ritual networks","no","P8.10;P14.3;MOSELEY"
"antq_northern_forest_portage_networks","Northern Forest Portage Networks","age_5_absolutism","410.1.1","bolghar","no","northern_craft","Baltic, eastern-European, and northern-forest craft and portage networks","yes","P8.7;P14.3;BSE-UST-POLUY"
"antq_successor_kingdom_administration","Successor Kingdom Administration","age_6_revolutions","455.1.1","ravenna","no","successor_administration","Late Roman, federate, Iranian, and East Asian successor-state corridors","yes","P8.1;P8.7;P14.3;CAH-XII"
"antq_northern_wei_statecraft","Northern Wei Statecraft","age_6_revolutions","460.1.1","datong_datong","no","east_asian_administration","Sinitic, Korean, and adjacent East Asian administrative contexts","no","P8.3;P8.8;P14.3;CAH-XII"
"antq_buddhist_translation_networks","Buddhist Translation Networks","age_6_revolutions","452.1.1","jingzhao","no","buddhist_networks","Buddhist communities across South, Central, and East Asian corridors","yes","P8.3;P8.4;P14.3;CAH-XII"
"antq_maya_dynastic_statecraft","Maya Dynastic Statecraft","age_6_revolutions","460.1.1","yax_mutal","no","american_metropolitan","Mesoamerican, Andean, and adjacent American civic-ritual networks","yes","P8.10;P14.3;MARTIN-GRUBE"
