tag,name,tier,kind,age,age_years,visible_cards,visible_total_points,visible_mean_points,visible_min_points,visible_max_points,opening_eligible_cards,opening_eligible_min_points,opening_eligible_max_points,status
AGA,Anga Janapada,2,country,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,16,112.50,125.00,pass
AGA,Anga Janapada,2,country,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
AGA,Anga Janapada,2,country,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
AGA,Anga Janapada,2,country,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
AGA,Anga Janapada,2,country,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
AGA,Anga Janapada,2,country,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
AGR,Agraeans,2,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
AGR,Agraeans,2,sop,age_2_renaissance,96,36,5587.50,155.21,125.00,175.00,0,,,pass
AGR,Agraeans,2,sop,age_3_discovery,92,36,7400.00,205.56,175.00,225.00,0,,,pass
AGR,Agraeans,2,sop,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
AGR,Agraeans,2,sop,age_5_absolutism,19,14,4300.00,307.14,275.00,325.00,0,,,pass
AGR,Agraeans,2,sop,age_6_revolutions,82,21,7475.00,355.95,325.00,375.00,0,,,pass
AGS,Agusan River,3,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
AGS,Agusan River,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
AGS,Agusan River,3,sop,age_3_discovery,92,32,6612.50,206.64,175.00,225.00,0,,,pass
AGS,Agusan River,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
AGS,Agusan River,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
AGS,Agusan River,3,sop,age_6_revolutions,82,18,6375.00,354.17,325.00,375.00,0,,,pass
AIR,Air Massif,3,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
AIR,Air Massif,3,sop,age_2_renaissance,96,42,6587.50,156.85,125.00,175.00,0,,,pass
AIR,Air Massif,3,sop,age_3_discovery,92,50,10250.00,205.00,175.00,225.00,0,,,pass
AIR,Air Massif,3,sop,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
AIR,Air Massif,3,sop,age_5_absolutism,19,24,7375.00,307.29,275.00,325.00,0,,,pass
AIR,Air Massif,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
AKF,Akan Forest,3,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
AKF,Akan Forest,3,sop,age_2_renaissance,96,42,6587.50,156.85,125.00,175.00,0,,,pass
AKF,Akan Forest,3,sop,age_3_discovery,92,50,10250.00,205.00,175.00,225.00,0,,,pass
AKF,Akan Forest,3,sop,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
AKF,Akan Forest,3,sop,age_5_absolutism,19,24,7375.00,307.29,275.00,325.00,0,,,pass
AKF,Akan Forest,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
AKL,Forest-Steppe Altai Kulay,3,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
AKL,Forest-Steppe Altai Kulay,3,sop,age_2_renaissance,96,37,5800.00,156.76,125.00,175.00,0,,,pass
AKL,Forest-Steppe Altai Kulay,3,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
AKL,Forest-Steppe Altai Kulay,3,sop,age_4_reformation,92,37,9500.00,256.76,225.00,275.00,0,,,pass
AKL,Forest-Steppe Altai Kulay,3,sop,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
AKL,Forest-Steppe Altai Kulay,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
AKS,Aksum,2,country,age_1_traditions,95,41,4187.50,102.13,75.00,125.00,18,87.50,125.00,pass
AKS,Aksum,2,country,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
AKS,Aksum,2,country,age_3_discovery,92,45,9287.50,206.39,175.00,225.00,0,,,pass
AKS,Aksum,2,country,age_4_reformation,92,46,11762.50,255.71,225.00,275.00,0,,,pass
AKS,Aksum,2,country,age_5_absolutism,19,22,6737.50,306.25,275.00,325.00,0,,,pass
AKS,Aksum,2,country,age_6_revolutions,82,24,8575.00,357.29,325.00,375.00,0,,,pass
ALA,Alans,2,country,age_1_traditions,95,42,4275.00,101.79,75.00,125.00,18,112.50,125.00,pass
ALA,Alans,2,country,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
ALA,Alans,2,country,age_3_discovery,92,46,9462.50,205.71,175.00,225.00,0,,,pass
ALA,Alans,2,country,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
ALA,Alans,2,country,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
ALA,Alans,2,country,age_6_revolutions,82,24,8575.00,357.29,325.00,375.00,0,,,pass
ALC,Caucasian Albania,2,country,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,13,112.50,125.00,pass
ALC,Caucasian Albania,2,country,age_2_renaissance,96,36,5587.50,155.21,125.00,175.00,0,,,pass
ALC,Caucasian Albania,2,country,age_3_discovery,92,36,7400.00,205.56,175.00,225.00,0,,,pass
ALC,Caucasian Albania,2,country,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
ALC,Caucasian Albania,2,country,age_5_absolutism,19,14,4300.00,307.14,275.00,325.00,0,,,pass
ALC,Caucasian Albania,2,country,age_6_revolutions,82,21,7475.00,355.95,325.00,375.00,0,,,pass
ALT,Altai Xiongnu-Contact Horizon,3,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
ALT,Altai Xiongnu-Contact Horizon,3,sop,age_2_renaissance,96,42,6587.50,156.85,125.00,175.00,0,,,pass
ALT,Altai Xiongnu-Contact Horizon,3,sop,age_3_discovery,92,42,8687.50,206.85,175.00,225.00,0,,,pass
ALT,Altai Xiongnu-Contact Horizon,3,sop,age_4_reformation,92,46,11762.50,255.71,225.00,275.00,0,,,pass
ALT,Altai Xiongnu-Contact Horizon,3,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
ALT,Altai Xiongnu-Contact Horizon,3,sop,age_6_revolutions,82,21,7475.00,355.95,325.00,375.00,0,,,pass
AMB,Ambari Horizon,3,sop,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,15,87.50,125.00,pass
AMB,Ambari Horizon,3,sop,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
AMB,Ambari Horizon,3,sop,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
AMB,Ambari Horizon,3,sop,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
AMB,Ambari Horizon,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
AMB,Ambari Horizon,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
ANG,Angles,1,country,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,13,112.50,125.00,pass
ANG,Angles,1,country,age_2_renaissance,96,32,5012.50,156.64,125.00,175.00,0,,,pass
ANG,Angles,1,country,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
ANG,Angles,1,country,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
ANG,Angles,1,country,age_5_absolutism,19,25,7600.00,304.00,275.00,325.00,0,,,pass
ANG,Angles,1,country,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
ANR,Anarta-Sarasvati Settlement Networks,3,sop,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,15,87.50,125.00,pass
ANR,Anarta-Sarasvati Settlement Networks,3,sop,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
ANR,Anarta-Sarasvati Settlement Networks,3,sop,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
ANR,Anarta-Sarasvati Settlement Networks,3,sop,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
ANR,Anarta-Sarasvati Settlement Networks,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
ANR,Anarta-Sarasvati Settlement Networks,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
ANU,Anuradhapura,2,country,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,16,112.50,125.00,pass
ANU,Anuradhapura,2,country,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
ANU,Anuradhapura,2,country,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
ANU,Anuradhapura,2,country,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
ANU,Anuradhapura,2,country,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
ANU,Anuradhapura,2,country,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
AOR,Aorsi,2,country,age_1_traditions,95,42,4275.00,101.79,75.00,125.00,18,112.50,125.00,pass
AOR,Aorsi,2,country,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
AOR,Aorsi,2,country,age_3_discovery,92,46,9462.50,205.71,175.00,225.00,0,,,pass
AOR,Aorsi,2,country,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
AOR,Aorsi,2,country,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
AOR,Aorsi,2,country,age_6_revolutions,82,24,8575.00,357.29,325.00,375.00,0,,,pass
ARI,Aria,2,subject,age_1_traditions,95,42,4275.00,101.79,75.00,125.00,18,112.50,125.00,pass
ARI,Aria,2,subject,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
ARI,Aria,2,subject,age_3_discovery,92,46,9462.50,205.71,175.00,225.00,0,,,pass
ARI,Aria,2,subject,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
ARI,Aria,2,subject,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
ARI,Aria,2,subject,age_6_revolutions,82,24,8575.00,357.29,325.00,375.00,0,,,pass
ARJ,Arjunayana,2,country,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,16,112.50,125.00,pass
ARJ,Arjunayana,2,country,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
ARJ,Arjunayana,2,country,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
ARJ,Arjunayana,2,country,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
ARJ,Arjunayana,2,country,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
ARJ,Arjunayana,2,country,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
ARK,Arakan Littoral Networks,3,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
ARK,Arakan Littoral Networks,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
ARK,Arakan Littoral Networks,3,sop,age_3_discovery,92,32,6612.50,206.64,175.00,225.00,0,,,pass
ARK,Arakan Littoral Networks,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
ARK,Arakan Littoral Networks,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
ARK,Arakan Littoral Networks,3,sop,age_6_revolutions,82,18,6375.00,354.17,325.00,375.00,0,,,pass
ARM,Kingdom of Armenia,1,country,age_1_traditions,95,38,3787.50,99.67,75.00,125.00,15,87.50,125.00,pass
ARM,Kingdom of Armenia,1,country,age_2_renaissance,96,36,5587.50,155.21,125.00,175.00,0,,,pass
ARM,Kingdom of Armenia,1,country,age_3_discovery,92,42,8600.00,204.76,175.00,225.00,0,,,pass
ARM,Kingdom of Armenia,1,country,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
ARM,Kingdom of Armenia,1,country,age_5_absolutism,19,20,6100.00,305.00,275.00,325.00,0,,,pass
ARM,Kingdom of Armenia,1,country,age_6_revolutions,82,21,7475.00,355.95,325.00,375.00,0,,,pass
ARO,Aromata Emporion,2,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
ARO,Aromata Emporion,2,sop,age_2_renaissance,96,42,6587.50,156.85,125.00,175.00,0,,,pass
ARO,Aromata Emporion,2,sop,age_3_discovery,92,50,10250.00,205.00,175.00,225.00,0,,,pass
ARO,Aromata Emporion,2,sop,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
ARO,Aromata Emporion,2,sop,age_5_absolutism,19,24,7375.00,307.29,275.00,325.00,0,,,pass
ARO,Aromata Emporion,2,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
ATB,Atrebates,1,country,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,15,112.50,125.00,pass
ATB,Atrebates,1,country,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
ATB,Atrebates,1,country,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
ATB,Atrebates,1,country,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
ATB,Atrebates,1,country,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
ATB,Atrebates,1,country,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
ATC,Atico-Caraveli Valley,3,sop,age_1_traditions,95,32,3200.00,100.00,75.00,125.00,14,87.50,125.00,pass
ATC,Atico-Caraveli Valley,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
ATC,Atico-Caraveli Valley,3,sop,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
ATC,Atico-Caraveli Valley,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
ATC,Atico-Caraveli Valley,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
ATC,Atico-Caraveli Valley,3,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
ATR,Media Atropatene,1,subject,age_1_traditions,95,42,4275.00,101.79,75.00,125.00,18,112.50,125.00,pass
ATR,Media Atropatene,1,subject,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
ATR,Media Atropatene,1,subject,age_3_discovery,92,46,9462.50,205.71,175.00,225.00,0,,,pass
ATR,Media Atropatene,1,subject,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
ATR,Media Atropatene,1,subject,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
ATR,Media Atropatene,1,subject,age_6_revolutions,82,24,8575.00,357.29,325.00,375.00,0,,,pass
ATY,Atiyaman of Tagadur,2,country,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,16,112.50,125.00,pass
ATY,Atiyaman of Tagadur,2,country,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
ATY,Atiyaman of Tagadur,2,country,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
ATY,Atiyaman of Tagadur,2,country,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
ATY,Atiyaman of Tagadur,2,country,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
ATY,Atiyaman of Tagadur,2,country,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
AUD,Audumbara,2,sop,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,15,87.50,125.00,pass
AUD,Audumbara,2,sop,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
AUD,Audumbara,2,sop,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
AUD,Audumbara,2,sop,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
AUD,Audumbara,2,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
AUD,Audumbara,2,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
AUT,Autini,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
AUT,Autini,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
AUT,Autini,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
AUT,Autini,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
AUT,Autini,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
AUT,Autini,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
AVA,Avalites,2,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
AVA,Avalites,2,sop,age_2_renaissance,96,42,6587.50,156.85,125.00,175.00,0,,,pass
AVA,Avalites,2,sop,age_3_discovery,92,50,10250.00,205.00,175.00,225.00,0,,,pass
AVA,Avalites,2,sop,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
AVA,Avalites,2,sop,age_5_absolutism,19,24,7375.00,307.29,275.00,325.00,0,,,pass
AVA,Avalites,2,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
AVN,Aviones,3,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
AVN,Aviones,3,sop,age_2_renaissance,96,32,5012.50,156.64,125.00,175.00,0,,,pass
AVN,Aviones,3,sop,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
AVN,Aviones,3,sop,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
AVN,Aviones,3,sop,age_5_absolutism,19,25,7600.00,304.00,275.00,325.00,0,,,pass
AVN,Aviones,3,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
AYM,Ayodhya Mitra Kingdom,2,country,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,16,112.50,125.00,pass
AYM,Ayodhya Mitra Kingdom,2,country,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
AYM,Ayodhya Mitra Kingdom,2,country,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
AYM,Ayodhya Mitra Kingdom,2,country,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
AYM,Ayodhya Mitra Kingdom,2,country,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
AYM,Ayodhya Mitra Kingdom,2,country,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
AZA,Northern Azania,3,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
AZA,Northern Azania,3,sop,age_2_renaissance,96,42,6587.50,156.85,125.00,175.00,0,,,pass
AZA,Northern Azania,3,sop,age_3_discovery,92,50,10250.00,205.00,175.00,225.00,0,,,pass
AZA,Northern Azania,3,sop,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
AZA,Northern Azania,3,sop,age_5_absolutism,19,24,7375.00,307.29,275.00,325.00,0,,,pass
AZA,Northern Azania,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
BAR,Guban Pastoralists,3,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
BAR,Guban Pastoralists,3,sop,age_2_renaissance,96,42,6587.50,156.85,125.00,175.00,0,,,pass
BAR,Guban Pastoralists,3,sop,age_3_discovery,92,50,10250.00,205.00,175.00,225.00,0,,,pass
BAR,Guban Pastoralists,3,sop,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
BAR,Guban Pastoralists,3,sop,age_5_absolutism,19,24,7375.00,307.29,275.00,325.00,0,,,pass
BAR,Guban Pastoralists,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
BAS,Bastarnae,2,sop,age_1_traditions,95,44,4425.00,100.57,75.00,125.00,18,87.50,125.00,pass
BAS,Bastarnae,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
BAS,Bastarnae,2,sop,age_3_discovery,92,44,9037.50,205.40,175.00,225.00,0,,,pass
BAS,Bastarnae,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
BAS,Bastarnae,2,sop,age_5_absolutism,19,29,8862.50,305.60,275.00,325.00,0,,,pass
BAS,Bastarnae,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
BAT,Herodian Batanea,1,subject,age_1_traditions,95,35,3487.50,99.64,75.00,125.00,14,87.50,125.00,pass
BAT,Herodian Batanea,1,subject,age_2_renaissance,96,36,5587.50,155.21,125.00,175.00,0,,,pass
BAT,Herodian Batanea,1,subject,age_3_discovery,92,39,8000.00,205.13,175.00,225.00,0,,,pass
BAT,Herodian Batanea,1,subject,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
BAT,Herodian Batanea,1,subject,age_5_absolutism,19,17,5200.00,305.88,275.00,325.00,0,,,pass
BAT,Herodian Batanea,1,subject,age_6_revolutions,82,21,7475.00,355.95,325.00,375.00,0,,,pass
BCH,Bauchi Plateau,3,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
BCH,Bauchi Plateau,3,sop,age_2_renaissance,96,42,6587.50,156.85,125.00,175.00,0,,,pass
BCH,Bauchi Plateau,3,sop,age_3_discovery,92,50,10250.00,205.00,175.00,225.00,0,,,pass
BCH,Bauchi Plateau,3,sop,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
BCH,Bauchi Plateau,3,sop,age_5_absolutism,19,24,7375.00,307.29,275.00,325.00,0,,,pass
BCH,Bauchi Plateau,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
BCP,Bicol Peninsula Metal-Age,3,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
BCP,Bicol Peninsula Metal-Age,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
BCP,Bicol Peninsula Metal-Age,3,sop,age_3_discovery,92,32,6612.50,206.64,175.00,225.00,0,,,pass
BCP,Bicol Peninsula Metal-Age,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
BCP,Bicol Peninsula Metal-Age,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
BCP,Bicol Peninsula Metal-Age,3,sop,age_6_revolutions,82,18,6375.00,354.17,325.00,375.00,0,,,pass
BED,Chaulotaeans,2,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
BED,Chaulotaeans,2,sop,age_2_renaissance,96,36,5587.50,155.21,125.00,175.00,0,,,pass
BED,Chaulotaeans,2,sop,age_3_discovery,92,36,7400.00,205.56,175.00,225.00,0,,,pass
BED,Chaulotaeans,2,sop,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
BED,Chaulotaeans,2,sop,age_5_absolutism,19,14,4300.00,307.14,275.00,325.00,0,,,pass
BED,Chaulotaeans,2,sop,age_6_revolutions,82,21,7475.00,355.95,325.00,375.00,0,,,pass
BEJ,Beja,2,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
BEJ,Beja,2,sop,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
BEJ,Beja,2,sop,age_3_discovery,92,42,8687.50,206.85,175.00,225.00,0,,,pass
BEJ,Beja,2,sop,age_4_reformation,92,46,11762.50,255.71,225.00,275.00,0,,,pass
BEJ,Beja,2,sop,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
