scope,track,modifier,nodes,script_total,unit,display_total,review_cap
germanic,exchange,merchant_maintenance_efficiency,2,0.02,percent,2.00%,0.10
germanic,learning,cultural_influence_modifier,2,0.02,percent,2.00%,0.10
germanic,learning,global_monthly_literacy,2,0.04,already_percent,0.04%,0.10
germanic,society,global_disease_resistance,4,0.12,percent,12%,0.30
germanic,society,global_pop_assimilation_speed_modifier,6,0.12,percent,12.00%,0.25
germanic,society,global_pop_promotion_speed_modifier,6,0.12,percent,12.00%,0.25
germanic,society,global_population_capacity_modifier,6,0.10,percent,10.00%,0.25
germanic,society,stability_cost_efficiency,5,0.275,percent,27.50%,0.300
germanic,statecraft,global_monthly_control,1,0.002,percent,0.20%,0.005
germanic,statecraft,stability_cost_efficiency,1,0.02,percent,2.00%,0.075
germanic,warfare,army_logistics_distance_modifier,4,0.12,percent,12.00%,0.30
germanic,warfare,army_maintenance_efficiency,4,0.08,percent,8.00%,0.15
han_east_asian,exchange,export_efficiency,5,0.17,percent,17.00%,0.20
han_east_asian,exchange,global_trade_through_owned_territory_efficiency,6,0.18,percent,18.00%,0.375
han_east_asian,exchange,import_efficiency,7,0.14,percent,14.00%,0.30
han_east_asian,exchange,merchant_maintenance_efficiency,7,0.11,percent,11.00%,0.30
han_east_asian,exchange,trade_range_modifier,4,0.12,percent,12.00%,0.30
han_east_asian,learning,cultural_influence_modifier,7,0.11,percent,11.00%,0.30
han_east_asian,learning,global_institution_growth_modifier,6,0.30,percent,30.00%,0.50
han_east_asian,learning,global_monthly_literacy,7,0.14,already_percent,0.14%,0.30
han_east_asian,learning,research_speed_modifier,9,0.21,percent,21.00%,0.35
han_east_asian,society,global_pop_promotion_speed_modifier,2,0.04,percent,4.00%,0.10
han_east_asian,society,global_population_capacity_modifier,2,0.02,percent,2.00%,0.10
han_east_asian,statecraft,global_monthly_control,2,0.004,percent,0.40%,0.010
han_east_asian,statecraft,stability_cost_efficiency,2,0.04,percent,4.00%,0.150
han_east_asian,warfare,army_logistics_distance_modifier,2,0.06,percent,6.00%,0.20
han_east_asian,warfare,army_maintenance_efficiency,1,0.02,percent,2.00%,0.05
han_east_asian,warfare,land_morale_modifier,1,0.02,percent,2.00%,0.05
hellenic,exchange,global_trade_through_owned_territory_efficiency,1,0.03,percent,3.00%,0.075
hellenic,exchange,merchant_maintenance_efficiency,1,0.01,percent,1.00%,0.05
hellenic,learning,cultural_influence_modifier,11,0.15,percent,15.00%,0.45
hellenic,learning,global_institution_growth_modifier,8,0.40,percent,40.00%,0.60
hellenic,learning,global_monthly_literacy,9,0.18,already_percent,0.18%,0.35
hellenic,learning,research_speed_modifier,9,0.21,percent,21.00%,0.35
hellenic,statecraft,global_monthly_control,1,0.002,percent,0.20%,0.005
hellenic,statecraft,stability_cost_efficiency,2,0.04,percent,4.00%,0.150
hellenic,statecraft,tax_income_efficiency,1,0.02,percent,2.00%,0.05
indic,exchange,global_trade_through_owned_territory_efficiency,1,0.03,percent,3.00%,0.075
indic,exchange,import_efficiency,1,0.02,percent,2.00%,0.05
indic,exchange,merchant_maintenance_efficiency,2,0.02,percent,2.00%,0.10
indic,learning,cultural_influence_modifier,8,0.12,percent,12.00%,0.30
indic,learning,global_institution_growth_modifier,7,0.35,percent,35.00%,0.60
indic,learning,global_monthly_literacy,7,0.14,already_percent,0.14%,0.30
indic,learning,research_speed_modifier,9,0.21,percent,21.00%,0.35
indic,society,global_pop_assimilation_speed_modifier,1,0.02,percent,2.00%,0.05
indic,society,global_pop_promotion_speed_modifier,1,0.02,percent,2.00%,0.05
indic,society,global_population_capacity_modifier,2,0.02,percent,2.00%,0.10
indic,statecraft,global_monthly_control,2,0.004,percent,0.40%,0.010
indic,statecraft,stability_cost_efficiency,2,0.04,percent,4.00%,0.150
indic,warfare,army_logistics_distance_modifier,7,0.29,percent,29.00%,0.60
indic,warfare,army_maintenance_efficiency,6,0.12,percent,12.00%,0.25
indic,warfare,discipline,5,0.11,percent,11.00%,0.12
indic,warfare,land_morale_modifier,7,0.14,percent,14.00%,0.30
indic,warfare,levy_recovery_modifier,4,0.08,percent,8.00%,0.225
inner_asian_steppe,exchange,export_efficiency,5,0.17,percent,17.00%,0.20
inner_asian_steppe,exchange,global_trade_through_owned_territory_efficiency,5,0.15,percent,15.00%,0.300
inner_asian_steppe,exchange,import_efficiency,6,0.12,percent,12.00%,0.25
inner_asian_steppe,exchange,merchant_maintenance_efficiency,5,0.09,percent,9.00%,0.20
inner_asian_steppe,exchange,trade_range_modifier,4,0.12,percent,12.00%,0.30
inner_asian_steppe,learning,cultural_influence_modifier,3,0.03,percent,3.00%,0.15
inner_asian_steppe,learning,global_monthly_literacy,3,0.06,already_percent,0.06%,0.15
inner_asian_steppe,society,global_pop_promotion_speed_modifier,1,0.02,percent,2.00%,0.05
inner_asian_steppe,society,global_population_capacity_modifier,1,0.01,percent,1.00%,0.05
inner_asian_steppe,statecraft,country_cabinet_efficiency,4,0.04,percent,4.00%,0.15
inner_asian_steppe,statecraft,global_monthly_control,5,0.010,percent,1.00%,0.020
inner_asian_steppe,statecraft,legislative_efficiency,5,0.275,percent,27.50%,0.300
inner_asian_steppe,statecraft,stability_cost_efficiency,5,0.14,percent,14.00%,0.300
inner_asian_steppe,statecraft,tax_income_efficiency,6,0.12,percent,12.00%,0.25
inner_asian_steppe,warfare,army_logistics_distance_modifier,5,0.23,percent,23.00%,0.40
inner_asian_steppe,warfare,army_maintenance_efficiency,5,0.10,percent,10.00%,0.20
inner_asian_steppe,warfare,discipline,5,0.11,percent,11.00%,0.12
inner_asian_steppe,warfare,land_morale_modifier,6,0.12,percent,12.00%,0.25
inner_asian_steppe,warfare,levy_recovery_modifier,4,0.08,percent,8.00%,0.225
iranian,exchange,export_efficiency,5,0.17,percent,17.00%,0.20
iranian,exchange,global_trade_through_owned_territory_efficiency,7,0.21,percent,21.00%,0.450
iranian,exchange,import_efficiency,6,0.12,percent,12.00%,0.25
iranian,exchange,merchant_maintenance_efficiency,7,0.11,percent,11.00%,0.30
iranian,exchange,trade_range_modifier,4,0.12,percent,12.00%,0.30
iranian,learning,cultural_influence_modifier,2,0.02,percent,2.00%,0.10
iranian,learning,global_institution_growth_modifier,1,0.05,percent,5.00%,0.10
iranian,learning,global_monthly_literacy,1,0.02,already_percent,0.02%,0.05
iranian,statecraft,country_cabinet_efficiency,4,0.04,percent,4.00%,0.15
iranian,statecraft,global_monthly_control,7,0.014,percent,1.40%,0.030
iranian,statecraft,legislative_efficiency,5,0.275,percent,27.50%,0.300
iranian,statecraft,stability_cost_efficiency,7,0.18,percent,18.00%,0.450
iranian,statecraft,tax_income_efficiency,6,0.12,percent,12.00%,0.25
iranian,warfare,army_logistics_distance_modifier,5,0.23,percent,23.00%,0.40
iranian,warfare,army_maintenance_efficiency,5,0.10,percent,10.00%,0.20
iranian,warfare,discipline,5,0.11,percent,11.00%,0.12
iranian,warfare,land_morale_modifier,6,0.12,percent,12.00%,0.25
iranian,warfare,levy_recovery_modifier,4,0.08,percent,8.00%,0.225
law_african,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_arabian,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_celtic,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_eastern,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_germanic,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_han,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_hellenistic,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_indic,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_iranian,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_northern,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_roman,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_steppe,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
law_transoceanic,statecraft,country_cabinet_efficiency,2,0.02,percent,2.00%,0.10
near_eastern,exchange,global_trade_through_owned_territory_efficiency,3,0.09,percent,9.00%,0.225
near_eastern,exchange,merchant_maintenance_efficiency,3,0.03,percent,3.00%,0.15
near_eastern,society,global_disease_resistance,4,0.12,percent,12%,0.30
near_eastern,society,global_pop_assimilation_speed_modifier,6,0.12,percent,12.00%,0.25
near_eastern,society,global_pop_promotion_speed_modifier,7,0.14,percent,14.00%,0.30
near_eastern,society,global_population_capacity_modifier,7,0.11,percent,11.00%,0.30
near_eastern,society,stability_cost_efficiency,5,0.275,percent,27.50%,0.300
near_eastern,statecraft,global_monthly_control,1,0.002,percent,0.20%,0.005
near_eastern,statecraft,stability_cost_efficiency,2,0.04,percent,4.00%,0.150
near_eastern,statecraft,tax_income_efficiency,1,0.02,percent,2.00%,0.05
near_eastern,warfare,army_logistics_distance_modifier,2,0.06,percent,6.00%,0.20
near_eastern,warfare,army_maintenance_efficiency,2,0.04,percent,4.00%,0.10
nile_north_african,exchange,export_efficiency,5,0.17,percent,17.00%,0.20
nile_north_african,exchange,global_trade_through_owned_territory_efficiency,7,0.21,percent,21.00%,0.450
nile_north_african,exchange,import_efficiency,6,0.12,percent,12.00%,0.25
nile_north_african,exchange,merchant_maintenance_efficiency,7,0.11,percent,11.00%,0.30
nile_north_african,exchange,trade_range_modifier,4,0.12,percent,12.00%,0.30
nile_north_african,learning,cultural_influence_modifier,5,0.09,percent,9.00%,0.20
nile_north_african,learning,global_institution_growth_modifier,6,0.30,percent,30.00%,0.50
nile_north_african,learning,global_monthly_literacy,5,0.10,already_percent,0.10%,0.20
nile_north_african,learning,research_speed_modifier,9,0.21,percent,21.00%,0.35
nile_north_african,statecraft,country_cabinet_efficiency,4,0.04,percent,4.00%,0.15
nile_north_african,statecraft,global_monthly_control,7,0.014,percent,1.40%,0.030
nile_north_african,statecraft,legislative_efficiency,5,0.275,percent,27.50%,0.300
nile_north_african,statecraft,stability_cost_efficiency,7,0.18,percent,18.00%,0.450
nile_north_african,statecraft,tax_income_efficiency,6,0.12,percent,12.00%,0.25
oceanian,exchange,global_trade_through_owned_territory_efficiency,1,0.03,percent,3.00%,0.075
oceanian,exchange,merchant_maintenance_efficiency,1,0.01,percent,1.00%,0.05
oceanian,society,global_disease_resistance,4,0.12,percent,12%,0.30
oceanian,society,global_pop_assimilation_speed_modifier,7,0.14,percent,14.00%,0.30
oceanian,society,global_pop_promotion_speed_modifier,9,0.18,percent,18.00%,0.35
oceanian,society,global_population_capacity_modifier,10,0.14,percent,14.00%,0.40
oceanian,society,stability_cost_efficiency,5,0.275,percent,27.50%,0.300
oceanian,statecraft,global_monthly_control,1,0.002,percent,0.20%,0.005
oceanian,statecraft,stability_cost_efficiency,1,0.02,percent,2.00%,0.075
roman_italic,exchange,export_efficiency,5,0.17,percent,17.00%,0.20
roman_italic,exchange,global_trade_through_owned_territory_efficiency,6,0.18,percent,18.00%,0.375
roman_italic,exchange,import_efficiency,7,0.14,percent,14.00%,0.30
roman_italic,exchange,merchant_maintenance_efficiency,7,0.11,percent,11.00%,0.30
roman_italic,exchange,trade_range_modifier,4,0.12,percent,12.00%,0.30
roman_italic,learning,cultural_influence_modifier,7,0.11,percent,11.00%,0.30
roman_italic,learning,global_institution_growth_modifier,6,0.30,percent,30.00%,0.50
roman_italic,learning,global_monthly_literacy,7,0.14,already_percent,0.14%,0.30
roman_italic,learning,research_speed_modifier,9,0.21,percent,21.00%,0.35
roman_italic,statecraft,global_monthly_control,2,0.004,percent,0.40%,0.010
roman_italic,statecraft,stability_cost_efficiency,4,0.08,percent,8.00%,0.225
roman_italic,statecraft,tax_income_efficiency,2,0.04,percent,4.00%,0.10
roman_italic,warfare,army_logistics_distance_modifier,4,0.12,percent,12.00%,0.30
roman_italic,warfare,army_maintenance_efficiency,3,0.06,percent,6.00%,0.15
roman_italic,warfare,land_morale_modifier,1,0.02,percent,2.00%,0.05
shared,exchange,trade_range_modifier,27,1.130,percent,113.00%,2.10
shared,learning,research_speed_modifier,22,0.30,percent,30.00%,0.85
shared,society,global_disease_resistance,26,1.06,percent,106%,2.00
shared,statecraft,country_cabinet_efficiency,26,0.41,percent,41.00%,1.00
shared,warfare,levy_recovery_modifier,29,0.81,percent,81.00%,1.650
slavic_eastern,society,global_disease_resistance,4,0.12,percent,12%,0.30
slavic_eastern,society,global_pop_assimilation_speed_modifier,6,0.12,percent,12.00%,0.25
slavic_eastern,society,global_pop_promotion_speed_modifier,5,0.10,percent,10.00%,0.20
slavic_eastern,society,global_population_capacity_modifier,5,0.09,percent,9.00%,0.20
slavic_eastern,society,stability_cost_efficiency,5,0.275,percent,27.50%,0.300
slavic_eastern,warfare,army_logistics_distance_modifier,5,0.23,percent,23.00%,0.40
slavic_eastern,warfare,army_maintenance_efficiency,5,0.10,percent,10.00%,0.20
slavic_eastern,warfare,discipline,5,0.11,percent,11.00%,0.12
slavic_eastern,warfare,land_morale_modifier,6,0.12,percent,12.00%,0.25
slavic_eastern,warfare,levy_recovery_modifier,4,0.08,percent,8.00%,0.225
subsaharan,exchange,export_efficiency,5,0.17,percent,17.00%,0.20
subsaharan,exchange,global_trade_through_owned_territory_efficiency,5,0.15,percent,15.00%,0.300
subsaharan,exchange,import_efficiency,6,0.12,percent,12.00%,0.25
subsaharan,exchange,merchant_maintenance_efficiency,5,0.09,percent,9.00%,0.20
subsaharan,exchange,trade_range_modifier,4,0.12,percent,12.00%,0.30
subsaharan,society,global_pop_assimilation_speed_modifier,1,0.02,percent,2.00%,0.05
subsaharan,society,global_pop_promotion_speed_modifier,1,0.02,percent,2.00%,0.05
subsaharan,society,global_population_capacity_modifier,2,0.02,percent,2.00%,0.10
subsaharan,statecraft,country_cabinet_efficiency,4,0.04,percent,4.00%,0.15
subsaharan,statecraft,global_monthly_control,5,0.010,percent,1.00%,0.020
subsaharan,statecraft,legislative_efficiency,5,0.275,percent,27.50%,0.300
subsaharan,statecraft,stability_cost_efficiency,5,0.14,percent,14.00%,0.300
subsaharan,statecraft,tax_income_efficiency,6,0.12,percent,12.00%,0.25
subsaharan,warfare,army_logistics_distance_modifier,7,0.29,percent,29.00%,0.60
subsaharan,warfare,army_maintenance_efficiency,7,0.14,percent,14.00%,0.30
subsaharan,warfare,discipline,5,0.11,percent,11.00%,0.12
subsaharan,warfare,land_morale_modifier,6,0.12,percent,12.00%,0.25
subsaharan,warfare,levy_recovery_modifier,4,0.08,percent,8.00%,0.225
tags:AKS,exchange,country_cabinet_efficiency,1,0.02,percent,2.00%,0.05
tags:AKS,exchange,global_manpower_modifier,1,0.01,percent,1.00%,0.075
tags:AKS,exchange,trade_range_modifier,1,0.03,percent,3.00%,0.10
tags:AKS,statecraft,country_cabinet_efficiency,1,0.05,percent,5.00%,0.05
tags:AKS,statecraft,global_manpower_modifier,1,0.05,percent,5.00%,0.075
tags:AKS,statecraft,trade_range_modifier,1,0.075,percent,7.50%,0.10
tags:AKS,warfare,country_cabinet_efficiency,1,0.03,percent,3.00%,0.05
tags:AKS,warfare,global_manpower_modifier,1,0.025,percent,2.50%,0.075
tags:AKS,warfare,trade_range_modifier,1,0.05,percent,5.00%,0.10
tags:BTV,exchange,levy_recovery_modifier,1,0.03,percent,3.00%,0.075
tags:BTV,exchange,stability_cost_efficiency,1,0.05,percent,5.00%,0.075
tags:BTV,exchange,trade_range_modifier,1,0.05,percent,5.00%,0.10
tags:BTV,statecraft,levy_recovery_modifier,1,0.05,percent,5.00%,0.075
