sample,region_key,location_key,location_kind,owned,location_name,province_name,area_name,region_name,subcontinent_name,continent_name,source,confidence
region_44,la_plata_region,east_falkland,land,no,Twin Isles,Far Southern Twin Isles,Far Southern Twin Isles,Southern Grasslands and Isles,Southern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_45,macaronesia_region,aguere,land,no,Guanche Aguere Valley,Canaria–Ninguaria–Junonia,Canaria and Ninguaria,Fortunate Isles,Mediterranean Libya,Libya,GEO-PROXY;https://www.britannica.com/topic/Guanche,high
region_46,madagascar_region,midongy,land,no,Pioneer Hills,Southern Highland Pioneer Landscapes,Ankaratra Interior Heights,Great Southern Island,Aethiopia and Azania,Libya,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_47,maghreb_region,tripoli,land,yes,Oea,Tripolitania of Oea–Leptis-Magna,Tripolitania,Africa and Mauretania,Mediterranean Libya,Libya,https://pleiades.stoa.org/places/344456;installed:in_game/map_data/location_templates.txt,high
region_48,manchuria_region,alchan,land,yes,Yilou Alchan–Ussuri Plain,Bikin–Ussuri Yilou Lands,Yilou–Ussuri Lands,Liaodong and Yilou,Serica and Sinae,Asia,installed:in_game/map_data/location_templates.txt;HAN-WR,high
region_49,melanesia_region,daga_papua,land,yes,Southwestern Milne–Suau Shores,Milne–Suau Shores,Massim–Oro Coastal Worlds,Papuan and Post-Lapita Isles,Isles of the Eastern Ocean,Eastern and Southern Ocean Lands,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_50,mesoamerica_region,sosola,land,yes,Monte Albán,Mixteca Alta Late,Zapotec Valleys,Maya and Teotihuacan Lands,Northern Lands Beyond Ocean,Western Lands Beyond Ocean,https://www.metmuseum.org/toah/hd/zapo/hd_zapo.htm;installed:in_game/map_data/location_templates.txt,high
region_51,micronesia_region,guahan,land,yes,Luta Sa ipan Loess Savanna,Guåhan–Luta–Sa'ipan,Guåhan and Northern Isles,Northern Oceanic Archipelagos,Isles of the Eastern Ocean,Eastern and Southern Ocean Lands,GEO-PROXY,medium
region_52,mongolia_region,aga,land,yes,Xiongnu Onon–Aga Ford,Xiongnu Lower-Onon Valleys,Onon–Shilka Xiongnu Frontier,Xiongnu Heartlands,Serica and Sinae,Asia,GEO-PROXY;OUP-XIO,high
region_53,new_zealand_region,akaroa,land,no,Canterbury Plains,Canterbury Plains,Remote Southern Temperate Isles,Far Southern Isles,Great Southern Lands,Eastern and Southern Ocean Lands,installed:in_game/map_data/location_templates.txt;GEO-PROXY,high
region_54,north_atlantic_islands_region,einarsfjord,land,yes,Dorset Southern Fjord,Southern Kalaallit Fjords,Dorset Arctic Coast,Thule and the Northern Isles,Celtica–Germania–Italia,Europe,installed:in_game/map_data/location_templates.txt;installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Dorset-culture;GEO-PROXY,medium
region_55,north_atlantic_ocean_region,bermuda,land,no,Southern Atlantic Isles,Atlantic Isles,Western Ocean Isle,Oceanus Atlanticus,Northwestern Ocean,Western Ocean,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://www.britannica.com/place/Bermuda/History,medium
region_56,north_china_region,bayannur,land,yes,Jiuyuan Western Bend,Xiongnu Ordos Bend,Dai and Yunzhong,Zhongyuan,Serica and Sinae,Asia,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://ctext.org/han-shu/di-li-zhi/ens,high
region_57,north_german_region,bonn,land,yes,Bonna,Ubii of Ara Ubiorum–Bonna,Ubii and Tencteri,Germania and Belgica,Celtica–Germania–Italia,Europe,GEO-PROXY,high
region_58,north_pacific_ocean_region,micronesian_sea,sea,no,Wa–Luzon Sea,Wa–Luzon Eastern-Ocean,Western North Ocean Current,Great Northern Sea,Northeastern Great Ocean,Eastern Outer Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_59,nubia_region,berber,land,yes,Astaboras Meroitic Crossing,Napata–Kerma Meroitic Corridor,Meroitic Nubia and Bayuda,Kush and the Upper Nile,Aethiopia and Azania,Libya,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://whc.unesco.org/en/list/1336/,high
region_60,persia_region,istakhr,land,yes,Persepolis,Persepolis–Istakhr Persis,Persis,Media and Persis,Asia about the Taurus,Asia,GEO-PROXY;PLE,high
region_61,polynesia_region,haapai,land,yes,Ha apai Post Alder Scrub,Ha'apai Post-Lapita Island,Tongatapu–Vavaʻu Island Worlds,Tonga–Samoa and Eastern Isles,Isles of the Eastern Ocean,Eastern and Southern Ocean Lands,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_62,russian_region,arkhangelskoye,land,yes,Dyakovo Upa–Oka Lands,Upper-Oka Oka–Upa Lands,Upper Oka Dyakovo Lands,Upper Volga–Ilmen Lands,Sarmatia–Scythia–Thrace,Europe,ENC-NEEU,high
region_63,ruthenia_region,karabul,land,yes,Lipița Bug Lands,Lipița–Southern Bug Lands,Lipița–Upper Tyras Lands,Dnieper–Pripet Lands,Sarmatia–Scythia–Thrace,Europe,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium
region_64,sahel_region,bla,land,yes,Bla Country,Middle Niger–Bani Networks,Upper Niger Western Sahel,Middle Niger–Chad Savannas,Atlantic Aethiopia,Libya,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium
region_65,scandinavian_region,grindsted,land,yes,Jutland,Cimbri–Charudes Eastern Peninsula,Cimbric Chersonese and Isles,Scandia and the Baltic North,Celtica–Germania–Italia,Europe,GEO-PROXY,high
region_66,somalia_region,berbera,land,yes,Malao,Malao–Mosylon Berbera Coast,Malao–Mosyllon Frankincense Coast,Barbaria and Aromata,Aethiopia and Azania,Libya,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://depts.washington.edu/silkroad/texts/periplus/periplus.html,high
region_67,south_atlantic_region,ascensao,land,no,Helena–Ascension Isles,Helena–Ascension Isles,Remote Southern Isles,Aethiopian Ocean,Southwestern Ocean,Western Ocean,GEO-PROXY,high
region_68,south_china_region,beiliu,land,yes,Yulin Guijiang Hills,Yulin Commandery–Guijiang Foothills,Western Lingnan,Lingnan and Dian,Serica and Sinae,Asia,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens,high
region_69,south_german_region,ptuj,land,yes,Poetovio,Taurisci–Pannonii Dravus March,Taurisci and Eastern Noricum,Hercynia and the Alpine Provinces,Celtica–Germania–Italia,Europe,https://pleiades.stoa.org/places/197446;GEO-PROXY;installed:in_game/map_data/location_templates.txt,high
region_70,south_pacific_ocean_region,pacific_equatorial_countercurrent28,sea,no,Return Offing,Mid-Ocean Eastward Stream,Equatorial Return Current,Great Southern Sea,Southeastern Great Ocean,Eastern Outer Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_71,southern_africa_islands_region,heard_island,land,no,Ocean Volcanic Isles,Southern-Ocean Volcanic Isles,Remote Southern Indian Isles,Farthest Southern Isles,Far Aethiopia,Libya,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://www.britannica.com/place/Kerguelen-Islands,medium
region_72,southern_africa_region,gui,land,no,Gui Lands,Nossob–Molopo San Drylands,Molopo–Nossob Drylands,Khoe–San Lands,Far Aethiopia,Libya,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_73,steppes_region,aksay_pointic,land,yes,Lower-Kuma Aorsi Steppe,Daix–Caspian Aorsi Steppe,Aorsi of the Daix,Sarmatia,Sarmatia–Scythia–Thrace,Europe,installed:in_game/map_data/location_templates.txt;WIL-SAR;RAS-SAR,high
region_74,swahili_coast_region,mombasa,land,yes,Kwale Coast,Northern Azanian Ports of Rhapta,Azanian Tana–Lamu Coast,Azania,Aethiopia and Azania,Libya,QI-EAFRICA;UC-MOMBASA,medium
region_75,tibet_region,jang_tana,land,yes,Dri Lands,Upper Dri Chu–Sumpa Plateau,Sumpa and Qiang Plateau,Zhang Zhung and Qiang Highlands,Serica and Sinae,Asia,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_76,ural_region,askino,land,yes,Kara-Abyz Belaya–Ufa Lands,Glyadenovo Belaya–Ufa Lands,Glyadenovo Kama Lands,Volga–Kama Lands,Sarmatia–Scythia–Thrace,Europe,ENC-NEEU,high
region_77,west_china_region,baxian,land,yes,Jiangzhou,Ba Commandery at Jiangzhou,Ba,Qin and Shu,Serica and Sinae,Asia,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://ctext.org/han-shu/di-li-zhi-xia/ens,high
region_78,west_coast_region,moanunts,land,yes,Late Basketmaker Highlands,Uncompahgre–Wasatch Mountain,Western Great Cordillera,Western Mountains and Coast,Northern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_79,west_siberia_region,askiz,land,yes,Tashtyk Askiz–Abakan Lands,Tashtyk–Kulay Ob-Headwater Lands,Altai Kulay–Xiongnu Borderlands,Ob–Yenisei Lands,Scythia Beyond Imaus,Asia,FU-TASHTYK,high
region_80,western_india_region,deodar,land,yes,Thorax,Anarta Sarasvati–Aravalli Lands,Anarta and Lata,Sindhu and Saurashtra,India,Asia,https://pleiades.stoa.org/places/60085,medium
region_81,xinjiang_region,aksu,land,yes,Gumo Oasis,Gumo and Kucha Oases,Xiyu Oasis Kingdoms,Western Regions,Serica and Sinae,Asia,installed:in_game/map_data/location_templates.txt;HAN-WR;IRAN-AKS,high
region_82,zimbabwe_region,inhambane,land,yes,Tsonga Coastlands,Limpopo–Inhambane,Shashe–Limpopo Hunter-Herder Lands,Zambezi–Limpopo Lands,Far Aethiopia,Libya,GEO-PROXY,medium
