design_tag,engine_tag,name,region,kind,map_capital,location_count,culture,religion,government_type,reform,emblem,source,confidence
COR,XEV,Corieltauvi,Britain,sop,leicester,14,antq_corieltauvian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_spiral_star_06.dds,P8.7;PTO-GEO-II2,contested
CNV,XEW,Cornovii,Britain,sop,shrewsbury,9,antq_british_cornovian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_boar_passant_mane.dds,P8.7;PTO-GEO-II2,contested
PBI,PBI,Parisii,Britain,sop,hull,4,antq_british_parisian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_fish_naiant.dds,P8.7;PTO-GEO-II2,contested
CRV,CRV,Carvetii,Britain,sop,carlisle,6,antq_carvetian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_stag_salient.dds,P8.7;PTO-GEO-II2,contested
DEM,XEX,Demetae,Britain,sop,carmarthen,6,antq_demetian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_crescent_moon.dds,P8.7;PTO-GEO-II2,contested
DEC,XEY,Deceangli,Britain,sop,denbigh,1,antq_deceanglian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_bow_arrow.dds,P8.7;PTO-GEO-II2,contested
VOT,VOT,Votadini,Britain,sop,dunbar,9,antq_votadinian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_horse_salient_variant.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
SEL,SEL,Selgovae,Britain,sop,selkirk,4,antq_selgovaean,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_bow_arrows_03.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
NOV,XEZ,Novantae,Britain,sop,stranraer,6,antq_novantaean,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_fish_okeane.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
DAM,XFA,Damnonii,Britain,sop,dumbarton,4,antq_damnonian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_bull_head_ringed.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
VCN,VCN,Venicones,Britain,sop,dundee,7,antq_veniconian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_cartwheel.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
TAE,XFB,Taexali,Britain,sop,aberdeen,5,antq_taexalian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_eagle_rising.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
EPD,EPD,Epidii,Britain,sop,inverary,10,antq_epidian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_crescent_moon_02.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
VAC,VAC,Vacomagi,Britain,sop,elgin,3,antq_vacomagian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_stag.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
DCT,DCT,Decantae,Britain,sop,dingwall,2,antq_decantian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_spiral.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
CAE,XFC,Caereni,Britain,sop,durness,1,antq_caerenian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_deer_kneeling.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
CRE,CRE,Creones,Britain,sop,skye,1,antq_creonian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_fish_naiant.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
CNA,XFD,Carnonacae,Britain,sop,ullapool,1,antq_carnonacan,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_boar_head.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
LGB,LGB,Lugi,Britain,sop,dornoch,1,antq_british_lugian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_horse_head.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
SME,XFE,Smertae,Britain,sop,tongue,1,antq_smertian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_spear_head_random_small.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
NCR,NCR,Cornavii,Britain,sop,thurso,3,antq_northern_cornavian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_star_08.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
CAL,CAL,Caledoni,Britain,sop,inverness,9,antq_caledonian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_stag_head_shield.dds,P8.7;PTO-GEO-II2;MANN-BRI,contested
VNI,VNI,Vennicnii,Ireland,sop,donegal,4,antq_vennicnian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_spiral.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
RHB,RHB,Rhobogdii,Ireland,sop,derry,3,antq_rhobogdian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_boar_passant.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
DAR,DAR,Darini,Ireland,sop,dunluce,5,antq_darinian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_horse_courant.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
ERD,ERD,Erdini,Ireland,sop,enniskillen,10,antq_erdinian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_stag_salient.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
ULA,XCC,Voluntii,Ireland,sop,armagh,9,antq_voluntian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_bull_head.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
NAG,XFF,Nagnatae,Ireland,sop,castlebar,5,antq_nagnatan,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_cartwheel.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
AUT,AUT,Autini,Ireland,sop,galway,5,antq_autinian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_deer_kneeling.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
GAN,GAN,Gangani,Ireland,sop,ennis,7,antq_ganganian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_fish_naiant.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
VEL,XFG,Velabri,Ireland,sop,killarney,5,antq_velabrian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_crescent_moon.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
IVN,IVN,Iverni,Ireland,sop,cork,4,antq_ivernian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_boar_head.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
USD,USD,Usdiae,Ireland,sop,limerick,12,antq_usdiaean,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_horse_head.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
IBG,IBG,Hibernian Brigantes,Ireland,sop,waterford,3,antq_irish_brigantian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_bull_head_ringed.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
CND,XFH,Coriondi,Ireland,sop,kilkenny,2,antq_coriondian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_spiral_star_06.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
MNP,XFI,Manapii,Ireland,sop,wexford,4,antq_manapian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_fish_okeane.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
CCI,CCI,Cauci,Ireland,sop,dublin,4,antq_caucian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_eagle_rising.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
EBL,EBL,Eblani,Ireland,sop,navan,13,antq_eblanian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_star_08.dds,P8.7;PTO-GEO-II1;DARCY-IRE,contested
