family,variant,resolver_path,dimensions,compression,render_source,installed_source,installed_sha256,output_sha256,historical_basis,status
population,cultivators,gfx/interface/icons/sort/peasant_population.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/sort/peasant_population.dds,4debf6db8ba5df3b8a71c76876ea3d146d47a1d2fc0c03ce986c7512a28bf62b,6543861c941d4ea6c5f13373becb3df109d3532b8cd2d06095a6b9b0a9bb1c73,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,summary,gfx/interface/icons/sort/population.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/sort/population.dds,4debf6db8ba5df3b8a71c76876ea3d146d47a1d2fc0c03ce986c7512a28bf62b,6543861c941d4ea6c5f13373becb3df109d3532b8cd2d06095a6b9b0a9bb1c73,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
artillery,category,gfx/interface/icons/text_icons/army_artillery.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/text_icons/army_artillery.dds,00932258a5998beb127238620365b4ef0b147162a9d2de14bccd0ac437690aff,787b15ce89ae0e861d3217ba3d00e0ba824d2d1c3b4f037c04ef45c3a9009ae7,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,category,gfx/interface/icons/unit_battle_category/army_artillery.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/unit_battle_category/army_artillery.dds,fd544a9bdf41696ed10f8273e525b367ebc51c9ff36c2ea30da8717fe549763c,be385f00b4a497f41224613a773dd268b88ae4d7339c2de0e32de20e594d2f8c,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,category,gfx/interface/icons/unit_category/army_artillery.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/unit_category/army_artillery.dds,69b2de6aefff29188a9e6b31980bf9fe9f7a69f5db33db6de6a47ceb59b06b98,be385f00b4a497f41224613a773dd268b88ae4d7339c2de0e32de20e594d2f8c,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,category,gfx/interface/icons/unit_type/artillery.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/unit_type/artillery.dds,9ed919ae2e5ff32e5a1e446aa558ce49d36d3a61de750e6a01f18fb9ec4a98db,be385f00b4a497f41224613a773dd268b88ae4d7339c2de0e32de20e594d2f8c,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,category,gfx/interface/icons/unit_types/artillery.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/unit_types/artillery.dds,69b2de6aefff29188a9e6b31980bf9fe9f7a69f5db33db6de6a47ceb59b06b98,be385f00b4a497f41224613a773dd268b88ae4d7339c2de0e32de20e594d2f8c,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,barrage,gfx/interface/icons/unit_view/artillery_barrage.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/unit_view/artillery_barrage.dds,9ed919ae2e5ff32e5a1e446aa558ce49d36d3a61de750e6a01f18fb9ec4a98db,fe7241b1d126fd371ba5d5b788690671c21f87a82b30f4fa56bd6afbdaf44a49,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,knowledge,gfx/interface/illustrations/institutions/artillery_institution.dds,1080x440,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,illustrations/institutions/artillery_institution.dds,e7f9a8d6f1bc1e8de56cdd149e46343415c05201bd4f32a17e36d34e49ffaf5a,8d7dc151401cc08eec9303f112a574ffe87b1ef22a14f4805a5e82e7b2334cdc,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,category,gfx/interface/illustrations/units/army_artillery.dds,1080x440,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,illustrations/units/army_artillery.dds,29efcdcb182319dd15924e2611bc3ecbea6216604f6b2e490e97b5e2cb94b9bf,8d7dc151401cc08eec9303f112a574ffe87b1ef22a14f4805a5e82e7b2334cdc,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,category,gfx/interface/illustrations/units/army_artillery_2.dds,1080x440,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,illustrations/units/army_artillery_2.dds,2837300bb1d74aeafd70520f52df3b73bf5e16031ed7b46800d5b979acf94731,8d7dc151401cc08eec9303f112a574ffe87b1ef22a14f4805a5e82e7b2334cdc,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,category,gfx/interface/illustrations/units/army_artillery_3.dds,1080x440,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,illustrations/units/army_artillery_3.dds,4b1f57940e0923e9ff874565fceda1cf8d7f873d2a0c54239c773e13eceffcc5,8d7dc151401cc08eec9303f112a574ffe87b1ef22a14f4805a5e82e7b2334cdc,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,category,gfx/interface/illustrations/units/army_artillery_4.dds,1080x440,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,illustrations/units/army_artillery_4.dds,bbb65b0676468b86a4ea72a0420fe7941244f9c0c5fd26118445f0e0bd526f90,8d7dc151401cc08eec9303f112a574ffe87b1ef22a14f4805a5e82e7b2334cdc,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,category,gfx/interface/illustrations/units/army_artillery_5.dds,1080x440,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,illustrations/units/army_artillery_5.dds,6e01a7957663394822846cfe794ad6256c2e5ea3b17aecd518d80d261f101faa,8d7dc151401cc08eec9303f112a574ffe87b1ef22a14f4805a5e82e7b2334cdc,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,category,gfx/interface/illustrations/units/army_artillery_6.dds,1080x440,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,illustrations/units/army_artillery_6.dds,5cff19ebc6b69eb98ae60c5edf4e147883e70e25c859008d811182f5a9bd376f,8d7dc151401cc08eec9303f112a574ffe87b1ef22a14f4805a5e82e7b2334cdc,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
