design_tag,engine_tag,name,map_capital,location_count,culture,religion,government_type,reform,emblem,source,confidence
PRM,XEG,Middle Kama Glyadenovo Culture,perm,36,antq_glyadenovo,antq_finnic,tribe,antq_tribal_kingdom,ce_spiral_star_06.dds,BSE-GLYADENOVO;PAR-PER,contested
VYP,VYP,Vyatka Pyanobor Horizon,vyatka,33,antq_pyanobor,antq_finnic,tribe,antq_tribal_kingdom,ce_deer_kneeling.dds,ENC-NEEU;PAR-PER,contested
VLF,VLF,Lower Kama Pyanobor Culture,bolghar,51,antq_pyanobor,antq_finnic,tribe,antq_tribal_kingdom,ce_spiral.dds,ENC-NEEU;PAR-PER,contested
SUG,SUG,Kara-Abyz Culture,beloretsk,26,antq_kara_abyz,antq_finnic,tribe,antq_tribal_kingdom,ce_horse_heads_addorsed.dds,AES-SOUTH-URAL,contested
SMY,SMY,Dzhudzhydyag Culture,ukhta,3,antq_dzhudzhydyag,antq_finnic,tribe,antq_tribal_kingdom,ce_crescent_moon_02.dds,ENC-NEEU,contested
SRG,XEH,Omsk-Ishim Sargat Culture,omsk,42,antq_sargat,antq_tengri,tribe,antq_tribal_kingdom,ce_horse_heads_addorsed.dds,RAS-SAR;RAS-SARGAT-CHRON;P8.8,contested
AKL,AKL,Forest-Steppe Altai Kulay Group,barnaul,21,antq_altai_kulay,antq_finnic,tribe,antq_tribal_kingdom,ce_deer_kneeling.dds,ASU-ALTAI-KULAY,contested
ALT,XFL,Altai Xiongnu-Contact Horizon,oskemen,25,antq_altai_xiongnu_contact,antq_tengri,tribe,antq_tribal_kingdom,ce_horse_heads_addorsed.dds,ACSS-ALTAI-XIONGNU,contested
KUL,KUL,Kulay Horizon,tomsk,19,antq_kulay,antq_finnic,tribe,antq_tribal_kingdom,ce_spiral_star_06.dds,TOM-KUL;P8.8,contested
UGR,UGR,Lower Irtysh Kulay Horizon,qashliq,24,antq_kulay,antq_finnic,tribe,antq_tribal_kingdom,ce_stag_head_shield.dds,TOM-KUL;BSE-UST-POLUY,contested
SIB,XDO,Tes-Tashtyk Transition,abakasnk,3,antq_tes_tashtyk,antq_tengri,tribe,antq_tribal_kingdom,ce_spiral.dds,FU-TASHTYK;P8.8,contested
