region,key,name,sheet,quadrant,master,resolver_paths,dimensions,compression,source_basis,status
african_gfx,burghers,Urban Citizens,assets_queue/generated/pop_types/sheets/pop_sheet_03_african_upper.png,bottom_left,assets_queue/generated/pop_types/masters/african_gfx/burghers.png,main_menu/gfx/interface/graphical_cultures/african_gfx/pops/burghers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
african_gfx,laborers,Artisans and Laborers,assets_queue/generated/pop_types/sheets/pop_sheet_03_african_upper.png,bottom_right,assets_queue/generated/pop_types/masters/african_gfx/laborers.png,main_menu/gfx/interface/graphical_cultures/african_gfx/pops/laborers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
african_gfx,soldiers,Military Households,assets_queue/generated/pop_types/sheets/pop_sheet_04_african_lower.png,top_left,assets_queue/generated/pop_types/masters/african_gfx/soldiers.png,main_menu/gfx/interface/graphical_cultures/african_gfx/pops/soldiers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
african_gfx,peasants,Cultivators,assets_queue/generated/pop_types/sheets/pop_sheet_04_african_lower.png,top_right,assets_queue/generated/pop_types/masters/african_gfx/peasants.png,main_menu/gfx/interface/graphical_cultures/african_gfx/pops/peasants.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
african_gfx,tribesmen,Tribal Communities,assets_queue/generated/pop_types/sheets/pop_sheet_04_african_lower.png,bottom_left,assets_queue/generated/pop_types/masters/african_gfx/tribesmen.png,main_menu/gfx/interface/graphical_cultures/african_gfx/pops/tribesmen.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
african_gfx,slaves,Enslaved People,assets_queue/generated/pop_types/sheets/pop_sheet_04_african_lower.png,bottom_right,assets_queue/generated/pop_types/masters/african_gfx/slaves.png,main_menu/gfx/interface/graphical_cultures/african_gfx/pops/slaves.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
american_gfx,nobles,Landed Elites,assets_queue/generated/pop_types/sheets/pop_sheet_05_american_upper.png,top_left,assets_queue/generated/pop_types/masters/american_gfx/nobles.png,main_menu/gfx/interface/graphical_cultures/american_gfx/pops/nobles.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
american_gfx,clergy,Priesthoods,assets_queue/generated/pop_types/sheets/pop_sheet_05_american_upper.png,top_right,assets_queue/generated/pop_types/masters/american_gfx/clergy.png,main_menu/gfx/interface/graphical_cultures/american_gfx/pops/clergy.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
american_gfx,burghers,Urban Citizens,assets_queue/generated/pop_types/sheets/pop_sheet_05_american_upper.png,bottom_left,assets_queue/generated/pop_types/masters/american_gfx/burghers.png,main_menu/gfx/interface/graphical_cultures/american_gfx/pops/burghers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
american_gfx,laborers,Artisans and Laborers,assets_queue/generated/pop_types/sheets/pop_sheet_05_american_upper.png,bottom_right,assets_queue/generated/pop_types/masters/american_gfx/laborers.png,main_menu/gfx/interface/graphical_cultures/american_gfx/pops/laborers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
american_gfx,soldiers,Military Households,assets_queue/generated/pop_types/sheets/pop_sheet_06_american_lower.png,top_left,assets_queue/generated/pop_types/masters/american_gfx/soldiers.png,main_menu/gfx/interface/graphical_cultures/american_gfx/pops/soldiers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
american_gfx,peasants,Cultivators,assets_queue/generated/pop_types/sheets/pop_sheet_06_american_lower.png,top_right,assets_queue/generated/pop_types/masters/american_gfx/peasants.png,main_menu/gfx/interface/graphical_cultures/american_gfx/pops/peasants.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
american_gfx,tribesmen,Tribal Communities,assets_queue/generated/pop_types/sheets/pop_sheet_06_american_lower.png,bottom_left,assets_queue/generated/pop_types/masters/american_gfx/tribesmen.png,main_menu/gfx/interface/graphical_cultures/american_gfx/pops/tribesmen.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
american_gfx,slaves,Enslaved People,assets_queue/generated/pop_types/sheets/pop_sheet_06_american_lower.png,bottom_right,assets_queue/generated/pop_types/masters/american_gfx/slaves.png,main_menu/gfx/interface/graphical_cultures/american_gfx/pops/slaves.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
east_asian_gfx,nobles,Landed Elites,assets_queue/generated/pop_types/sheets/pop_sheet_07_east_asian_upper.png,top_left,assets_queue/generated/pop_types/masters/east_asian_gfx/nobles.png,main_menu/gfx/interface/graphical_cultures/east_asian_gfx/pops/nobles.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
east_asian_gfx,clergy,Priesthoods,assets_queue/generated/pop_types/sheets/pop_sheet_07_east_asian_upper.png,top_right,assets_queue/generated/pop_types/masters/east_asian_gfx/clergy.png,main_menu/gfx/interface/graphical_cultures/east_asian_gfx/pops/clergy.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
east_asian_gfx,burghers,Urban Citizens,assets_queue/generated/pop_types/sheets/pop_sheet_07_east_asian_upper.png,bottom_left,assets_queue/generated/pop_types/masters/east_asian_gfx/burghers.png,main_menu/gfx/interface/graphical_cultures/east_asian_gfx/pops/burghers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
east_asian_gfx,laborers,Artisans and Laborers,assets_queue/generated/pop_types/sheets/pop_sheet_07_east_asian_upper.png,bottom_right,assets_queue/generated/pop_types/masters/east_asian_gfx/laborers.png,main_menu/gfx/interface/graphical_cultures/east_asian_gfx/pops/laborers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
east_asian_gfx,soldiers,Military Households,assets_queue/generated/pop_types/sheets/pop_sheet_08_east_asian_lower.png,top_left,assets_queue/generated/pop_types/masters/east_asian_gfx/soldiers.png,main_menu/gfx/interface/graphical_cultures/east_asian_gfx/pops/soldiers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
east_asian_gfx,peasants,Cultivators,assets_queue/generated/pop_types/sheets/pop_sheet_08_east_asian_lower.png,top_right,assets_queue/generated/pop_types/masters/east_asian_gfx/peasants.png,main_menu/gfx/interface/graphical_cultures/east_asian_gfx/pops/peasants.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
east_asian_gfx,tribesmen,Tribal Communities,assets_queue/generated/pop_types/sheets/pop_sheet_08_east_asian_lower.png,bottom_left,assets_queue/generated/pop_types/masters/east_asian_gfx/tribesmen.png,main_menu/gfx/interface/graphical_cultures/east_asian_gfx/pops/tribesmen.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
east_asian_gfx,slaves,Enslaved People,assets_queue/generated/pop_types/sheets/pop_sheet_08_east_asian_lower.png,bottom_right,assets_queue/generated/pop_types/masters/east_asian_gfx/slaves.png,main_menu/gfx/interface/graphical_cultures/east_asian_gfx/pops/slaves.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
indian_gfx,nobles,Landed Elites,assets_queue/generated/pop_types/sheets/pop_sheet_09_indian_upper.png,top_left,assets_queue/generated/pop_types/masters/indian_gfx/nobles.png,main_menu/gfx/interface/graphical_cultures/indian_gfx/pops/nobles.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
indian_gfx,clergy,Priesthoods,assets_queue/generated/pop_types/sheets/pop_sheet_09_indian_upper.png,top_right,assets_queue/generated/pop_types/masters/indian_gfx/clergy.png,main_menu/gfx/interface/graphical_cultures/indian_gfx/pops/clergy.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
indian_gfx,burghers,Urban Citizens,assets_queue/generated/pop_types/sheets/pop_sheet_09_indian_upper.png,bottom_left,assets_queue/generated/pop_types/masters/indian_gfx/burghers.png,main_menu/gfx/interface/graphical_cultures/indian_gfx/pops/burghers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
indian_gfx,laborers,Artisans and Laborers,assets_queue/generated/pop_types/sheets/pop_sheet_09_indian_upper.png,bottom_right,assets_queue/generated/pop_types/masters/indian_gfx/laborers.png,main_menu/gfx/interface/graphical_cultures/indian_gfx/pops/laborers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
indian_gfx,soldiers,Military Households,assets_queue/generated/pop_types/sheets/pop_sheet_10_indian_lower.png,top_left,assets_queue/generated/pop_types/masters/indian_gfx/soldiers.png,main_menu/gfx/interface/graphical_cultures/indian_gfx/pops/soldiers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
indian_gfx,peasants,Cultivators,assets_queue/generated/pop_types/sheets/pop_sheet_10_indian_lower.png,top_right,assets_queue/generated/pop_types/masters/indian_gfx/peasants.png,main_menu/gfx/interface/graphical_cultures/indian_gfx/pops/peasants.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
indian_gfx,tribesmen,Tribal Communities,assets_queue/generated/pop_types/sheets/pop_sheet_10_indian_lower.png,bottom_left,assets_queue/generated/pop_types/masters/indian_gfx/tribesmen.png,main_menu/gfx/interface/graphical_cultures/indian_gfx/pops/tribesmen.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
indian_gfx,slaves,Enslaved People,assets_queue/generated/pop_types/sheets/pop_sheet_10_indian_lower.png,bottom_right,assets_queue/generated/pop_types/masters/indian_gfx/slaves.png,main_menu/gfx/interface/graphical_cultures/indian_gfx/pops/slaves.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
middle_east_gfx,nobles,Landed Elites,assets_queue/generated/pop_types/sheets/pop_sheet_11_middle_east_upper.png,top_left,assets_queue/generated/pop_types/masters/middle_east_gfx/nobles.png,main_menu/gfx/interface/graphical_cultures/middle_east_gfx/pops/nobles.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
middle_east_gfx,clergy,Priesthoods,assets_queue/generated/pop_types/sheets/pop_sheet_11_middle_east_upper.png,top_right,assets_queue/generated/pop_types/masters/middle_east_gfx/clergy.png,main_menu/gfx/interface/graphical_cultures/middle_east_gfx/pops/clergy.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
middle_east_gfx,burghers,Urban Citizens,assets_queue/generated/pop_types/sheets/pop_sheet_11_middle_east_upper.png,bottom_left,assets_queue/generated/pop_types/masters/middle_east_gfx/burghers.png,main_menu/gfx/interface/graphical_cultures/middle_east_gfx/pops/burghers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
middle_east_gfx,laborers,Artisans and Laborers,assets_queue/generated/pop_types/sheets/pop_sheet_11_middle_east_upper.png,bottom_right,assets_queue/generated/pop_types/masters/middle_east_gfx/laborers.png,main_menu/gfx/interface/graphical_cultures/middle_east_gfx/pops/laborers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
middle_east_gfx,soldiers,Military Households,assets_queue/generated/pop_types/sheets/pop_sheet_12_middle_east_lower.png,top_left,assets_queue/generated/pop_types/masters/middle_east_gfx/soldiers.png,main_menu/gfx/interface/graphical_cultures/middle_east_gfx/pops/soldiers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
middle_east_gfx,peasants,Cultivators,assets_queue/generated/pop_types/sheets/pop_sheet_12_middle_east_lower.png,top_right,assets_queue/generated/pop_types/masters/middle_east_gfx/peasants.png,main_menu/gfx/interface/graphical_cultures/middle_east_gfx/pops/peasants.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
middle_east_gfx,tribesmen,Tribal Communities,assets_queue/generated/pop_types/sheets/pop_sheet_12_middle_east_lower.png,bottom_left,assets_queue/generated/pop_types/masters/middle_east_gfx/tribesmen.png,main_menu/gfx/interface/graphical_cultures/middle_east_gfx/pops/tribesmen.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
middle_east_gfx,slaves,Enslaved People,assets_queue/generated/pop_types/sheets/pop_sheet_12_middle_east_lower.png,bottom_right,assets_queue/generated/pop_types/masters/middle_east_gfx/slaves.png,main_menu/gfx/interface/graphical_cultures/middle_east_gfx/pops/slaves.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
