tag,name,region,regular_land,levy_land,mercenary_land,regular_navy,coastal_locations,naval_capability,patrol_navy,transport_navy,land_floor,levy_floor,mercenary_floor,naval_capability_floor,inland_exclusion_floor
MAU,Mauretania,Africa,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_numidian_light_horse;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_balearic_slingers;antq_caravan_guard_company;antq_frontier_spear_company;antq_iberian_swordsmen;antq_nile_bow_company;antq_numidian_horse_company;antq_sahel_javelin_company,antq_coastal_watch_craft;antq_limited_coastal_transport;antq_local_watercraft;antq_punic_cargo_coaster;antq_punic_light_galley;antq_quinquereme;antq_state_oared_squadron,agadir;aguz;ait_daoud;al_mazamma;algiers;anfa;aouint_yghomane;arzew;asfi;asilah;azemmour;badis;brashk;ceuta;cherchell;ghassasa;ifni;ksar_ibn_senane;la_mamora;larache;massa_MOR;mazaghan;melilla;mogador;mostaganem;nedroma;noul_lamta;oran;rabat;ras_kebdana;sale;tafedna;tamazaghrane;tamentfoust;tangier;tazroute;temsamane;tenes;tetouan;tit;tizgane;tiznit,state_fleet,antq_coastal_watch_craft;antq_punic_light_galley;antq_quinquereme;antq_state_oared_squadron,antq_limited_coastal_transport;antq_punic_cargo_coaster,pass,pass,pass,pass,pass
PAR,Parthian Empire,Iran,antq_bow_infantry;antq_cataphracts;antq_household_retainers;antq_javelin_skirmishers;antq_parthian_horse_archers;antq_parthian_noble_lancers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_parthian_foot_archers;antq_seasonal_skirmishers,antq_armenian_horse;antq_caravan_guard_company;antq_frontier_spear_company;antq_germanic_bodyguards;antq_saka_horse;antq_syrian_archers,antq_caspian_oared_boat;antq_coastal_watch_craft;antq_limited_coastal_transport;antq_local_watercraft;antq_mesopotamian_river_patrol;antq_mesopotamian_river_transport;antq_persian_gulf_patrol_craft;antq_state_oared_squadron,abadan;acre;al_mamtir;al_tiz;amol;aqaba;arsuz;ashraf;astara;astarabad;bandar_e_anzali;bandar_e_jask;baniyas;beirut;chalus;deir_qamar;dulab;etrek;gaza;gwadar;gwatar;hinglaj;jableh;jaffa;jagin_zir;kojur;lahijan;langarud;lankaran;latakia;machul;majdal;minab;mubarakabad;ormara;pasni;quban;rasht;sari;senderk;sidon;sirik;sonamiani;tammisha;tartus;tonekabon;tripoli_syria;zarabad;zuwayr,state_fleet,antq_caspian_oared_boat;antq_coastal_watch_craft;antq_mesopotamian_river_patrol;antq_persian_gulf_patrol_craft;antq_state_oared_squadron,antq_limited_coastal_transport;antq_mesopotamian_river_transport,pass,pass,pass,pass,pass
CHA,Characene,Iran,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
ELY,Elymais,Iran,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
PRS,Persis,Iran,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,antq_coastal_watch_craft;antq_limited_coastal_transport;antq_local_watercraft;antq_mesopotamian_river_patrol;antq_mesopotamian_river_transport;antq_persian_gulf_patrol_craft;antq_state_oared_squadron,bandar_charak;bandar_deylam;bandar_deyr;bandar_khamir;bandar_lengeh;bandar_rig;gamrun;hendijan;hormuz;jannaba;khormoj;kish;reyshahr;siraf,state_fleet,antq_coastal_watch_craft;antq_mesopotamian_river_patrol;antq_persian_gulf_patrol_craft;antq_state_oared_squadron,antq_limited_coastal_transport;antq_mesopotamian_river_transport,pass,pass,pass,pass,pass
ATR,Media Atropatene,Iran,antq_bow_infantry;antq_cataphracts;antq_household_retainers;antq_javelin_skirmishers;antq_parthian_horse_archers;antq_parthian_noble_lancers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_parthian_foot_archers;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
ADI,Adiabene,Mesopotamia,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
OSR,Osroene,Mesopotamia,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
GOR,Gordyene,Mesopotamia,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
SKT,Sakastan,Iran,antq_bow_infantry;antq_cataphracts;antq_household_retainers;antq_javelin_skirmishers;antq_parthian_horse_archers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
MRG,Margiana,Central Asia,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
ARM,Kingdom of Armenia,Caucasus,antq_bow_infantry;antq_cataphracts;antq_household_retainers;antq_javelin_skirmishers;antq_parthian_horse_archers;antq_spear_and_shield_infantry;antq_thureophoroi,antq_district_spear_muster;antq_seasonal_skirmishers,antq_armenian_horse;antq_caravan_guard_company;antq_frontier_spear_company;antq_galatian_swordsmen;antq_thracian_peltasts,,,inland,,,pass,pass,pass,pass,pass
IBR,Caucasian Iberia,Caucasus,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
CLZ,Colchis,Caucasus,antq_bow_infantry;antq_hellenistic_phalanx;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_thureophoroi,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_cilician_marines;antq_cretan_archers;antq_frontier_spear_company;antq_galatian_swordsmen;antq_thracian_peltasts,antq_coastal_watch_craft;antq_limited_coastal_transport;antq_local_watercraft;antq_pontic_monoxylon_patrol;antq_pontic_river_sea_transport;antq_state_oared_squadron;antq_trireme,anacopia;anaklia;batumi;bedia;ozurgeti;pitsunda;poti_caucasus;sukhumi,state_fleet,antq_coastal_watch_craft;antq_pontic_monoxylon_patrol;antq_state_oared_squadron;antq_trireme,antq_limited_coastal_transport;antq_pontic_river_sea_transport,pass,pass,pass,pass,pass
ALC,Caucasian Albania,Caucasus,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,antq_coastal_watch_craft;antq_limited_coastal_transport;antq_local_watercraft;antq_pontic_monoxylon_patrol;antq_pontic_river_sea_transport,baciravan;baku;derbent;mahmudabad;maraza;niyazabad;qobustan;salyan;shabran;shirvan,organized_patrol,antq_coastal_watch_craft;antq_pontic_monoxylon_patrol,antq_limited_coastal_transport;antq_pontic_river_sea_transport,pass,pass,pass,pass,pass
HAN,Western Han,China,antq_bow_infantry;antq_han_crossbow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company;antq_han_frontier_crossbow_company;antq_yellow_river_escort_company,antq_coastal_watch_craft;antq_han_grain_transport;antq_han_river_sea_patrol;antq_limited_coastal_transport;antq_local_watercraft;antq_merchant_roundship;antq_open_sea_merchantmen;antq_state_oared_squadron,amarendrapura;anak;anbang;andong_huaian;anyuan_lianzhou;baekcheon;banpu;baoan_dongguan;baoning;beihai;bo_hai_khau;changguo;changhua;changle_fujian;changli;changshi;changshu;changyi;chaoyang;chengmai;chengshan;chongming;cixi;co_dang;dagu;dasong;dien_chau;dinghai;dongguan;duling;fenghua;fuan;funing;funing_huaian;fuqing;fushan_jiaozhou;fushan_muping;ganen;ganyu;guanfu;guanghai;guishan;haeju;haifeng;haikang;hailing;haimen;haining;haiyan;haiyang;hangzhou;hepu;hoan_chau;huangxian;huangyan;huating;huian;huilai;jangyeon;jiading;jiangyin;jiaoxi;jieyang;jimo;jinghai;jinghai_tongzhou;jinjiang;juegang;khet_theu;kunshan;laiyang;laoting;lean;lehui;lianjiang;liguo;lijin;lingao;lingshanwei;lingshui;linhai;longxi;lufeng_haifeng;luoyuan;lutai;macheng_luanzhou;minxian;muping;nam_sach;nanan_quanzhou;nanhui;nghe_ann;nhat_nam;ningde;ninghai;ningyuan_wananjun;ongjin;panyu;penglai;phon_nha;pingshan_huiyang;pingyang;pungcheon;putian;qingdao;qiongshan;quang_yen;qushan;quynh_lam;rizhao;rugao;ruian;rushan;ruxi;sanrao;shangyu;shaoxing;shicheng;shicheng_jizhou;shouguang;shuangxi;shunde;suixi;thanh_hoa;thien_truong;tongan;trang_an;van_don;visnupura;vrddha_ratnapura;wanan_wananjun;weihai;wenchang;wendeng;wenling;wuchuan_huazhou;wudi;xiangshan;xiangshan_xinhui;xianyou;xianzhu;xiaoshan;xinghua;xinhui;xixi;xuwen;yancheng;yande;yangjiang;yanshan;yexian_laizhou;yilun;yinxian;yongjia;yueqing;yuyao;zhanchuan;zhangpu;zhanhua;zhaoan;zhaoyuan,long_distance_naval_capacity,antq_coastal_watch_craft;antq_han_river_sea_patrol;antq_state_oared_squadron,antq_han_grain_transport;antq_limited_coastal_transport;antq_merchant_roundship;antq_open_sea_merchantmen,pass,pass,pass,pass,pass
XIO,Xiongnu Confederation,Steppe,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_steppe_horse_archers,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
KHT,Khotan,Tarim,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
KUC,Kucha,Tarim,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
KAS,Kashgar,Tarim,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
LOU,Loulan,Tarim,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
TUR,Turfan,Tarim,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
GOG,Goguryeo,Korea,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,antq_coastal_watch_craft;antq_korean_cargo_ferry;antq_korean_plank_patrol;antq_limited_coastal_transport;antq_local_watercraft,bukcheong;buryeong;dancheon;deungju;gilju;goju;goseong;gyeongseong;hamheung;heoryeong;hwaju;ingnyeong;jeongju_jeongju;jeungsan;munju;myeongcheon;myeongju;north_jeongju;onseong;samcheok;samhwa;seonju;sukju;tongcheon;uiju;uljin,organized_patrol,antq_coastal_watch_craft;antq_korean_plank_patrol,antq_korean_cargo_ferry;antq_limited_coastal_transport,pass,pass,pass,pass,pass
BUY,Buyeo,Korea,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,inland,,,pass,pass,pass,pass,pass
MAH,Mahan,Korea,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,antq_coastal_watch_craft;antq_korean_cargo_ferry;antq_korean_plank_patrol;antq_limited_coastal_transport;antq_local_watercraft,boseong;gimje;haenam;heungyang;jangheung;jeongeup;jindo;muan;musong;seongwi;suncheon;tamna;yeonggam;yeonggwang,organized_patrol,antq_coastal_watch_craft;antq_korean_plank_patrol,antq_korean_cargo_ferry;antq_limited_coastal_transport,pass,pass,pass,pass,pass
JIN,Jinhan,Korea,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,antq_korean_cargo_ferry;antq_limited_coastal_transport;antq_local_watercraft,gyeongju;yeongdeok;yeongil,limited_transport,,antq_korean_cargo_ferry;antq_limited_coastal_transport,pass,pass,pass,pass,pass
BYE,Byeonhan,Korea,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,antq_byeonhan_cargo_ferry;antq_byeonhan_coastal_patrol;antq_coastal_watch_craft;antq_korean_cargo_ferry;antq_korean_plank_patrol;antq_limited_coastal_transport;antq_local_watercraft,dongnae;geoje;hadong;namhae;sacheon;uian;ulju,organized_patrol,antq_byeonhan_coastal_patrol;antq_coastal_watch_craft;antq_korean_plank_patrol,antq_byeonhan_cargo_ferry;antq_korean_cargo_ferry;antq_limited_coastal_transport,pass,pass,pass,pass,pass
WAA,Wa Polities,Japan,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,antq_limited_coastal_transport;antq_local_watercraft;antq_wa_coastal_transport,izumi;kawabe;muko;osaka,limited_transport,,antq_limited_coastal_transport;antq_wa_coastal_transport,pass,pass,pass,pass,pass
SAT,Satavahana,India,antq_bow_infantry;antq_household_retainers;antq_indian_longbowmen;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_war_elephants,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_deccan_spear_company;antq_frontier_spear_company;antq_indian_longbow_company,antq_coastal_watch_craft;antq_limited_coastal_transport;antq_local_watercraft;antq_merchant_roundship;antq_monsoon_dhow;antq_open_sea_merchantmen;antq_state_oared_squadron,bassein;bhatkal;bombay;chaul;dabhol;durgarazpatnam;goa;gudur;honnavara;janjira;kandakura;karwar;kavali;madgaon;masulipatnam;motupalli;nellore;pallakolu;pazhaverkadu;peddapalli;pithapuram;raigarh;rajapur;tuni;visakhapatnam;vizianagaram,long_distance_naval_capacity,antq_coastal_watch_craft;antq_monsoon_dhow;antq_state_oared_squadron,antq_limited_coastal_transport;antq_merchant_roundship;antq_open_sea_merchantmen,pass,pass,pass,pass,pass
ISK,Indo-Scythian Realm,India,antq_bow_infantry;antq_household_retainers;antq_indian_longbowmen;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_war_elephants,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_deccan_spear_company;antq_frontier_spear_company;antq_indian_longbow_company;antq_saka_horse,antq_limited_coastal_transport;antq_local_watercraft,laribandar;manora;muhammad_tur,limited_transport,,antq_limited_coastal_transport,pass,pass,pass,pass,pass
IGR,Indo-Greek Rump,India,antq_bow_infantry;antq_household_retainers;antq_indian_longbowmen;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_war_elephants,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_deccan_spear_company;antq_frontier_spear_company;antq_indian_longbow_company,,,inland,,,pass,pass,pass,pass,pass
YUE,Yuezhi Confederation,Central Asia,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_steppe_horse_archers,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company;antq_saka_horse,,,inland,,,pass,pass,pass,pass,pass
YDH,Yaudheya,India,antq_bow_infantry;antq_household_retainers;antq_indian_longbowmen;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_war_elephants,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_deccan_spear_company;antq_frontier_spear_company;antq_indian_longbow_company,,,inland,,,pass,pass,pass,pass,pass
