location,local_map_area,role,source
bandirma,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bansko,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bar_cg,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
barca,cyrenaica_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
baris,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bartin,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bayat,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bayramic,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bayramlu,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
belgrad,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
benghazi,cyrenaica_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
beni_suef,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
berat,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bergama,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
beypazari,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
beysehir,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
biga,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bigadic,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bilbeis,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bilecik,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
birgi,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bitola,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bodonitsa,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bodrum,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bolu,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bolvadin,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
boyabat,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bozan,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bozhenitsa,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
branicevo,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
brskovo,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
brvenik,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
budimlja,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
burdur,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bursa,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
butrint,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
cairo,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
can,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
canakkale,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
candia,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
cankiri,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
celtik,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
cephalonia,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
cerkes,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
cernavoda,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
cesme,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
chalandritsa,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
chania,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
cherven,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
chios,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
cine,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
constanta,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
corfu,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
corinth,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
cubuk,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
cumra,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
dakahla,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
damala,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
damanhur,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
damietta,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
debar,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
debrc,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
demetrias,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
demirci,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
derna,cyrenaica_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
devol,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
devrekani,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
dinar,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
dobrolak,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
domanic,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
dospat,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
drama,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
drastar,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
dukagjini,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
dupnitsa,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
durres,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
dursunbey,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
edessa,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
edfu,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
edremit,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
egirdir,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_agheila,cyrenaica_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_alamein,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_arish,sinai_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_bahnasa,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_balyana,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_burullus,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_buwit,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_jundi,sinai_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_mahalla,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_qasr,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_qoseir,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
el_tor,sinai_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
elassona,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
elbasan,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
elmali,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
elounda,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
emet,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
emirdag,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
enisala,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
eregli,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
eregli_kar,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
eretreia,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
ermioni,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
eskil,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
esna,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
eynegol,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
faiyum,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
faqus,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
faran,sinai_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
farsala,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
finike,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
florina,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
foca,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
fuwa,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gediz,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gerede,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gergeri,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gerze,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
giannitsa,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gigen,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
giresun,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
giza,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gjakova,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
glubocica,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gokabat,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
golhisar,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gonen,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gordes,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gorele,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
goynuk,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gradac,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gradina,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gravia,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
grevena,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gumushane,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
guzelhisar,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
gynaikokastro,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
hagios_pavlos,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
harmancik,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
harsova,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
has,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
hatera,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
hatunsaray,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
haymana,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
hiw,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
honaz,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
hotalich,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
ikaria,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
ilgin,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
imbros,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
inebolu,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
inonu,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
insuyu,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
ioannina,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
isaccea,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
isparta,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
istanoz,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
izmit,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
iznik,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
jagodina,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
kafr_saqr,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
kalamata,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
kalavryta,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
kalecik,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
kaliakra,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
karahisar_i_sahib,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
karahisar_i_teke,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
karakecili,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
karapinar,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
karditsa,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
karpathos,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
karpenisi,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
karvuna,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
karystos,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
karytaina,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
kas,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
kassandreia,macedonia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
kastamonu,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
