design_tag,engine_tag,opening_reform,profile,visible_reforms
CBA,XDL,antq_andean_highland_community_network,tribal,antq_andean_highland_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
CBH,XHA,antq_philippine_island_exchange_network,tribal,antq_elder_moot_kingship|antq_philippine_island_exchange_network|antq_warband_retinue_kingship
CCF,CCF,antq_central_california_coastal_network,tribal,antq_central_california_coastal_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
CCI,CCI,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
CED,CED,antq_central_indian_janapada,royal,antq_central_indian_janapada|antq_frontier_muster_monarchy|antq_petition_court
CHA,XAI,antq_parthian_subkingdom,iranian,antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_parthian_subkingdom|antq_vologasid_dynastic_settlement
CHB,XGP,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
CHC,XDT,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
CHE,XBB,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
CHG,XGF,antq_mainland_highland_exchange_network,tribal,antq_elder_moot_kingship|antq_mainland_highland_exchange_network|antq_warband_retinue_kingship
CHL,XBC,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
CHT,XBL,antq_chattian_host_order,chattian,antq_chattian_chosen_warrior_host|antq_chattian_elder_war_council|antq_chattian_host_order
CLC,XDU,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
CLZ,CLZ,antq_buffer_kingdom,royal,antq_buffer_kingdom|antq_frontier_muster_monarchy|antq_petition_court
CMB,CMB,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
CMW,CMW,antq_central_mississippi_woodland_network,tribal,antq_central_mississippi_woodland_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
CNA,XFD,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
CND,XFH,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
CNP,XFX,antq_eastern_megalithic_community_network,tribal,antq_eastern_megalithic_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
CNV,XEW,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
COL,XGV,antq_west_mexican_shaft_tomb_chiefdom,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_mexican_shaft_tomb_chiefdom
COM,XAE,antq_commagenean_client_kingship,commagenean,antq_commagenean_client_kingship|antq_commagenean_euphrates_compact|antq_commagenean_sanctuary_court
COR,XEV,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
CPH,CPH,antq_mesoamerican_highland_community_network,tribal,antq_elder_moot_kingship|antq_mesoamerican_highland_community_network|antq_warband_retinue_kingship
CPS,CPS,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
CRE,CRE,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
CRU,CRU,antq_cheruscan_kindred_assembly,cheruscan,antq_cheruscan_coalition_leadership|antq_cheruscan_kindred_assembly|antq_cheruscan_retinue_kingship
CRV,CRV,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
CSB,XGL,antq_borneo_interior_river_network,tribal,antq_borneo_interior_river_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
CTP,CTP,antq_changtang_pastoral_network,tribal,antq_changtang_pastoral_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
CTU,CTU,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
CUI,XCR,antq_mesoamerican_formative_civic_network,tribal,antq_elder_moot_kingship|antq_mesoamerican_formative_civic_network|antq_warband_retinue_kingship
CXR,CXR,antq_philippine_coastal_river_network,tribal,antq_elder_moot_kingship|antq_philippine_coastal_river_network|antq_warband_retinue_kingship
DAC,DAC,antq_dacian_divided_kingships,dacian,antq_dacian_divided_kingships|antq_dacian_hillfort_compact|antq_dacian_mountain_court
DAM,XFA,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
DAR,DAR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
DAY,DAY,antq_dayuan_oasis_kingship,royal,antq_dayuan_oasis_kingship|antq_frontier_muster_monarchy|antq_petition_court
DCT,DCT,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
DDV,DDV,antq_eastern_hill_valley_network,tribal,antq_eastern_hill_valley_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
DEC,XEY,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
DEM,XEX,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
DGU,DGU,antq_daga_highland_garden_network,tribal,antq_daga_highland_garden_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
DJN,DJN,antq_settled_town_cluster,civic,antq_boule_magistracy|antq_federal_synedrion|antq_settled_town_cluster
DKS,DKS,antq_upper_mahanadi_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_upper_mahanadi_kingship
DNG,XCJ,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
DNH,DNH,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
DNP,DNP,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
DOB,DOB,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
DOR,DOR,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
DRC,DRC,antq_eastern_plateau_corridor_network,tribal,antq_eastern_plateau_corridor_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
DUM,DUM,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
DUR,XEU,antq_durotrigian_hillfort_coin_order,durotrigian,antq_durotrigian_coin_weight_council|antq_durotrigian_hillfort_coin_order|antq_durotrigian_settlement_compact
EBL,EBL,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
EHW,EHW,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
ELY,XAJ,antq_parthian_subkingdom,iranian,antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_parthian_subkingdom|antq_vologasid_dynastic_settlement
EME,EME,antq_emesan_client_dynasty,emesan,antq_emesan_caravan_compact|antq_emesan_client_dynasty|antq_emesan_sanctuary_court
EMR,EMR,antq_early_mariana_island_network,tribal,antq_early_mariana_island_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
EPC,EPC,antq_eastern_plateau_corridor_network,tribal,antq_eastern_plateau_corridor_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
EPD,EPD,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
EPI,XCV,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
ERD,ERD,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
ETG,ETG,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
EUD,XDX,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
FIN,XBU,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
FJS,FJS,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
FLP,FLP,antq_point_peninsula_seasonal_network,tribal,antq_elder_moot_kingship|antq_point_peninsula_seasonal_network|antq_warband_retinue_kingship
FRI,XBM,antq_frisian_terp_community_order,frisian,antq_frisian_frontier_council|antq_frisian_terp_community_order|antq_frisian_tidal_compact
GAL,XAB,antq_herodian_galilean_tetrarchy,galilean,antq_galilean_lake_court|antq_galilean_peraean_compact|antq_herodian_galilean_tetrarchy
GAN,GAN,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
GAR,XBF,antq_garamantian_oasis_state,garamantian,antq_garamantian_caravan_compact|antq_garamantian_irrigation_court|antq_garamantian_oasis_state
GER,XDK,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
GET,GET,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
GLS,XGT,antq_mesoamerican_exchange_corridor_network,tribal,antq_elder_moot_kingship|antq_mesoamerican_exchange_corridor_network|antq_warband_retinue_kingship
GMB,GMB,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
GMR,GMR,antq_mahan_small_state_league,tribal,antq_elder_moot_kingship|antq_mahan_small_state_league|antq_warband_retinue_kingship
GMU,GMU,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
GNG,XDP,antq_northern_indian_coin_kingship,royal,antq_frontier_muster_monarchy|antq_northern_indian_coin_kingship|antq_petition_court
GOG,GOG,antq_early_korean_kingdom,goguryeo,antq_early_korean_kingdom|antq_goguryeo_fortress_lineages|antq_goguryeo_granary_court
GOR,XAM,antq_parthian_subkingdom,iranian,antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_parthian_subkingdom|antq_vologasid_dynastic_settlement
GPC,GPC,antq_mesoamerican_exchange_corridor_network,tribal,antq_elder_moot_kingship|antq_mesoamerican_exchange_corridor_network|antq_warband_retinue_kingship
GRH,GRH,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
GRT,XHE,antq_sulawesi_peninsula_community_network,tribal,antq_elder_moot_kingship|antq_sulawesi_peninsula_community_network|antq_warband_retinue_kingship
GTC,GTC,antq_west_african_savanna_compound_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_african_savanna_compound_network
GTL,GTL,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
GUR,XEN,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
GUT,GUT,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
HAD,XBJ,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
HAN,XAR,antq_han_imperial_bureaucracy,han,antq_commandery_supervision|antq_han_imperial_bureaucracy|antq_memorialist_han_court|antq_xin_state_reorganization
HAU,XFQ,antq_horn_pastoral_network,tribal,antq_elder_moot_kingship|antq_horn_pastoral_network|antq_warband_retinue_kingship
HER,HER,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
HIM,HIM,antq_himyarite_terrace_kingship,himyarite,antq_himyarite_incense_route_court|antq_himyarite_irrigation_court|antq_himyarite_terrace_kingship
HLS,HLS,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
HLV,HLV,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
HMR,HMR,antq_mahan_small_state_league,tribal,antq_elder_moot_kingship|antq_mahan_small_state_league|antq_warband_retinue_kingship
HOK,HOK,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
HOP,XCY,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
HRC,XHM,antq_herrera_plateau_exchange_network,tribal,antq_elder_moot_kingship|antq_herrera_plateau_exchange_network|antq_warband_retinue_kingship
HRI,HRI,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
HRK,HRK,antq_bengal_riverine_community_network,tribal,antq_bengal_riverine_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
HUA,XHJ,antq_andean_highland_community_network,tribal,antq_andean_highland_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
HVI,HVI,antq_havana_hopewell_exchange_network,tribal,antq_elder_moot_kingship|antq_havana_hopewell_exchange_network|antq_warband_retinue_kingship
IAZ,IAZ,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
IBG,IBG,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
IBR,IBR,antq_buffer_kingdom,royal,antq_buffer_kingdom|antq_frontier_muster_monarchy|antq_petition_court
ICE,XBX,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
IGR,XAY,antq_indo_greek_kingship,civic,antq_boule_magistracy|antq_federal_synedrion|antq_indo_greek_kingship
ILM,ILM,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
IMV,IMV,antq_eastern_hill_valley_network,tribal,antq_eastern_hill_valley_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
ISK,XAX,antq_indo_scythian_kingship,iranian,antq_arsacid_dual_court_compact|antq_indo_scythian_kingship|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_vologasid_dynastic_settlement
IVN,IVN,antq_ivernian_regional_assembly,ivernian,antq_ivernian_cattle_gift_court|antq_ivernian_regional_assembly|antq_ivernian_seaway_compact
IWL,IWL,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
IZA,IZA,antq_mesoamerican_urban_ritual_center,tribal,antq_elder_moot_kingship|antq_mesoamerican_urban_ritual_center|antq_warband_retinue_kingship
IZM,IZM,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
JAV,JAV,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
JGP,XGR,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
JIN,JIN,antq_jinhan_small_state_league,tribal,antq_elder_moot_kingship|antq_jinhan_small_state_league|antq_warband_retinue_kingship
JUD,JUD,antq_herodian_judean_ethnarchy,judean,antq_herodian_judean_ethnarchy|antq_judean_temple_court|antq_judean_toparchy_compact
JUT,JUT,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
JZH,JZH,antq_west_mexican_highland_corridor_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_mexican_highland_corridor_network
KAL,XBA,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
KAS,XAT,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
KBC,KBC,antq_bomberai_coastal_community_network,tribal,antq_bomberai_coastal_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
KBI,KBI,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
KCH,XGN,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
KCN,XGG,antq_mainland_highland_exchange_network,tribal,antq_elder_moot_kingship|antq_mainland_highland_exchange_network|antq_warband_retinue_kingship
KCP,KCP,antq_kansas_city_hopewell_network,tribal,antq_elder_moot_kingship|antq_kansas_city_hopewell_network|antq_warband_retinue_kingship
KGT,KGT,antq_mainland_iron_age_basin_network,tribal,antq_elder_moot_kingship|antq_mainland_iron_age_basin_network|antq_warband_retinue_kingship
KHM,XCL,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
KHT,XAS,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
KHW,KHW,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
KIB,KIB,antq_mainland_iron_age_basin_network,tribal,antq_elder_moot_kingship|antq_mainland_iron_age_basin_network|antq_warband_retinue_kingship
KIN,KIN,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
