design_tag,engine_tag,kind,government_source,reform,estate_profile,visible_privilege_count,profile_privilege_count,exact_privilege_count,visible_privileges
MAU,XAG,subject,sourced,antq_mauretanian_client_kingship,mauretanian,7,6,1,antq_client_royal_autonomy|antq_mauretanian_court_regional_house_service|antq_mauretanian_frontier_watch_rotations|antq_mauretanian_olive_grain_labor_compacts|antq_mauretanian_port_craft_measures|antq_mauretanian_royal_seal_custody|antq_mauretanian_sanctuary_offering_inventories
PAR,XAH,country,sourced,antq_parthian_king_of_kings,iranian,15,6,9,antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_great_house_levy_exemptions|antq_iranian_great_house_succession_acclamation|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_noble_mounted_host_exemptions|antq_iranian_royal_domain_assessment|antq_iranian_royal_domain_review|antq_iranian_royal_dynastic_nomination|antq_iranian_safe_conduct_guarantees|antq_iranian_standing_royal_garrisons|antq_iranian_subkingdom_tribute_autonomy|antq_iranian_temple_endowment_registers|antq_parthian_great_house_autonomy
CHA,XAI,subject,sourced,antq_parthian_subkingdom,iranian,7,6,1,antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_safe_conduct_guarantees|antq_iranian_temple_endowment_registers|antq_parthian_subking_autonomy
ELY,XAJ,subject,sourced,antq_parthian_subkingdom,iranian,7,6,1,antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_safe_conduct_guarantees|antq_iranian_temple_endowment_registers|antq_parthian_subking_autonomy
PRS,PRS,subject,sourced,antq_parthian_subkingdom,iranian,7,6,1,antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_safe_conduct_guarantees|antq_iranian_temple_endowment_registers|antq_parthian_subking_autonomy
ATR,XAK,subject,sourced,antq_parthian_subkingdom,iranian,7,6,1,antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_safe_conduct_guarantees|antq_iranian_temple_endowment_registers|antq_parthian_subking_autonomy
ADI,ADI,subject,sourced,antq_parthian_subkingdom,iranian,7,6,1,antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_safe_conduct_guarantees|antq_iranian_temple_endowment_registers|antq_parthian_subking_autonomy
OSR,OSR,subject,sourced,antq_buffer_kingdom,royal,7,6,1,antq_border_court_autonomy|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
GOR,XAM,subject,sourced,antq_parthian_subkingdom,iranian,7,6,1,antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_safe_conduct_guarantees|antq_iranian_temple_endowment_registers|antq_parthian_subking_autonomy
SKT,XAN,subject,sourced,antq_parthian_subkingdom,iranian,7,6,1,antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_safe_conduct_guarantees|antq_iranian_temple_endowment_registers|antq_parthian_subking_autonomy
MRG,MRG,subject,sourced,antq_parthian_subkingdom,iranian,7,6,1,antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_safe_conduct_guarantees|antq_iranian_temple_endowment_registers|antq_parthian_subking_autonomy
ARM,XAO,country,sourced,antq_artaxiad_highland_kingship,armenian,9,6,3,antq_armenian_artaxata_court_arbitration|antq_armenian_caravan_artisan_safe_conducts|antq_armenian_fortress_dynast_service|antq_armenian_fortress_dynast_service_terms|antq_armenian_fortress_pass_watch_rotations|antq_armenian_royal_seal_custody|antq_armenian_sanctuary_offering_inventories|antq_armenian_vineyard_grain_labor_compacts|antq_border_court_autonomy
IBR,IBR,country,sourced,antq_buffer_kingdom,royal,7,6,1,antq_border_court_autonomy|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
CLZ,CLZ,country,sourced,antq_buffer_kingdom,royal,7,6,1,antq_border_court_autonomy|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
ALC,XAQ,country,sourced,antq_buffer_kingdom,royal,7,6,1,antq_border_court_autonomy|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
HAN,XAR,country,sourced,antq_han_imperial_bureaucracy,han,16,6,10,antq_han_calendar_and_ritual_consultation|antq_han_commandery_administrator_tenure|antq_han_commandery_fiscal_discretion|antq_han_commandery_workshop_quotas|antq_han_court_remonstrance_access|antq_han_licensed_long_distance_trade|antq_han_local_market_workshop_compacts|antq_han_palace_bureau|antq_han_palace_memorial_access|antq_han_predictable_corvee_rotations|antq_han_regional_inspector_circuits|antq_han_registered_estate_returns|antq_han_secretariat_appointment_channel|antq_han_state_salt_iron_workshops|antq_han_three_excellencies_nomination_review|antq_wang_clan_regency
XIO,XIO,country,sourced,antq_steppe_confederation,xiongnu,15,6,9,antq_steppe_clan_autonomy|antq_xiongnu_cauldron_and_oath_custody|antq_xiongnu_chanyu_gift_redistribution|antq_xiongnu_chanyu_lineage_nomination|antq_xiongnu_frontier_market_tallies|antq_xiongnu_han_frontier_stipend_treaty|antq_xiongnu_independent_western_tribute_circuit|antq_xiongnu_lineage_gift_retention_quotas|antq_xiongnu_lineage_surety_exchange|antq_xiongnu_pasture_circuit_autonomy|antq_xiongnu_remount_quota_compacts|antq_xiongnu_seasonal_pasture_compacts|antq_xiongnu_wing_command_precedence|antq_xiongnu_wing_commander_acclamation|antq_xiongnu_wing_gift_precedence
KHT,XAS,subject,sourced,antq_han_western_regions_kingship,royal,7,6,1,antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
KUC,KUC,subject,sourced,antq_han_western_regions_kingship,royal,7,6,1,antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
KAS,XAT,subject,sourced,antq_han_western_regions_kingship,royal,7,6,1,antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
LOU,LOU,subject,sourced,antq_han_western_regions_kingship,royal,7,6,1,antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
TUR,XAV,subject,sourced,antq_han_western_regions_kingship,royal,7,6,1,antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
GOG,GOG,country,sourced,antq_early_korean_kingdom,goguryeo,9,6,3,antq_goguryeo_ancestral_rite_stores|antq_goguryeo_beacon_and_palisade_service|antq_goguryeo_fortress_command_rotations|antq_goguryeo_fortress_lineage_command|antq_goguryeo_lineage_council_hearing|antq_goguryeo_millet_store_guarantees|antq_goguryeo_royal_granary_inspection|antq_goguryeo_walled_artisan_obligations|antq_korean_royal_court
BUY,BUY,country,sourced,antq_regional_kingship,royal,7,6,1,antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
MAH,XAW,sop,sourced,antq_mahan_small_state_league,tribal,7,6,1,antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
JIN,JIN,sop,sourced,antq_jinhan_small_state_league,tribal,7,6,1,antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BYE,BYE,sop,sourced,antq_byeonhan_iron_exchange_league,tribal,7,6,1,antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
WAA,WAA,sop,sourced,antq_tribal_kingdom,tribal,7,6,1,antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
SAT,SAT,country,sourced,antq_satavahana_deccan_kingship,satavahana,9,6,3,antq_regional_royal_court|antq_satavahana_cultivator_tank_compacts|antq_satavahana_frontier_forest_watch_rotations|antq_satavahana_guild_caravan_safe_conducts|antq_satavahana_guild_charter_arbitration|antq_satavahana_maharathi_mahabhoja_service_terms|antq_satavahana_maharathi_muster_precedence|antq_satavahana_monastic_sanctuary_inventories|antq_satavahana_royal_seal_custody
ISK,XAX,country,sourced,antq_indo_scythian_kingship,iranian,7,6,1,antq_indo_scythian_satraps|antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_safe_conduct_guarantees|antq_iranian_temple_endowment_registers
IGR,XAY,country,sourced,antq_indo_greek_kingship,civic,7,6,1,antq_civic_euergetic_public_works|antq_civic_grain_and_water_guarantees|antq_civic_harbor_dues_farming|antq_civic_magistrate_accountability|antq_civic_recognized_craft_associations|antq_civic_sanctuary_inventory_rights|antq_indo_greek_city_elites
YUE,YUE,country,sourced,antq_yuezhi_five_yabghus,iranian,7,6,1,antq_iranian_caravan_toll_compacts|antq_iranian_great_house_counsel|antq_iranian_irrigation_labor_compacts|antq_iranian_mounted_host_compacts|antq_iranian_safe_conduct_guarantees|antq_iranian_temple_endowment_registers|antq_steppe_clan_autonomy
YDH,YDH,country,sourced,antq_indian_ganasangha,gana,7,6,1,antq_gana_clan_delegate_rotation|antq_gana_communal_granary_shares|antq_gana_guild_arbitration_rights|antq_gana_road_hospitality_compacts|antq_gana_shrine_hospitality_endowments|antq_gana_warrior_household_service|antq_ganasangha_council
ARJ,ARJ,country,sourced,antq_indian_ganasangha,gana,7,6,1,antq_gana_clan_delegate_rotation|antq_gana_communal_granary_shares|antq_gana_guild_arbitration_rights|antq_gana_road_hospitality_compacts|antq_gana_shrine_hospitality_endowments|antq_gana_warrior_household_service|antq_ganasangha_council
KUN,XAZ,country,sourced,antq_indian_ganasangha,gana,7,6,1,antq_gana_clan_delegate_rotation|antq_gana_communal_granary_shares|antq_gana_guild_arbitration_rights|antq_gana_road_hospitality_compacts|antq_gana_shrine_hospitality_endowments|antq_gana_warrior_household_service|antq_ganasangha_council
KAL,XBA,country,sourced,antq_regional_kingship,royal,7,6,1,antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
CHE,XBB,country,sourced,antq_regional_kingship,royal,7,6,1,antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
CHL,XBC,country,sourced,antq_regional_kingship,royal,7,6,1,antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
PND,PND,country,sourced,antq_regional_kingship,royal,7,6,1,antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
ANU,XBD,country,sourced,antq_lankan_kingdom,lankan,9,6,3,antq_lankan_forest_route_compacts|antq_lankan_monastic_endowment_immunity|antq_lankan_monastic_endowment_registers|antq_lankan_monastic_patronage|antq_lankan_port_and_market_measures|antq_lankan_regional_lineage_petitions|antq_lankan_reservoir_audit_grants|antq_lankan_reservoir_supervision_terms|antq_lankan_tank_labor_rotations
KUS,XBE,country,sourced,antq_kushite_dual_kingship,kushite,9,6,3,antq_kushite_desert_route_hospitality|antq_kushite_dual_court_seal_custody|antq_kushite_iron_and_gold_workshop_terms|antq_kushite_nile_cultivator_rotations|antq_kushite_provincial_tribute_bowls|antq_kushite_royal_court|antq_kushite_royal_seal_inspection|antq_kushite_temple_storehouse_immunity|antq_kushite_temple_storehouse_inventories
AKS,AKS,country,sourced,antq_advanced_chiefdom,tribal,7,6,1,antq_chiefly_court|antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
GAR,XBF,country,sourced,antq_garamantian_oasis_state,garamantian,6,6,0,antq_garamantian_burial_ritual_custody|antq_garamantian_caravan_craft_safe_conducts|antq_garamantian_irrigator_cultivator_compacts|antq_garamantian_leading_oasis_hearings|antq_garamantian_mounted_chariot_terms|antq_garamantian_outer_oasis_guarantees
BLM,XBG,sop,sourced,antq_tribal_kingdom,tribal,7,6,1,antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BEJ,XBH,sop,sourced,antq_tribal_kingdom,tribal,7,6,1,antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
DJN,DJN,sop,sourced,antq_settled_town_cluster,civic,7,6,1,antq_civic_euergetic_public_works|antq_civic_grain_and_water_guarantees|antq_civic_harbor_dues_farming|antq_civic_magistrate_accountability|antq_civic_recognized_craft_associations|antq_civic_sanctuary_inventory_rights|antq_town_cluster_council
WAF,WAF,sop,sourced,antq_west_african_savanna_compound_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
ZMP,ZMP,sop,sourced,antq_west_african_savanna_compound_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
KPC,KPC,sop,sourced,antq_west_african_savanna_compound_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
GTC,GTC,sop,sourced,antq_west_african_savanna_compound_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
NSK,NSK,sop,sourced,antq_west_african_ironworking_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
OUE,OUE,sop,sourced,antq_west_african_forest_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
VIC,VIC,sop,sourced,antq_west_african_ironworking_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BSW,BSW,sop,sourced,antq_west_african_forest_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BNT,XDE,sop,sourced,antq_early_ironworking_community_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
URW,URW,sop,sourced,antq_early_ironworking_community_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
KWL,KWL,sop,sourced,antq_early_ironworking_community_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
RUV,RUV,sop,sourced,antq_early_ironworking_community_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
LMP,LMP,sop,sourced,antq_mobile_hunter_herder_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
ZHF,ZHF,sop,sourced,antq_mobile_hunter_herder_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
WDP,WDP,sop,sourced,antq_early_ironworking_community_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BCH,XFR,sop,sourced,antq_early_ironworking_community_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BAR,XDF,sop,sourced,antq_horn_pastoral_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
AVA,XFN,sop,sourced,antq_far_side_port_chiefdom,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
MLA,MLA,sop,sourced,antq_far_side_port_chiefdom,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
MUN,XFO,sop,sourced,antq_far_side_port_chiefdom,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
MOS,XFP,sop,sourced,antq_far_side_port_chiefdom,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
ARO,ARO,sop,sourced,antq_far_side_port_chiefdom,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
OPO,OPO,sop,sourced,antq_far_side_port_chiefdom,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
HAU,XFQ,sop,sourced,antq_horn_pastoral_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
AZA,AZA,sop,sourced,antq_horn_pastoral_network,tribal,6,6,0,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
SAB,XBI,country,sourced,antq_sabaean_marib_kingship,sabaean,8,6,2,antq_regional_royal_court|antq_sabaean_dam_canal_water_compacts|antq_sabaean_highland_route_watch_rotations|antq_sabaean_incense_caravan_safe_conducts|antq_sabaean_interkingdom_caravan_safe_conducts|antq_sabaean_lineage_dam_service_terms|antq_sabaean_royal_seal_custody|antq_sabaean_sanctuary_offering_inventories
HIM,HIM,country,sourced,antq_himyarite_terrace_kingship,himyarite,9,6,3,antq_himyarite_highland_lineage_terrace_service|antq_himyarite_incense_port_safe_conducts|antq_himyarite_incense_route_toll_farm|antq_himyarite_route_tribal_watch_rotations|antq_himyarite_royal_seal_custody|antq_himyarite_sanctuary_offering_inventories|antq_himyarite_terrace_cultivator_water_compacts|antq_himyarite_terrace_water_compacts|antq_regional_royal_court
QAT,QAT,country,sourced,antq_regional_kingship,royal,8,6,2,antq_qatabanian_timna_transit_assessments|antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
