reform,opening_holders,sample_tags,crown_direct,crown_from_cabinet,estate_direct_positive,largest_estate_cabinet_lever,structural_authority_levers,structural_estate_levers,reviewed_band,status
antq_catuvellaunian_oppidum_kingship,1,CAT,0,0,0.29,0.22,0,0.51,estate_or_community_led,pass
antq_central_california_coastal_network,1,CCF,0,0,0.15,0.165,0,0.315,estate_or_community_led,pass
antq_central_indian_janapada,1,CED,0,0,0.19,0.15,0,0.34,estate_or_community_led,pass
antq_central_indian_megalithic_network,3,BGL;BSR;NVM,0,0,0.25,0.2,0,0.45,estate_or_community_led,pass
antq_central_indian_urban_kingship,2,UJJ;VDS,0,0,0.22,0.16,0,0.38,estate_or_community_led,pass
antq_central_mississippi_woodland_network,2,CMW;MRW,0,0,0.227,0.177,0,0.404,estate_or_community_led,pass
antq_central_plateau_agropastoral_network,3,TSG;UTV;YAR,0,0,0.21,0.18,0,0.39,estate_or_community_led,pass
antq_changtang_pastoral_network,1,CTP,0,0,0.23,0.22,0,0.45,estate_or_community_led,pass
antq_chattian_host_order,1,CHT,0,0,0.26,0.25,0,0.51,estate_or_community_led,pass
antq_cheruscan_kindred_assembly,1,CRU,0,0,0.27,0.24,0,0.51,estate_or_community_led,pass
antq_commagenean_client_kingship,1,COM,0,0,0.3,0.2,0,0.5,estate_or_community_led,pass
antq_dacian_divided_kingships,1,DAC,0,0,0.29,0.24,0,0.53,estate_or_community_led,pass
antq_daga_highland_garden_network,1,DGU,0,0,0.15,0.17,0,0.32,estate_or_community_led,pass
antq_dayuan_oasis_kingship,1,DAY,0,0,0.11,0.12,0,0.23,estate_or_community_led,pass
antq_durotrigian_hillfort_coin_order,1,DUR,0,0,0.26,0.23,0,0.49,estate_or_community_led,pass
antq_early_ironworking_community_network,6,BCH;BNT;KWL;RUV;URW;WDP,0,0,0.28,0.12,0,0.4,estate_or_community_led,pass
antq_early_korean_kingdom,1,GOG,0.1,0,0.05,0.15,0.1,0.2,estate_or_community_led,pass
antq_early_mariana_island_network,1,EMR,0,0,0.13,0.16,0,0.29,estate_or_community_led,pass
antq_eastern_hill_valley_network,6,AMB;DDV;IMV;KJH;SDY;UBR,0,0,0.24,0.2,0,0.44,estate_or_community_led,pass
antq_eastern_megalithic_community_network,1,CNP,0,0,0.3,0.18,0,0.48,estate_or_community_led,pass
antq_eastern_plateau_corridor_network,3,DRC;EPC;QMC,0,0,0.24,0.2,0,0.44,estate_or_community_led,pass
antq_emesan_client_dynasty,1,EME,0,0,0.3,0.18,0,0.48,estate_or_community_led,pass
antq_far_side_port_chiefdom,6,ARO;AVA;MLA;MOS;MUN;OPO,0,0,0.26,0.2,0,0.46,estate_or_community_led,pass
antq_frisian_terp_community_order,1,FRI,0,0,0.28,0.21,0,0.49,estate_or_community_led,pass
antq_garamantian_oasis_state,1,GAR,0,0,0.27,0.2,0,0.47,estate_or_community_led,pass
antq_han_imperial_bureaucracy,1,HAN,0.15,0.25,0.05,0,0.4,0.05,centralized_imperial,pass
antq_han_western_regions_kingship,13,DNH;FJS;GMU;IWL;KAS;KHT;KUC;LOU,0,0,0.1,0.1,0,0.2,estate_or_community_led,pass
antq_havana_hopewell_exchange_network,2,ABW;HVI,0,0,0.185,0.151,0,0.336,estate_or_community_led,pass
antq_herodian_batanean_tetrarchy,1,BAT,0,0,0.3,0.2,0,0.5,estate_or_community_led,pass
antq_herodian_galilean_tetrarchy,1,GAL,0,0,0.28,0.18,0,0.46,estate_or_community_led,pass
antq_herodian_judean_ethnarchy,1,JUD,0,0,0.31,0.2,0,0.51,estate_or_community_led,pass
antq_herrera_plateau_exchange_network,1,HRC,0,0,0.26,0.151,0,0.411,estate_or_community_led,pass
antq_himalayan_highland_network,2,MYL;SKM,0,0,0.25,0.21,0,0.46,estate_or_community_led,pass
antq_himyarite_terrace_kingship,1,HIM,0,0,0.26,0.22,0,0.48,estate_or_community_led,pass
antq_horn_pastoral_network,3,AZA;BAR;HAU,0,0,0.25,0.2,0,0.45,estate_or_community_led,pass
antq_indian_ganasangha,6,ARJ;AUD;KUN;MLL;VDJ;YDH,0,0,0.2,0.2,0,0.4,estate_or_community_led,pass
antq_indian_ocean_atoll_network,1,MLD,0,0,0.2,0.16,0,0.36,estate_or_community_led,pass
antq_indo_greek_kingship,1,IGR,0,0,0.1,0.2,0,0.3,estate_or_community_led,pass
antq_indo_scythian_kingship,2,ISK;NMS,0,0,0.1,0.2,0,0.3,estate_or_community_led,pass
antq_ivernian_regional_assembly,1,IVN,0,0,0.3,0.25,0,0.55,estate_or_community_led,pass
antq_jinhan_small_state_league,1,JIN,0,0,0.187,0.161,0,0.348,estate_or_community_led,pass
antq_kangju_confederated_kingship,1,KNG,0,0,0.16,0.18,0,0.34,estate_or_community_led,pass
antq_kansas_city_hopewell_network,1,KCP,0,0,0.203,0.157,0,0.36,estate_or_community_led,pass
antq_kushite_dual_kingship,1,KUS,0.05,0,0.15,0.2,0.05,0.35,estate_or_community_led,pass
antq_lankan_kingdom,1,ANU,0.05,0,0.15,0.15,0.05,0.3,estate_or_community_led,pass
antq_loja_regional_development_network,1,LRC,0,0,0.276,0.157,0,0.433,estate_or_community_led,pass
antq_mahan_small_state_league,3,GMR;HMR;MAH,0,0,0.189,0.159,0,0.348,estate_or_community_led,pass
antq_mainland_highland_exchange_network,4,CHG;KCN;SSH;UMK,0,0,0.24,0.2,0,0.44,estate_or_community_led,pass
antq_mainland_iron_age_basin_network,3,KGT;KIB;PWB,0,0,0.22,0.17,0,0.39,estate_or_community_led,pass
antq_mainland_river_corridor_network,3,ARK;UIR;USH,0,0,0.21,0.17,0,0.38,estate_or_community_led,pass
antq_marcomannic_bohemian_kingship,1,MCM,0,0,0.36,0.2,0,0.56,estate_or_community_led,pass
antq_mauretanian_client_kingship,1,MAU,0,0,0.26,0.16,0,0.42,estate_or_community_led,pass
antq_mesoamerican_exchange_corridor_network,3,GLS;GPC;NHC,0,0,0.28,0.15,0,0.43,estate_or_community_led,pass
antq_mesoamerican_formative_civic_network,5,CUI;MRF;PTF;SLC;TPC,0,0,0.26,0.15,0,0.41,estate_or_community_led,pass
antq_mesoamerican_highland_community_network,2,CPH;ONH,0,0,0.32,0.18,0,0.5,estate_or_community_led,pass
antq_mesoamerican_urban_ritual_center,2,IZA;TEO,0,0,0.34,0.2,0,0.54,estate_or_community_led,pass
antq_mobile_hunter_herder_network,2,LMP;ZHF,0,0,0.27,0.18,0,0.45,estate_or_community_led,pass
antq_nabataean_caravan_kingship,1,NAB,0,0,0.28,0.25,0,0.53,estate_or_community_led,pass
antq_north_maluku_metal_age_network,2,NHM;SHM,0,0,0.21,0.15,0,0.36,estate_or_community_led,pass
antq_northern_indian_coin_kingship,6,AGA;AYM;GNG;KSH;KSM;PCM,0,0,0.26,0.16,0,0.42,estate_or_community_led,pass
antq_northern_okjeo_corridor,1,WJO,0,0,0.17,0.16,0,0.33,estate_or_community_led,pass
antq_odrysian_client_kingship,1,THR,0,0,0.32,0.22,0,0.54,estate_or_community_led,pass
antq_orinoco_llanos_ceramic_network,1,OLC,0,0,0.135,0.155,0,0.29,estate_or_community_led,pass
antq_parthian_king_of_kings,1,PAR,0,0,0.2,0.3,0,0.5,estate_or_community_led,pass
antq_parthian_subkingdom,8,ADI;ATR;CHA;ELY;GOR;MRG;PRS;SKT,0,0,0.15,0.2,0,0.35,estate_or_community_led,pass
antq_philippine_cave_coast_network,2,MDR;PLW,0,0,0.23,0.18,0,0.41,estate_or_community_led,pass
antq_philippine_coastal_river_network,8,AGS;BCP;CXR;LNO;LZC;MBL;PCT;ZBG,0,0,0.21,0.17,0,0.38,estate_or_community_led,pass
antq_philippine_island_exchange_network,2,CBH;SLU,0,0,0.19,0.15,0,0.34,estate_or_community_led,pass
antq_philippine_mortuary_community_network,3,MTT;NGR;PNY,0,0,0.2,0.17,0,0.37,estate_or_community_led,pass
antq_point_peninsula_seasonal_network,3,FLP;MHP;PPA,0,0,0.213,0.163,0,0.376,estate_or_community_led,pass
antq_principate,1,ROM,0.18,0.2,0.11,0.15,0.38,0.26,centralized_imperial,pass
antq_pundranagara_urban_kingship,1,PDR,0,0,0.24,0.18,0,0.42,estate_or_community_led,pass
antq_regional_kingship,11,BUY;CHE;CHL;GRH;HAD;KAL;KHW;MAY,0.05,0,0.05,0.1,0.05,0.15,estate_or_community_led,pass
antq_sa_huynh_exchange_network,1,SHY,0,0,0.19,0.16,0,0.35,estate_or_community_led,pass
antq_sabaean_marib_kingship,1,SAB,0,0,0.26,0.23,0,0.49,estate_or_community_led,pass
antq_sakhalin_maritime_network,1,SKH,0,0,0.22,0.18,0,0.4,estate_or_community_led,pass
antq_saryarka_late_iron_network,1,SRY,0,0,0.25,0.2,0,0.45,estate_or_community_led,pass
antq_satavahana_deccan_kingship,1,SAT,0,0,0.28,0.18,0,0.46,estate_or_community_led,pass
antq_semnonian_sacred_confederacy,1,SEM,0,0,0.3,0.22,0,0.52,estate_or_community_led,pass
antq_settled_town_cluster,1,DJN,0,0,0.1,0.2,0,0.3,estate_or_community_led,pass
antq_sierra_nevada_early_community_network,1,SNE,0,0,0.288,0.163,0,0.451,estate_or_community_led,pass
antq_soanian_king_and_council,1,SVA,0,0,0.3,0.173,0,0.473,estate_or_community_led,pass
antq_sogdian_city_compact,1,SOG,0,0,0.17,0.2,0,0.37,estate_or_community_led,pass
antq_sonoran_desert_farming_network,1,SDR,0,0,0.32,0.14,0,0.46,estate_or_community_led,pass
antq_steppe_confederation,1,XIO,0,0,0.2,0.3,0,0.5,estate_or_community_led,pass
antq_sulawesi_coastal_exchange_network,4,BGT;BGU;BNC;MKS,0,0,0.195,0.165,0,0.36,estate_or_community_led,pass
antq_sulawesi_highland_mortuary_network,1,LRP,0,0,0.225,0.185,0,0.41,estate_or_community_led,pass
antq_sulawesi_island_exchange_network,1,BTM,0,0,0.195,0.145,0,0.34,estate_or_community_led,pass
antq_sulawesi_peninsula_community_network,2,GRT;MNH,0,0,0.22,0.16,0,0.38,estate_or_community_led,pass
antq_sulawesi_river_lake_network,2,KRM;LWM,0,0,0.225,0.175,0,0.4,estate_or_community_led,pass
antq_sumpa_highland_confederacy,1,SMP,0,0,0.21,0.21,0,0.42,estate_or_community_led,pass
antq_tamilakam_velir_court,2,ATY;TND,0,0,0.21,0.16,0,0.37,estate_or_community_led,pass
antq_teuchitlan_civic_center_network,1,TJC,0,0,0.3,0.18,0,0.48,estate_or_community_led,pass
antq_tribal_kingdom,123,AGR;AKL;ALA;ANG;AOR;ATB;AUT;BAS,0,0,0.2,0.25,0,0.45,estate_or_community_led,pass
antq_trinovantian_coin_kingship,1,TRI,0,0,0.32,0.23,0,0.55,estate_or_community_led,pass
antq_upper_mahanadi_kingship,1,DKS,0,0,0.2,0.15,0,0.35,estate_or_community_led,pass
antq_ussuri_poltsian_network,2,MDN;YIL,0,0,0.2,0.18,0,0.38,estate_or_community_led,pass
antq_wankarani_mound_village_network,1,WNK,0,0,0.156,0.171,0,0.327,estate_or_community_led,pass
antq_west_african_forest_network,2,BSW;OUE,0,0,0.28,0.14,0,0.42,estate_or_community_led,pass
antq_west_african_ironworking_network,2,NSK;VIC,0,0,0.24,0.1,0,0.34,estate_or_community_led,pass
antq_west_african_savanna_compound_network,4,GTC;KPC;WAF;ZMP,0,0,0.32,0.14,0,0.46,estate_or_community_led,pass
antq_west_mexican_basin_community_network,4,BJC;MBC;PHC;TVC,0,0,0.3,0.15,0,0.45,estate_or_community_led,pass
antq_west_mexican_highland_corridor_network,2,JZH;MZC,0,0,0.28,0.16,0,0.44,estate_or_community_led,pass
antq_west_mexican_shaft_tomb_chiefdom,3,COL;NYS;SJB,0,0,0.3,0.18,0,0.48,estate_or_community_led,pass
antq_windward_island_ceramic_network,1,WIC,0,0,0.175,0,0,0.175,estate_or_community_led,pass
antq_wusun_kunmi_confederacy,1,WSN,0,0,0.17,0.16,0,0.33,estate_or_community_led,pass
antq_xianbei_eastern_confederacy,1,XIA,0,0,0.26,0.24,0,0.5,estate_or_community_led,pass
antq_yancai_aorsi_confederacy,1,YNC,0,0,0.2,0.22,0,0.42,estate_or_community_led,pass
antq_yap_ulithi_island_network,1,WCR,0,0,0.14,0.17,0,0.31,estate_or_community_led,pass
antq_yuezhi_five_yabghus,1,YUE,0,0,0.14,0.18,0,0.32,estate_or_community_led,pass
antq_zhangzhung_plateau_kingship,1,ZHZ,0,0,0.17,0.14,0,0.31,estate_or_community_led,pass
