tag,name,kind,region,government_resolution,reform,programme_profile,programme_count,setting_tied_count,aptitudes,modifier_family_count,programmes,status
MAU,Mauretania,subject,Africa,explicit_government_ledger,antq_mauretanian_client_kingship,mauretanian,5,5,adm;dip;mil,9,antq_mauretanian_civic_port_returns;antq_mauretanian_royal_estate_accounts;antq_mauretanian_mounted_frontier_muster;antq_mauretanian_mediterranean_embassies;antq_mauretanian_craft_coin_measures,pass
PAR,Parthian Empire,country,Iran,explicit_government_ledger,antq_parthian_king_of_kings,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
CHA,Characene,subject,Iran,explicit_government_ledger,antq_parthian_subkingdom,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
ELY,Elymais,subject,Iran,explicit_government_ledger,antq_parthian_subkingdom,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
PRS,Persis,subject,Iran,explicit_government_ledger,antq_parthian_subkingdom,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
ATR,Media Atropatene,subject,Iran,explicit_government_ledger,antq_parthian_subkingdom,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
ADI,Adiabene,subject,Mesopotamia,explicit_government_ledger,antq_parthian_subkingdom,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
OSR,Osroene,subject,Mesopotamia,explicit_government_ledger,antq_buffer_kingdom,royal,11,4,adm;dip;mil,14,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_semitic_well_right_stones;antq_regprog_semitic_incense_caravan_seals;antq_regprog_semitic_date_grove_shares;antq_regprog_semitic_high_place_incense,pass
GOR,Gordyene,subject,Mesopotamia,explicit_government_ledger,antq_parthian_subkingdom,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
SKT,Sakastan,subject,Iran,explicit_government_ledger,antq_parthian_subkingdom,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
MRG,Margiana,subject,Central Asia,explicit_government_ledger,antq_parthian_subkingdom,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
ARM,Kingdom of Armenia,country,Caucasus,explicit_government_ledger,antq_artaxiad_highland_kingship,armenian,5,5,adm;dip;mil,8,antq_armenian_highland_fortress_musters;antq_armenian_pass_courier_relays;antq_armenian_dynastic_arbitration;antq_armenian_royal_domain_accounts;antq_armenian_frontier_embassies,pass
IBR,Caucasian Iberia,country,Caucasus,explicit_government_ledger,antq_buffer_kingdom,royal,11,4,adm;dip;mil,14,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_caucasian_pass_tower_watches;antq_regprog_caucasian_wine_amphora_shares;antq_regprog_caucasian_hillfort_grain_bins;antq_regprog_caucasian_hostage_surety_tokens,pass
CLZ,Colchis,country,Caucasus,explicit_government_ledger,antq_buffer_kingdom,royal,11,4,adm;dip;mil,14,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_caucasian_pass_tower_watches;antq_regprog_caucasian_wine_amphora_shares;antq_regprog_caucasian_hillfort_grain_bins;antq_regprog_caucasian_hostage_surety_tokens,pass
ALC,Caucasian Albania,country,Caucasus,explicit_government_ledger,antq_buffer_kingdom,royal,11,4,adm;dip;mil,14,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_caucasian_pass_tower_watches;antq_regprog_caucasian_wine_amphora_shares;antq_regprog_caucasian_hillfort_grain_bins;antq_regprog_caucasian_hostage_surety_tokens,pass
HAN,Western Han,country,China,explicit_government_ledger,antq_han_imperial_bureaucracy,han,11,11,adm;dip;mil,12,antq_han_commandery_reports;antq_han_imperial_secretariat;antq_han_granary_registers;antq_han_courier_relays;antq_han_frontier_command;antq_han_three_excellencies_reviews;antq_han_nine_ministers_dockets;antq_han_regional_inspector_reports;antq_han_household_registration_returns;antq_han_salt_iron_accounts;antq_han_grand_herald_guest_registers,pass
XIO,Xiongnu Confederation,country,Steppe,explicit_government_ledger,antq_steppe_confederation,xiongnu,11,11,adm;dip;mil,14,antq_xiongnu_pasture_returns;antq_xiongnu_wing_muster;antq_xiongnu_silk_gift_register;antq_xiongnu_envoy_relays;antq_xiongnu_lineage_sureties;antq_xiongnu_chanyu_lineage_nominations;antq_xiongnu_wing_command_returns;antq_xiongnu_frontier_treaty_accounts;antq_xiongnu_western_tribute_relays;antq_xiongnu_craft_household_stores;antq_xiongnu_seasonal_assembly_dockets,pass
KHT,Khotan,subject,Tarim,explicit_government_ledger,antq_han_western_regions_kingship,royal,11,4,adm;dip;mil,14,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_inner_oasis_canal_turns;antq_regprog_inner_caravan_seal_packets;antq_regprog_inner_remount_bit_stores;antq_regprog_inner_fire_and_gift_plaques,pass
KUC,Kucha,subject,Tarim,explicit_government_ledger,antq_han_western_regions_kingship,royal,11,4,adm;dip;mil,14,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_inner_oasis_canal_turns;antq_regprog_inner_caravan_seal_packets;antq_regprog_inner_remount_bit_stores;antq_regprog_inner_fire_and_gift_plaques,pass
KAS,Kashgar,subject,Tarim,explicit_government_ledger,antq_han_western_regions_kingship,royal,11,4,adm;dip;mil,14,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_inner_oasis_canal_turns;antq_regprog_inner_caravan_seal_packets;antq_regprog_inner_remount_bit_stores;antq_regprog_inner_fire_and_gift_plaques,pass
LOU,Loulan,subject,Tarim,explicit_government_ledger,antq_han_western_regions_kingship,royal,11,4,adm;dip;mil,14,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_inner_oasis_canal_turns;antq_regprog_inner_caravan_seal_packets;antq_regprog_inner_remount_bit_stores;antq_regprog_inner_fire_and_gift_plaques,pass
TUR,Turfan,subject,Tarim,explicit_government_ledger,antq_han_western_regions_kingship,royal,11,4,adm;dip;mil,14,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_inner_oasis_canal_turns;antq_regprog_inner_caravan_seal_packets;antq_regprog_inner_remount_bit_stores;antq_regprog_inner_fire_and_gift_plaques,pass
GOG,Goguryeo,country,Korea,explicit_government_ledger,antq_early_korean_kingdom,goguryeo,5,5,adm;dip;mil,9,antq_goguryeo_fortress_households;antq_goguryeo_millet_stores;antq_goguryeo_beacon_dispatches;antq_goguryeo_lineage_petitions;antq_goguryeo_artisan_obligations,pass
BUY,Buyeo,country,Korea,explicit_government_ledger,antq_regional_kingship,royal,11,4,adm;dip;mil,16,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_nanyang_outrigger_cordage_stores;antq_regprog_nanyang_monsoon_bead_chests;antq_regprog_nanyang_reef_fish_weirs;antq_regprog_nanyang_ancestor_jar_watches,pass
MAH,Mahan,sop,Korea,explicit_government_ledger,antq_mahan_small_state_league,tribal,11,4,adm;dip;mil,15,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_nanyang_outrigger_cordage_stores;antq_regprog_nanyang_monsoon_bead_chests;antq_regprog_nanyang_reef_fish_weirs;antq_regprog_nanyang_ancestor_jar_watches,pass
JIN,Jinhan,sop,Korea,explicit_government_ledger,antq_jinhan_small_state_league,tribal,11,4,adm;dip;mil,15,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_nanyang_outrigger_cordage_stores;antq_regprog_nanyang_monsoon_bead_chests;antq_regprog_nanyang_reef_fish_weirs;antq_regprog_nanyang_ancestor_jar_watches,pass
BYE,Byeonhan,sop,Korea,explicit_government_ledger,antq_byeonhan_iron_exchange_league,tribal,11,4,adm;dip;mil,15,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_nanyang_outrigger_cordage_stores;antq_regprog_nanyang_monsoon_bead_chests;antq_regprog_nanyang_reef_fish_weirs;antq_regprog_nanyang_ancestor_jar_watches,pass
WAA,Wa Polities,sop,Japan,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,15,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_nanyang_outrigger_cordage_stores;antq_regprog_nanyang_monsoon_bead_chests;antq_regprog_nanyang_reef_fish_weirs;antq_regprog_nanyang_ancestor_jar_watches,pass
SAT,Satavahana,country,India,explicit_government_ledger,antq_satavahana_deccan_kingship,satavahana,5,5,adm;dip;mil,10,antq_satavahana_deccan_route_returns;antq_satavahana_guild_donation_records;antq_satavahana_market_measures;antq_satavahana_elephant_mounted_musters;antq_satavahana_tank_irrigation_accounts,pass
ISK,Indo-Scythian Realm,country,India,explicit_government_ledger,antq_indo_scythian_kingship,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
IGR,Indo-Greek Rump,country,India,explicit_government_ledger,antq_indo_greek_kingship,civic,7,7,adm;dip;mil,8,antq_civic_civic_accounts;antq_civic_harbor_dues;antq_civic_citizen_muster;antq_civic_magistrate_rotations;antq_civic_sanctuary_embassies;antq_civic_ward_assessment_returns;antq_civic_harbor_market_arbitration,pass
YUE,Yuezhi Confederation,country,Central Asia,explicit_government_ledger,antq_yuezhi_five_yabghus,iranian,11,11,adm;dip;mil,13,antq_iranian_noble_host_musters;antq_iranian_royal_road_couriers;antq_iranian_satrapal_accounts;antq_iranian_caravan_protection;antq_iranian_dynastic_arbitration;antq_iranian_dynastic_succession_dockets;antq_iranian_subkingdom_tribute_returns;antq_iranian_royal_domain_accounts;antq_iranian_mounted_host_registers;antq_iranian_river_caravan_customs;antq_iranian_hostage_oath_registers,pass
YDH,Yaudheya,country,India,explicit_government_ledger,antq_indian_ganasangha,gana,11,7,adm;dip;mil,14,antq_gana_clan_delegates;antq_gana_assembly_arbitration;antq_gana_confederate_muster;antq_gana_road_hospitality;antq_gana_communal_granaries;antq_gana_clan_seat_rotation;antq_gana_irrigation_labor_registers;antq_regprog_indic_tank_sluice_turns;antq_regprog_indic_village_share_cords;antq_regprog_indic_monsoon_seed_jars;antq_regprog_indic_guild_weight_stones,pass
ARJ,Arjunayana,country,India,explicit_government_ledger,antq_indian_ganasangha,gana,11,7,adm;dip;mil,14,antq_gana_clan_delegates;antq_gana_assembly_arbitration;antq_gana_confederate_muster;antq_gana_road_hospitality;antq_gana_communal_granaries;antq_gana_clan_seat_rotation;antq_gana_irrigation_labor_registers;antq_regprog_indic_tank_sluice_turns;antq_regprog_indic_village_share_cords;antq_regprog_indic_monsoon_seed_jars;antq_regprog_indic_guild_weight_stones,pass
KUN,Kuninda,country,India,explicit_government_ledger,antq_indian_ganasangha,gana,11,7,adm;dip;mil,14,antq_gana_clan_delegates;antq_gana_assembly_arbitration;antq_gana_confederate_muster;antq_gana_road_hospitality;antq_gana_communal_granaries;antq_gana_clan_seat_rotation;antq_gana_irrigation_labor_registers;antq_regprog_indic_tank_sluice_turns;antq_regprog_indic_village_share_cords;antq_regprog_indic_monsoon_seed_jars;antq_regprog_indic_guild_weight_stones,pass
KAL,Kalinga,country,India,explicit_government_ledger,antq_regional_kingship,royal,11,4,adm;dip;mil,13,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_indic_tank_sluice_turns;antq_regprog_indic_village_share_cords;antq_regprog_indic_monsoon_seed_jars;antq_regprog_indic_guild_weight_stones,pass
CHE,Chera,country,India,explicit_government_ledger,antq_regional_kingship,royal,11,4,adm;dip;mil,13,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_indic_tank_sluice_turns;antq_regprog_indic_village_share_cords;antq_regprog_indic_monsoon_seed_jars;antq_regprog_indic_guild_weight_stones,pass
CHL,Chola,country,India,explicit_government_ledger,antq_regional_kingship,royal,11,4,adm;dip;mil,13,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_indic_tank_sluice_turns;antq_regprog_indic_village_share_cords;antq_regprog_indic_monsoon_seed_jars;antq_regprog_indic_guild_weight_stones,pass
PND,Pandya Kingdom,country,India,explicit_government_ledger,antq_regional_kingship,royal,11,4,adm;dip;mil,13,antq_royal_palace_petitions;antq_royal_tribute_registers;antq_royal_court_embassies;antq_royal_dynastic_compacts;antq_royal_fortress_provisioning;antq_royal_provincial_envoy_returns;antq_royal_royal_storehouse_inspection;antq_regprog_indic_tank_sluice_turns;antq_regprog_indic_village_share_cords;antq_regprog_indic_monsoon_seed_jars;antq_regprog_indic_guild_weight_stones,pass
ANU,Anuradhapura,country,Lanka,explicit_government_ledger,antq_lankan_kingdom,lankan,5,5,adm;dip;mil,8,antq_lankan_reservoir_accounts;antq_lankan_endowment_stores;antq_lankan_port_measures;antq_lankan_regional_petitions;antq_lankan_elephant_service,pass
KUS,Kush,country,Africa,explicit_government_ledger,antq_kushite_dual_kingship,kushite,5,5,adm;dip;mil,9,antq_kushite_royal_seals;antq_kushite_nile_contributions;antq_kushite_temple_stores;antq_kushite_metalwork_returns;antq_kushite_desert_dispatches,pass
AKS,Aksum,country,Africa,explicit_government_ledger,antq_advanced_chiefdom,tribal,11,4,adm;dip;mil,12,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_african_compound_granary_seals;antq_regprog_african_bloomery_iron_shares;antq_regprog_african_cattle_kraal_counts;antq_regprog_african_shrine_offering_jars,pass
GAR,Garamantes,country,Africa,explicit_government_ledger,antq_garamantian_oasis_state,garamantian,5,5,adm;dip;mil,8,antq_garamantian_foggara_water_accounts;antq_garamantian_oasis_store_returns;antq_garamantian_caravan_route_guarantees;antq_garamantian_mounted_chariot_musters;antq_garamantian_trans_saharan_exchange_inventory,pass
BLM,Blemmyes,sop,Africa,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,12,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_african_compound_granary_seals;antq_regprog_african_bloomery_iron_shares;antq_regprog_african_cattle_kraal_counts;antq_regprog_african_shrine_offering_jars,pass
BEJ,Beja,sop,Africa,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,12,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_african_compound_granary_seals;antq_regprog_african_bloomery_iron_shares;antq_regprog_african_cattle_kraal_counts;antq_regprog_african_shrine_offering_jars,pass
DJN,Djenne-Djenno,sop,West Africa,explicit_government_ledger,antq_settled_town_cluster,civic,11,7,adm;dip;mil,13,antq_civic_civic_accounts;antq_civic_harbor_dues;antq_civic_citizen_muster;antq_civic_magistrate_rotations;antq_civic_sanctuary_embassies;antq_civic_ward_assessment_returns;antq_civic_harbor_market_arbitration;antq_regprog_african_compound_granary_seals;antq_regprog_african_bloomery_iron_shares;antq_regprog_african_cattle_kraal_counts;antq_regprog_african_shrine_offering_jars,pass
WAF,Kebbi River,sop,West Africa,explicit_government_ledger,antq_west_african_savanna_compound_network,tribal,11,4,adm;dip;mil,12,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_african_compound_granary_seals;antq_regprog_african_bloomery_iron_shares;antq_regprog_african_cattle_kraal_counts;antq_regprog_african_shrine_offering_jars,pass
ZMP,Zamfara Plateau,sop,West Africa,explicit_government_ledger,antq_west_african_savanna_compound_network,tribal,11,4,adm;dip;mil,12,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_african_compound_granary_seals;antq_regprog_african_bloomery_iron_shares;antq_regprog_african_cattle_kraal_counts;antq_regprog_african_shrine_offering_jars,pass
KPC,Katsina Plain,sop,West Africa,explicit_government_ledger,antq_west_african_savanna_compound_network,tribal,11,4,adm;dip;mil,12,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_african_compound_granary_seals;antq_regprog_african_bloomery_iron_shares;antq_regprog_african_cattle_kraal_counts;antq_regprog_african_shrine_offering_jars,pass
GTC,Gobir Tarka,sop,West Africa,explicit_government_ledger,antq_west_african_savanna_compound_network,tribal,11,4,adm;dip;mil,12,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_african_compound_granary_seals;antq_regprog_african_bloomery_iron_shares;antq_regprog_african_cattle_kraal_counts;antq_regprog_african_shrine_offering_jars,pass
NSK,Nsukka-Lejja Ironworkers,sop,West Africa,explicit_government_ledger,antq_west_african_ironworking_network,tribal,11,4,adm;dip;mil,12,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_african_compound_granary_seals;antq_regprog_african_bloomery_iron_shares;antq_regprog_african_cattle_kraal_counts;antq_regprog_african_shrine_offering_jars,pass
OUE,Lower Oueme Forest,sop,West Africa,explicit_government_ledger,antq_west_african_forest_network,tribal,11,4,adm;dip;mil,12,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_african_compound_granary_seals;antq_regprog_african_bloomery_iron_shares;antq_regprog_african_cattle_kraal_counts;antq_regprog_african_shrine_offering_jars,pass
