screen,layer,texture,sha256,zero_alpha_percent,opaque_alpha_percent,mean_alpha
pompeii,2,loading_screen\gfx\loading_screen_assets\antq\layers\pompeii_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
pompeii,3,loading_screen\gfx\loading_screen_assets\antq\layers\pompeii_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
pompeii,4,loading_screen\gfx\loading_screen_assets\antq\layers\pompeii_04.dds,8782ef58783d2b35331cf8c3cb358ece22a91d1a6c61fa6c6f9b896aa2395eb1,98.928,0.968,2.622
pompeii,5,loading_screen\gfx\loading_screen_assets\antq\layers\pompeii_05.dds,3a49af3c3d10add867733c5b7ca054346b62e69952e0761ec0613e2e4134a06b,98.971,0.896,2.479
pompeii,6,loading_screen\gfx\loading_screen_assets\antq\layers\pompeii_06.dds,437c9afd71a2490e5aa0bde871f047e2ce84fd2eaa57bcef1eb5cd76202fd8a5,99.112,0.796,2.163
pompeii,7,loading_screen\gfx\loading_screen_assets\antq\layers\pompeii_07.dds,d005e77a69c721df3eea45329dc4da787974af23f7efc11b51c063801da97c37,99.003,0.872,2.406
ephesus,0,loading_screen\gfx\loading_screen_assets\antq\layers\ephesus_00.dds,7b8ade988db64a66a5ee46e21cf9ef5ffeeaa158d25f25873faf354edcadc373,0.000,100.000,255.000
ephesus,1,loading_screen\gfx\loading_screen_assets\antq\layers\ephesus_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
ephesus,2,loading_screen\gfx\loading_screen_assets\antq\layers\ephesus_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
ephesus,3,loading_screen\gfx\loading_screen_assets\antq\layers\ephesus_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
ephesus,4,loading_screen\gfx\loading_screen_assets\antq\layers\ephesus_04.dds,fb6363910f50e050034ef5d3b83b8ef208393914baa367498b3ea11958e2e95f,98.777,0.967,2.836
ephesus,5,loading_screen\gfx\loading_screen_assets\antq\layers\ephesus_05.dds,8ca7bcf9c8ef21a6e296f91ee428dedeee442958ab61dfcd1df51b10d459cee6,99.009,0.912,2.440
ephesus,6,loading_screen\gfx\loading_screen_assets\antq\layers\ephesus_06.dds,f3e4f6da80d0d1c9a09b121b53b65e4e0b97d5f70e0afbeba5019241bc90208b,99.430,0.503,1.379
ephesus,7,loading_screen\gfx\loading_screen_assets\antq\layers\ephesus_07.dds,4486bbf0e277bbb7ad716b322d99528e738c1255c9b99b24966140778b19f474,99.346,0.589,1.594
germanic_rhine,0,loading_screen\gfx\loading_screen_assets\antq\layers\germanic_rhine_00.dds,6f98744dba2745ee493505eb13de5d4eb7df4c6751f20d377058b49aab5e0f6e,0.000,100.000,255.000
germanic_rhine,1,loading_screen\gfx\loading_screen_assets\antq\layers\germanic_rhine_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
germanic_rhine,2,loading_screen\gfx\loading_screen_assets\antq\layers\germanic_rhine_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
germanic_rhine,3,loading_screen\gfx\loading_screen_assets\antq\layers\germanic_rhine_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
germanic_rhine,4,loading_screen\gfx\loading_screen_assets\antq\layers\germanic_rhine_04.dds,bcf4c89c19f9a5e8a1a4e3f37f66febfe98310f76cb930d7120da5192a043cce,98.734,0.890,2.824
germanic_rhine,5,loading_screen\gfx\loading_screen_assets\antq\layers\germanic_rhine_05.dds,0dae99208a7579d9312b3cde4d19b80d05d5cc829116a9c4e2df7119686bf8a0,98.968,0.762,2.334
germanic_rhine,6,loading_screen\gfx\loading_screen_assets\antq\layers\germanic_rhine_06.dds,7d67c29ec3657e42221472943ac569ffda56f77873b3bbada12413cf6c0ac995,99.290,0.600,1.688
germanic_rhine,7,loading_screen\gfx\loading_screen_assets\antq\layers\germanic_rhine_07.dds,56e30417ce783acb13431ef337b63cfc6c007a5facb8197fbcb2b269bf452c02,99.295,0.552,1.630
camulodunum,0,loading_screen\gfx\loading_screen_assets\antq\layers\camulodunum_00.dds,1609a1c08dbb9d82c0cfc3464243400550f3dbb22b39fa85885394e6ff4ad7e8,0.000,100.000,255.000
camulodunum,1,loading_screen\gfx\loading_screen_assets\antq\layers\camulodunum_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
camulodunum,2,loading_screen\gfx\loading_screen_assets\antq\layers\camulodunum_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
camulodunum,3,loading_screen\gfx\loading_screen_assets\antq\layers\camulodunum_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
camulodunum,4,loading_screen\gfx\loading_screen_assets\antq\layers\camulodunum_04.dds,bf11724a45d41df3c7e1cb42a1800776a119e6afde52e31fff510ba6a5c2f2db,99.103,0.758,2.136
camulodunum,5,loading_screen\gfx\loading_screen_assets\antq\layers\camulodunum_05.dds,992c2f1a25628944cb21e1d0a66d4d864a4a88a62baa990fb889e7e3b4262c20,98.950,0.910,2.525
camulodunum,6,loading_screen\gfx\loading_screen_assets\antq\layers\camulodunum_06.dds,b2f73d17e0a79ad625f0d882c0ab8745fb3b3f1ee896503343136ff695ddf91f,99.269,0.616,1.737
camulodunum,7,loading_screen\gfx\loading_screen_assets\antq\layers\camulodunum_07.dds,6df7d7bce36e194c0b958c8d9bb999d12ce4da8d5eaf83f08c95b8f97506b065,99.051,0.856,2.320
