tag,name,region,evidence_class,emblem,color1,color2,color3,emblem_color1,emblem_color2,emblem_color3,position_x,position_y,scale_x,scale_y,source,confidence,note
MAU,Mauretania,Africa,documented_material_motif,ce_horse_salient.dds,purple,white,red,color2,color2,color1,0.5,0.50,0.82,0.82,CAM-JUBA;OCD-CAESAREA;P20,contested,Period-inspired Mauretanian royal horse motif for UI differentiation only; not a reconstruction of Juba II's state flag
PAR,Parthian Empire,Iran,documented_material_motif,ce_horse_salient.dds,red,yellow,red,color2,color2,color1,0.5,0.5,0.85,0.85,P8.2;P20,contested,Period-inspired Parthian mounted-power UI emblem only; not a reconstruction of an Arsacid state flag or a claim about a fixed military standard
CHA,Characene,Iran,regional_material_reconstruction,ce_horse_salient.dds,red,yellow,black,color2,color3,color1,0.46,0.46,0.68,0.70,P8.2;OCD;PLE;P8.2;P20;P20,contested,"Period-inspired Iran material-motif composition for Characene; an explicitly marked regional UI reconstruction, not a historical flag."
ELY,Elymais,Iran,regional_material_reconstruction,ce_bow_arrow.dds,red,yellow,black,color2,color3,color1,0.50,0.46,0.68,0.70,P8.2;OCD;PLE;P8.2;P20;P20,contested,"Period-inspired Iran material-motif composition for Elymais; an explicitly marked regional UI reconstruction, not a historical flag."
PRS,Persis,Iran,regional_material_reconstruction,ce_lion_rampant_wide.dds,red,yellow,black,color2,color3,color1,0.54,0.46,0.68,0.70,P8.2;OCD;PLE;P8.2;P20;P20,contested,"Period-inspired Iran material-motif composition for Persis; an explicitly marked regional UI reconstruction, not a historical flag."
ATR,Media Atropatene,Iran,regional_material_reconstruction,ce_eagle.dds,red,yellow,black,color2,color3,color1,0.46,0.50,0.68,0.70,P8.2;OCD;PLE;P8.2;P20;P20,contested,"Period-inspired Iran material-motif composition for Media Atropatene; an explicitly marked regional UI reconstruction, not a historical flag."
ADI,Adiabene,Mesopotamia,regional_material_reconstruction,ce_bull_head.dds,red,yellow,black,color2,color3,color1,0.46,0.46,0.68,0.70,P8.2;OCD;PLE;P8.2;P20;P20,contested,"Period-inspired Mesopotamia material-motif composition for Adiabene; an explicitly marked regional UI reconstruction, not a historical flag."
OSR,Osroene,Mesopotamia,regional_material_reconstruction,ce_eagle.dds,red,yellow,black,color2,color3,color1,0.50,0.46,0.68,0.70,P8.2;OCD;PLE;P8.2;P20;P20,contested,"Period-inspired Mesopotamia material-motif composition for Osroene; an explicitly marked regional UI reconstruction, not a historical flag."
GOR,Gordyene,Mesopotamia,regional_material_reconstruction,ce_star_08.dds,red,yellow,black,color2,color3,color1,0.54,0.46,0.68,0.70,P8.2;OCD;PLE;P8.2;P20;P20,contested,"Period-inspired Mesopotamia material-motif composition for Gordyene; an explicitly marked regional UI reconstruction, not a historical flag."
SKT,Sakastan,Iran,regional_material_reconstruction,ce_sun_radiant_persia_random.dds,red,yellow,black,color2,color3,color1,0.50,0.50,0.68,0.70,P8.2;CAH-XI;P8.2;P20;P20,contested,"Period-inspired Iran material-motif composition for Sakastan; an explicitly marked regional UI reconstruction, not a historical flag."
MRG,Margiana,Central Asia,regional_material_reconstruction,ce_horse_head.dds,red,yellow,black,color2,color3,color1,0.46,0.46,0.68,0.70,P8.2;CAH-XI;P8.8;P20;P20,contested,"Period-inspired Central Asia material-motif composition for Margiana; an explicitly marked regional UI reconstruction, not a historical flag."
ARM,Kingdom of Armenia,Caucasus,regional_material_reconstruction,ce_mountain.dds,red,yellow,white,color2,color3,color1,0.46,0.46,0.68,0.70,P8.2;CAH-XI;PLE;P8.2;P20;P20,contested,"Period-inspired Caucasus material-motif composition for Kingdom of Armenia; an explicitly marked regional UI reconstruction, not a historical flag."
IBR,Caucasian Iberia,Caucasus,regional_material_reconstruction,ce_eagle.dds,red,yellow,white,color2,color3,color1,0.50,0.46,0.68,0.70,P8.2;OCD;P8.2;P20;P20,contested,"Period-inspired Caucasus material-motif composition for Caucasian Iberia; an explicitly marked regional UI reconstruction, not a historical flag."
CLZ,Colchis,Caucasus,regional_material_reconstruction,ce_horse_salient.dds,red,yellow,white,color2,color3,color1,0.54,0.46,0.68,0.70,P8.2;OCD;PLE;P8.2;P20;P20,contested,"Period-inspired Caucasus material-motif composition for Colchis; an explicitly marked regional UI reconstruction, not a historical flag."
ALC,Caucasian Albania,Caucasus,regional_material_reconstruction,ce_stag.dds,red,yellow,white,color2,color3,color1,0.46,0.50,0.68,0.70,P8.2;OCD;PLE;P8.2;P20;P20,contested,"Period-inspired Caucasus material-motif composition for Caucasian Albania; an explicitly marked regional UI reconstruction, not a historical flag."
HAN,Western Han,China,documented_material_motif,ce_chinese_rosette.dds,red,yellow,red,color2,color2,color1,0.5,0.5,0.78,0.78,P8.3;P20,contested,Period-inspired Chinese rosette UI emblem only; not a reconstruction of a Western Han imperial banner or a claim about a specific court standard
XIO,Xiongnu Confederation,Steppe,regional_material_reconstruction,ce_horse_heads_addorsed.dds,blue,yellow,white,color2,color3,color1,0.46,0.46,0.68,0.70,P8.3;CAH-XI;P8.8;P20;P20,contested,"Period-inspired Steppe material-motif composition for Xiongnu Confederation; an explicitly marked regional UI reconstruction, not a historical flag."
KHT,Khotan,Tarim,regional_material_reconstruction,ce_mountain.dds,yellow,red,white,color2,color3,color1,0.46,0.46,0.68,0.70,P8.3;CHG;P8.3;P20;P20,contested,"Period-inspired Tarim material-motif composition for Khotan; an explicitly marked regional UI reconstruction, not a historical flag."
KUC,Kucha,Tarim,regional_material_reconstruction,ce_horse_head.dds,yellow,red,white,color2,color3,color1,0.50,0.46,0.68,0.70,P8.3;CHG;P8.3;P20;P20,contested,"Period-inspired Tarim material-motif composition for Kucha; an explicitly marked regional UI reconstruction, not a historical flag."
KAS,Kashgar,Tarim,regional_material_reconstruction,ce_stupa_ligor.dds,yellow,red,white,color2,color3,color1,0.54,0.46,0.68,0.70,P8.3;CHG;P8.3;P20;P20,contested,"Period-inspired Tarim material-motif composition for Kashgar; an explicitly marked regional UI reconstruction, not a historical flag."
LOU,Loulan,Tarim,regional_material_reconstruction,ce_cartwheel.dds,yellow,red,white,color2,color3,color1,0.46,0.50,0.68,0.70,P8.3;CHG;P8.3;P20;P20,contested,"Period-inspired Tarim material-motif composition for Loulan; an explicitly marked regional UI reconstruction, not a historical flag."
TUR,Turfan,Tarim,regional_material_reconstruction,ce_auspicious_conch_shell_simple.dds,yellow,red,white,color2,color3,color1,0.50,0.50,0.68,0.70,P8.3;CHG;P8.3;P20;P20,contested,"Period-inspired Tarim material-motif composition for Turfan; an explicitly marked regional UI reconstruction, not a historical flag."
GOG,Goguryeo,Korea,regional_material_reconstruction,ce_chinese_rosette.dds,blue,white,yellow,color2,color3,color1,0.46,0.46,0.68,0.70,P8.3;SAM;P8.3;P20;P20,contested,"Period-inspired Korea material-motif composition for Goguryeo; an explicitly marked regional UI reconstruction, not a historical flag."
BUY,Buyeo,Korea,regional_material_reconstruction,ce_deer_kneeling.dds,blue,white,yellow,color2,color3,color1,0.50,0.46,0.68,0.70,P8.3;SAM;P8.3;P20;P20,contested,"Period-inspired Korea material-motif composition for Buyeo; an explicitly marked regional UI reconstruction, not a historical flag."
MAH,Mahan,Korea,regional_material_reconstruction,ce_horse_head.dds,blue,white,yellow,color2,color3,color1,0.54,0.46,0.68,0.70,P8.3;SAM;P8.3;P20;P20,contested,"Period-inspired Korea material-motif composition for Mahan; an explicitly marked regional UI reconstruction, not a historical flag."
JIN,Jinhan,Korea,regional_material_reconstruction,ce_spiral.dds,blue,white,yellow,color2,color3,color1,0.46,0.50,0.68,0.70,P8.3;SAM;P8.3;P20;P20,contested,"Period-inspired Korea material-motif composition for Jinhan; an explicitly marked regional UI reconstruction, not a historical flag."
BYE,Byeonhan,Korea,regional_material_reconstruction,ce_cartwheel.dds,blue,white,yellow,color2,color3,color1,0.50,0.50,0.68,0.70,P8.3;SAM;P8.3;P20;P20,contested,"Period-inspired Korea material-motif composition for Byeonhan; an explicitly marked regional UI reconstruction, not a historical flag."
WAA,Wa Polities,Japan,regional_material_reconstruction,ce_sun_radiant_simple.dds,red,white,yellow,color2,color3,color1,0.46,0.46,0.68,0.70,P8.3;CAH-XI;P8.3;P20;P20,contested,"Period-inspired Japan material-motif composition for Wa Polities; an explicitly marked regional UI reconstruction, not a historical flag."
SAT,Satavahana,India,regional_material_reconstruction,ce_elephant_asian.dds,orange,yellow,red,color2,color3,color1,0.46,0.46,0.68,0.70,P8.4;CAH-XI;P8.4;P20;P20,contested,"Period-inspired India material-motif composition for Satavahana; an explicitly marked regional UI reconstruction, not a historical flag."
ISK,Indo-Scythian Realm,India,regional_material_reconstruction,ce_bull_head.dds,orange,yellow,red,color2,color3,color1,0.50,0.46,0.68,0.70,P8.4;CAH-XI;PLE;P8.4;P20;P20,contested,"Period-inspired India material-motif composition for Indo-Scythian Realm; an explicitly marked regional UI reconstruction, not a historical flag."
IGR,Indo-Greek Rump,India,regional_material_reconstruction,ce_horse_salient.dds,orange,yellow,red,color2,color3,color1,0.54,0.46,0.68,0.70,P8.4;CAH-XI;P8.4;P20;P20,contested,"Period-inspired India material-motif composition for Indo-Greek Rump; an explicitly marked regional UI reconstruction, not a historical flag."
YUE,Yuezhi Confederation,Central Asia,regional_material_reconstruction,ce_horse_head.dds,red,yellow,black,color2,color3,color1,0.47,0.45,0.74,0.80,P8.4;CAH-XI;P8.8;P20;P20,contested,"Period-inspired Central Asia material-motif composition for Yuezhi Confederation; an explicitly marked regional UI reconstruction, not a historical flag. Exhaustive audit selected a distinct regional material motif to prevent an identical standard."
YDH,Yaudheya,India,regional_material_reconstruction,ce_lion_rampant_wide.dds,orange,yellow,red,color2,color3,color1,0.46,0.50,0.68,0.70,P8.4;CAH-XI;P8.4;P20;P20,contested,"Period-inspired India material-motif composition for Yaudheya; an explicitly marked regional UI reconstruction, not a historical flag."
ARJ,Arjunayana,India,regional_material_reconstruction,ce_fishes_pandya.dds,orange,yellow,red,color2,color3,color1,0.50,0.50,0.68,0.70,BM-TRIBAL-COINS;P8.4;P8.4;P20;P20,contested,"Period-inspired India material-motif composition for Arjunayana; an explicitly marked regional UI reconstruction, not a historical flag."
KUN,Kuninda,India,regional_material_reconstruction,ce_auspicious_conch_shell_simple.dds,orange,yellow,red,color2,color3,color1,0.54,0.50,0.68,0.75,P8.4;CAH-XI;P8.4;P20;P20,contested,"Period-inspired India material-motif composition for Kuninda; an explicitly marked regional UI reconstruction, not a historical flag."
KAL,Kalinga,India,regional_material_reconstruction,ce_stupa_ligor.dds,orange,yellow,red,color2,color3,color1,0.46,0.54,0.68,0.75,P8.4;CAH-XI;P8.4;P20;P20,contested,"Period-inspired India material-motif composition for Kalinga; an explicitly marked regional UI reconstruction, not a historical flag."
CHE,Chera,India,regional_material_reconstruction,ce_sudarshana_chakra.dds,orange,yellow,red,color2,color3,color1,0.50,0.54,0.68,0.75,P8.4;PER;P8.4;P20;P20,contested,"Period-inspired India material-motif composition for Chera; an explicitly marked regional UI reconstruction, not a historical flag."
CHL,Chola,India,regional_material_reconstruction,ce_palm_tree_simple.dds,orange,yellow,red,color2,color3,color1,0.54,0.54,0.68,0.75,P8.4;PER;PLE;P8.4;P20;P20,contested,"Period-inspired India material-motif composition for Chola; an explicitly marked regional UI reconstruction, not a historical flag."
PND,Pandya Kingdom,India,regional_material_reconstruction,ce_pomegranate.dds,orange,yellow,red,color2,color3,color1,0.46,0.46,0.74,0.75,P8.4;PER;P8.4;P20;P20,contested,"Period-inspired India material-motif composition for Pandya Kingdom; an explicitly marked regional UI reconstruction, not a historical flag."
ANU,Anuradhapura,Lanka,regional_material_reconstruction,ce_elephant_asian.dds,yellow,red,black,color2,color3,color1,0.46,0.46,0.68,0.70,P8.4;CAH-XI;P8.4;P20;P20,contested,"Period-inspired Lanka material-motif composition for Anuradhapura; an explicitly marked regional UI reconstruction, not a historical flag."
KUS,Kush,Africa,regional_material_reconstruction,ce_african_ram_horns.dds,yellow,black,red,color2,color3,color1,0.46,0.46,0.68,0.70,P8.5;CAH-XI;PLE;P8.5;P20;P20,contested,"Period-inspired Africa material-motif composition for Kush; an explicitly marked regional UI reconstruction, not a historical flag."
AKS,Aksum,Africa,regional_material_reconstruction,ce_elephant_african.dds,yellow,black,red,color2,color3,color1,0.50,0.46,0.68,0.70,P8.5;PER;P8.5;P20;P20,contested,"Period-inspired Africa material-motif composition for Aksum; an explicitly marked regional UI reconstruction, not a historical flag."
GAR,Garamantes,Africa,regional_material_reconstruction,ce_african_sun.dds,yellow,black,red,color2,color3,color1,0.54,0.46,0.68,0.70,P8.5;CAH-XI;PLE;P8.5;P20;P20,contested,"Period-inspired Africa material-motif composition for Garamantes; an explicitly marked regional UI reconstruction, not a historical flag."
BLM,Blemmyes,Africa,regional_material_reconstruction,ce_african_crocodile.dds,yellow,black,red,color2,color3,color1,0.46,0.50,0.68,0.70,P8.5;CAH-XI;PLE;P8.5;P20;P20,contested,"Period-inspired Africa material-motif composition for Blemmyes; an explicitly marked regional UI reconstruction, not a historical flag."
BEJ,Beja,Africa,regional_material_reconstruction,ce_bull_head.dds,yellow,black,red,color2,color3,color1,0.50,0.50,0.68,0.70,P8.5;CAH-XI;P8.5;P20;P20,contested,"Period-inspired Africa material-motif composition for Beja; an explicitly marked regional UI reconstruction, not a historical flag."
DJN,Djenne-Djenno,West Africa,regional_material_reconstruction,ce_african_baobab.dds,yellow,black,red,color2,color3,color1,0.46,0.46,0.68,0.70,P8.5;CAH-XI;P8.5;P20;P20,contested,"Period-inspired West Africa material-motif composition for Djenne-Djenno; an explicitly marked regional UI reconstruction, not a historical flag."
WAF,Kebbi River,West Africa,documented_material_motif,ce_african_star_07_mali.dds,blue,orange,black,color2,color2,color1,0.5,0.50,0.80,0.80,JAR-WA-NETWORKS;P20,contested,Period-inspired riverine-savanna geometric motif for Kebbi UI differentiation only; not a reconstructed flag
ZMP,Zamfara Plateau,West Africa,documented_material_motif,ce_african_bambara_sun.dds,orange,black,white,color2,color2,color1,0.5,0.50,0.80,0.80,JAR-WA-NETWORKS;P20,contested,Period-inspired plateau-community motif for Zamfara UI differentiation only; not a reconstructed flag
KPC,Katsina Plain,West Africa,documented_material_motif,ce_african_rising_sun.dds,red,orange,black,color2,color2,color1,0.5,0.50,0.80,0.80,JAR-WA-NETWORKS;P20,contested,Period-inspired plain-community motif for Katsina UI differentiation only; not a reconstructed flag
GTC,Gobir Tarka,West Africa,documented_material_motif,ce_african_star_12.dds,green,yellow,black,color2,color2,color1,0.5,0.50,0.80,0.80,JAR-WA-NETWORKS;P20,contested,Period-inspired Tarka-plain geometric motif for Gobir UI differentiation only; not a reconstructed flag
NSK,Nsukka-Lejja Ironworkers,West Africa,documented_material_motif,ce_cartwheel.dds,red,black,orange,color2,color2,color1,0.5,0.50,0.78,0.78,HER-LEJJA;P20,contested,Period-inspired furnace and ironworking motif for Nsukka-Lejja UI differentiation only; not a reconstructed flag
OUE,Lower Oueme Forest,West Africa,documented_material_motif,ce_african_star_08_senufo.dds,green,white,black,color2,color2,color1,0.5,0.50,0.80,0.80,OUP-BENIN;P20,contested,Period-inspired forest-community geometric motif for lower-Oueme UI differentiation only; not a reconstructed flag
VIC,Volta-Cong Interfluve,West Africa,documented_material_motif,ce_african_star_08.dds,orange,black,white,color2,color2,color1,0.5,0.50,0.80,0.80,JAR-WA-NETWORKS;MET-IRON;P20,contested,Period-inspired interfluve exchange motif for Volta-Cong UI differentiation only; not a reconstructed flag
BSW,Bosumtwi Forest,West Africa,documented_material_motif,ce_african_star_09_ashanti.dds,yellow,black,green,color2,color2,color1,0.5,0.50,0.80,0.80,JAH-GHANA;P20,contested,Period-inspired forest-zone motif for Bosumtwi UI differentiation only; it does not backdate an Asante standard
BNT,Ngovo Horizon,Africa,documented_material_motif,ce_spiral.dds,green,orange,black,color2,color2,color1,0.5,0.50,0.78,0.78,NGOVO-GROUP;P20,contested,Period-inspired ceramic motif for Ngovo-horizon UI differentiation only; not a reconstructed flag
URW,Urewe Horizon,Africa,documented_material_motif,ce_spiral_star_06.dds,red,black,orange,color2,color2,color1,0.5,0.50,0.80,0.80,AZA-UREWE;P20,contested,Period-inspired ceramic and furnace motif for Urewe-horizon UI differentiation only; not a reconstructed flag
KWL,Kwale Horizon,Africa,documented_material_motif,ce_fish_okeane.dds,blue,orange,black,color2,color2,color1,0.5,0.50,0.82,0.76,QI-EAFRICA;UC-MOMBASA;P20,contested,Period-inspired coast and mixed-subsistence motif for Kwale-horizon UI differentiation only; not a reconstructed flag
RUV,Ruvuma-Lurio Frontier,Africa,documented_material_motif,ce_conch_shell.dds,green,orange,black,color2,color2,color1,0.5,0.50,0.80,0.80,QI-EAFRICA;P20,contested,Period-inspired coastal-frontier motif for Ruvuma-Lurio UI differentiation only; not a reconstructed flag
LMP,Limpopo Hunter-Herder Networks,Africa,documented_material_motif,ce_african_ram_horns_02.dds,orange,black,green,color2,color2,color1,0.5,0.50,0.80,0.80,OUP-SOUTH-AFRICA;P20,contested,Period-inspired hunter-herder motif for Limpopo UI differentiation only; not a reconstructed flag
ZHF,Zambezi Hunter-Herder Networks,Africa,documented_material_motif,ce_deer_kneeling.dds,green,orange,black,color2,color2,color1,0.5,0.50,0.80,0.80,OUP-SOUTH-AFRICA;P20,contested,Period-inspired forager-landscape motif for Save-Zambezi UI differentiation only; not a reconstructed flag
WDP,Wadai Plateau,Africa,documented_material_motif,ce_african_sun.dds,yellow,red,black,color2,color2,color1,0.5,0.50,0.80,0.80,MEGACHAD-WADAI;P20,contested,Period-inspired plateau-community motif for Wadai UI differentiation only; not a reconstructed flag
BCH,Bauchi Plateau,West Africa,documented_material_motif,ce_cartwheel.dds,red,orange,black,color2,color2,color1,0.5,0.50,0.78,0.78,OUP-NOK;P20,contested,Period-inspired ceramic and ironworking motif for post-Nok Bauchi UI differentiation only; not a reconstructed flag
BAR,Guban Pastoralists,Africa,documented_material_motif,ce_african_ram_horns_02.dds,orange,black,white,color2,color2,color1,0.5,0.50,0.80,0.80,AJA-SOMALILAND;P20,contested,Period-inspired pastoral motif for Guban UI differentiation only; not a reconstructed flag
AVA,Avalites,Africa,documented_material_motif,ce_boat_shield.dds,blue,white,black,color2,color2,color1,0.5,0.50,0.78,0.78,PME-BARBARIA;AJA-SOMALILAND;P20,contested,Period-inspired raft and coastal-exchange motif for Avalites UI differentiation only; not a reconstructed flag
MLA,Malao,Africa,documented_material_motif,ce_anchor_shield.dds,orange,white,black,color2,color2,color1,0.5,0.50,0.78,0.78,PME-BARBARIA;AJA-SOMALILAND;P20,contested,Period-inspired roadstead motif for Malao UI differentiation only; not a reconstructed flag
MUN,Mundu,Africa,documented_material_motif,ce_conch_shell.dds,green,white,black,color2,color2,color1,0.5,0.50,0.80,0.80,PME-BARBARIA;AJA-SOMALILAND;P20,contested,Period-inspired marine-exchange motif for Mundu UI differentiation only; not a reconstructed flag
MOS,Mosyllon,Africa,documented_material_motif,ce_fish_okeane.dds,purple,white,black,color2,color2,color1,0.5,0.50,0.82,0.82,PME-BARBARIA;AJA-SOMALILAND;P20,contested,Period-inspired coast and tortoise-shell exchange motif for Mosyllon UI differentiation only; not a reconstructed flag
ARO,Aromata Emporion,Africa,documented_material_motif,ce_african_rising_sun.dds,red,yellow,black,color2,color2,color1,0.5,0.50,0.80,0.80,PME-BARBARIA;AJA-SOMALILAND;P20,contested,Period-inspired aromatics-coast motif for Aromata Emporion UI differentiation only; not a reconstructed flag
OPO,Opone,Africa,documented_material_motif,ce_elephant_african.dds,orange,black,white,color2,color2,color1,0.5,0.50,0.80,0.80,PME-BARBARIA;AJA-SOMALILAND;P20,contested,Period-inspired ivory-exchange motif for Opone UI differentiation only; not a reconstructed flag
HAU,Haud Pastoralists,Africa,documented_material_motif,ce_african_sun.dds,yellow,black,white,color2,color2,color1,0.5,0.50,0.80,0.80,AJA-SOMALILAND;P20,contested,Period-inspired interior pastoral motif for Haud UI differentiation only; not a reconstructed flag
AZA,Northern Azania,Africa,documented_material_motif,ce_african_star_08.dds,blue,yellow,black,color2,color2,color1,0.5,0.50,0.80,0.80,PME-BARBARIA;P20,contested,Period-inspired coastal-course motif for northern Azania UI differentiation only; not a reconstructed flag
SAB,Saba,Arabia,documented_material_motif,ce_ibex_goat_passant.dds,yellow,black,white,color2,color2,color1,0.5,0.52,0.82,0.70,UNESCO-SABA;P20,contested,Period-inspired South Arabian ibex motif for UI differentiation only; not a reconstruction of a Sabaean state flag
HIM,Himyar,Arabia,documented_material_motif,ce_bull_head.dds,red,yellow,black,color2,color2,color1,0.5,0.50,0.78,0.78,HIMYAR-HIST;P20,contested,Period-inspired South Arabian bovine motif for UI differentiation only; not a reconstruction of a Himyarite state flag
QAT,Qataban,Arabia,documented_material_motif,ce_ibex_ram_horn_shield.dds,orange,black,yellow,color2,color2,color1,0.5,0.50,0.82,0.82,UNESCO-QATABAN;P20,contested,Period-inspired South Arabian ibex-horn motif for UI differentiation only; not a reconstruction of a Qatabani state flag
HAD,Hadramawt,Arabia,documented_material_motif,ce_crescent_moon.dds,blue,yellow,black,color2,color2,color1,0.5,0.50,0.80,0.80,UNESCO-INCENSE;P20,contested,Period-inspired ancient lunar-cult motif for UI differentiation only; it is not an Islamic crescent or a reconstructed Hadrami flag
KIN,Kindah,Arabia,documented_material_motif,ce_horse_salient.dds,green,yellow,black,color2,color2,color1,0.5,0.50,0.84,0.84,P8.6;PLE;P20,contested,Period-inspired caravan-and-mounted-power motif for UI differentiation only; not a reconstruction of a Kindite flag
THM,Thamud,Arabia,documented_material_motif,ce_ibex_segreant.dds,red,white,black,color2,color2,color1,0.5,0.50,0.80,0.80,PLN-ARAB;THAMUD-EPIG;P20,contested,Period-inspired north-Arabian rock-art ibex motif for UI differentiation only; it does not equate Thamud with all Thamudic inscriptions
AGR,Agraeans,Arabia,documented_material_motif,ce_bow_arrows_03.dds,blue,white,yellow,color2,color2,color1,0.5,0.50,0.80,0.80,STR-ARAB;P20,contested,Period-inspired northern caravan-country archery motif for UI differentiation only; not a reconstruction of an Agraean flag
GRH,Gerrha,Arabia,documented_material_motif,ce_bull_head_ringed.dds,orange,black,white,color2,color2,color1,0.5,0.50,0.78,0.78,OCD-GERRHA;THAJ-ARCH;P20,contested,Period-inspired eastern-Arabian trade-and-cult motif for UI differentiation only; not a reconstruction of a Gerrhaean flag
QTR,Cataraei,Arabia,documented_material_motif,ce_star_08.dds,blue,yellow,white,color2,color2,color1,0.5,0.50,0.78,0.78,PLN-ARAB;PTO-ARAB;P20,contested,Period-inspired Gulf-coast geometric motif for UI differentiation only; not a reconstruction of a Cataraean flag
OMN,Omanitae,Arabia,documented_material_motif,ce_african_ram_horns.dds,green,white,yellow,color2,color2,color1,0.5,0.50,0.78,0.78,PLN-ARAB;PLE;P20,contested,Period-inspired southeastern-Arabian horn motif for UI differentiation only; not a reconstruction of an Omanitae flag
MCM,Marcomanni,Germania,regional_material_reconstruction,ce_boar_passant.dds,green,yellow,white,color2,color3,color1,0.46,0.46,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Marcomanni; an explicitly marked regional UI reconstruction, not a historical flag."
CRU,Cherusci,Germania,regional_material_reconstruction,ce_boar_head.dds,green,yellow,white,color2,color3,color1,0.50,0.46,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Cherusci; an explicitly marked regional UI reconstruction, not a historical flag."
CHT,Chatti,Germania,regional_material_reconstruction,ce_stag.dds,green,yellow,white,color2,color3,color1,0.54,0.46,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Chatti; an explicitly marked regional UI reconstruction, not a historical flag."
FRI,Frisii,Germania,regional_material_reconstruction,ce_stag_head_antlers_embowed.dds,green,yellow,white,color2,color3,color1,0.46,0.50,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Frisii; an explicitly marked regional UI reconstruction, not a historical flag."
BTV,Batavi,Germania,regional_material_reconstruction,ce_wolf_head.dds,green,yellow,white,color2,color3,color1,0.50,0.50,0.68,0.70,P8.7;CAH-XI;PLE;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Batavi; an explicitly marked regional UI reconstruction, not a historical flag."
LAN,Langobardi,Germania,regional_material_reconstruction,ce_wolf_passant.dds,green,yellow,white,color2,color3,color1,0.54,0.50,0.68,0.75,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Langobardi; an explicitly marked regional UI reconstruction, not a historical flag."
